Date,Open,High,Low,Close,Volume
2016-01-27,4.33,4.33,4.33,4.33,1000.0
2016-02-02,4.5,5.29,4.5,4.62,2500.0
2016-02-03,4.5,5.55,4.5,5.55,3000.0
2016-02-08,5.11,5.15,5.11,5.15,1000.0
2016-02-09,5.0,6.1,5.0,6.1,3500.0
2016-02-11,5.1,6.45,5.1,5.94,10000.0
2016-02-15,5.06,6.5,5.06,6.5,1500.0
2016-02-16,5.5,6.0,5.5,5.67,5500.0
2016-02-17,4.83,6.0,4.83,4.85,1500.0
2016-02-18,4.61,4.94,4.55,4.64,9000.0
2016-02-19,4.65,5.45,4.65,5.45,2000.0
2016-02-22,4.5,5.45,4.5,4.51,2000.0
2016-03-09,0.0,0.0,0.0,4.75,0.0
2016-03-10,0.0,0.0,0.0,4.75,0.0
2016-03-11,0.0,0.0,0.0,4.75,0.0
2016-03-14,0.0,0.0,0.0,4.75,0.0
2016-03-15,0.0,0.0,0.0,4.75,0.0
2016-03-16,0.0,0.0,0.0,4.75,0.0
2016-03-17,4.11,4.11,4.11,4.11,1000.0
2016-03-18,4.1,4.4,4.0,4.4,4000.0
2016-03-21,0.0,0.0,0.0,4.4,0.0
2016-03-22,4.2,4.25,4.2,4.25,2000.0
2016-03-24,4.87,4.94,4.87,4.91,1000.0
2016-03-25,4.85,5.85,4.85,5.85,7000.0
2016-03-28,0.0,0.0,0.0,5.85,0.0
2016-03-29,0.0,0.0,0.0,5.85,0.0
2016-03-30,0.0,0.0,0.0,5.85,0.0
2016-03-31,0.0,0.0,0.0,5.85,0.0
2016-04-01,0.0,0.0,0.0,5.85,0.0
2016-04-04,0.0,0.0,0.0,5.85,0.0
2016-04-05,0.0,0.0,0.0,5.85,0.0
2016-04-06,0.0,0.0,0.0,5.85,0.0
2016-04-07,0.0,0.0,0.0,5.85,0.0
2016-04-08,0.0,0.0,0.0,5.85,0.0
2016-04-11,0.0,0.0,0.0,5.85,0.0
2016-04-12,4.86,5.85,4.86,5.85,10500.0
2016-04-13,5.0,6.45,4.85,6.45,19000.0
2016-04-14,0.0,0.0,0.0,6.05,0.0
2016-04-15,0.0,0.0,0.0,6.05,0.0
2016-04-18,0.0,0.0,0.0,6.05,0.0
2016-04-19,7.05,7.05,6.0,6.1,3500.0
2016-04-20,5.3,5.75,5.1,5.62,65500.0
2016-04-21,5.79,5.79,5.26,5.26,12500.0
2016-04-22,5.45,5.6,5.3,5.3,4500.0
2016-04-25,6.0,6.0,5.59,5.75,10500.0
2016-04-26,0.0,0.0,0.0,5.75,0.0
2016-04-27,6.0,6.75,6.0,6.75,180500.0
2016-04-28,7.75,7.75,7.4,7.75,121000.0
2016-04-29,8.7,8.7,7.11,8.05,156500.0
2016-05-02,0.0,0.0,0.0,8.05,0.0
2016-05-03,7.99,9.05,7.8,7.94,67000.0
2016-05-04,7.99,8.0,7.51,7.51,21500.0
2016-05-05,7.99,8.05,7.55,7.95,42500.0
2016-05-06,0.0,0.0,0.0,7.95,0.0
2016-05-09,7.11,7.75,7.11,7.62,4500.0
2016-05-10,7.5,7.5,7.5,7.5,6500.0
2016-05-11,7.5,7.5,7.2,7.2,5500.0
2016-05-12,7.21,7.21,7.11,7.11,9000.0
2016-05-13,6.55,7.25,6.53,7.25,5500.0
2016-05-16,7.45,7.5,7.45,7.5,10000.0
2016-05-17,0.0,0.0,0.0,7.5,0.0
2016-05-18,0.0,0.0,0.0,7.5,0.0
2016-05-19,8.19,8.19,7.9,7.9,1000.0
2016-05-20,0.0,0.0,0.0,7.9,0.0
2016-05-23,7.2,7.49,6.9,7.2,8500.0
2016-05-24,7.45,8.2,7.2,8.2,19000.0
2016-05-25,9.2,9.2,9.2,9.2,41000.0
2016-05-26,10.2,10.2,10.2,10.2,28500.0
2016-05-27,11.19,11.2,10.95,11.2,196500.0
2016-05-30,11.75,12.2,11.0,11.53,148500.0
2016-05-31,10.6,12.53,10.53,11.98,127000.0
2016-06-01,12.98,12.98,12.98,12.98,22000.0
2016-06-02,13.98,13.98,13.98,13.98,18500.0
2016-06-03,14.98,14.98,14.7,14.98,138000.0
2016-06-06,15.98,15.98,15.0,15.98,123500.0
2016-06-07,16.98,16.98,14.98,14.98,153500.0
2016-06-08,15.6,15.9,13.98,13.98,276000.0
2016-06-09,13.05,14.25,12.98,12.98,140500.0
2016-06-10,12.0,12.02,11.98,11.98,135500.0
2016-06-13,11.3,11.98,11.3,11.75,4000.0
2016-06-14,10.92,11.01,10.75,11.01,18500.0
2016-06-15,11.0,11.01,10.6,10.61,4000.0
2016-06-16,10.3,10.9,10.15,10.51,28500.0
2016-06-17,10.9,11.35,10.9,11.0,3000.0
2016-06-20,11.0,11.5,11.0,11.2,16500.0
2016-06-21,11.51,11.7,11.4,11.45,17000.0
2016-06-22,11.2,11.2,11.0,11.0,4000.0
2016-06-23,11.0,11.0,11.0,11.0,500.0
2016-06-24,10.01,10.75,10.0,10.39,12500.0
2016-06-28,0.0,0.0,0.0,10.39,0.0
2016-06-29,0.0,0.0,0.0,10.39,0.0
2016-06-30,10.5,11.39,10.25,11.29,58000.0
2016-07-04,10.75,10.75,10.29,10.37,6000.0
2016-07-11,11.37,11.37,11.36,11.37,34000.0
2016-07-12,12.29,12.37,11.1,11.69,210000.0
2016-07-13,11.78,12.69,11.78,12.67,122500.0
2016-07-14,12.99,13.05,12.67,12.82,39500.0
2016-07-15,12.5,12.5,12.1,12.25,2500.0
2016-07-18,12.31,12.62,11.35,12.52,115000.0
2016-07-19,12.5,13.52,12.5,13.52,79000.0
2016-07-20,14.52,14.52,14.52,14.52,19000.0
2016-07-21,15.52,15.52,13.52,13.81,298500.0
2016-07-22,13.5,13.5,13.0,13.16,14000.0
2016-07-25,12.48,12.99,12.46,12.62,8000.0
2016-07-26,12.98,12.98,12.15,12.53,4500.0
2016-07-27,12.22,12.5,12.0,12.01,35000.0
2016-07-28,12.44,12.44,11.4,11.4,33500.0
2016-07-29,11.22,11.63,11.22,11.5,9500.0
2016-08-01,11.5,12.5,11.35,12.5,46000.0
2016-08-02,12.75,13.34,12.75,13.1,36500.0
2016-08-03,12.95,12.95,12.45,12.65,8500.0
2016-08-04,12.45,12.45,11.65,12.22,76500.0
2016-08-05,12.5,13.22,12.5,12.67,17000.0
2016-08-08,12.9,13.0,12.75,12.85,12000.0
2016-08-09,0.0,0.0,0.0,12.85,0.0
2016-08-10,12.12,12.7,12.12,12.45,10500.0
2016-08-11,13.45,13.45,12.55,13.45,89000.0
2016-08-12,13.11,14.45,13.0,14.44,91000.0
2016-08-15,14.4,15.44,14.4,15.44,94000.0
2016-08-16,16.44,16.44,16.4,16.44,75500.0
2016-08-17,17.44,17.44,17.44,17.44,8000.0
2016-08-18,18.2,18.44,17.75,18.4,337500.0
2016-08-19,18.59,19.4,18.06,19.38,294000.0
2016-08-22,20.35,20.38,20.35,20.38,14500.0
2016-08-23,21.39,21.39,21.39,21.39,28000.0
2016-08-24,22.39,22.45,22.35,22.45,14000.0
2016-08-25,23.4,23.57,23.4,23.57,1500.0
2016-08-26,24.74,24.74,22.4,22.4,52500.0
2016-08-29,21.28,21.28,21.28,21.28,4000.0
2016-08-30,20.22,20.22,20.22,20.22,7500.0
2016-08-31,19.21,21.2,19.21,19.21,112000.0
