Date,Open,High,Low,Close,Volume
5/29/2019,8.99,8.99,8.99,8.99,500
12/3/2019,9,9,9,9,2000
12/4/2019,9,9,9,9,500
12/13/2019,8.4,8.4,8.4,8.4,500
1/9/2020,8.99,9,8.99,9,2500
1/14/2020,9.5,10,9.5,10,1000
1/15/2020,11,11,10.01,11,2000
1/16/2020,12,12,11.99,11.99,1000
1/17/2020,12.65,12.99,12.65,12.65,1500
1/23/2020,11.65,11.65,11.65,11.65,1500
1/24/2020,11.9,11.9,11.9,11.9,500
1/30/2020,10.9,10.9,10.9,10.9,1000
2/3/2020,9.9,9.9,9.9,9.9,500
2/4/2020,9.9,10.9,9.9,10.9,3000
2/6/2020,11.5,11.9,11.5,11.7,1000
2/7/2020,12.5,12.7,12,12,3000
2/13/2020,12,13,11.5,12.25,3500
2/14/2020,13.25,13.25,12.5,13.25,2500
2/17/2020,0,14.24,14.24,13.25,2500
3/18/2020,0,12.94,12.94,12.94,0
4/13/2020,12.5,12.5,12.5,12.5,1000
4/14/2020,0,12.11,12.11,12.11,0
4/16/2020,0,12,12,12,0
4/22/2020,0,11.75,11.75,11.75,0
4/24/2020,0,11.5,11.5,11.5,0
4/28/2020,0,11.5,11.5,11.5,0
5/12/2020,0,11.49,11.49,11.49,0
5/18/2020,0,11.4,11.4,11.4,0
6/24/2020,0,11.35,11.35,11.35,0
7/2/2020,11.02,11.02,11.02,11.02,500
7/14/2020,11,11,11,11,500
7/20/2020,10.9,10.9,10.9,10.9,1000
9/11/2020,11.9,11.9,10.01,11,3000
9/14/2020,12,12,12,12,2000
9/15/2020,13,13,12.95,12.95,1500
9/17/2020,0,12.92,12.92,12.92,0
9/22/2020,11.92,11.92,11.92,11.92,500
9/24/2020,10.92,10.92,10.92,10.92,1000
10/5/2020,11.5,11.5,11.5,10.92,500
10/20/2020,11,11,11,11,5000
10/22/2020,11.3,11.3,10,11,25000
10/23/2020,10.1,11.3,10.1,11.29,10000
11/9/2020,10.29,10.29,10.29,10.29,38000
11/13/2020,10.28,10.28,10,10,2000
12/7/2020,10.9,10.9,10.5,10.5,2000
12/15/2020,9.7,10,9.62,10,1500
12/17/2020,9.9,9.9,9.9,9.9,500
1/1/2021,9.5,9.7,9.5,9.7,1500
1/6/2021,9.5,10,9.5,10,3500
1/14/2021,10.64,11,10.64,11,13500
1/15/2021,12,12,12,12,4000
1/18/2021,12.15,13,12,13,18500
1/19/2021,13.85,13.85,13.82,13.85,2000
1/20/2021,13,13.9,12.82,13.9,7500
1/21/2021,12.9,13.2,12.86,13.2,2500
1/22/2021,12.25,12.6,12.2,12.59,8500
1/25/2021,12.44,12.44,12,12,2000
1/26/2021,12.4,12.4,12.3,12.3,1500
1/29/2021,11.3,12.3,11.3,11.3,1000
2/1/2021,0,11.3,11.3,11.3,500
2/2/2021,10.51,10.51,10.51,10.51,500
2/3/2021,10.21,10.21,10.21,10.21,500
2/4/2021,9.64,10.45,9.64,10.45,2000
2/9/2021,10.38,10.38,10.38,10.38,1000
2/11/2021,10.5,10.5,10.5,10.5,6000
2/12/2021,11.49,11.5,11.49,11.5,1000
2/17/2021,11,11.5,11,11.5,17000
2/18/2021,12.44,12.44,12.44,12.44,1000
2/19/2021,12.2,12.98,12.2,12.98,2000
3/10/2021,12.99,13,12.99,13,4000
4/2/2021,12,12,12,12,500
5/25/2021,12,12,11,11.1,13000
5/27/2021,10.5,10.5,10.5,10.5,2000
5/28/2021,10.25,10.25,10.25,10.25,500
5/31/2021,10.6,10.6,10.5,10.5,4000
6/1/2021,11.47,11.5,11.47,11.49,6500
6/2/2021,11.5,11.75,11.5,11.73,5500
6/3/2021,11.5,12.55,11.5,12.55,22000
6/4/2021,12.5,13.55,12.5,13.55,19000
6/8/2021,14.55,14.55,14.54,14.54,3000
6/9/2021,15.25,15.25,13.45,13.45,4000
6/11/2021,14.3,14.3,14.3,14.3,1000
6/14/2021,14.4,14.4,14,14.4,7500
6/15/2021,14,14,14,14,1000
6/16/2021,14,14,14,14,1000
6/23/2021,14.99,15,12.95,12.95,3000
6/24/2021,13.92,13.92,12.46,13.02,1500
6/25/2021,14,14,14,14,500
6/28/2021,12.96,12.96,12.95,12.95,4500
6/29/2021,12.9,12.9,12.01,12.43,2000
7/2/2021,11.44,11.44,11.44,11.44,500
7/5/2021,12.4,12.44,12.4,12.44,3000
7/6/2021,13.44,13.44,13.42,13.44,4000
7/8/2021,13.44,13.44,13.44,13.44,500
7/9/2021,14.44,14.44,14.44,14.44,1000
7/12/2021,15.41,15.41,15,15,1000
7/15/2021,13.88,13.88,13.88,13.88,2500
7/16/2021,12.88,12.88,12.88,12.88,500
7/26/2021,13.1,13.12,13,13.12,1500
7/27/2021,13.12,14.1,13.12,13.99,5000
7/28/2021,14.2,14.2,14.13,14.13,3000
7/29/2021,14.04,14.04,14.03,14.03,1000
8/3/2021,14.03,14.03,14.03,14.03,3000
8/17/2021,13.1,14.03,13.1,13.1,5500
8/25/2021,13,13.25,13,13.23,3000
8/27/2021,13.3,13.3,12.81,12.89,4500
8/31/2021,12.5,12.5,12.01,12.01,2500
9/1/2021,11.15,12.94,11.15,12.94,4000
9/2/2021,12.9,12.94,12.9,12.9,1000
9/7/2021,12.5,12.5,12,12.17,1500
9/8/2021,12,12,12,12,1000
9/10/2021,12,12,12,12,500
9/14/2021,0,12,12,12,1500
9/15/2021,12,12,12,12,1000
9/17/2021,12.89,12.89,12.89,12.89,1000
9/23/2021,12.99,12.99,12.99,12.99,1000
9/24/2021,12.79,12.79,12.79,12.79,4000
9/27/2021,12.79,12.79,12.79,12.79,1000
10/4/2021,12.99,12.99,12.99,12.99,500
10/5/2021,13.18,13.99,13.18,13.99,8500
10/6/2021,14.65,14.68,13.25,13.33,4500
10/7/2021,12.7,12.7,12.33,12.33,1000
10/25/2021,0,0,0,11.63,0
10/29/2021,0,0,0,11.63,0
11/1/2021,12.6,12.6,11.63,12.6,1000
11/2/2021,13.33,13.49,13,13.49,8000
11/3/2021,14.5,14.5,14.49,14.5,16000
11/4/2021,15.58,15.58,15.25,15.58,13500
11/5/2021,15.58,15.58,14.42,14.42,1500
11/8/2021,14,14,14,14,500
11/9/2021,13.2,13.3,13,13,7000
11/10/2021,14,14,14,14,500
11/15/2021,14.48,14.48,14.48,14,1000
11/22/2021,14.35,14.5,14.35,14.5,2000
11/23/2021,13.45,13.45,13.45,13.45,1000
12/3/2021,12.5,12.5,12.5,12.5,500
12/15/2021,12.99,12.99,12.99,12.99,500
12/24/2021,12.5,12.5,12.5,12.5,500
12/28/2021,12,12,12,12,1000
12/29/2021,11.5,11.5,11.5,11.5,1000
1/4/2022,11,11.5,11,11.2,3000
1/10/2022,11,11.51,11,11.5,4000
1/12/2022,12.1,12.1,12.1,12.1,500
1/14/2022,11.25,13.1,11.1,12.99,8500
1/18/2022,12.01,13.99,12.01,13.99,10500
1/19/2022,14.95,14.95,13.01,13.01,1000
1/20/2022,12.11,13.14,12.11,13.14,2500
1/26/2022,13,13,13,13,500
1/28/2022,12.7,12.7,12.7,12.7,500
1/31/2022,0,0,0,12.94,0
2/2/2022,12.22,12.22,12.22,12.22,1000
2/3/2022,13.22,13.22,13.22,13.22,1500
2/4/2022,13.22,13.22,13.22,13.22,2000
2/8/2022,13.22,13.22,13.22,13.22,500
2/21/2022,13.2,13.2,13.2,13.2,1000
2/24/2022,13.99,13.99,13.99,13.2,500
2/25/2022,13.2,13.2,13.2,13.2,1000
3/1/2022,13,13,13,13,1000
3/2/2022,12.95,12.95,12.95,12.95,1000
3/4/2022,13.5,13.5,13.5,13.5,500
3/10/2022,12.5,12.5,12.5,12.5,2000
3/18/2022,12,12,12,12,500
3/24/2022,12,12,12,12,500
3/25/2022,11.5,11.5,11.5,11.5,1000
3/29/2022,12.01,12.01,12,12,1500
3/30/2022,12,12,12,12,2000
3/31/2022,12.5,12.5,12.5,12.5,1500
4/19/2022,12.5,12.5,12.5,12.5,500
4/27/2022,12,12,11.5,11.5,6500
5/6/2022,11.5,11.5,11.5,11.5,500
5/9/2022,11.6,11.6,11.2,11.2,3000
5/10/2022,11.01,11.01,10.2,10.2,2000
5/12/2022,10.5,10.5,10.5,10.5,500
5/24/2022,9.61,10.65,9.6,10.65,2000
6/9/2022,11,11.5,11,11.5,2500
6/20/2022,10.75,10.75,10.6,10.6,1000
6/22/2022,10.5,10.5,10.5,10.5,2500
6/30/2022,11.25,11.25,11.25,11.25,500
7/5/2022,11.5,11.5,11.5,11.5,1000
7/15/2022,12.5,12.5,12.5,12.5,1500
8/12/2022,11.5,11.5,11.5,11.5,500
8/15/2022,11.5,11.5,11.5,11.5,500
8/17/2022,11.5,11.5,11.5,11.5,500
8/22/2022,10.5,11.11,10.5,11.11,5000
8/23/2022,11.15,11.15,11.15,11.15,500
8/24/2022,10.75,10.75,10.75,10.75,500
8/25/2022,11.25,11.25,11.25,11.25,500
9/19/2022,11.5,11.5,11.5,11.5,500
9/20/2022,11.5,11.5,11.5,11.5,500
9/26/2022,12.2,12.2,10.75,10.75,1000
10/4/2022,10.2,10.2,10,10,1000
10/7/2022,9.6,9.6,9.6,9.6,1000
10/19/2022,9.5,9.5,9.5,9.5,500
10/20/2022,9.45,9.5,9.45,9.5,1000
10/24/2022,9.06,9.06,9.06,9.5,1000
11/3/2022,9.5,9.5,9.5,9.5,500
