Date,Open,High,Low,Close,Volume
2001-01-11,46.95,50.0,49.0,49.0,200.0
2001-01-25,49.0,45.05,45.05,45.05,100.0
2001-01-26,45.05,50.0,49.75,50.0,700.0
2001-02-01,50.0,50.0,50.0,50.0,400.0
2001-02-02,50.0,50.0,50.0,50.0,200.0
2001-02-06,50.0,46.0,46.0,46.0,500.0
2001-02-08,46.0,49.9,49.9,49.9,300.0
2001-02-12,49.9,49.9,48.1,48.1,400.0
2001-02-13,48.1,48.0,48.0,48.0,100.0
2001-02-15,48.0,48.25,48.25,48.25,100.0
2001-02-19,48.25,49.0,49.0,49.0,100.0
2001-02-22,49.0,49.9,49.9,49.9,200.0
2001-02-23,49.9,48.0,47.1,48.0,300.0
2001-02-27,48.0,47.1,47.0,47.0,900.0
2001-03-02,47.0,47.0,47.0,47.0,300.0
2001-03-09,47.0,48.0,46.05,48.0,1000.0
2001-03-12,48.0,48.0,44.0,44.0,2600.0
2001-03-13,44.0,45.0,44.0,45.0,700.0
2001-03-14,45.0,45.5,45.0,45.5,200.0
2001-03-15,45.5,46.0,45.0,45.5,1100.0
2001-03-22,45.5,45.5,45.5,45.5,300.0
2001-03-26,45.5,46.5,46.5,46.5,100.0
2001-03-30,46.5,48.0,48.0,48.0,500.0
2001-04-09,48.0,46.0,46.0,46.0,200.0
2001-04-16,46.0,48.0,48.0,48.0,300.0
2001-04-23,48.0,48.0,48.0,48.0,0.0
2001-04-25,48.0,49.0,47.0,49.0,2200.0
2001-04-26,49.0,49.5,48.5,48.5,700.0
2001-04-27,48.5,49.5,49.5,49.5,500.0
2001-05-02,49.5,54.9,53.95,54.0,1300.0
2001-05-03,51.0,51.0,51.0,51.0,0.0
2001-05-17,51.0,50.1,49.9,50.1,300.0
2001-05-25,50.1,50.5,50.4,50.5,2100.0
2001-05-29,50.5,52.0,52.0,52.0,400.0
2001-05-31,52.0,53.0,53.0,53.0,100.0
2001-06-13,53.0,55.0,55.0,55.0,1000.0
2001-06-14,55.0,61.0,54.5,61.0,4800.0
2001-06-20,61.0,64.0,61.0,64.0,2500.0
2001-06-21,64.0,60.0,59.0,59.0,700.0
2001-06-22,59.0,59.0,59.0,59.0,200.0
2001-06-25,59.0,60.0,59.0,60.0,1000.0
2001-06-26,60.0,60.0,59.0,60.0,800.0
2001-06-27,60.0,59.1,59.1,59.1,100.0
2001-06-28,59.1,60.5,58.0,60.5,1700.0
2001-06-29,60.5,61.0,59.5,60.5,900.0
2001-07-03,60.5,61.0,59.5,61.0,1300.0
2001-07-04,61.0,63.0,59.5,63.0,5500.0
2001-07-05,63.0,63.0,63.0,63.0,900.0
2001-07-06,63.0,64.0,62.5,64.0,2400.0
