Date,Open,High,Low,Close,Volume
2001-01-01,1.95,2.35,1.9,2.35,29500.0
2001-01-02,2.35,2.65,2.3,2.3,17000.0
2001-01-04,2.3,2.6,2.4,2.45,8000.0
2001-01-05,2.45,2.4,2.35,2.35,6000.0
2001-01-08,2.35,2.35,2.35,2.35,5000.0
2001-01-09,2.35,2.2,2.2,2.2,1000.0
2001-01-10,2.2,2.2,2.2,2.2,2500.0
2001-01-11,2.2,2.0,2.0,2.0,2000.0
2001-01-12,2.0,1.9,1.9,1.9,500.0
2001-01-18,1.9,1.85,1.85,1.85,500.0
2001-01-22,1.85,1.95,1.95,1.95,500.0
2001-01-23,1.95,1.7,1.7,1.7,500.0
2001-01-25,1.7,2.0,2.0,2.0,500.0
2001-01-26,2.0,1.85,1.85,1.85,2000.0
2001-02-08,1.85,1.8,1.8,1.8,500.0
2001-02-19,1.8,2.45,1.8,1.85,2500.0
2001-02-20,1.85,1.75,1.75,1.75,2000.0
2001-02-22,1.75,1.8,1.8,1.8,1000.0
2001-02-23,1.8,1.85,1.85,1.85,1000.0
2001-02-28,1.85,1.8,1.55,1.75,2000.0
2001-03-12,1.75,2.0,1.9,1.9,4000.0
2001-03-15,1.9,1.9,1.85,1.85,2000.0
2001-03-22,1.85,2.0,1.85,2.0,3500.0
2001-03-28,2.0,1.7,1.5,1.7,1000.0
2001-03-29,1.7,2.0,2.0,2.0,3000.0
2001-04-06,2.0,1.85,1.75,1.75,7000.0
2001-04-09,1.75,1.95,1.75,1.95,2000.0
2001-04-10,1.95,2.55,2.1,2.3,19000.0
2001-04-11,2.3,2.25,2.2,2.2,1500.0
2001-04-13,2.2,2.4,2.15,2.4,9000.0
2001-04-16,2.4,2.5,2.5,2.5,7000.0
2001-04-17,2.5,2.6,2.5,2.6,5500.0
2001-04-19,2.6,2.4,2.4,2.4,1000.0
2001-04-25,2.4,2.3,2.3,2.3,500.0
2001-04-27,2.3,2.1,2.05,2.1,6500.0
2001-04-30,2.1,2.35,2.3,2.35,1000.0
2001-05-02,2.35,2.05,2.05,2.05,1500.0
2001-05-03,2.05,2.2,2.2,2.2,1000.0
2001-05-11,2.2,1.85,1.85,1.85,500.0
2001-05-14,1.85,1.8,1.8,1.8,1000.0
2001-05-31,1.8,2.1,2.1,2.1,4000.0
2001-06-01,2.1,2.15,2.15,2.15,4000.0
2001-06-07,2.15,2.05,2.05,2.05,500.0
2001-06-08,2.05,2.05,2.05,2.05,500.0
2001-06-12,2.05,2.0,1.85,2.0,7000.0
2001-06-13,2.0,2.2,1.95,2.0,5000.0
2001-06-14,2.0,2.05,2.05,2.05,2500.0
2001-07-03,2.05,2.05,2.05,2.05,0.0
2001-07-12,2.05,2.05,2.05,2.05,0.0
2001-07-19,2.05,2.0,2.0,2.0,1000.0
2001-07-20,2.0,1.75,1.75,1.75,5000.0
2001-07-23,1.75,1.6,1.6,1.6,5000.0
2001-07-25,1.6,1.65,1.65,1.65,500.0
2001-07-26,1.65,1.5,1.5,1.5,1000.0
2001-08-15,1.5,1.5,1.5,1.5,39000.0
2001-08-30,1.5,1.55,1.5,1.5,15000.0
2001-08-31,1.5,1.55,1.5,1.5,8000.0
2001-09-26,1.5,1.5,1.5,1.5,5000.0
2001-10-15,1.5,1.5,1.5,1.5,500.0
2001-10-23,1.5,1.5,1.5,1.5,1000.0
2001-12-10,1.5,1.1,1.1,1.1,500.0
2001-12-21,1.1,1.1,1.1,1.1,500.0
2001-12-24,1.1,1.1,1.1,1.1,500.0
2002-01-03,1.1,1.1,1.1,1.1,5000.0
2002-01-24,1.1,1.1,1.1,1.1,500.0
2002-02-27,1.1,1.15,1.15,1.15,500.0
2002-03-06,1.15,1.8,1.8,1.8,500.0
2002-03-07,1.8,1.35,1.35,1.35,4000.0
2002-03-08,1.35,1.75,1.45,1.7,14000.0
2002-03-11,1.7,2.1,1.5,2.1,22000.0
2002-03-12,2.1,3.3,2.05,3.0,139500.0
2002-03-13,3.0,3.9,3.05,3.05,18500.0
2002-03-14,3.05,3.2,3.05,3.15,5000.0
2002-03-15,3.15,3.15,3.15,3.15,8500.0
2002-03-18,3.15,3.05,3.0,3.0,51000.0
2002-03-19,3.0,3.0,3.0,3.0,2500.0
2002-03-20,3.0,3.15,2.95,2.95,26000.0
2002-03-21,2.95,3.0,2.95,2.95,4500.0
2002-03-22,2.95,3.0,2.95,3.0,4500.0
2002-03-26,3.0,3.0,3.0,3.0,8500.0
2002-03-27,3.0,3.0,2.95,3.0,12500.0
2002-03-28,3.0,2.9,2.9,2.9,1000.0
2002-03-29,2.9,3.1,3.1,3.1,2000.0
2002-04-01,3.1,4.25,3.5,3.6,33000.0
2002-04-02,3.6,4.1,3.8,3.8,3000.0
2002-04-03,3.8,3.75,3.55,3.75,4000.0
2002-04-04,3.75,3.7,3.1,3.1,19000.0
2002-04-05,3.1,3.65,3.1,3.45,17500.0
2002-04-08,3.45,3.55,3.35,3.35,15500.0
2002-04-09,3.35,3.4,3.4,3.4,1000.0
2002-04-10,3.4,3.55,3.15,3.15,46500.0
2002-04-11,3.15,3.1,3.1,3.1,1000.0
2002-04-12,3.1,3.25,3.2,3.2,9000.0
2002-04-15,3.2,3.3,3.2,3.3,6000.0
2002-04-16,3.3,3.4,3.2,3.35,51000.0
2002-04-17,3.35,3.5,3.25,3.3,36500.0
2002-04-18,3.3,3.25,3.2,3.2,2500.0
2002-04-19,3.2,3.25,3.2,3.25,2000.0
2002-04-23,3.25,3.0,3.0,3.0,7500.0
2002-04-25,3.0,3.0,3.0,3.0,5500.0
2002-04-29,2.5,2.5,2.5,2.5,500.0
2002-04-30,2.5,2.75,2.75,2.75,2000.0
2002-05-03,2.75,2.75,2.75,2.75,500.0
2002-05-07,2.75,2.75,2.75,2.75,1500.0
2002-05-09,2.75,2.75,2.75,2.75,12000.0
2002-05-10,2.75,2.7,2.5,2.7,500.0
2002-05-14,2.7,3.0,2.5,3.0,3000.0
2002-05-15,3.0,3.6,3.4,3.6,7500.0
2002-05-16,3.6,5.1,3.9,5.1,63000.0
2002-05-17,5.1,4.95,4.4,4.5,17000.0
2002-05-20,4.5,3.2,3.05,3.15,4000.0
2002-05-21,3.15,3.35,3.35,3.35,0.0
2002-05-22,3.35,3.3,3.3,3.3,500.0
2002-05-24,3.3,4.4,3.95,4.4,10000.0
2002-05-27,4.4,3.9,3.9,3.9,1000.0
2002-06-04,3.9,4.0,4.0,4.0,1000.0
2002-06-05,4.0,4.9,4.5,4.6,3000.0
2002-06-06,4.6,4.5,4.5,4.5,0.0
2002-06-07,4.5,4.25,4.25,4.25,0.0
2002-06-11,4.25,4.0,4.0,4.0,1000.0
2002-06-12,4.0,3.5,3.5,3.5,500.0
2002-06-13,3.5,3.6,3.6,3.6,0.0
2002-06-14,3.6,3.6,3.6,3.6,1000.0
2002-06-19,3.6,3.5,3.5,3.5,500.0
2002-06-20,3.5,4.0,3.75,4.0,2000.0
2002-06-21,4.0,4.0,3.9,3.95,1500.0
2002-06-24,3.95,4.0,3.95,4.0,3500.0
2002-06-25,4.0,3.85,3.85,3.85,3000.0
2002-06-26,3.85,4.25,3.85,4.25,2000.0
2002-06-27,4.25,4.3,4.1,4.3,4000.0
2002-06-28,4.3,4.15,4.1,4.1,5000.0
2002-07-01,4.1,4.1,4.1,4.1,9000.0
2002-07-02,4.1,4.05,3.95,3.95,8000.0
