Date,Open,High,Low,Close,Volume
2020-11-02,32.5,34.4,31.75,34.4,16760000.0
2020-11-03,35.1,35.54,33.51,33.93,19750000.0
2020-11-04,34.19,34.19,32.7,32.98,8797500.0
2020-11-05,33.01,34.84,32.86,33.81,12324000.0
2020-11-06,33.9,34.65,33.5,33.69,6247500.0
2020-11-09,33.78,34.04,33.1,33.3,3296500.0
2020-11-10,33.7,34.02,33.16,33.25,3400000.0
2020-11-11,33.45,33.45,32.75,32.9,1829500.0
2020-11-12,32.9,33.01,31.93,32.05,5861000.0
2020-11-13,32.01,32.24,31.6,31.77,1897000.0
2020-11-16,31.99,32.09,31.5,31.6,1020500.0
2020-11-17,31.76,32.23,31.61,31.66,1534500.0
2020-11-18,31.65,31.92,31.35,31.58,728500.0
2020-11-19,31.45,32.4,31.39,32.08,2429000.0
2020-11-20,32.19,32.69,31.7,31.87,3170000.0
2020-11-23,31.5,31.5,30.85,31.27,2114500.0
2020-11-24,31.4,32.35,31.11,31.42,3571500.0
2020-11-25,31.51,32.9,31.49,32.37,3087500.0
2020-11-26,32.38,33.2,32.2,33.02,4456000.0
2020-11-27,32.93,33.45,32.61,32.93,1917000.0
2020-11-30,33.01,33.4,32.69,33.08,2080500.0
2020-12-01,33.1,33.5,33.0,33.32,2006000.0
2020-12-02,33.38,33.88,33.0,33.25,2156500.0
2020-12-03,33.2,33.81,33.02,33.13,2262000.0
2020-12-04,33.3,35.2,33.2,34.71,17826000.0
2020-12-07,34.93,35.15,34.11,34.6,3927000.0
2020-12-08,34.5,34.75,34.19,34.47,1962000.0
2020-12-09,34.49,34.85,33.75,33.89,2239000.0
2020-12-10,33.6,34.68,33.6,34.23,3233000.0
2020-12-11,34.49,35.2,34.4,34.72,6345500.0
2020-12-14,35.1,37.32,34.89,36.92,18888500.0
2020-12-15,37.6,38.39,36.85,37.29,9739500.0
2020-12-16,37.55,37.95,36.0,36.29,4165000.0
2020-12-17,36.5,37.09,36.2,36.88,1630000.0
2020-12-18,36.71,37.55,36.4,36.62,2214000.0
2020-12-21,36.9,37.62,36.36,36.65,5100000.0
2020-12-22,37.2,39.39,37.2,38.04,15087000.0
2020-12-23,38.26,38.8,37.86,38.13,3090000.0
2020-12-24,38.31,38.85,37.43,37.58,3365000.0
2020-12-28,38.0,38.0,37.26,37.46,1362000.0
2020-12-29,37.7,37.74,36.55,36.72,1993000.0
2020-12-30,36.91,38.0,36.67,37.82,2483500.0
2020-12-31,37.98,39.75,37.9,39.41,7331000.0
2021-01-01,39.75,40.7,38.45,38.74,7849000.0
2021-01-04,39.0,39.1,36.25,36.61,6012000.0
2021-01-05,36.55,37.75,36.55,37.35,2276500.0
2021-01-06,37.7,37.74,36.92,37.01,1028500.0
2021-01-07,37.0,37.5,36.9,37.18,4123000.0
2021-01-08,37.39,38.0,37.3,37.6,3867000.0
2021-01-11,37.75,38.4,37.3,37.44,3124000.0
2021-01-12,37.52,37.9,37.45,37.52,1209000.0
2021-01-13,37.79,38.15,37.45,37.94,4241500.0
2021-01-14,38.35,38.79,37.72,37.92,3915500.0
2021-01-15,38.01,38.12,37.21,37.33,1732500.0
2021-01-18,37.49,37.49,36.75,36.84,1169000.0
2021-01-19,36.84,37.1,36.0,36.15,1915500.0
2021-01-20,36.2,36.3,35.85,36.17,790500.0
2021-01-21,36.21,36.75,36.0,36.56,1795000.0
2021-01-22,36.7,36.8,35.5,35.87,1984000.0
2021-01-25,36.12,37.25,35.9,36.82,2757500.0
2021-01-26,37.15,37.3,36.4,36.73,1730500.0
2021-01-27,36.99,37.65,36.99,37.15,2839500.0
2021-01-28,37.1,38.97,36.86,38.68,9526500.0
2021-01-29,39.8,39.87,38.82,38.98,5641000.0
2021-02-01,39.0,39.5,38.31,38.5,1915000.0
2021-02-02,38.6,38.75,38.0,38.59,1129500.0
2021-02-03,38.26,40.45,38.26,40.1,7002500.0
