Date,Open,High,Low,Close,Volume
2012-08-06,10.0,12.0,10.35,11.02,5233000.0
2012-08-07,11.02,11.44,11.01,11.27,465500.0
2012-08-08,11.27,11.95,11.25,11.74,485000.0
2012-08-09,11.74,12.05,11.57,11.63,385000.0
2012-08-10,11.63,11.65,11.45,11.5,79500.0
2012-08-13,11.5,11.9,11.32,11.36,147000.0
2012-08-15,11.36,11.53,11.0,11.26,173000.0
2012-08-16,11.26,11.3,10.65,10.71,103000.0
2012-08-23,10.71,10.99,10.65,10.8,43500.0
2012-08-24,10.8,10.9,10.55,10.7,39500.0
2012-08-27,10.7,10.78,10.52,10.66,71000.0
2012-08-28,10.66,10.75,10.61,10.68,13000.0
2012-08-29,10.68,10.75,10.59,10.73,27000.0
2012-08-30,10.73,10.98,10.45,10.56,33000.0
2012-08-31,10.56,10.69,10.45,10.45,22500.0
2012-09-03,10.45,10.75,10.2,10.2,206500.0
2012-09-04,10.2,10.65,10.3,10.6,98000.0
2012-09-05,10.6,11.15,10.65,10.88,575500.0
2012-09-06,10.88,11.1,10.8,10.82,96500.0
2012-09-07,10.82,11.28,10.7,11.03,477500.0
2012-09-10,11.03,11.0,10.75,11.0,76500.0
2012-09-11,11.0,11.0,10.8,10.99,44500.0
2012-09-12,10.99,10.94,10.75,10.84,5500.0
2012-09-13,10.84,10.8,10.75,10.75,18500.0
2012-09-14,10.75,10.89,10.75,10.8,85000.0
2012-09-17,10.8,10.8,10.75,10.75,117500.0
2012-09-18,10.75,10.93,10.75,10.85,81000.0
2012-09-19,10.85,10.8,10.75,10.75,32000.0
2012-09-20,10.75,10.95,10.75,10.87,124000.0
2012-09-24,10.87,10.85,10.75,10.85,132000.0
2012-09-25,10.85,10.8,10.75,10.8,21500.0
2012-09-26,10.8,10.9,10.8,10.9,10000.0
2012-09-27,10.9,10.95,10.75,10.75,51500.0
2012-09-28,10.75,11.75,10.85,11.01,1044000.0
2012-10-01,11.01,11.39,10.51,11.17,289500.0
2012-10-02,11.17,11.4,10.9,10.9,65500.0
2012-10-03,10.9,11.29,10.9,10.98,119000.0
2012-10-04,10.98,11.2,10.95,10.96,14000.0
2012-10-05,10.96,11.0,10.95,10.95,25000.0
2012-10-08,10.95,11.35,10.95,11.0,88500.0
2012-10-09,11.0,11.4,10.9,11.01,63000.0
2012-10-10,11.01,11.1,10.95,10.95,12000.0
2012-10-11,10.95,10.99,10.9,10.95,65500.0
2012-10-12,10.95,11.0,10.95,10.95,19500.0
2012-10-15,10.95,10.96,10.9,10.95,15500.0
2012-10-16,10.95,10.95,10.95,10.95,9500.0
2012-10-17,10.95,10.95,10.95,10.95,49500.0
2012-10-18,10.95,11.0,10.9,10.95,42500.0
2012-10-19,10.95,10.95,10.9,10.95,13000.0
2012-10-22,10.95,11.0,10.95,10.95,36500.0
2012-10-23,10.95,11.0,10.9,10.95,169000.0
2012-10-24,10.95,11.1,10.95,11.0,33000.0
2012-10-25,11.0,11.35,10.99,11.19,20000.0
2012-10-30,11.19,11.2,11.2,11.2,2000.0
2012-10-31,11.2,11.19,11.0,11.18,5500.0
2012-11-01,11.18,11.4,11.0,11.3,18500.0
2012-11-02,11.3,11.34,11.0,11.0,174000.0
2012-11-05,11.0,11.29,11.0,11.0,45000.0
2012-11-06,11.0,11.0,10.91,10.96,2500.0
2012-11-07,10.96,11.28,10.9,11.2,21500.0
2012-11-08,11.2,11.12,11.1,11.11,2000.0
2012-11-12,11.11,11.3,11.0,11.0,1509000.0
2012-11-13,11.0,11.35,11.2,11.25,87500.0
2012-11-14,11.25,11.25,10.7,11.08,26000.0
2012-11-15,11.08,11.0,10.95,11.0,15500.0
2012-11-16,11.0,11.1,10.9,11.1,1000.0
2012-11-19,11.1,11.0,10.9,10.92,20500.0
2012-11-20,10.92,11.5,10.91,11.35,171500.0
2012-11-21,11.35,11.32,11.15,11.15,3500.0
2012-11-22,11.15,11.4,11.21,11.36,14000.0
2012-11-23,11.36,11.4,11.0,11.07,20500.0
2012-11-26,11.07,11.02,11.0,11.0,11500.0
2012-11-27,11.0,11.25,10.95,11.12,360000.0
2012-11-28,11.12,11.38,10.95,11.0,14000.0
2012-11-29,11.0,11.0,10.8,11.0,219500.0
2012-11-30,11.0,11.0,10.81,11.0,503000.0
2012-12-03,11.0,11.25,10.8,10.83,879000.0
2012-12-04,10.83,11.0,10.99,11.0,27000.0
2012-12-05,11.0,11.0,10.8,10.83,16500.0
2012-12-06,10.83,11.0,10.75,11.0,135500.0
2012-12-07,11.0,11.49,11.0,11.04,514000.0
2012-12-10,11.04,11.0,10.92,10.92,25000.0
2012-12-11,10.92,11.17,10.75,10.75,13500.0
2012-12-12,10.75,11.1,10.51,10.73,19000.0
2012-12-13,10.73,10.8,10.65,10.8,6500.0
2012-12-14,10.8,10.75,10.6,10.75,4000.0
2012-12-17,10.75,10.74,10.6,10.74,8000.0
2012-12-18,10.74,10.55,10.4,10.4,30500.0
2012-12-19,10.4,10.72,10.45,10.51,12000.0
2012-12-20,10.51,11.0,10.4,10.74,56500.0
2012-12-21,10.74,10.9,10.6,10.75,21500.0
2012-12-24,10.75,10.85,10.7,10.7,2500.0
2012-12-26,10.7,10.6,10.46,10.5,15500.0
2012-12-27,10.5,10.7,10.11,10.49,189000.0
2012-12-28,10.49,10.85,10.02,10.62,254500.0
2012-12-31,10.62,10.9,10.2,10.65,160500.0
2013-01-01,10.65,10.89,10.41,10.56,15500.0
2013-01-02,10.56,10.5,10.01,10.27,23000.0
2013-01-03,10.27,10.3,10.25,10.25,50000.0
2013-01-04,10.25,10.94,10.5,10.55,24500.0
2013-01-07,10.55,10.35,9.61,9.92,47000.0
2013-01-08,9.92,10.4,10.05,10.1,21500.0
2013-01-09,10.1,10.11,10.0,10.0,44500.0
2013-01-11,10.0,10.2,10.0,10.0,8000.0
2013-01-14,10.0,10.0,9.85,10.0,8000.0
2013-01-15,10.0,9.71,9.0,9.04,47000.0
2013-01-16,9.04,9.6,9.04,9.19,52000.0
2013-01-17,9.19,9.5,9.1,9.12,112500.0
2013-01-18,9.12,9.42,9.11,9.28,51500.0
2013-01-21,9.28,10.28,9.5,10.1,133000.0
2013-01-22,10.1,10.5,10.0,10.08,18000.0
2013-01-23,10.08,10.06,10.0,10.01,4000.0
2013-01-24,10.01,10.25,10.0,10.05,12500.0
