Date,Open,High,Low,Close,Volume
2012-07-13,131.07,124.52,124.52,124.52,563.0
2012-07-16,124.52,118.3,118.3,118.3,372.0
2012-07-17,118.3,112.39,112.39,112.39,1375.0
2012-07-18,112.39,109.98,106.78,106.78,615734.0
2012-07-19,106.78,105.49,101.45,101.45,235294.0
2012-07-20,101.45,102.69,98.0,100.37,243214.0
2012-07-23,100.37,105.38,100.98,103.45,172100.0
2012-07-24,103.45,104.0,101.9,102.05,19200.0
2012-07-25,102.05,104.3,101.66,102.76,32700.0
2012-07-26,102.76,103.75,102.26,102.59,5400.0
2012-07-27,102.59,103.0,101.6,101.78,10500.0
2012-07-30,101.78,105.45,101.25,104.28,50900.0
2012-07-31,104.28,103.97,102.1,102.25,15400.0
2012-08-01,102.25,103.49,102.2,102.51,17900.0
2012-08-02,102.51,102.8,97.99,98.12,68600.0
2012-08-03,98.12,99.42,97.0,97.05,7700.0
2012-08-06,97.05,98.0,95.11,95.13,9900.0
2012-08-07,95.13,96.0,93.75,94.2,19600.0
2012-08-08,94.2,94.9,93.5,94.25,2100.0
2012-08-09,94.25,97.0,89.54,89.54,134700.0
2012-08-10,89.54,87.5,85.07,85.07,30600.0
2012-08-13,85.07,85.0,80.82,82.29,166600.0
2012-08-15,82.29,81.4,80.01,80.03,74400.0
2012-08-16,80.03,81.7,81.0,81.34,2200.0
2012-08-23,81.34,85.4,83.0,85.4,26500.0
2012-08-24,85.4,89.67,86.0,89.67,22300.0
2012-08-27,89.67,94.13,90.05,92.23,9100.0
2012-08-28,92.23,91.5,87.62,87.62,84900.0
2012-08-29,87.62,88.0,83.5,85.08,25600.0
2012-08-30,85.08,88.49,83.9,88.47,11400.0
2012-08-31,88.47,90.73,85.0,85.32,13900.0
2012-09-03,85.32,88.0,84.0,87.27,15000.0
2012-09-04,87.27,86.75,85.0,85.1,20400.0
2012-09-05,85.1,86.0,84.02,86.0,700.0
2012-09-06,86.0,84.08,83.0,83.47,10900.0
2012-09-07,83.47,84.0,82.1,83.0,4600.0
2012-09-10,83.0,83.0,81.0,82.46,23900.0
2012-09-11,82.46,82.0,80.61,81.25,12900.0
2012-09-12,81.25,83.69,81.51,83.02,4700.0
2012-09-13,83.02,82.85,81.0,81.19,9000.0
2012-09-14,81.19,82.0,79.5,79.74,38600.0
2012-09-17,79.74,80.01,78.1,78.35,9700.0
2012-09-18,78.35,80.2,77.01,80.06,14100.0
2012-09-19,80.06,80.95,79.5,79.92,7600.0
2012-09-20,79.92,80.99,78.0,78.0,15000.0
2012-09-24,78.0,79.01,77.76,78.0,32800.0
2012-09-25,78.0,81.9,78.99,81.9,184800.0
2012-09-26,81.9,85.99,84.5,85.99,142700.0
2012-09-27,85.99,89.99,86.01,87.34,234600.0
2012-09-28,87.34,90.0,87.0,89.72,54200.0
2012-10-01,89.72,89.49,86.51,87.0,9200.0
2012-10-02,87.0,90.0,87.5,88.56,27600.0
2012-10-03,88.56,88.49,87.56,88.0,1500.0
2012-10-04,88.0,89.48,87.0,89.48,15600.0
2012-10-05,89.48,90.0,87.29,87.48,21000.0
2012-10-08,87.48,87.33,84.51,85.07,24100.0
2012-10-09,85.07,86.9,82.01,84.28,37800.0
2012-10-10,84.28,85.0,83.0,83.31,14900.0
2012-10-11,83.31,85.85,83.0,83.9,49100.0
2012-10-12,83.9,84.0,81.02,81.19,10100.0
2012-10-15,81.19,84.4,82.0,83.89,4900.0
2012-10-16,83.89,84.0,80.06,80.78,12300.0
2012-10-17,80.78,82.94,81.0,81.14,3400.0
2012-10-18,81.14,85.19,82.0,85.17,68300.0
2012-10-19,85.17,86.35,85.1,85.9,6200.0
2012-10-22,85.9,85.9,84.0,84.07,16700.0
2012-10-23,84.07,84.5,82.51,83.64,32300.0
2012-10-24,83.64,87.82,83.0,84.45,195100.0
2012-10-25,84.45,83.25,80.23,80.98,97500.0
2012-10-30,80.98,82.23,81.2,81.59,6800.0
2012-10-31,81.59,83.0,81.26,81.67,22200.0
2012-11-01,81.67,83.85,81.15,81.29,14400.0
2012-11-02,81.29,82.5,82.0,82.0,10000.0
2012-11-05,82.0,82.35,81.55,81.75,13600.0
2012-11-06,81.75,82.48,81.2,81.32,7400.0
2012-11-07,81.32,82.0,81.7,81.8,3700.0
2012-11-08,81.8,82.18,81.55,81.6,4300.0
2012-11-12,81.6,82.9,81.71,82.9,18600.0
2012-11-13,82.9,82.5,81.5,82.0,7100.0
2012-11-14,82.0,83.0,82.0,82.15,7100.0
2012-11-15,82.15,82.25,81.2,81.54,3800.0
2012-11-16,81.54,82.48,81.8,82.02,17500.0
2012-11-19,82.02,82.5,81.5,82.11,2200.0
2012-11-20,82.11,82.92,81.81,82.11,300.0
2012-11-21,82.11,84.0,81.65,82.06,13300.0
2012-11-22,82.06,84.75,82.68,83.3,41700.0
2012-11-23,83.3,85.0,83.95,84.17,7400.0
2012-11-26,84.17,85.5,83.52,83.88,3900.0
2012-11-27,83.88,84.48,83.01,84.0,3400.0
2012-11-28,84.0,84.0,83.5,83.5,1500.0
2012-11-29,83.5,84.39,82.5,82.69,2700.0
2012-11-30,82.69,83.0,81.0,81.17,33400.0
2012-12-03,81.17,82.5,82.0,82.1,4000.0
2012-12-04,82.1,84.8,82.1,83.65,32300.0
2012-12-05,83.65,87.49,83.0,86.04,173800.0
2012-12-06,86.04,86.5,84.0,85.16,72700.0
2012-12-07,85.16,85.5,83.15,83.61,48000.0
2012-12-10,83.61,85.32,83.8,84.23,11600.0
2012-12-11,84.23,84.55,83.76,83.97,6100.0
2012-12-12,83.97,84.77,84.25,84.42,2400.0
2012-12-13,84.42,85.0,83.76,84.0,14000.0
2012-12-14,84.0,84.0,83.01,83.99,66700.0
2012-12-17,83.99,84.0,83.3,83.56,4500.0
2012-12-18,83.56,84.0,83.05,83.92,1500.0
2012-12-19,83.92,83.1,82.81,83.09,11600.0
2012-12-20,83.09,85.98,82.35,85.03,46800.0
2012-12-21,85.03,85.5,84.75,84.85,12200.0
2012-12-24,84.85,84.75,83.0,83.76,7300.0
2012-12-26,83.76,86.0,83.0,83.07,36300.0
2012-12-27,83.07,86.9,83.1,85.33,47700.0
2012-12-28,85.33,86.0,84.61,85.73,7400.0
2012-12-31,85.73,86.9,85.25,86.51,19100.0
2013-01-01,86.51,86.75,85.0,85.22,11000.0
2013-01-02,85.22,85.5,82.02,83.42,32000.0
2013-01-03,83.42,84.0,82.5,83.5,900.0
2013-01-04,83.5,85.97,83.3,84.01,35500.0
2013-01-07,84.01,84.0,83.0,83.96,7600.0
2013-01-08,83.96,85.0,84.75,85.0,15700.0
2013-01-09,85.0,85.74,82.57,84.96,6300.0
2013-01-10,84.96,84.5,84.3,84.3,6200.0
2013-01-11,84.3,85.0,84.1,84.25,14300.0
2013-01-14,84.25,84.75,84.25,84.59,2200.0
2013-01-15,84.59,85.05,82.0,82.0,33300.0
2013-01-16,82.0,83.69,81.51,83.69,1300.0
2013-01-17,83.69,84.0,79.51,79.6,87000.0
2013-01-18,79.6,81.49,80.0,81.0,8200.0
2013-01-21,81.0,84.0,80.9,82.06,27700.0
2013-01-22,82.06,83.0,81.51,82.95,8700.0
2013-01-23,82.95,83.2,82.6,83.2,1700.0
2013-01-24,83.2,86.0,82.6,84.76,50100.0
2013-01-28,84.76,85.25,84.0,84.15,15100.0
2013-01-29,84.15,84.15,84.04,84.14,1500.0
2013-01-30,84.14,84.0,83.15,83.5,12200.0
2013-01-31,83.5,84.0,83.25,83.36,8400.0
2013-02-01,83.36,83.25,83.1,83.13,700.0
2013-02-04,83.13,83.95,82.51,82.78,9000.0
2013-02-06,82.78,83.4,82.5,82.56,9500.0
2013-02-07,82.56,83.01,82.01,82.43,22600.0
2013-02-08,82.43,82.88,82.1,82.11,1400.0
2013-02-11,82.11,83.0,81.8,82.0,18300.0
2013-02-12,82.0,82.0,80.01,80.76,42800.0
2013-02-13,80.76,81.0,80.25,80.44,31600.0
2013-02-14,80.44,80.99,79.5,79.57,11900.0
2013-02-15,79.57,80.0,79.1,79.5,17400.0
2013-02-18,79.5,80.3,79.5,79.55,9200.0
2013-02-19,79.55,79.49,78.0,78.44,12800.0
2013-02-20,78.44,79.0,76.0,76.42,67900.0
2013-02-21,76.42,78.0,76.5,76.68,23900.0
2013-02-22,76.68,75.5,72.86,73.35,53400.0
2013-02-25,73.35,77.01,73.99,77.01,4400.0
2013-02-26,77.01,80.86,80.86,80.86,1600.0
2013-02-27,80.86,84.9,84.9,84.9,800.0
2013-02-28,84.9,89.14,89.14,89.14,800.0
2013-03-01,89.14,93.59,93.59,93.59,300.0
2013-03-04,93.59,98.26,98.26,98.26,500.0
2013-03-05,98.26,103.17,103.17,103.17,1800.0
2013-03-06,103.17,108.32,108.32,108.32,30900.0
2013-03-07,108.32,113.73,113.73,113.73,2900.0
2013-03-08,113.73,119.41,119.41,119.41,257800.0
2013-03-11,119.41,124.5,120.1,120.75,384700.0
2013-03-12,120.75,123.0,120.0,120.43,137600.0
2013-03-13,120.43,120.2,116.52,116.99,104300.0
2013-03-14,116.99,118.0,115.25,115.69,66400.0
2013-03-15,115.69,117.5,112.0,112.51,146700.0
2013-03-18,112.51,116.0,112.49,113.35,48600.0
2013-03-19,113.35,115.25,113.0,114.83,47100.0
2013-03-20,114.83,117.49,114.6,116.94,28700.0
2013-03-21,116.94,122.0,117.0,119.37,73400.0
2013-03-22,119.37,120.1,117.0,117.52,34000.0
2013-03-25,117.52,119.0,116.5,116.82,38900.0
2013-03-26,116.82,117.0,114.05,115.87,20100.0
2013-03-27,115.87,117.84,116.01,116.37,27700.0
2013-03-28,116.37,117.35,115.0,115.64,19600.0
2013-03-29,115.64,116.65,115.32,116.4,14100.0
2013-04-01,116.4,118.5,116.99,118.27,30900.0
2013-04-02,118.27,120.0,118.3,119.1,57000.0
2013-04-03,119.1,119.99,118.64,118.8,32200.0
2013-04-04,118.8,120.2,117.8,118.05,63400.0
2013-04-05,118.05,121.0,118.5,119.27,311200.0
2013-04-08,119.27,120.48,118.42,119.78,70700.0
2013-04-09,119.78,122.2,120.1,120.6,86700.0
2013-04-10,120.6,126.0,120.35,124.78,596000.0
2013-04-11,124.78,126.0,122.5,122.88,233200.0
2013-04-12,122.88,123.0,120.0,121.68,136000.0
2013-04-15,121.68,121.84,116.6,117.11,157600.0
2013-04-16,117.11,119.5,113.5,113.88,504300.0
2013-04-17,35.28,37.04,37.04,37.04,3400.0
2013-04-18,37.04,38.89,38.89,38.89,29000.0
2013-04-19,38.89,40.83,40.83,40.83,2600.0
2013-04-22,40.83,42.87,42.87,42.87,2100.0
2013-04-23,42.87,45.01,45.01,45.01,3500.0
2013-04-24,45.01,47.26,47.26,47.26,47200.0
2013-04-25,47.26,49.62,49.62,49.62,1700.0
2013-04-26,49.62,52.1,49.5,52.1,773600.0
2013-04-29,52.1,54.7,54.7,54.7,14000.0
2013-04-30,54.7,57.43,57.43,57.43,16900.0
2013-05-02,57.43,60.3,60.3,60.3,27500.0
2013-05-03,60.3,63.31,63.31,63.31,3000.0
2013-05-06,63.31,66.47,66.47,66.47,4700.0
2013-05-07,66.47,69.79,67.0,68.03,754700.0
2013-05-08,68.03,68.8,64.63,64.74,389900.0
2013-05-09,64.74,64.0,61.75,62.67,260300.0
2013-05-10,62.67,64.5,62.0,63.67,108200.0
2013-05-13,63.67,65.87,63.52,64.15,83400.0
2013-05-14,64.15,64.1,63.0,63.03,134900.0
2013-05-15,63.03,63.1,61.9,61.99,85700.0
2013-05-16,61.99,63.1,62.0,62.13,42700.0
2013-05-17,62.13,63.88,61.7,63.07,79100.0
2013-05-20,63.07,64.0,62.25,63.59,91200.0
2013-05-21,63.59,64.5,63.02,63.99,81600.0
2013-05-22,63.99,65.75,64.11,65.36,136400.0
2013-05-23,65.36,65.5,64.5,64.87,105900.0
2013-05-24,64.87,65.2,64.6,64.85,34700.0
2013-05-27,64.85,66.98,64.16,66.4,239800.0
2013-05-28,66.4,69.72,66.98,68.99,957500.0
2013-05-29,68.99,69.69,67.6,67.96,221000.0
2013-05-30,67.96,68.89,67.6,67.99,99300.0
2013-05-31,67.99,68.49,67.6,68.02,72800.0
2013-06-03,68.02,68.9,68.0,68.63,78900.0
2013-06-04,68.63,68.8,68.23,68.57,63600.0
2013-06-05,68.57,68.66,67.76,67.88,74700.0
2013-06-06,67.88,68.3,67.51,67.65,50400.0
2013-06-07,67.65,69.19,67.11,68.03,41600.0
2013-06-10,68.03,68.0,67.29,67.48,49100.0
2013-06-11,67.48,68.0,67.4,67.62,12800.0
2013-06-12,67.62,68.24,67.46,67.69,55300.0
2013-06-13,67.69,68.48,66.35,66.43,205800.0
2013-06-14,66.43,67.02,65.15,65.29,87900.0
2013-06-17,65.29,66.0,64.27,64.32,18800.0
2013-06-18,64.32,64.7,63.2,63.27,46700.0
2013-06-19,63.27,64.5,63.5,64.33,14000.0
2013-06-20,64.33,65.48,63.42,64.27,13200.0
2013-06-21,64.27,63.8,62.16,62.47,47400.0
2013-06-24,62.47,63.01,60.42,60.68,53700.0
2013-06-25,60.68,62.95,59.71,59.86,30900.0
2013-06-26,59.86,60.75,59.5,59.82,53300.0
2013-06-27,59.82,61.0,59.9,60.69,20600.0
2013-06-28,60.69,61.0,60.08,60.13,14400.0
2013-07-01,60.13,62.0,61.07,61.32,13000.0
2013-07-02,61.32,62.25,60.81,61.17,79000.0
2013-07-03,61.17,61.78,61.2,61.5,5500.0
2013-07-04,61.5,64.57,61.5,64.56,57500.0
2013-07-05,64.56,67.78,65.5,67.74,157000.0
2013-07-08,67.74,70.0,67.26,67.91,102000.0
2013-07-09,67.91,68.0,67.65,67.83,78000.0
2013-07-10,67.83,68.67,67.18,67.96,63500.0
2013-07-11,67.96,68.0,65.6,66.77,41000.0
2013-07-12,66.77,67.13,66.16,66.94,7500.0
2013-07-15,66.94,67.0,66.05,67.0,14000.0
2013-07-16,67.0,66.49,65.89,66.03,27500.0
2013-07-17,66.03,66.0,65.11,65.2,39500.0
2013-07-18,65.2,66.0,65.08,65.99,7000.0
2013-07-19,65.99,66.8,65.7,66.09,21500.0
2013-07-22,66.09,67.0,65.8,66.0,38000.0
2013-07-23,66.0,66.49,65.85,65.85,12000.0
2013-07-24,65.85,66.1,65.81,65.91,39000.0
2013-07-25,65.91,66.49,65.17,65.97,45000.0
2013-07-26,65.97,66.74,65.8,65.84,37500.0
2013-07-29,65.84,66.55,65.87,66.03,59000.0
2013-07-30,66.03,66.98,65.8,65.8,51000.0
2013-07-31,65.8,69.09,65.6,67.58,145500.0
2013-08-01,67.58,68.74,66.5,66.72,18000.0
2013-08-05,66.72,67.8,65.11,66.75,76500.0
2013-08-06,66.75,67.4,66.45,66.45,20000.0
2013-08-07,66.45,67.0,65.5,66.97,11500.0
2013-08-12,66.97,70.31,66.5,70.31,234500.0
2013-08-13,70.31,73.82,72.51,73.82,181500.0
2013-08-15,73.82,77.51,76.6,77.51,137500.0
2013-08-16,77.51,81.38,78.5,81.38,792500.0
2013-08-19,81.38,85.44,81.0,83.37,889500.0
2013-08-20,83.37,83.0,79.21,79.31,280000.0
2013-08-21,79.31,82.5,78.55,80.92,353500.0
2013-08-22,80.92,84.96,81.26,84.96,530500.0
2013-08-23,84.96,89.2,85.5,86.43,1081000.0
2013-08-26,86.43,88.1,84.5,85.08,331500.0
2013-08-27,85.08,84.24,80.83,80.88,219000.0
2013-08-28,80.88,82.5,76.84,77.78,305500.0
2013-08-29,77.78,80.5,76.1,76.87,45500.0
2013-08-30,76.87,76.25,74.5,74.92,117500.0
2013-09-02,74.92,74.0,71.21,71.77,70500.0
2013-09-03,71.77,75.34,71.5,73.8,70500.0
2013-09-04,73.8,76.5,73.51,76.12,38000.0
2013-09-05,76.12,78.0,76.0,77.82,56000.0
2013-09-06,77.82,79.8,76.8,78.45,30000.0
2013-09-09,78.45,78.75,77.7,77.7,45500.0
2013-09-10,77.7,79.0,77.0,77.0,44500.0
2013-09-11,77.0,80.85,75.08,80.85,363500.0
2013-09-12,80.85,84.89,82.85,84.89,419000.0
2013-09-13,84.89,89.13,85.92,86.23,468500.0
2013-09-16,86.23,90.54,86.0,87.56,381500.0
2013-09-17,87.56,89.0,86.5,87.11,63500.0
2013-09-18,87.11,87.95,83.5,84.02,126500.0
2013-09-19,84.02,88.22,85.0,86.27,302000.0
2013-09-20,86.27,87.0,84.0,84.21,87500.0
2013-09-23,84.21,85.6,83.01,83.93,43500.0
2013-09-24,83.93,83.5,82.01,83.0,33000.0
2013-09-25,83.0,84.4,83.0,84.03,25000.0
2013-09-26,84.03,84.25,81.5,82.6,25500.0
2013-09-27,82.6,83.0,80.91,80.99,8000.0
2013-09-30,80.99,80.02,77.0,78.99,29000.0
2013-10-01,78.99,80.95,78.52,80.0,35000.0
2013-10-02,80.0,81.5,79.76,81.01,30500.0
2013-10-03,81.01,81.0,80.05,80.14,5500.0
2013-10-04,80.14,82.0,79.9,79.97,46500.0
2013-10-07,79.97,80.45,79.05,79.3,11500.0
2013-10-08,79.3,80.23,79.7,80.05,6000.0
