Date,Open,High,Low,Close,Volume
2001-01-02,2.7,2.65,2.65,2.65,2000.0
2001-01-03,2.65,2.75,2.7,2.7,2500.0
2001-01-04,2.7,2.7,2.7,2.7,3500.0
2001-01-05,2.7,2.65,2.65,2.65,2000.0
2001-01-10,2.65,2.55,2.5,2.55,4500.0
2001-01-17,2.55,2.5,2.5,2.5,500.0
2001-02-20,2.5,2.75,2.5,2.5,4000.0
2001-02-27,2.5,2.55,2.5,2.5,1500.0
2001-03-15,2.5,2.3,2.3,2.3,2000.0
2001-03-21,2.3,2.3,2.25,2.25,1000.0
2001-03-22,2.25,2.65,2.65,2.65,500.0
2001-04-11,2.65,2.2,2.0,2.2,9000.0
2001-04-13,2.2,2.1,2.1,2.1,1000.0
2001-04-20,2.1,2.55,2.45,2.55,5000.0
2001-04-26,2.55,2.25,2.25,2.25,500.0
2001-05-11,2.25,2.25,2.25,2.25,0.0
2001-05-14,2.25,2.25,2.25,2.25,500.0
2001-05-16,2.25,2.25,2.25,2.25,500.0
2001-05-17,2.25,2.25,2.25,2.25,1500.0
2001-05-18,2.25,2.1,2.1,2.1,1000.0
2001-05-23,2.1,2.25,2.2,2.25,2000.0
2001-05-24,2.25,2.5,2.25,2.25,7500.0
2001-05-25,2.25,2.25,2.25,2.25,5000.0
2001-05-28,2.25,2.1,2.1,2.1,1500.0
2001-05-31,2.1,2.15,2.15,2.15,500.0
2001-06-01,2.15,2.15,2.15,2.15,1500.0
2001-06-06,2.15,2.15,2.15,2.15,5000.0
2001-06-07,2.15,2.15,2.15,2.15,2500.0
2001-06-08,2.15,2.0,2.0,2.0,500.0
2001-06-14,2.0,2.25,2.0,2.25,3500.0
2001-06-21,2.25,2.25,2.25,2.25,0.0
2001-06-26,2.25,2.2,2.2,2.2,2000.0
2001-07-03,2.2,2.05,2.05,2.05,1000.0
2001-07-04,2.05,2.15,2.15,2.15,500.0
2001-08-20,2.15,2.25,2.25,2.25,500.0
2001-08-21,2.25,2.2,2.2,2.2,5000.0
2001-08-23,2.2,2.2,2.2,2.2,1000.0
2001-08-24,2.2,2.2,2.2,2.2,2000.0
2001-08-27,2.2,2.65,2.55,2.55,6500.0
2001-08-31,2.55,2.35,2.35,2.35,1000.0
2001-09-06,2.35,2.55,2.55,2.55,500.0
2001-09-07,2.55,2.55,2.55,2.55,500.0
2001-09-10,2.55,2.0,2.0,2.0,2500.0
2001-09-26,2.0,2.0,2.0,2.0,1000.0
2001-10-17,2.0,2.1,2.1,2.1,2000.0
2001-10-19,2.1,2.25,2.25,2.25,1000.0
2001-10-22,2.25,2.65,2.65,2.65,500.0
2001-12-08,2.65,2.65,2.0,2.0,2500.0
2001-12-15,2.0,2.0,2.0,2.0,1000.0
