Date,Open,High,Low,Close,Volume
2007-01-08,10.0,11.0,11.0,11.0,0.0
2007-01-09,11.0,12.0,12.0,12.0,2000.0
2007-01-10,12.0,13.0,13.0,13.0,4000.0
2007-01-24,13.0,12.0,12.0,12.0,1000.0
2007-01-25,12.0,11.0,11.0,11.0,1500.0
2007-02-02,11.0,12.0,10.0,12.0,1000.0
2007-02-06,12.0,13.0,12.0,13.0,1500.0
2007-02-13,13.0,13.95,13.75,13.95,1000.0
2007-02-26,13.95,13.9,13.9,13.9,0.0
2007-02-28,13.9,13.45,13.45,13.45,0.0
2007-03-01,13.45,13.0,13.0,13.0,0.0
2007-03-06,13.0,12.9,12.9,12.9,0.0
2007-03-08,12.9,12.0,12.0,12.0,0.0
2007-03-12,12.0,11.0,11.0,11.0,500.0
2007-03-13,11.0,11.0,11.0,11.0,10000.0
2007-04-13,11.0,12.0,12.0,12.0,500.0
2007-04-17,12.0,11.1,11.1,11.1,500.0
2007-04-19,11.1,11.5,11.5,11.5,185000.0
2007-07-04,11.5,10.5,10.5,10.5,1000.0
2007-07-05,10.5,10.75,10.75,10.75,0.0
2007-07-11,10.75,11.05,11.05,11.05,0.0
2007-07-31,11.05,11.2,11.2,11.2,0.0
2007-08-02,11.2,11.0,11.0,11.0,3000.0
2007-09-12,11.0,10.9,10.9,10.9,0.0
2007-09-24,10.9,10.8,10.8,10.8,0.0
2007-09-28,10.8,10.9,10.9,10.9,0.0
2007-10-05,10.9,11.0,11.0,11.0,500.0
2007-10-09,11.0,11.2,11.2,11.2,0.0
2007-10-17,11.2,11.5,11.5,11.5,0.0
2007-10-18,11.5,11.6,11.6,11.6,0.0
2007-10-22,11.6,11.75,11.75,11.75,0.0
2007-10-23,11.75,11.9,11.9,11.9,0.0
2007-10-24,11.9,11.95,11.95,11.95,0.0
2007-10-25,10.95,11.0,11.0,11.0,0.0
2007-10-29,11.0,11.25,11.25,11.25,0.0
2007-10-30,11.25,12.25,12.25,12.25,0.0
2007-10-31,12.25,13.25,13.25,13.25,0.0
2007-11-01,13.25,13.55,13.55,13.55,0.0
2007-11-07,13.55,14.0,14.0,14.0,0.0
2007-11-12,14.0,14.1,14.1,14.1,0.0
2007-11-13,14.1,14.25,14.25,14.25,0.0
2007-11-14,14.25,15.05,15.0,15.05,500.0
2007-11-20,15.05,15.5,15.5,15.5,0.0
2007-11-21,15.5,16.0,16.0,16.0,0.0
2007-12-03,16.0,16.5,16.5,16.5,0.0
2007-12-10,16.5,17.0,17.0,17.0,0.0
2008-01-29,17.0,17.1,17.1,17.1,5000.0
2008-02-04,17.1,18.1,18.1,18.1,1000.0
2008-02-08,18.1,18.1,18.1,18.1,5000.0
2008-02-14,18.1,19.1,19.1,19.1,2000.0
2008-02-15,19.1,20.1,18.25,20.1,1500.0
2008-02-22,20.1,20.25,20.25,20.25,1000.0
2008-02-29,20.25,19.3,19.25,19.25,2000.0
2008-03-04,19.25,19.25,19.25,19.25,4000.0
2008-03-05,19.25,19.9,19.7,19.9,4000.0
2008-03-06,19.9,20.25,20.25,20.25,0.0
2008-03-10,20.25,20.5,20.5,20.5,1000.0
2008-03-11,20.5,21.5,21.5,21.5,1000.0
2008-03-12,21.5,22.5,22.5,22.5,1000.0
2008-03-14,22.5,23.6,22.8,23.6,1500.0
2008-03-31,23.6,22.45,22.45,22.45,500.0
2008-04-02,22.45,23.25,23.25,23.25,1000.0
2008-04-03,23.25,24.4,24.4,24.4,1000.0
2008-04-29,24.4,24.0,24.0,24.0,3500.0
2008-04-30,24.0,25.2,25.2,25.2,1000.0
2008-05-06,25.2,25.5,25.5,25.5,2500.0
2008-05-07,25.5,25.5,25.5,25.5,500.0
2008-05-08,25.5,26.5,25.25,26.5,1500.0
2008-05-15,26.5,27.0,27.0,27.0,500.0
2008-05-16,27.0,28.35,28.0,28.35,1500.0
2008-05-19,28.35,28.0,28.0,28.0,1500.0
2008-05-20,28.0,29.25,29.25,29.25,1500.0
2008-05-28,29.25,30.71,27.79,30.71,1500.0
2008-05-30,30.71,29.18,29.18,29.18,500.0
2008-06-05,29.18,30.6,30.6,30.6,500.0
2008-06-06,30.6,32.12,32.12,32.12,500.0
2008-06-11,32.12,33.0,33.0,33.0,500.0
2008-06-12,33.0,34.64,34.64,34.64,500.0
2008-06-13,34.64,36.37,36.0,36.0,1000.0
2008-12-17,23.5,22.33,22.33,22.33,500.0
2009-03-09,22.33,21.22,21.22,21.22,0.0
2009-03-11,21.22,20.16,20.16,20.16,0.0
2009-03-12,20.16,19.16,19.16,19.16,0.0
2009-03-13,19.16,18.16,18.16,18.16,0.0
2009-03-16,18.16,17.16,17.16,17.16,0.0
2009-03-17,17.16,16.16,16.16,16.16,0.0
2009-03-18,16.16,15.16,15.16,15.16,0.0
