Date,Open,High,Low,Close,Volume
2001-01-03,7.0,8.0,7.65,8.0,3500.0
2001-01-09,8.0,8.0,8.0,8.0,500.0
2001-01-24,8.0,8.0,8.0,8.0,1000.0
2001-01-31,8.0,8.0,8.0,8.0,1500.0
2001-02-13,8.0,8.9,8.9,8.9,1000.0
2001-02-15,8.9,8.5,8.45,8.5,3000.0
2001-03-27,8.5,6.0,6.0,6.0,1000.0
2001-04-09,6.0,6.0,6.0,6.0,2000.0
2001-04-10,6.0,7.0,7.0,7.0,1000.0
2001-04-16,7.0,5.4,5.0,5.0,2500.0
2001-04-17,5.0,5.35,5.15,5.35,2500.0
2001-04-20,5.35,5.3,5.3,5.3,500.0
2001-04-24,5.3,5.9,5.65,5.9,2000.0
2001-04-25,5.9,6.0,6.0,6.0,500.0
2001-04-26,6.0,6.3,6.25,6.3,3000.0
2001-04-27,6.3,7.0,6.75,7.0,2500.0
2001-04-30,7.0,7.2,7.0,7.2,1000.0
2001-05-02,7.2,7.9,7.9,7.9,2000.0
2001-05-08,7.9,8.05,8.0,8.0,1000.0
2001-05-10,8.0,8.0,8.0,8.0,0.0
2001-05-22,8.0,8.0,8.0,8.0,3500.0
2001-05-23,8.0,8.5,8.5,8.5,500.0
2001-05-24,8.5,8.5,8.0,8.0,2000.0
2001-05-25,8.0,8.35,7.9,7.9,3000.0
2001-06-07,7.9,7.5,7.25,7.5,2000.0
2001-06-12,7.5,7.8,7.05,7.8,2500.0
2001-06-15,7.8,8.0,7.95,7.95,2000.0
2001-06-21,7.95,7.75,7.5,7.5,2000.0
2001-06-27,7.5,7.6,7.6,7.6,1000.0
2001-06-29,7.6,7.5,7.5,7.5,1000.0
2001-07-04,7.5,7.75,7.6,7.75,1500.0
2001-07-05,7.75,8.0,7.95,8.0,2500.0
2001-07-10,8.0,8.0,7.9,8.0,9000.0
2001-07-12,8.0,8.0,8.0,8.0,1000.0
2001-07-27,8.0,8.0,7.9,8.0,2500.0
2001-08-10,8.0,7.5,7.5,7.5,500.0
2001-08-21,7.5,8.0,8.0,8.0,1500.0
2001-08-24,8.0,8.0,8.0,8.0,500.0
2001-08-27,8.0,8.0,8.0,8.0,1500.0
2001-08-30,8.0,8.0,8.0,8.0,1000.0
2001-09-04,8.0,8.0,8.0,8.0,500.0
2001-09-14,8.0,7.0,7.0,7.0,1000.0
2001-09-26,7.0,7.0,7.0,7.0,500.0
2001-11-26,7.0,7.0,7.0,7.0,500.0
2002-01-16,7.0,5.5,5.5,5.5,500.0
2002-01-21,5.5,6.45,6.45,6.45,500.0
2002-01-31,6.45,6.9,6.9,6.9,1000.0
2002-02-19,6.9,7.0,6.5,7.0,2500.0
2002-02-21,7.0,8.5,7.95,8.5,1500.0
2002-03-22,8.5,8.2,8.2,8.2,0.0
2002-03-26,8.2,8.0,8.0,8.0,0.0
2002-03-29,8.0,7.5,7.5,7.5,0.0
2002-04-03,7.5,8.0,8.0,8.0,1000.0
2002-04-04,8.0,7.5,7.5,7.5,500.0
2002-04-08,7.5,7.0,7.0,7.0,1000.0
2002-04-09,7.0,7.0,7.0,7.0,2500.0
2002-04-12,7.0,7.0,7.0,7.0,1500.0
2002-04-15,7.0,7.4,7.4,7.4,500.0
2002-04-16,7.4,7.95,7.85,7.85,4000.0
2002-04-17,7.85,7.9,7.85,7.7,2500.0
2002-04-18,7.7,7.5,7.5,7.5,500.0
2002-04-19,7.5,7.15,7.15,7.15,1000.0
2002-04-22,7.15,7.25,7.25,7.25,500.0
2002-04-23,7.25,7.25,7.25,7.25,1000.0
2002-04-24,7.25,7.3,7.3,7.3,1000.0
2002-04-26,7.3,7.0,6.7,6.7,1500.0
2002-04-29,6.7,6.75,6.75,6.75,0.0
2002-04-30,6.75,7.0,7.0,7.0,500.0
2002-05-03,7.0,6.5,6.5,6.5,1000.0
2002-05-06,6.5,6.55,6.55,6.55,0.0
2002-05-31,6.55,6.65,6.65,6.65,3000.0
2002-06-03,6.65,6.5,6.5,6.5,500.0
2002-06-05,6.5,6.3,6.3,6.3,1000.0
2002-06-06,6.3,6.2,6.2,6.2,500.0
2002-06-07,6.2,6.15,6.15,6.15,0.0
2002-06-10,6.15,6.1,6.1,6.1,500.0
2002-06-11,6.1,6.2,6.2,6.2,500.0
2002-06-12,6.2,6.0,6.0,6.0,1500.0
2002-06-13,6.0,6.5,6.1,6.1,1000.0
2002-06-18,6.1,5.95,5.95,5.95,1500.0
2002-06-28,5.95,5.55,5.55,5.55,0.0
2002-07-04,5.55,6.0,5.1,6.0,2500.0
2002-07-05,6.0,6.0,6.0,6.0,500.0
2002-07-09,6.0,5.8,5.75,5.75,1500.0
2002-07-10,5.75,6.0,5.8,6.0,2000.0
2002-07-11,6.0,6.25,6.25,6.25,500.0
2002-07-17,6.25,5.75,5.75,5.75,1000.0
2002-07-22,5.75,5.45,5.25,5.45,1500.0
2002-07-23,5.45,5.55,5.55,5.55,0.0
2002-07-26,5.55,5.25,5.25,5.25,500.0
2002-07-30,5.25,5.5,5.5,5.5,500.0
2002-07-31,5.5,5.8,5.8,5.8,500.0
2002-08-08,5.8,5.9,5.9,5.9,500.0
2002-08-21,5.9,5.8,5.8,5.8,500.0
2002-08-28,5.8,5.9,5.9,5.9,500.0
2002-08-29,5.9,5.9,5.9,5.9,500.0
2002-08-30,5.9,5.9,5.9,5.9,500.0
2002-09-05,5.9,5.7,5.7,5.7,0.0
2002-09-16,5.7,5.25,5.25,5.25,500.0
2002-10-01,5.25,5.75,5.75,5.75,500.0
2002-10-18,5.75,5.6,5.5,5.5,1500.0
2002-10-21,5.5,5.5,5.5,5.5,500.0
2002-10-24,5.5,5.35,5.3,5.3,1500.0
2002-11-18,5.3,5.35,5.35,5.35,500.0
2002-12-13,5.35,6.0,5.95,5.95,500.0
2003-01-02,5.95,5.95,5.0,5.95,2000.0
2003-01-07,5.95,5.95,5.95,5.95,1000.0
2003-01-10,5.95,5.6,5.6,5.6,500.0
2003-01-13,5.6,5.6,5.6,5.6,5000.0
2003-01-16,5.6,6.5,6.5,6.5,500.0
2003-01-17,6.5,6.95,6.95,6.95,500.0
2003-01-20,6.95,6.3,6.3,6.3,500.0
2003-01-21,6.3,6.35,6.35,6.35,0.0
2003-01-29,6.35,6.45,5.9,6.45,3500.0
2003-01-31,6.45,5.6,5.6,5.6,500.0
2003-02-10,5.6,5.5,5.5,5.5,500.0
2003-02-17,5.5,5.55,5.55,5.55,0.0
2003-02-24,5.55,5.65,5.65,5.65,0.0
2003-02-26,5.65,5.5,5.5,5.5,500.0
2003-03-03,5.5,5.7,5.7,5.7,0.0
2003-03-05,5.7,6.0,5.7,6.0,3000.0
2003-03-07,6.0,6.05,6.05,6.05,1000.0
2003-03-10,6.05,5.7,5.7,5.7,1000.0
2003-03-11,5.7,5.95,5.8,5.9,2500.0
2003-03-12,5.9,6.0,5.9,5.9,1000.0
2003-03-17,5.9,5.95,5.1,5.95,3000.0
2003-03-28,5.45,5.6,5.6,5.6,0.0
2003-04-02,5.6,5.85,5.85,5.85,0.0
2003-04-07,5.85,5.9,5.9,5.9,0.0
2003-04-08,5.9,6.05,6.05,6.05,0.0
2003-04-09,6.05,6.5,6.5,6.5,500.0
2003-04-11,6.5,6.5,6.5,6.5,500.0
2003-04-15,6.5,6.25,5.6,6.25,20000.0
2003-04-16,6.25,6.3,6.3,6.3,0.0
2003-04-17,6.3,6.9,6.9,6.9,1000.0
2003-04-24,6.9,6.5,6.5,6.5,1000.0
2003-04-29,6.5,6.6,6.6,6.6,0.0
2003-05-07,6.6,6.6,6.6,6.6,1000.0
2003-05-08,6.6,7.0,7.0,7.0,1000.0
2003-05-09,7.0,7.0,7.0,7.0,2000.0
2003-05-12,7.0,6.5,6.5,6.5,5000.0
2003-05-13,6.5,6.65,6.65,6.65,0.0
2003-05-14,6.65,7.0,7.0,7.0,3500.0
2003-05-16,7.0,7.25,7.25,7.25,1500.0
2003-05-21,7.25,7.0,6.5,7.0,7000.0
2003-05-22,7.0,7.0,7.0,7.0,500.0
2003-05-23,7.0,8.5,8.5,8.5,500.0
2003-05-26,8.5,8.65,8.5,8.65,4000.0
2003-05-28,8.65,8.05,8.05,8.05,1000.0
2003-05-30,8.05,8.25,8.0,8.15,6000.0
2003-06-03,8.15,8.1,8.1,8.1,1000.0
2003-06-05,8.1,8.0,8.0,8.0,5000.0
2003-06-06,8.0,8.1,8.1,8.1,5000.0
2003-06-10,8.1,9.25,8.4,9.25,6000.0
