Date,Open,High,Low,Close,Volume
2001-06-25,83.5,83.05,83.0,83.0,2000.0
2001-06-26,83.0,83.5,83.0,83.25,87000.0
2001-06-27,83.25,83.05,83.0,83.0,1000.0
2001-06-28,83.0,83.0,83.0,83.0,3000.0
2001-06-29,83.0,83.25,83.0,83.0,88000.0
2001-07-03,83.0,83.0,83.0,83.0,8000.0
2001-07-04,83.0,83.25,83.0,83.25,6000.0
2001-07-05,83.25,83.25,83.0,83.0,1000.0
2001-07-10,83.0,83.0,83.0,83.0,4000.0
2001-07-11,83.0,83.0,83.0,83.0,500.0
2001-07-13,83.0,80.0,80.0,80.0,500.0
2001-07-19,80.0,82.0,82.0,82.0,1500.0
2001-07-20,82.0,83.0,82.0,83.0,1500.0
2001-07-25,83.0,83.0,83.0,83.0,1500.0
2001-07-30,83.0,83.0,81.0,81.0,1500.0
2001-07-31,81.0,81.75,81.75,81.75,1000.0
2001-08-02,81.75,81.0,81.0,81.0,500.0
2001-08-07,81.0,80.0,80.0,80.0,500.0
2001-08-08,80.0,80.0,80.0,80.0,1000.0
2001-08-09,80.0,80.0,80.0,80.0,500.0
2001-08-10,80.0,80.0,80.0,80.0,1000.0
2001-09-04,80.0,80.0,80.0,80.0,500.0
2001-09-12,80.0,80.0,80.0,80.0,500.0
2001-09-14,80.0,80.0,80.0,80.0,5000.0
2001-09-24,75.0,75.0,75.0,75.0,0.0
2001-10-25,75.0,75.0,75.0,75.0,1000.0
2001-10-26,75.0,75.0,75.0,75.0,1000.0
2001-12-01,75.0,84.0,84.0,84.0,1000.0
2002-03-06,84.0,90.0,86.0,90.0,2000.0
2002-03-22,90.0,91.0,91.0,91.0,0.0
2002-04-01,91.0,92.0,92.0,92.0,0.0
2002-04-02,92.0,93.0,93.0,93.0,0.0
2002-04-08,93.0,94.0,94.0,94.0,0.0
2002-04-11,94.0,95.0,95.0,95.0,0.0
2002-04-17,95.0,100.0,100.0,100.0,0.0
2002-05-03,100.0,101.0,101.0,101.0,0.0
2002-07-09,101.0,101.0,101.0,101.0,5000.0
2002-07-29,101.0,102.0,102.0,102.0,0.0
