Date,Open,High,Low,Close,Volume
2007-01-31,10.0,132.0,119.0,122.4,860600.0
2007-02-01,122.4,123.95,117.15,117.6,334800.0
2007-02-02,117.6,123.45,115.0,123.45,650200.0
2007-02-06,123.45,129.6,126.1,128.6,349600.0
2007-02-07,128.6,130.9,126.0,126.75,125300.0
2007-02-08,126.75,128.0,125.0,126.1,98900.0
2007-02-09,126.1,130.9,125.3,130.85,266900.0
2007-02-12,130.85,131.75,128.1,128.1,333300.0
2007-02-13,128.1,129.0,126.5,128.4,90600.0
2007-02-14,128.4,129.7,122.25,124.0,193800.0
2007-02-15,124.0,125.85,122.1,123.25,44300.0
2007-02-16,123.25,124.0,120.0,123.9,65700.0
2007-02-19,123.9,124.9,121.2,124.05,138600.0
2007-02-20,124.05,124.8,122.5,122.5,38300.0
2007-02-21,122.5,123.45,120.0,121.85,31200.0
2007-02-22,121.85,122.85,120.55,122.3,83000.0
2007-02-23,122.3,122.7,121.15,122.0,47100.0
2007-02-26,122.0,121.8,120.5,120.7,49200.0
2007-02-27,120.7,121.8,118.7,119.7,41100.0
2007-02-28,119.7,118.5,116.0,118.0,82700.0
2007-03-01,118.0,118.4,115.0,116.4,113300.0
2007-03-02,116.4,117.35,114.0,114.0,41300.0
2007-03-05,114.0,112.95,108.3,108.35,94400.0
2007-03-06,108.35,112.0,108.5,111.7,88400.0
2007-03-07,111.7,115.05,111.25,115.0,65800.0
2007-03-08,115.0,117.85,114.5,117.85,79200.0
2007-03-09,117.85,120.0,115.1,118.0,108000.0
2007-03-12,118.0,121.2,116.0,120.1,160300.0
2007-03-13,120.1,124.75,120.0,121.4,302500.0
2007-03-14,121.4,122.9,118.1,118.1,65300.0
2007-03-15,118.1,118.5,116.4,117.5,21500.0
2007-03-16,117.5,121.0,116.2,118.9,91300.0
2007-03-19,118.9,120.0,113.0,115.0,55400.0
2007-03-20,115.0,117.9,114.0,117.9,65100.0
2007-03-21,117.9,118.45,115.25,115.35,48900.0
2007-03-22,115.35,115.9,114.9,115.0,39500.0
2007-03-26,115.0,116.4,113.0,113.4,43300.0
2007-03-27,113.4,114.1,112.7,112.95,18300.0
2007-03-28,112.95,114.0,113.0,113.3,21700.0
2007-03-29,113.3,113.9,111.05,111.85,24100.0
2007-03-30,111.85,113.5,111.5,113.5,33500.0
2007-04-02,113.5,113.2,111.75,112.75,16700.0
2007-04-03,112.75,114.9,112.7,113.0,22000.0
2007-04-04,113.0,115.0,113.5,114.4,33000.0
2007-04-05,114.4,114.25,113.0,113.25,55900.0
2007-04-06,113.25,115.45,112.65,115.0,62100.0
2007-04-09,115.0,117.95,114.85,116.6,121400.0
2007-04-10,116.6,119.4,116.9,118.15,90700.0
2007-04-11,118.15,119.5,118.0,118.0,36800.0
2007-04-12,118.0,117.95,116.2,116.2,28900.0
2007-04-13,116.2,117.0,116.2,117.0,50900.0
2007-04-16,117.0,119.45,116.3,117.3,122100.0
2007-04-17,117.3,117.35,114.5,115.85,47800.0
2007-04-18,115.85,118.85,115.0,117.3,175500.0
2007-04-19,117.3,118.5,116.0,116.0,98800.0
2007-04-20,116.0,117.25,115.0,115.4,39900.0
2007-04-23,115.4,116.45,114.15,115.95,47200.0
2007-04-24,115.95,116.9,115.0,115.0,41500.0
2007-04-25,115.0,120.75,114.95,120.75,250300.0
2007-04-26,120.75,126.75,123.5,126.75,99900.0
2007-04-27,126.75,133.05,129.8,133.05,1256100.0
2007-04-30,133.05,139.7,137.95,139.7,209600.0
2007-05-02,139.7,146.65,146.65,146.65,100400.0
2007-05-03,146.65,152.0,141.5,145.0,694100.0
2007-05-04,145.0,147.15,137.75,139.05,309400.0
2007-05-07,139.05,137.0,132.1,132.1,177500.0
2007-05-08,132.1,138.7,128.5,138.7,229200.0
2007-05-09,138.7,145.6,143.05,145.6,228000.0
2007-05-10,145.6,152.85,142.0,150.45,944300.0
2007-05-11,150.45,155.0,147.25,150.75,607000.0
2007-05-14,150.75,152.6,143.45,150.6,337500.0
2007-05-15,150.6,154.25,149.0,150.0,303900.0
2007-05-16,150.0,152.0,145.1,147.0,142900.0
2007-05-17,147.0,151.6,147.05,148.8,129400.0
2007-05-18,148.8,150.0,145.0,146.0,83200.0
2007-05-21,146.0,145.95,142.0,144.15,46600.0
2007-05-22,144.15,146.0,142.4,144.4,58900.0
2007-05-23,144.4,146.0,143.5,144.1,80700.0
2007-05-24,144.1,146.5,144.1,144.55,83200.0
2007-05-25,144.55,151.4,145.6,148.9,212100.0
2007-05-28,148.9,150.05,148.0,148.0,94500.0
2007-05-29,148.0,150.0,146.5,146.6,39500.0
2007-05-30,146.6,153.9,145.1,153.9,472900.0
2007-05-31,153.9,161.55,155.5,161.55,335100.0
2007-06-01,161.55,169.6,165.1,169.6,720500.0
2007-06-04,169.6,178.05,170.5,178.05,815700.0
2007-06-05,178.05,186.95,183.0,186.95,898200.0
2007-06-06,186.95,195.0,184.0,185.0,1204900.0
2007-06-07,185.0,190.5,183.5,185.9,599100.0
2007-06-08,185.9,186.9,178.0,179.5,308000.0
2007-06-11,179.5,188.45,181.6,188.45,782300.0
2007-06-12,188.45,197.85,190.0,197.85,1176800.0
2007-06-13,197.85,207.7,200.0,207.7,1263500.0
2007-06-14,207.7,211.8,199.75,200.0,903500.0
2007-06-15,200.0,202.0,190.0,190.0,320000.0
2007-06-18,190.0,199.5,185.0,199.5,645500.0
2007-06-19,199.5,208.45,202.5,204.0,816500.0
2007-06-20,204.0,204.0,195.1,198.95,291400.0
2007-06-21,198.95,203.0,192.1,198.0,223600.0
2007-06-22,198.0,196.8,188.1,188.1,389300.0
2007-06-25,188.1,195.7,187.15,193.7,452900.0
2007-06-26,193.7,198.5,190.0,191.9,377100.0
2007-06-27,191.9,201.45,191.0,201.45,801900.0
2007-06-28,201.45,210.7,200.05,205.4,1589100.0
2007-06-29,205.4,210.2,202.0,203.9,799100.0
2007-07-02,203.9,208.0,203.0,204.0,318800.0
2007-07-03,204.0,213.0,200.5,204.9,2012600.0
2007-07-04,204.9,209.0,204.0,207.6,528800.0
2007-07-05,207.6,217.95,208.1,217.95,1926100.0
2007-07-06,217.95,228.8,219.0,228.8,1458800.0
2007-07-09,228.8,240.2,238.0,240.2,190500.0
2007-07-10,240.2,252.2,241.0,252.2,2023500.0
2007-07-11,252.2,264.8,253.0,264.8,1262100.0
2007-07-12,264.8,278.0,278.0,278.0,102700.0
2007-07-13,278.0,291.9,264.1,264.1,2483700.0
2007-07-16,264.1,263.0,250.9,250.9,600100.0
2007-07-17,250.9,263.4,238.4,263.4,2774200.0
2007-07-18,263.4,276.55,250.25,258.0,3490600.0
2007-07-19,258.0,265.9,245.1,245.1,2028900.0
2007-07-20,245.1,252.0,235.0,250.9,1888600.0
2007-07-23,250.9,263.4,260.1,263.4,573900.0
2007-07-24,263.4,276.55,272.0,276.55,1662000.0
2007-07-25,276.55,290.35,274.0,290.35,2365400.0
2007-07-26,290.35,304.85,296.0,304.0,2049200.0
2007-07-27,304.0,306.0,288.8,291.85,1406700.0
2007-07-30,291.85,279.0,277.3,277.3,127700.0
2007-07-31,277.3,263.45,263.45,263.45,11500.0
2007-08-01,263.45,260.0,250.3,251.25,3838400.0
2007-08-02,251.25,258.6,251.0,251.9,998400.0
2007-08-03,251.9,256.45,248.0,248.0,799600.0
2007-08-06,248.0,252.5,243.0,243.0,618600.0
2007-08-07,243.0,246.0,230.85,235.0,993600.0
2007-08-08,235.0,246.25,228.0,242.5,1242800.0
2007-08-09,242.5,235.0,230.4,230.4,485600.0
2007-08-10,230.4,237.0,220.0,220.0,670200.0
2007-08-13,220.0,220.75,209.0,209.0,384700.0
2007-08-15,209.0,217.7,203.25,213.8,1216000.0
2007-08-16,213.8,215.5,208.45,208.45,563900.0
2007-08-17,208.45,212.0,205.0,205.5,374700.0
2007-08-20,205.5,210.75,207.7,208.0,170700.0
2007-08-21,208.0,210.0,197.6,197.6,215000.0
2007-08-22,197.6,207.45,188.15,207.45,401600.0
2007-08-23,207.45,211.5,197.15,198.5,502100.0
2007-08-24,198.5,201.9,190.5,194.15,497700.0
2007-08-27,194.15,195.9,189.9,191.0,166600.0
2007-08-28,191.0,191.0,183.5,187.0,176300.0
2007-08-29,187.0,196.35,185.5,196.35,167200.0
2007-08-30,196.35,206.15,192.1,206.15,268100.0
2007-08-31,206.15,212.0,204.9,206.5,329600.0
2007-09-03,172.08,180.65,170.0,180.65,488700.0
2007-09-04,180.65,183.85,175.5,176.1,386800.0
2007-09-05,176.1,182.95,177.0,178.2,477800.0
2007-09-06,178.2,183.9,178.0,179.0,418500.0
2007-09-07,179.0,180.0,172.0,172.0,198200.0
2007-09-10,172.0,175.0,168.1,173.4,154600.0
2007-09-11,173.4,177.8,173.0,173.0,99000.0
2007-09-12,173.0,181.65,172.5,181.65,755200.0
2007-09-13,181.65,190.0,180.0,187.0,1123400.0
2007-09-14,187.0,192.0,180.0,181.85,599300.0
2007-09-17,181.85,188.0,180.5,187.0,625700.0
2007-09-18,187.0,193.0,187.0,187.0,1004700.0
2007-09-19,187.0,189.0,183.65,184.0,351900.0
2007-09-20,184.0,184.0,174.85,175.0,243000.0
2007-09-21,175.0,176.0,170.15,172.8,158600.0
2007-09-24,172.8,181.4,172.95,181.4,328300.0
2007-09-25,181.4,186.85,177.0,179.0,353600.0
2007-09-26,179.0,181.1,177.0,178.0,88400.0
2007-09-27,178.0,180.0,174.5,177.0,151900.0
2007-09-28,177.0,177.0,175.1,176.95,68100.0
2007-10-01,176.95,185.75,181.25,185.75,553600.0
2007-10-02,185.75,188.5,182.0,182.75,679700.0
2007-10-03,182.75,184.95,181.0,183.5,321500.0
2007-10-04,183.5,188.0,181.0,186.0,216000.0
2007-10-05,186.0,193.0,183.5,186.95,622100.0
2007-10-08,186.95,196.25,190.1,196.25,741100.0
2007-10-09,196.25,201.95,194.0,196.0,1316500.0
2007-10-11,196.0,196.0,192.0,192.9,424100.0
2007-10-17,192.9,198.0,189.1,194.9,629600.0
2007-10-18,194.9,204.6,195.6,204.6,1377700.0
2007-10-19,204.6,214.8,200.5,214.8,1481200.0
2007-10-22,214.8,225.5,222.5,225.5,800600.0
2007-10-23,225.5,236.75,220.25,231.0,2449700.0
2007-10-24,231.0,234.0,219.45,219.45,1342100.0
2007-10-25,219.45,229.1,211.0,225.0,1706300.0
2007-10-26,225.0,229.5,218.0,219.3,489000.0
2007-10-29,219.3,223.05,216.0,218.1,573400.0
2007-10-30,218.1,219.2,207.2,207.2,345000.0
2007-10-31,207.2,215.9,196.9,213.0,961200.0
2007-11-01,213.0,212.0,202.35,202.35,336500.0
2007-11-02,202.35,202.4,192.25,192.5,406400.0
2007-11-05,192.5,192.0,182.9,182.9,191100.0
2007-11-06,182.9,185.0,175.0,181.65,293100.0
2007-11-07,181.65,190.5,178.6,190.5,319700.0
2007-11-08,190.5,191.0,181.0,184.05,198700.0
2007-11-12,184.05,193.25,188.2,193.25,253500.0
2007-11-13,193.25,202.9,194.1,202.9,340600.0
2007-11-14,202.9,213.0,196.05,198.0,988900.0
2007-11-15,198.0,203.0,190.5,193.9,586600.0
2007-11-16,193.9,199.35,192.0,194.0,466700.0
2007-11-19,194.0,203.7,189.0,203.7,689000.0
2007-11-20,203.7,213.85,205.05,213.85,1226200.0
2007-11-21,213.85,224.5,216.65,224.5,1325600.0
2007-11-22,224.5,235.4,225.0,228.0,1808700.0
2007-11-23,228.0,235.5,228.1,229.5,962700.0
2007-11-26,229.5,233.65,220.0,222.5,670800.0
2007-11-27,222.5,227.9,216.05,221.0,975900.0
2007-11-28,221.0,224.9,220.7,221.5,461500.0
2007-11-29,221.5,227.5,220.8,221.0,664800.0
2007-11-30,221.0,226.8,220.0,223.0,734600.0
2007-12-03,223.0,224.5,220.1,221.9,361900.0
2007-12-04,221.9,224.5,219.5,221.75,481200.0
2007-12-05,221.75,232.8,222.6,232.8,1140500.0
2007-12-06,232.8,244.4,237.5,244.4,1113800.0
2007-12-07,244.4,248.35,240.1,242.0,1159600.0
2007-12-10,242.0,251.0,243.1,249.0,1423500.0
2007-12-11,249.0,250.95,244.05,245.1,588300.0
2007-12-12,245.1,251.25,242.5,246.7,931400.0
2007-12-13,246.7,248.0,242.0,242.0,407200.0
2007-12-14,242.0,246.45,241.0,243.1,686100.0
2007-12-17,243.1,246.6,241.05,242.0,361100.0
2007-12-18,242.0,245.0,238.0,238.5,343800.0
2007-12-19,238.5,240.75,235.5,239.25,264000.0
2007-12-24,239.25,251.2,242.8,251.2,1017100.0
2007-12-26,251.2,263.75,257.5,263.75,1093200.0
2007-12-27,263.75,276.9,268.5,276.9,2795400.0
2007-12-31,276.9,263.1,263.1,263.1,24400.0
2008-01-01,263.1,255.45,249.95,249.95,1353000.0
2008-01-02,249.95,255.0,237.5,237.5,808500.0
2008-01-03,237.5,249.35,245.0,249.35,441200.0
2008-01-04,249.35,261.8,256.1,261.8,726800.0
2008-01-07,261.8,274.85,257.0,274.85,2157600.0
2008-01-08,274.85,288.55,280.0,288.55,719900.0
2008-01-09,288.55,302.95,295.05,302.95,2308200.0
2008-01-10,302.95,317.8,304.05,307.55,3922600.0
2008-01-11,307.55,316.0,292.2,296.0,2780900.0
2008-01-14,296.0,310.8,290.6,310.8,3314800.0
2008-01-15,310.8,326.3,310.05,326.3,2751400.0
2008-01-16,326.3,341.25,322.5,327.0,3692300.0
2008-01-17,327.0,333.7,310.65,311.5,2488300.0
2008-01-18,311.5,327.05,305.0,327.05,2261000.0
2008-01-21,327.05,343.4,337.0,343.4,3727300.0
2008-01-22,343.4,360.55,332.0,360.55,5097500.0
2008-01-23,360.55,378.55,370.5,378.55,2883500.0
2008-01-24,378.55,394.5,359.65,359.65,4952500.0
2008-01-25,359.65,371.0,342.5,346.0,5537200.0
2008-01-28,346.0,352.0,331.0,332.0,2141400.0
2008-01-29,332.0,315.4,315.4,315.4,92900.0
2008-01-30,315.4,299.65,299.65,299.65,13200.0
2008-01-31,299.65,314.6,284.7,314.6,4918400.0
2008-02-01,314.6,325.75,302.0,305.0,2584000.0
2008-02-04,305.0,314.4,303.3,308.7,1540800.0
2008-02-06,308.7,313.05,304.75,307.9,646500.0
2008-02-07,307.9,314.5,302.0,304.45,1250200.0
2008-02-08,304.45,308.4,297.5,298.6,480900.0
2008-02-11,298.6,302.4,284.25,288.55,907200.0
2008-02-12,288.55,302.95,281.05,302.95,1363500.0
2008-02-13,302.95,313.0,301.3,305.0,1758900.0
2008-02-14,305.0,309.0,302.0,302.5,450600.0
2008-02-15,302.5,305.5,295.0,295.9,430200.0
2008-02-19,295.9,309.3,301.0,303.05,661100.0
2008-02-20,303.05,311.0,300.15,304.0,1128100.0
2008-02-21,304.0,318.0,305.0,309.0,2288200.0
2008-02-22,309.0,324.45,305.0,324.45,3086300.0
2008-02-25,324.45,340.65,328.5,333.0,3082100.0
2008-02-26,333.0,339.95,330.05,330.05,1337800.0
2008-02-27,330.05,334.0,313.55,323.5,950300.0
2008-02-28,323.5,330.0,321.0,324.0,1170300.0
2008-02-29,324.0,327.45,318.0,323.0,483100.0
2008-03-03,323.0,326.0,316.0,318.0,285200.0
2008-03-04,318.0,323.75,307.0,313.0,576500.0
2008-03-05,313.0,321.85,315.0,318.0,469900.0
2008-03-06,318.0,322.25,308.0,311.5,521000.0
2008-03-07,311.5,313.0,307.0,308.0,307200.0
2008-03-10,308.0,323.4,308.5,315.05,1840400.0
2008-03-11,315.05,319.5,309.0,310.0,912800.0
2008-03-12,310.0,314.9,310.1,313.15,360600.0
2008-03-13,313.15,318.55,307.0,309.25,700500.0
2008-03-14,309.25,314.0,305.25,306.05,752500.0
2008-03-17,306.05,309.0,301.5,302.95,299200.0
2008-03-18,302.95,302.0,287.85,287.85,511300.0
2008-03-19,287.85,302.2,285.1,296.5,1947000.0
2008-03-20,296.5,307.75,290.0,299.0,1573700.0
2008-03-24,299.0,306.8,301.0,302.7,477600.0
2008-03-25,302.7,309.5,300.5,300.5,1018800.0
2008-03-26,300.5,315.5,302.75,311.5,1634400.0
2008-03-27,311.5,317.9,308.0,309.5,1495900.0
2008-03-28,309.5,313.5,306.75,309.0,3109000.0
2008-03-31,309.0,311.0,293.55,302.5,3669100.0
2008-04-01,302.5,307.0,299.0,303.0,2671700.0
2008-04-02,303.0,310.25,305.0,306.95,2549300.0
2008-04-03,306.95,322.25,307.8,322.25,3128900.0
2008-04-04,322.25,333.95,314.05,317.0,1842600.0
2008-04-07,317.0,321.55,311.1,315.8,1437400.0
2008-04-08,315.8,325.9,311.05,320.2,1305600.0
2008-04-09,320.2,325.9,313.0,313.0,1133000.0
2008-04-10,313.0,317.0,297.5,303.5,934200.0
2008-04-11,303.5,311.0,305.0,310.0,567100.0
2008-04-14,310.0,314.95,306.0,307.5,472600.0
2008-04-15,307.5,311.0,299.7,305.2,859200.0
2008-04-16,305.2,308.75,301.55,304.5,300000.0
2008-04-17,304.5,308.0,303.0,304.0,291900.0
2008-04-18,304.0,319.2,300.0,319.2,1147000.0
2008-04-21,319.2,324.0,313.5,314.0,888000.0
2008-04-22,314.0,316.9,308.0,312.0,438900.0
2008-04-23,312.0,315.0,306.0,315.0,312300.0
2008-04-24,315.0,318.95,310.0,311.0,371300.0
2008-04-25,311.0,313.0,307.5,311.0,257400.0
2008-04-28,311.0,319.54,310.0,313.95,700400.0
2008-04-29,313.95,317.25,310.1,311.0,337400.0
2008-04-30,311.0,313.8,308.0,309.0,235900.0
2008-05-02,309.0,311.0,304.5,304.5,229500.0
2008-05-05,304.5,308.0,293.2,296.01,207000.0
2008-05-06,296.01,301.0,285.0,286.99,263600.0
2008-05-07,286.99,301.33,285.02,300.0,454800.0
2008-05-08,300.0,310.5,297.0,298.49,712700.0
2008-05-09,298.49,303.0,292.1,302.1,500400.0
2008-05-12,302.1,313.9,295.1,311.74,1147500.0
2008-05-13,311.74,322.0,312.55,316.0,1272900.0
2008-05-14,316.0,318.4,309.61,312.44,549000.0
2008-05-15,312.44,314.0,307.0,309.2,239900.0
2008-05-16,309.2,308.5,302.0,303.0,169000.0
2008-05-19,303.0,304.99,295.0,296.0,211300.0
2008-05-20,296.0,298.95,288.05,294.0,216400.0
2008-05-21,294.0,298.1,289.0,293.5,173700.0
2008-05-22,293.5,295.0,285.0,286.0,129800.0
2008-05-23,286.0,279.0,271.7,271.7,70500.0
2008-05-26,271.7,258.12,258.12,258.12,15700.0
2008-05-27,258.12,257.5,245.22,250.0,608900.0
2008-05-28,250.0,252.25,237.5,237.5,145800.0
2008-05-29,237.5,225.63,225.63,225.63,92400.0
2008-05-30,225.63,227.0,214.35,226.99,350300.0
2008-06-02,226.99,234.4,218.3,226.5,321600.0
2008-06-03,226.5,237.0,226.0,233.5,364100.0
2008-06-04,233.5,245.17,245.17,245.17,50100.0
2008-06-05,245.17,257.42,241.0,252.0,664200.0
2008-06-06,252.0,252.5,242.0,245.06,273500.0
2008-06-09,245.06,253.0,244.2,247.0,180200.0
2008-06-10,247.0,246.75,238.25,244.0,136000.0
2008-06-11,244.0,252.0,243.1,251.0,147000.0
2008-06-12,251.0,260.0,252.0,254.35,150900.0
2008-06-13,254.35,257.0,250.5,254.5,105400.0
2008-06-16,254.5,257.0,241.78,241.78,110300.0
2008-06-17,241.78,253.86,229.7,253.86,302400.0
2008-06-18,253.86,257.9,244.9,244.9,389500.0
2008-06-19,244.9,244.0,232.66,232.66,153800.0
2008-06-20,232.66,240.0,221.03,221.03,147500.0
2008-06-23,221.03,219.0,209.98,209.98,77500.0
2008-06-24,209.98,230.97,213.5,230.97,3800000.0
2008-06-25,230.97,254.06,242.0,254.06,6446300.0
2008-06-26,254.06,264.95,251.52,252.0,526800.0
2008-06-27,252.0,251.1,249.48,249.48,85000.0
2008-06-30,249.48,246.99,246.99,246.99,400.0
2008-07-01,246.99,244.53,244.53,244.53,3300.0
2008-07-01,246.99,244.53,244.53,244.53,3300.0
2008-07-02,244.53,242.09,242.09,242.09,22900.0
2008-07-03,242.09,239.67,239.67,239.67,20100.0
2008-07-04,239.67,237.28,237.28,237.28,2000.0
2008-07-07,237.28,234.91,234.91,234.91,100.0
2008-07-08,234.91,234.91,234.91,234.91,100.0
2008-07-09,234.91,232.57,232.57,232.57,4700.0
2008-07-11,232.57,230.25,230.25,230.25,200.0
2008-07-14,230.25,218.74,218.74,218.74,3100.0
2008-07-15,218.74,224.0,207.81,207.81,559300.0
2008-07-16,207.81,202.0,197.42,197.42,29400.0
2008-07-17,197.42,187.55,187.55,187.55,400.0
2008-07-18,187.55,191.0,178.18,178.18,500400.0
2008-07-21,178.18,174.0,169.28,170.0,234600.0
2008-07-22,170.0,177.95,165.01,177.0,757700.0
2008-07-23,177.0,185.25,178.0,181.0,411900.0
2008-07-24,181.0,182.99,172.3,176.4,344400.0
2008-07-25,176.4,180.0,168.25,171.0,212200.0
