Date,Open,High,Low,Close,Volume
2001-02-12,4.7,4.7,4.7,4.7,0.0
2001-02-16,4.7,3.0,3.0,3.0,1500.0
2001-02-20,3.0,5.5,5.1,5.5,2000.0
2001-02-21,5.5,5.95,5.5,5.8,1500.0
2001-02-23,5.8,6.0,5.8,5.8,1000.0
2001-03-01,5.8,5.5,5.5,5.5,500.0
2001-03-13,5.5,6.25,6.25,6.25,1000.0
2001-03-14,6.25,7.0,6.65,7.0,4500.0
2001-03-29,7.0,6.5,6.5,6.5,500.0
2001-04-17,6.5,7.0,7.0,7.0,500.0
2001-10-08,7.0,7.0,7.0,7.0,500.0
2001-11-20,7.0,7.0,7.0,7.0,500.0
2001-11-22,7.0,7.5,7.4,7.5,1500.0
2001-11-27,7.5,8.0,7.95,8.0,3500.0
2001-12-10,8.0,8.0,8.0,8.0,0.0
2001-12-21,6.8,6.8,6.8,6.8,0.0
2002-01-21,6.8,6.75,6.75,6.75,1000.0
2002-01-22,6.75,7.5,7.5,7.5,1000.0
2002-01-29,7.5,7.0,7.0,7.0,500.0
2002-02-12,7.0,7.0,7.0,7.0,6500.0
2002-02-13,7.0,7.0,7.0,7.0,2500.0
2002-02-19,7.0,7.0,6.05,7.0,8500.0
2002-03-13,7.0,7.25,7.25,7.25,500.0
2002-06-14,7.25,7.5,7.5,7.5,1000.0
2002-08-27,7.5,7.75,7.5,7.75,13000.0
2002-09-27,7.75,7.55,7.55,7.55,0.0
2002-09-30,7.55,6.55,6.55,6.55,1500.0
2002-10-17,6.55,6.0,6.0,6.0,500.0
2002-11-21,6.0,6.0,6.0,6.0,11000.0
2002-12-23,5.5,5.5,5.5,5.5,0.0
2002-12-27,5.5,6.0,6.0,6.0,0.0
2003-01-29,6.0,5.9,5.9,5.9,0.0
2003-02-10,5.9,6.0,6.0,6.0,1500.0
2003-02-19,6.0,5.0,5.0,5.0,1000.0
2003-03-06,5.0,5.05,5.05,5.05,0.0
2003-03-17,5.05,5.25,5.25,5.25,0.0
2003-05-14,5.25,6.5,6.5,6.5,1000.0
2003-06-09,6.5,8.0,8.0,8.0,3000.0
2003-06-17,8.0,8.9,8.5,8.5,1500.0
2003-06-18,8.5,9.2,9.2,9.2,500.0
2003-06-20,9.2,9.1,9.1,9.1,0.0
2003-07-03,9.1,9.5,9.5,9.5,500.0
2003-07-11,9.5,9.5,9.5,9.5,1000.0
2003-07-14,9.5,9.5,9.5,9.5,1000.0
2003-07-25,9.5,10.0,10.0,10.0,1500.0
2003-07-28,10.0,10.0,10.0,10.0,1000.0
2003-07-29,10.0,10.0,10.0,10.0,500.0
2003-08-12,10.0,9.7,9.7,9.7,0.0
2003-08-20,9.7,9.5,9.5,9.5,0.0
2003-08-25,9.5,10.0,9.0,9.0,1000.0
2003-08-28,9.0,8.5,8.5,8.5,1000.0
2003-08-29,8.5,8.5,8.5,8.5,2000.0
2003-09-01,8.5,8.7,8.5,8.7,3500.0
2003-09-03,8.7,9.0,9.0,9.0,3000.0
2003-09-04,9.0,9.05,9.05,9.05,0.0
2003-09-09,9.05,9.25,9.25,9.25,0.0
2003-09-10,9.25,10.0,10.0,10.0,0.0
2003-09-11,10.0,11.5,9.95,11.5,1000.0
2003-10-03,11.5,11.4,11.4,11.4,0.0
2003-10-22,11.4,10.4,10.4,10.4,0.0
2003-11-06,10.4,10.0,10.0,10.0,0.0
2003-11-17,10.0,9.5,9.5,9.5,0.0
2003-12-02,9.5,9.0,9.0,9.0,0.0
2003-12-09,9.0,8.0,8.0,8.0,1000.0
2003-12-10,8.0,9.0,9.0,9.0,500.0
2003-12-18,9.0,8.5,8.5,8.5,1500.0
2003-12-19,8.5,9.0,9.0,9.0,500.0
2004-01-01,9.0,8.75,8.75,8.75,2500.0
2004-01-02,8.75,8.0,8.0,8.0,2500.0
2004-01-06,8.0,9.0,9.0,9.0,0.0
2004-01-07,9.0,10.5,10.5,10.5,500.0
2004-01-14,10.5,12.0,12.0,12.0,500.0
2004-01-15,12.0,12.0,11.75,12.0,2000.0
2004-01-20,12.0,12.0,12.0,12.0,1000.0
2004-01-21,12.0,12.5,12.5,12.5,1000.0
2004-01-22,12.5,12.5,12.5,12.5,1000.0
2004-01-23,12.5,12.5,12.5,12.5,1000.0
2004-01-26,12.5,12.5,12.5,12.5,500.0
2004-02-17,12.5,12.5,12.5,12.5,10000.0
2004-02-20,12.5,13.0,13.0,13.0,0.0
2004-02-23,13.0,13.0,13.0,13.0,500.0
2004-02-24,13.0,13.5,13.5,13.5,0.0
2004-02-25,13.5,14.0,14.0,14.0,0.0
2004-02-26,14.0,14.5,14.5,14.5,0.0
2004-02-27,14.5,15.0,15.0,15.0,0.0
2004-03-03,15.0,15.5,15.5,15.5,0.0
2004-03-05,15.5,17.0,17.0,17.0,500.0
2004-03-08,17.0,18.0,17.0,17.0,1500.0
2004-03-19,17.0,17.0,17.0,17.0,2500.0
2004-03-29,17.0,16.95,16.95,16.95,0.0
2004-03-30,16.95,16.9,16.9,16.9,0.0
2004-03-31,16.9,16.85,16.85,16.85,0.0
2004-04-01,16.85,16.8,16.8,16.8,500.0
2004-04-08,16.8,16.75,16.75,16.75,0.0
2004-04-26,16.75,16.7,16.7,16.7,0.0
2004-05-11,16.7,16.5,16.5,16.5,0.0
2004-05-19,16.5,15.5,15.5,15.5,2000.0
2004-05-27,15.5,17.0,17.0,17.0,1000.0
2004-05-28,17.0,16.5,16.5,16.5,1000.0
2004-06-01,16.5,17.5,17.5,17.5,500.0
2004-06-16,17.5,17.2,17.2,17.2,0.0
2004-06-23,17.2,17.5,16.2,16.2,1000.0
2004-06-24,16.2,16.0,16.0,16.0,0.0
2004-07-01,16.0,15.0,15.0,15.0,0.0
2004-07-02,15.0,14.0,14.0,14.0,0.0
2004-07-06,14.0,13.0,13.0,13.0,0.0
2004-07-14,13.0,12.0,12.0,12.0,0.0
2004-07-15,12.0,11.0,11.0,11.0,0.0
2004-07-16,11.0,10.0,10.0,10.0,500.0
2004-07-22,10.0,10.1,10.1,10.1,0.0
2004-07-26,10.1,9.15,9.1,9.1,1500.0
2004-08-18,9.1,9.25,9.25,9.25,0.0
2004-08-26,9.25,9.25,8.25,9.25,1000.0
2004-08-27,9.25,9.3,9.3,9.3,0.0
2004-08-30,9.3,9.35,9.35,9.35,0.0
2004-09-01,9.35,9.75,9.75,9.75,0.0
2004-10-07,9.75,9.0,9.0,9.0,500.0
2004-10-12,9.0,8.0,8.0,8.0,5000.0
2004-10-13,8.0,8.3,8.3,8.3,0.0
2004-10-21,8.3,7.5,7.5,7.5,1000.0
2004-11-10,7.5,7.7,7.7,7.7,0.0
2004-11-24,7.7,8.2,8.2,8.2,1000.0
2004-12-08,8.2,9.7,9.65,9.7,4000.0
2004-12-09,9.7,11.2,11.2,11.2,500.0
2004-12-21,11.2,10.5,10.5,10.5,1000.0
2004-12-27,10.5,9.5,9.5,9.5,500.0
2004-12-28,9.5,11.0,11.0,11.0,500.0
2004-12-29,11.0,12.5,12.5,12.5,500.0
2005-01-05,12.5,11.5,11.5,11.5,500.0
2005-01-06,11.5,13.0,12.85,13.0,2500.0
2005-01-12,13.0,14.5,13.0,14.5,2000.0
2005-01-19,14.5,16.0,16.0,16.0,500.0
2005-01-24,16.0,17.0,17.0,17.0,500.0
2005-01-26,17.0,17.0,17.0,17.0,500.0
2005-02-02,17.0,16.95,16.95,16.95,0.0
2005-02-07,16.95,16.85,16.85,16.85,0.0
2005-02-10,16.85,16.0,16.0,16.0,0.0
2005-03-02,16.0,16.0,16.0,16.0,500.0
2005-04-04,16.0,15.5,15.5,15.5,0.0
2005-04-13,15.5,15.0,15.0,15.0,0.0
2005-04-27,15.0,14.5,14.5,14.5,0.0
2005-06-28,14.5,14.0,14.0,14.0,0.0
2005-06-30,14.0,13.0,13.0,13.0,0.0
2005-08-22,13.0,12.5,12.5,12.5,0.0
2005-09-15,12.5,12.0,12.0,12.0,0.0
2005-09-20,12.0,11.0,11.0,11.0,0.0
2005-09-22,11.0,10.5,10.5,10.5,0.0
2005-09-26,10.5,10.0,10.0,10.0,0.0
2005-09-30,10.0,10.0,10.0,10.0,500.0
2005-10-12,10.0,9.5,9.5,9.5,0.0
2005-10-13,9.5,8.5,8.5,8.5,500.0
2005-10-14,8.5,8.5,8.5,8.5,500.0
2005-11-02,8.5,8.5,8.5,8.5,500.0
2005-11-22,8.5,8.8,8.8,8.8,0.0
2005-12-09,8.8,9.8,9.8,9.8,500.0
2005-12-12,9.8,10.8,10.8,10.8,1000.0
2005-12-15,10.8,9.8,9.8,9.8,1000.0
2005-12-16,9.8,10.0,10.0,10.0,3000.0
2005-12-19,10.0,11.0,11.0,11.0,0.0
2005-12-21,11.0,11.0,11.0,11.0,1000.0
2005-12-22,11.0,11.0,10.0,11.0,2500.0
2005-12-27,11.0,11.25,11.25,11.25,0.0
2005-12-28,11.25,11.25,11.25,11.25,500.0
2005-12-29,11.25,12.0,12.0,12.0,0.0
2005-12-30,12.0,12.1,12.1,12.1,1000.0
2006-01-02,12.1,12.5,12.05,12.5,6000.0
2006-01-05,12.5,12.55,12.55,12.55,0.0
2006-01-09,12.55,12.8,12.8,12.8,0.0
2006-01-18,12.8,12.25,12.2,12.2,1000.0
2006-01-30,12.2,11.7,11.7,11.7,500.0
2006-01-31,11.7,11.6,11.6,11.6,500.0
2006-02-01,11.6,12.0,12.0,12.0,0.0
2006-02-06,12.0,12.8,12.8,12.8,1000.0
2006-02-22,12.8,12.15,12.15,12.15,0.0
2006-03-10,12.15,12.7,12.5,12.7,1000.0
2006-03-13,12.7,12.5,12.5,12.5,500.0
