Date,Open,High,Low,Close,Volume
2001-01-02,2.0,2.0,2.0,2.0,4500.0
2001-01-03,2.0,2.2,2.0,2.2,2000.0
2001-01-04,2.2,2.2,2.1,2.1,4000.0
2001-01-19,2.1,1.75,1.75,1.75,2500.0
2001-02-06,1.75,1.8,0.5,1.8,1000.0
2001-03-15,1.8,1.8,1.8,1.8,10000.0
2001-03-22,1.8,1.75,1.75,1.75,5000.0
2001-05-23,1.75,1.35,1.25,1.25,6500.0
2001-06-07,1.25,1.5,1.5,1.5,500.0
2001-06-08,1.5,1.75,1.75,1.75,5000.0
2001-06-11,1.75,1.75,1.7,1.75,5500.0
2001-06-12,1.75,2.1,1.9,1.9,2500.0
2001-06-15,1.9,2.05,2.05,2.05,500.0
2001-06-18,2.05,2.05,2.05,2.05,2500.0
2001-06-19,2.05,2.1,2.1,2.1,3000.0
2001-06-20,2.1,2.25,2.0,2.2,5000.0
2001-06-22,2.2,2.45,2.3,2.45,3500.0
2001-06-25,2.45,2.5,2.45,2.5,9000.0
2001-06-27,2.5,2.75,2.5,2.75,6000.0
2001-06-29,2.75,2.35,2.35,2.35,1000.0
2001-07-04,2.35,2.3,2.3,2.3,500.0
2001-07-05,2.3,2.5,2.5,2.5,500.0
2001-07-06,2.5,2.5,2.5,2.5,2000.0
2001-07-10,2.5,2.75,2.75,2.75,500.0
2001-07-12,2.75,2.8,2.75,2.75,7500.0
2001-07-20,2.75,2.6,2.6,2.6,1000.0
2001-07-24,2.6,2.55,2.5,2.5,2000.0
2001-07-25,2.5,2.65,2.65,2.65,2000.0
2001-07-27,2.65,2.5,2.5,2.5,500.0
2001-07-30,2.5,2.5,2.5,2.5,500.0
2001-07-31,2.5,2.4,2.4,2.4,1500.0
2001-08-03,2.4,2.4,2.4,2.4,500.0
2001-08-09,2.4,2.55,2.5,2.5,3500.0
2001-08-22,2.5,2.6,2.6,2.6,2000.0
2001-08-24,2.6,2.6,2.6,2.6,4500.0
2001-08-29,2.6,2.4,2.4,2.4,500.0
2001-09-07,2.4,2.25,2.25,2.25,500.0
2001-09-10,2.25,2.45,2.45,2.45,1000.0
2001-09-25,2.45,2.5,2.5,2.5,4000.0
2001-09-28,2.5,2.9,2.9,2.9,500.0
2001-10-01,2.9,2.95,2.9,2.9,3000.0
2001-10-03,2.9,2.8,2.8,2.8,1000.0
2001-10-09,2.8,2.8,2.8,2.8,3000.0
2001-10-10,2.8,3.4,2.9,3.4,5500.0
2001-10-11,3.4,4.0,3.75,4.0,9500.0
2001-10-12,4.0,5.0,3.85,5.0,10500.0
2001-10-15,5.0,6.25,5.4,6.25,5500.0
2002-02-21,6.25,4.75,4.75,4.75,500.0
2002-03-22,4.75,3.9,3.9,3.9,0.0
2002-04-01,3.9,3.75,3.75,3.75,0.0
2002-04-04,3.75,3.0,3.0,3.0,500.0
2002-04-05,3.0,2.5,2.5,2.5,1000.0
2002-04-09,2.5,2.5,2.2,2.5,2500.0
2002-04-11,2.5,2.6,2.6,2.6,500.0
2002-04-15,2.6,2.6,2.6,2.6,2000.0
2002-04-16,2.6,2.7,2.7,2.7,0.0
2002-04-17,2.7,3.0,3.0,3.0,500.0
2002-04-19,3.0,2.6,2.6,2.6,2000.0
2002-04-22,2.6,2.8,2.8,2.8,0.0
2002-04-23,2.8,3.0,3.0,3.0,500.0
2002-04-24,3.0,2.8,2.8,2.8,10000.0
2002-04-25,2.8,3.0,3.0,3.0,0.0
2002-04-26,3.0,3.05,3.05,3.05,0.0
2002-04-29,3.05,3.0,3.0,3.0,1000.0
2002-04-30,3.0,3.0,3.0,3.0,500.0
2002-05-10,3.0,3.25,3.15,3.25,3000.0
2002-05-14,3.25,3.25,3.25,3.25,2000.0
2002-05-15,3.25,3.0,3.0,3.0,1000.0
2002-05-16,3.0,3.0,3.0,3.0,2000.0
2002-05-17,3.0,2.5,2.5,2.5,1000.0
2002-05-20,2.5,2.5,2.5,2.5,500.0
2002-05-21,2.5,2.5,2.45,2.5,7000.0
2002-05-22,2.5,2.5,2.5,2.5,5000.0
2002-05-27,2.5,2.75,2.5,2.75,1000.0
2002-06-04,2.75,2.5,2.5,2.5,1000.0
2002-06-05,2.5,2.6,2.6,2.6,0.0
2002-06-06,2.6,2.65,2.6,2.65,0.0
