Date,Open,High,Low,Close,Volume
2001-01-01,15.0,15.0,14.8,14.85,228500.0
2001-01-02,14.85,15.5,15.0,15.0,633500.0
2001-01-03,15.0,15.35,14.9,15.2,457000.0
2001-01-04,15.2,15.3,15.05,15.1,344500.0
2001-01-05,15.1,15.15,14.85,14.95,339500.0
2001-01-08,14.95,15.05,14.8,14.8,254000.0
2001-01-09,14.8,14.85,14.55,14.75,240000.0
2001-01-10,14.75,14.75,14.5,14.7,216500.0
2001-01-11,14.7,14.6,14.4,14.4,94500.0
2001-01-12,14.4,14.4,14.15,14.25,178000.0
2001-01-15,14.25,14.3,13.85,13.85,167500.0
2001-01-16,13.85,14.2,13.9,14.0,230000.0
2001-01-17,14.0,14.0,13.8,14.0,166000.0
2001-01-18,14.0,14.2,13.8,13.85,197500.0
2001-01-19,13.85,13.75,13.3,13.45,488500.0
2001-01-22,13.45,13.85,13.55,13.65,326000.0
2001-01-23,13.65,13.75,13.55,13.75,371000.0
2001-01-24,13.75,13.8,13.65,13.75,99000.0
2001-01-25,13.75,13.75,13.65,13.7,141500.0
2001-01-26,13.7,13.85,13.6,13.75,220000.0
2001-01-29,13.75,13.85,13.65,13.7,133000.0
2001-01-30,13.7,14.0,13.7,14.0,178000.0
2001-01-31,14.0,15.15,14.0,15.1,1794000.0
2001-02-01,15.1,15.25,14.75,14.8,799500.0
2001-02-02,14.8,15.25,14.8,15.1,1052000.0
2001-02-06,15.1,15.4,15.15,15.2,730000.0
2001-02-07,15.2,15.55,15.2,15.5,1189500.0
2001-02-08,15.5,15.65,15.4,15.5,1379000.0
2001-02-09,15.5,15.85,15.45,15.85,1526000.0
2001-02-12,15.85,16.45,15.55,15.65,5954500.0
2001-02-13,15.65,15.75,15.25,15.3,1164500.0
2001-02-14,15.3,15.4,15.25,15.4,1164000.0
2001-02-15,15.4,15.6,15.3,15.3,566000.0
2001-02-16,15.3,15.45,15.15,15.25,512000.0
2001-02-19,15.25,15.35,15.15,15.3,158000.0
2001-02-20,15.3,15.3,15.0,15.0,256000.0
2001-02-21,15.0,15.25,14.95,15.1,351000.0
2001-02-22,15.1,15.15,15.0,15.05,249500.0
2001-02-23,15.05,15.1,14.75,14.85,390000.0
2001-02-26,14.85,14.75,14.5,14.65,137500.0
2001-02-27,14.65,14.75,14.55,14.75,86500.0
2001-02-28,14.75,14.7,14.5,14.55,147000.0
2001-03-01,14.55,14.75,14.5,14.7,134000.0
2001-03-02,14.7,14.75,14.6,14.65,123500.0
2001-03-09,14.65,14.7,14.5,14.5,74000.0
2001-03-12,14.5,14.55,14.45,14.45,79500.0
2001-03-13,14.45,14.5,14.25,14.45,116000.0
2001-03-14,14.45,14.65,14.5,14.6,182500.0
2001-03-15,14.6,14.5,14.3,14.35,53500.0
2001-03-16,14.35,14.5,14.35,14.5,48500.0
2001-03-19,12.38,12.65,12.38,12.4,78500.0
2001-03-20,12.4,12.5,11.5,12.0,153000.0
2001-03-21,12.0,12.0,11.75,11.85,58000.0
2001-03-22,11.85,11.8,11.0,11.6,141500.0
2001-03-26,11.6,11.65,11.35,11.55,37000.0
2001-03-27,11.55,11.6,11.4,11.6,81500.0
2001-03-28,11.6,11.7,11.4,11.45,64500.0
2001-03-29,11.45,11.5,11.35,11.4,60500.0
2001-03-30,11.4,11.6,11.3,11.3,67000.0
2001-04-02,11.3,11.55,11.4,11.55,38500.0
2001-04-03,11.55,11.9,11.5,11.6,220500.0
2001-04-06,11.6,12.2,11.65,11.85,200500.0
2001-04-09,11.85,12.1,11.8,11.9,143000.0
2001-04-10,11.9,12.0,11.9,11.95,171500.0
2001-04-11,11.95,12.15,11.95,12.0,131000.0
2001-04-12,12.0,12.15,11.95,12.1,158000.0
2001-04-13,12.1,12.3,12.0,12.25,247000.0
