Date,Open,High,Low,Close,Volume
2018-07-30,22.05,22.05,22.05,22.05,202000.0
2018-07-31,23.15,23.15,23.15,23.15,3500.0
2018-08-01,24.3,24.3,24.3,24.3,699000.0
2018-08-02,25.51,25.51,24.7,25.51,3159500.0
2018-08-03,25.79,26.68,24.85,25.24,2945000.0
2018-08-06,25.5,25.5,24.55,24.83,475500.0
2018-08-07,24.72,26.0,24.57,25.8,1575500.0
2018-08-08,26.23,27.09,25.8,27.09,2061500.0
2018-08-09,27.95,28.44,27.5,27.92,5296000.0
2018-08-10,28.4,28.58,26.6,27.65,4611000.0
2018-08-13,27.55,29.03,27.55,29.03,3086000.0
2018-08-15,29.5,30.2,28.3,28.77,3385500.0
2018-08-16,28.5,28.95,27.34,28.55,2765000.0
2018-08-17,29.0,29.95,28.8,29.49,5540000.0
2018-08-20,30.0,30.96,29.12,29.97,6795000.0
2018-08-24,31.0,31.46,30.25,31.42,7223500.0
2018-08-27,32.0,32.09,30.45,30.83,4583500.0
2018-08-28,30.6,31.0,29.75,30.05,2955500.0
2018-08-29,30.1,31.55,29.8,31.55,3207000.0
2018-08-30,33.12,33.12,31.7,33.04,7167500.0
2018-08-31,33.25,33.6,32.6,32.76,4278500.0
2018-09-03,32.75,32.75,31.13,31.51,4128500.0
2018-09-04,31.74,31.9,29.94,30.02,3243500.0
2018-09-05,30.19,30.8,29.3,29.61,1887000.0
2018-09-06,29.25,30.0,28.13,28.13,2079500.0
2018-09-07,27.75,28.34,26.73,27.04,1387000.0
2018-09-10,26.8,27.5,25.8,27.26,2257500.0
2018-09-11,27.35,28.62,27.11,28.62,4158000.0
2018-09-12,29.0,29.35,27.27,27.72,2783500.0
2018-09-13,27.41,29.1,27.25,28.57,2724000.0
2018-09-14,28.7,29.04,27.86,28.1,1151000.0
2018-09-17,28.3,28.6,26.95,27.25,863500.0
2018-09-18,26.95,28.2,26.62,27.64,1207500.0
2018-09-19,28.0,28.0,27.35,27.4,478000.0
2018-09-24,27.44,27.8,26.6,26.72,310000.0
2018-09-25,26.55,27.35,26.15,26.31,504500.0
2018-09-26,26.32,26.85,26.15,26.43,356500.0
2018-09-27,26.77,26.77,25.11,25.94,625000.0
2018-09-28,25.51,25.9,25.1,25.2,539500.0
2018-10-01,25.49,25.65,24.75,25.2,760500.0
2018-10-02,25.48,25.49,24.2,24.37,873000.0
2018-10-03,24.2,24.4,23.99,24.29,381000.0
2018-10-04,24.02,24.8,23.8,24.08,562000.0
2018-10-05,24.44,24.44,22.88,23.03,333000.0
2018-10-08,23.54,23.54,21.88,21.88,870000.0
2018-10-09,21.8,22.35,20.79,20.79,2647000.0
2018-10-10,20.6,21.2,19.76,20.7,1166000.0
2018-10-11,20.87,20.99,20.0,20.18,693000.0
2018-10-12,20.0,20.0,19.18,19.18,339000.0
2018-10-15,18.5,19.66,18.25,19.02,1578000.0
2018-10-16,19.49,19.8,18.25,18.35,251500.0
2018-10-17,18.75,19.35,18.65,19.35,488000.0
2018-10-18,19.77,20.35,19.7,20.35,678500.0
2018-10-19,20.75,21.36,20.6,21.36,1437000.0
2018-10-22,21.92,22.42,21.9,22.39,1533500.0
2018-10-23,22.49,22.75,21.28,21.48,1106500.0
2018-10-24,22.55,22.55,22.5,22.55,392000.0
2018-10-25,23.67,23.67,23.1,23.67,1119500.0
2018-10-26,24.2,24.85,23.71,24.85,1260000.0
2018-10-29,25.74,26.09,23.61,23.82,2683500.0
2018-10-30,23.51,24.2,22.75,23.28,1234000.0
2018-10-31,22.85,24.3,22.8,23.77,579500.0
2018-11-01,23.63,24.5,23.63,24.06,473500.0
2018-11-02,23.95,24.5,23.8,24.03,1121500.0
2018-11-05,23.41,24.0,22.95,23.19,363000.0
2018-11-06,23.0,23.27,22.1,22.28,419500.0
2018-11-07,22.89,23.15,22.5,23.0,365500.0
2018-11-08,23.18,23.18,22.5,22.54,121500.0
2018-11-09,22.6,22.9,22.4,22.65,117500.0
2018-11-12,22.8,23.0,22.05,22.15,464000.0
2018-11-13,21.76,22.09,21.75,21.93,158000.0
2018-11-14,21.9,22.87,21.9,22.38,283500.0
2018-11-15,22.38,23.1,22.25,22.48,542500.0
2018-11-16,22.88,22.88,22.36,22.58,249500.0
2018-11-19,22.7,23.7,22.6,23.7,893500.0
2018-11-20,24.19,24.47,23.6,23.78,1230000.0
2018-11-22,23.53,23.6,22.6,22.61,737500.0
2018-11-23,22.49,22.95,22.25,22.33,229000.0
2018-11-26,22.5,22.78,21.9,22.01,178500.0
2018-11-27,22.24,22.34,21.75,22.0,217500.0
2018-11-28,21.9,22.0,21.65,21.67,120500.0
2018-11-29,21.75,22.39,21.51,22.04,135500.0
2018-11-30,22.39,22.39,21.08,21.11,333000.0
2018-12-03,20.3,20.5,20.06,20.06,471000.0
2018-12-04,19.21,20.95,19.2,20.79,195000.0
2018-12-05,20.55,20.95,20.06,20.62,148000.0
2018-12-06,20.26,20.5,19.59,19.66,413500.0
2018-12-07,19.5,19.95,19.4,19.88,213000.0
2018-12-10,20.43,20.6,20.01,20.08,210000.0
2018-12-11,20.5,20.6,19.9,19.95,105500.0
2018-12-12,19.81,20.4,19.6,19.92,128000.0
2018-12-13,19.99,19.99,18.92,19.02,108500.0
2018-12-14,19.1,20.02,19.05,19.95,388500.0
2018-12-17,20.0,20.51,19.5,19.92,373500.0
2018-12-18,19.94,20.23,19.75,19.86,184000.0
2018-12-19,19.5,20.0,19.5,19.71,32000.0
2018-12-20,19.8,20.37,19.5,19.55,108000.0
2018-12-21,19.7,20.29,19.5,19.77,142000.0
2018-12-24,19.51,19.87,19.41,19.6,54500.0
2018-12-26,19.9,19.99,19.38,19.51,53000.0
2018-12-27,19.53,19.8,18.51,18.68,185500.0
2018-12-28,18.55,18.68,18.1,18.14,538000.0
2018-12-31,18.7,19.14,18.5,19.0,301000.0
2019-01-01,19.1,19.8,19.1,19.69,121500.0
2019-01-02,19.25,19.69,18.8,18.94,127000.0
2019-01-03,18.9,19.25,18.6,18.73,81500.0
2019-01-04,18.9,18.99,18.75,18.8,12500.0
2019-01-07,19.35,19.5,19.05,19.29,179500.0
2019-01-08,19.55,20.19,19.5,19.79,795000.0
2019-01-09,20.0,20.0,19.1,19.22,204500.0
2019-01-10,19.6,20.0,19.1,19.26,978500.0
2019-01-11,19.26,19.69,19.2,19.49,209000.0
2019-01-14,19.86,20.0,19.51,19.8,87000.0
2019-01-15,19.11,19.65,18.81,19.05,194500.0
2019-01-16,18.82,19.7,18.45,19.15,216500.0
2019-01-17,19.01,19.5,19.0,19.32,68000.0
2019-01-18,19.49,20.05,19.45,19.8,942500.0
2019-01-21,19.7,20.45,19.7,19.92,752500.0
2019-01-22,19.75,20.35,19.75,19.93,572500.0
2019-01-23,20.18,20.2,19.41,19.5,478500.0
2019-01-24,19.41,19.68,19.31,19.45,169000.0
2019-01-25,19.49,19.65,19.3,19.41,357500.0
2019-01-28,19.49,19.98,19.25,19.37,187000.0
2019-01-29,19.26,19.9,19.25,19.66,379000.0
2019-01-30,19.7,20.5,19.61,20.18,1216000.0
2019-01-31,20.4,20.75,20.18,20.34,711000.0
2019-02-01,20.3,20.8,20.0,20.49,539000.0
2019-02-04,20.5,21.24,20.31,20.79,1078000.0
2019-02-06,20.9,21.4,20.55,20.8,387000.0
2019-02-07,20.99,21.0,20.01,20.29,559000.0
2019-02-08,20.35,20.45,20.0,20.06,95000.0
2019-02-11,20.0,20.3,20.0,20.01,186000.0
2019-02-12,20.34,20.5,20.0,20.3,299500.0
2019-02-13,20.4,21.31,20.4,21.31,664500.0
2019-02-14,22.0,22.37,21.99,22.37,685000.0
2019-02-15,23.48,23.48,22.51,22.76,3159500.0
2019-02-18,22.77,23.89,22.25,23.5,2349500.0
2019-02-19,24.11,24.5,23.62,23.98,1585000.0
2019-02-20,23.75,24.98,23.05,24.72,1120000.0
2019-02-21,24.63,24.63,23.8,24.04,545000.0
2019-02-22,23.65,25.24,23.6,25.22,2312000.0
2019-02-25,25.05,26.24,23.96,25.53,2091500.0
