Date,Open,High,Low,Close,Volume
2001-01-26,22.27,22.27,22.27,22.27,0.0
2001-01-29,22.27,24.0,24.0,24.0,500.0
2001-02-20,24.0,24.0,24.0,24.0,100.0
2001-02-27,24.0,22.0,22.0,22.0,100.0
2001-03-02,22.0,24.0,24.0,24.0,200.0
2001-03-09,24.0,24.0,24.0,24.0,100.0
2001-03-20,24.0,25.0,25.0,25.0,100.0
2001-03-30,25.0,24.0,24.0,24.0,700.0
2001-04-20,24.0,24.0,24.0,24.0,1000.0
2001-04-23,24.0,25.0,23.95,25.0,7600.0
2001-05-15,25.0,24.95,24.95,24.95,100.0
2001-05-21,24.95,24.9,24.85,24.9,1000.0
2001-05-24,24.9,24.95,24.9,24.95,3500.0
2001-05-25,24.95,24.95,24.95,24.95,1000.0
2001-07-04,24.95,24.75,24.75,24.75,100.0
2001-08-07,24.75,23.75,23.75,23.75,100.0
2001-08-08,23.75,24.0,23.9,24.0,200.0
2001-08-21,24.0,24.0,23.25,24.0,200.0
2001-08-22,24.0,26.0,24.0,25.0,19100.0
2001-08-23,25.0,25.2,25.0,25.2,3100.0
2001-08-24,25.2,25.0,25.0,25.0,2300.0
2001-08-27,25.0,25.0,25.0,25.0,6800.0
2001-08-28,25.0,25.0,25.0,25.0,4000.0
2001-08-29,25.0,25.0,25.0,25.0,3000.0
2001-08-30,25.0,25.0,25.0,25.0,500.0
2001-08-31,25.0,25.0,25.0,25.0,3000.0
2001-09-03,25.0,25.0,25.0,25.0,1200.0
2001-09-04,25.0,25.0,25.0,25.0,600.0
2001-09-06,25.0,25.0,24.95,25.0,4200.0
2001-09-07,25.0,25.0,25.0,25.0,2500.0
2001-09-10,25.0,24.9,24.9,24.9,100.0
2001-09-11,24.9,29.6,26.0,29.6,7200.0
2001-09-12,29.6,30.0,27.4,30.0,3600.0
2001-09-13,30.0,29.5,28.5,28.75,700.0
2001-09-24,28.75,27.35,27.35,27.35,1600.0
2001-09-25,27.35,26.9,26.1,26.9,1000.0
2001-09-26,26.9,27.85,27.1,27.75,2800.0
2001-09-27,27.75,27.75,27.75,27.75,100.0
2001-09-28,27.75,28.9,27.5,28.45,900.0
2001-10-01,28.45,28.35,27.05,28.35,1400.0
2001-10-02,28.35,28.35,27.5,28.35,400.0
2001-10-03,28.35,29.0,28.8,29.0,2000.0
2001-10-04,29.0,29.7,29.7,29.7,100.0
2001-10-05,29.7,28.7,28.3,28.7,600.0
2001-10-09,28.7,28.7,28.65,28.7,200.0
2001-10-10,28.7,29.0,28.05,29.0,2700.0
2001-10-15,29.0,28.9,28.9,28.9,300.0
2001-10-16,28.9,30.0,29.2,29.5,4900.0
2001-10-17,29.5,29.7,29.0,29.7,1300.0
2001-10-18,29.7,29.45,28.85,29.45,700.0
2001-10-22,29.45,29.9,29.0,29.0,4000.0
2001-10-23,29.0,29.75,28.75,29.2,2500.0
2001-10-24,29.2,29.0,28.9,28.9,1300.0
2001-10-25,28.9,28.75,28.0,28.7,2300.0
2001-10-29,28.7,29.5,28.7,28.75,8300.0
2001-10-31,28.75,28.45,28.0,28.0,1400.0
2001-11-01,28.0,27.75,27.75,27.75,300.0
2001-11-02,27.75,28.75,28.75,28.75,100.0
2001-11-08,28.75,27.35,27.35,27.35,100.0
2001-11-12,27.35,28.9,27.4,27.4,2500.0
2001-12-05,27.4,25.35,25.35,25.35,100.0
2001-12-12,23.85,23.85,23.85,23.85,0.0
2001-12-15,23.85,22.1,22.1,22.1,300.0
2001-12-27,22.1,20.5,20.5,20.5,100.0
2001-12-28,20.5,21.85,21.85,21.85,200.0
2002-01-01,21.85,21.25,20.35,20.35,200.0
2002-01-02,20.35,19.7,19.7,19.7,1700.0
2002-01-04,19.7,19.85,19.85,19.85,500.0
2002-01-07,19.85,19.2,19.2,19.2,100.0
2002-01-09,19.2,19.05,19.05,19.05,1000.0
2002-01-14,19.05,19.0,18.7,18.7,1700.0
2002-01-15,18.7,18.5,18.4,18.4,400.0
2002-01-16,18.4,18.3,18.3,18.3,500.0
2002-01-21,18.3,19.0,19.0,19.0,300.0
2002-01-23,19.0,19.0,19.0,19.0,200.0
2002-01-24,19.0,19.5,19.1,19.5,300.0
2002-01-25,19.5,20.5,19.1,20.5,700.0
2002-01-28,20.5,20.4,20.4,20.4,100.0
2002-02-04,20.4,21.5,21.5,21.5,100.0
2002-02-11,21.5,22.5,22.5,22.5,100.0
2002-02-13,22.5,22.0,22.0,22.0,1000.0
2002-02-15,22.0,22.5,22.5,22.5,500.0
2002-02-18,22.5,22.75,22.75,22.75,1000.0
2002-02-21,22.75,22.8,22.0,22.0,1400.0
2002-02-26,22.0,22.0,21.8,22.0,2000.0
2002-03-11,22.0,22.9,22.9,22.9,100.0
2002-03-13,22.9,22.75,22.0,22.75,400.0
2002-03-14,22.75,22.0,22.0,22.0,500.0
2002-03-15,22.0,22.0,22.0,22.0,1000.0
2002-03-20,22.0,21.0,21.0,21.0,100.0
2002-03-26,21.0,21.75,21.0,21.75,200.0
2002-03-27,21.75,21.3,21.25,21.25,500.0
2002-03-28,21.25,21.0,21.0,21.25,100.0
2002-03-29,21.25,21.5,21.5,21.5,600.0
2002-04-01,21.5,21.25,21.25,21.25,700.0
2002-04-02,21.25,21.5,21.25,21.25,1700.0
2002-04-03,21.25,21.25,21.25,21.25,300.0
2002-04-05,21.25,21.0,21.0,21.0,700.0
2002-04-08,21.0,21.2,21.2,21.2,400.0
2002-04-09,21.2,21.5,21.5,21.5,0.0
2002-04-12,21.5,22.0,22.0,22.0,100.0
2002-04-15,22.0,21.9,21.9,21.9,0.0
2002-04-16,21.9,23.0,21.9,23.0,300.0
2002-04-19,23.0,22.9,22.9,22.9,500.0
2002-04-23,22.9,22.05,22.05,22.05,400.0
2002-04-24,22.05,22.5,22.5,22.5,600.0
2002-04-25,22.5,22.25,22.1,22.1,300.0
2002-04-29,22.1,23.5,23.25,23.25,100.0
2002-04-30,23.25,23.0,23.0,23.0,0.0
2002-05-03,23.0,22.95,22.95,22.95,0.0
2002-05-06,22.95,22.9,22.9,22.9,0.0
2002-05-07,22.9,22.0,22.0,22.0,0.0
2002-05-08,22.0,21.2,21.2,21.2,200.0
2002-05-09,21.2,21.0,21.0,21.0,800.0
2002-05-14,21.0,22.0,21.9,21.9,200.0
2002-05-21,21.9,20.85,20.85,20.85,0.0
2002-05-24,20.85,22.0,22.0,22.0,1000.0
2002-05-28,22.0,21.9,21.9,21.9,0.0
2002-06-03,21.9,21.5,21.5,21.5,0.0
2002-07-17,21.5,21.0,21.0,21.0,1000.0
2002-08-06,21.0,20.9,20.9,20.9,0.0
2002-08-08,20.9,20.75,20.75,20.75,0.0
2002-08-12,20.75,20.7,20.7,20.7,0.0
2002-08-13,20.7,20.45,20.45,20.45,500.0
2002-08-20,20.45,20.4,20.4,20.4,0.0
2002-08-26,20.4,20.0,20.0,20.0,500.0
2002-08-27,20.0,19.65,19.5,19.5,1500.0
2002-09-03,19.5,19.45,19.45,19.45,200.0
2002-09-04,19.45,19.45,19.0,19.4,1300.0
2002-09-06,19.4,18.5,18.5,18.5,500.0
2002-09-09,18.5,18.75,18.75,18.75,200.0
2002-09-10,18.75,19.0,18.5,18.55,1700.0
2002-09-11,18.55,19.0,18.25,19.0,500.0
2002-09-12,19.0,19.0,19.0,19.0,200.0
