Date,Open,High,Low,Close,Volume
2001-01-01,15.0,16.5,15.0,16.5,2000.0
2001-01-08,16.5,17.5,17.5,17.5,500.0
2001-01-26,17.5,17.5,17.5,17.5,0.0
2001-02-08,17.5,17.0,17.0,17.0,500.0
2001-02-20,17.0,17.0,17.0,17.0,500.0
2001-02-23,17.0,18.0,18.0,18.0,500.0
2001-02-27,18.0,18.0,18.0,18.0,1500.0
2001-02-28,18.0,17.0,17.0,17.0,500.0
2001-03-01,17.0,17.95,17.9,17.95,2000.0
2001-03-02,17.95,19.0,18.25,19.0,1500.0
2001-03-12,19.0,19.0,19.0,19.0,500.0
2001-03-14,19.0,19.0,19.0,19.0,500.0
2001-03-16,19.0,18.5,18.5,18.5,500.0
2001-03-21,18.5,18.0,18.0,18.0,500.0
2001-03-22,18.0,18.0,18.0,18.0,0.0
2001-03-28,18.0,18.5,18.5,18.5,1000.0
2001-04-10,18.5,18.6,18.5,18.5,3500.0
2001-04-16,18.5,18.2,18.0,18.2,2000.0
2001-04-17,18.2,18.8,18.8,18.8,500.0
2001-04-23,18.8,24.0,19.95,22.0,44000.0
2001-04-24,22.0,22.0,22.0,22.0,500.0
2001-04-25,22.0,22.5,22.5,22.5,1000.0
2001-04-27,22.5,23.55,23.55,23.55,500.0
2001-05-03,23.55,23.55,23.55,23.55,0.0
2001-05-15,23.55,22.5,22.1,22.1,5500.0
2001-05-16,22.1,22.5,22.0,22.5,17500.0
2001-05-17,22.5,22.5,22.5,22.5,1000.0
2001-05-18,22.5,22.5,22.5,22.5,1000.0
2001-05-22,22.5,23.25,22.8,23.25,1500.0
2001-05-23,23.25,23.25,22.5,22.5,6000.0
2001-05-31,22.5,23.6,23.0,23.0,3500.0
2001-06-28,23.0,25.0,25.0,25.0,500.0
2001-07-09,25.0,25.25,25.25,25.25,1000.0
2001-07-11,25.25,25.0,25.0,25.0,500.0
2001-07-18,25.0,25.0,25.0,25.0,1500.0
2001-07-19,25.0,25.0,25.0,25.0,1000.0
2001-08-03,25.0,25.0,25.0,25.0,1000.0
2001-08-08,25.0,25.0,25.0,25.0,500.0
2001-08-13,25.0,25.15,25.15,25.15,500.0
2001-08-15,25.15,26.0,26.0,26.0,500.0
2001-08-17,26.0,25.2,25.2,25.2,500.0
2001-08-21,25.2,27.0,26.0,26.0,2500.0
2001-08-22,26.0,32.0,28.0,32.0,5000.0
2001-08-23,32.0,36.9,35.6,36.5,10500.0
2001-08-24,36.5,36.9,33.35,33.35,1500.0
2001-08-27,33.35,36.5,34.5,34.5,8500.0
2001-08-28,34.5,35.5,35.35,35.5,2000.0
2001-08-29,35.5,36.5,35.3,36.5,5000.0
2001-08-30,36.5,36.5,36.5,36.5,2000.0
2001-08-31,36.5,36.75,36.75,36.75,2000.0
2001-09-03,36.75,36.75,36.75,36.75,1500.0
2001-09-04,36.75,38.0,37.0,37.75,2500.0
