Date,Open,High,Low,Close,Volume
2001-01-11,15.0,16.0,16.0,16.0,1000.0
2001-01-12,16.0,15.1,15.05,15.05,1500.0
2001-01-18,15.05,15.05,15.0,15.0,6000.0
2001-01-19,15.0,15.1,15.0,15.0,12500.0
2001-01-26,15.0,15.25,15.0,15.0,12000.0
2001-01-30,15.0,15.0,15.0,15.0,1000.0
2001-01-31,15.0,15.0,15.0,15.0,500.0
2001-02-01,15.0,16.5,16.5,16.5,500.0
2001-02-14,16.5,15.25,15.2,15.2,1500.0
2001-02-15,15.2,15.5,15.5,15.5,1000.0
2001-02-16,15.5,15.9,15.9,15.9,500.0
2001-02-20,15.9,15.15,15.15,15.15,500.0
2001-02-23,15.15,15.0,15.0,15.0,1000.0
2001-02-26,15.0,15.0,15.0,15.0,5000.0
2001-03-02,15.0,15.5,15.5,15.5,500.0
2001-03-21,15.5,15.0,15.0,15.0,500.0
2001-03-22,15.0,15.0,15.0,15.0,500.0
2001-03-30,15.0,15.05,15.0,15.0,7500.0
2001-04-02,15.0,15.05,15.0,15.0,8000.0
2001-04-11,15.0,15.5,15.5,15.5,500.0
2001-04-12,15.5,15.55,15.5,15.5,1500.0
2001-05-11,15.5,16.0,15.5,15.5,7500.0
2001-05-15,15.5,15.75,15.75,15.75,500.0
2001-05-16,15.75,15.5,15.5,15.5,1000.0
2001-05-17,15.5,15.55,15.55,15.55,500.0
2001-05-18,15.55,15.55,15.55,15.55,500.0
2001-05-21,15.55,15.55,15.55,15.55,0.0
2001-05-24,15.55,16.0,16.0,16.0,500.0
2001-05-30,16.0,16.0,16.0,16.0,500.0
2001-06-04,13.33,13.33,13.33,13.33,0.0
2001-06-21,13.33,14.0,14.0,14.0,500.0
2001-06-26,14.0,14.5,14.5,14.5,500.0
2001-06-29,14.5,14.0,14.0,14.0,500.0
2001-07-05,14.0,14.0,14.0,14.0,500.0
2001-07-16,14.0,14.0,14.0,14.0,0.0
2001-07-19,14.0,14.5,14.5,14.5,500.0
2001-07-25,14.5,13.4,13.4,13.4,500.0
2001-08-03,13.4,13.4,13.4,13.4,500.0
2001-08-23,13.4,13.75,13.75,13.75,1000.0
2001-09-11,13.75,13.75,13.5,13.75,3000.0
2001-10-05,13.75,13.1,13.1,13.1,500.0
2001-10-15,13.1,13.5,13.5,13.5,1000.0
2001-10-17,13.5,13.7,13.1,13.7,5000.0
2001-10-18,13.7,14.0,13.75,14.0,5000.0
2001-10-22,14.0,15.9,15.9,15.9,500.0
2001-10-23,15.9,17.0,17.0,17.0,500.0
2001-10-25,17.0,18.0,17.0,18.0,5500.0
2001-10-30,18.0,18.0,17.5,18.0,1000.0
2001-10-31,18.0,18.2,17.95,18.2,1500.0
2001-11-01,18.2,18.25,18.25,18.25,500.0
2001-11-06,18.25,17.6,17.6,17.6,1000.0
2001-11-08,17.6,18.9,18.9,18.9,500.0
2001-11-15,18.9,19.0,19.0,19.0,500.0
2001-11-16,19.0,19.5,19.45,19.5,1000.0
2001-11-19,19.5,19.25,19.0,19.0,2000.0
2001-12-03,19.0,20.0,20.0,20.0,500.0
2002-01-23,20.0,20.0,20.0,20.0,12000.0
2002-01-25,20.0,18.5,18.5,18.5,500.0
2002-01-30,18.5,17.5,17.5,17.5,1000.0
2002-01-31,17.5,18.0,17.5,17.5,2000.0
2002-02-01,17.5,18.85,18.5,18.85,2500.0
2002-02-04,18.85,17.5,17.5,17.5,2000.0
2002-02-06,17.5,17.5,17.5,17.5,500.0
2002-02-07,17.5,17.5,17.5,17.5,500.0
2002-02-08,17.5,18.0,18.0,18.0,2000.0
2002-02-11,18.0,19.05,19.0,19.05,1000.0
