Date,Open,High,Low,Close,Volume
2002-06-28,10.0,11.5,11.35,11.5,16500.0
2002-07-01,11.5,13.0,11.95,13.0,167500.0
2002-07-02,13.0,14.5,13.5,14.5,496000.0
2002-07-03,14.5,16.0,14.7,16.0,787500.0
2002-07-04,16.0,17.2,15.0,15.0,1472500.0
2002-07-05,15.0,15.25,14.05,14.8,1208500.0
2002-07-08,14.8,15.55,14.8,15.25,805000.0
2002-07-09,15.25,15.55,14.3,14.5,590500.0
2002-07-10,14.5,14.9,14.25,14.4,201500.0
2002-07-11,14.4,14.4,13.75,14.1,321000.0
2002-07-12,14.1,13.9,13.6,13.6,119500.0
2002-07-15,13.6,13.1,12.6,12.6,145000.0
2002-07-16,12.6,13.1,12.65,12.95,256000.0
2002-07-17,12.95,13.65,13.0,13.5,569000.0
2002-07-18,13.5,14.2,13.25,13.95,967500.0
2002-07-19,13.95,14.35,13.7,13.85,408000.0
2002-07-22,13.85,14.15,13.65,13.65,186000.0
2002-07-23,13.65,13.6,12.85,13.1,463000.0
2002-07-24,13.1,13.25,12.85,12.9,182500.0
2002-07-25,12.9,13.65,12.85,13.3,792000.0
2002-07-26,13.3,13.25,13.05,13.25,147500.0
2002-07-29,13.25,13.25,12.85,12.85,161500.0
2002-07-30,12.85,13.1,12.8,12.8,204000.0
2002-07-31,12.8,12.8,12.45,12.75,187000.0
2002-08-01,12.75,12.9,12.7,12.7,51000.0
2002-08-02,12.7,12.7,12.45,12.45,83000.0
2002-08-05,12.45,12.5,12.1,12.35,58000.0
2002-08-06,12.35,12.5,12.3,12.3,37500.0
2002-08-07,12.3,12.75,12.4,12.65,192000.0
2002-08-08,12.65,12.8,12.6,12.6,81500.0
2002-08-09,12.6,12.85,12.5,12.8,111000.0
2002-08-12,12.8,13.5,12.9,13.35,764500.0
2002-08-13,13.35,14.3,13.5,13.8,1863000.0
2002-08-15,13.8,14.0,13.5,13.55,613000.0
2002-08-16,13.55,13.6,13.35,13.4,210000.0
2002-08-19,13.4,13.8,13.35,13.45,363000.0
2002-08-20,13.45,13.55,13.4,13.45,113000.0
2002-08-21,13.45,13.85,13.45,13.6,352500.0
2002-08-22,13.6,13.95,13.55,13.6,337500.0
2002-08-23,13.6,13.85,13.4,13.45,139500.0
2002-08-26,13.45,13.7,13.2,13.5,238000.0
2002-08-27,13.5,13.8,13.5,13.75,99500.0
2002-08-28,13.75,14.15,13.55,13.55,605000.0
2002-08-29,13.55,14.05,13.6,13.95,439000.0
2002-08-30,13.95,14.4,14.0,14.15,581000.0
2002-09-02,14.15,14.4,13.4,13.4,212000.0
2002-09-03,13.4,13.65,13.3,13.4,205500.0
2002-09-04,13.4,14.1,13.6,13.9,604500.0
2002-09-05,13.9,14.35,13.9,13.9,647000.0
2002-09-06,13.9,14.35,14.05,14.2,322500.0
2002-09-09,14.2,14.65,14.1,14.2,626500.0
2002-09-10,14.2,14.35,13.9,13.9,244000.0
2002-09-11,13.9,14.05,13.5,13.65,194000.0
2002-09-12,13.65,13.5,12.65,13.05,510500.0
2002-09-13,13.05,13.3,13.0,13.25,423500.0
2002-09-16,13.25,13.25,12.9,12.9,137500.0
2002-09-17,12.9,13.5,13.0,13.4,315500.0
2002-09-18,13.4,13.8,13.3,13.4,430000.0
2002-09-19,13.4,14.0,13.25,13.75,371000.0
2002-09-20,13.75,13.7,13.35,13.45,102000.0
2002-09-23,13.45,13.4,13.3,13.35,42000.0
2002-09-24,13.35,13.6,13.25,13.35,90500.0
2002-09-25,13.35,13.5,13.3,13.4,27000.0
2002-09-26,13.4,13.75,13.4,13.45,166000.0
2002-09-27,13.45,13.75,13.45,13.65,61000.0
2002-09-30,13.65,13.8,13.6,13.7,139000.0
2002-10-01,13.7,14.75,13.85,14.55,1763500.0
2002-10-02,14.55,14.85,14.25,14.45,686000.0
2002-10-03,14.45,14.45,14.0,14.05,96500.0
2002-10-04,14.05,14.4,14.25,14.25,26500.0
2002-10-07,14.25,15.15,14.45,14.8,260000.0
2002-10-08,14.8,15.0,14.5,14.65,70500.0
2002-10-09,14.65,14.9,14.7,14.8,20500.0
2002-10-11,14.3,14.0,13.4,13.5,137500.0
2002-10-14,13.5,14.65,13.05,14.25,748000.0
2002-10-15,14.25,15.1,14.35,14.8,887000.0
2002-10-16,14.8,16.1,14.75,16.1,1667000.0
2002-10-17,16.1,16.95,16.0,16.25,1284500.0
2002-10-18,16.25,16.55,15.9,15.9,292000.0
2002-10-21,15.9,16.1,15.5,16.0,403500.0
2002-10-22,16.0,16.0,15.45,15.5,115000.0
2002-10-23,15.5,15.45,15.0,15.15,186000.0
2002-10-24,15.15,15.7,14.85,15.25,228000.0
2002-10-25,15.25,16.0,14.95,15.5,302000.0
2002-10-28,15.5,15.75,15.0,15.3,152000.0
2002-10-29,15.3,15.9,15.2,15.7,537000.0
2002-10-30,15.7,15.9,15.5,15.5,164000.0
2002-10-31,15.5,16.2,15.5,15.95,649000.0
2002-11-01,15.95,16.6,16.0,16.15,602000.0
2002-11-04,16.15,16.5,15.8,16.0,1160500.0
2002-11-05,16.0,17.2,16.0,16.7,876000.0
2002-11-06,16.7,16.85,15.95,16.0,396000.0
2002-11-07,16.0,16.4,16.05,16.25,236000.0
2002-11-08,16.25,16.25,16.1,16.2,23000.0
2002-11-11,16.2,16.15,15.9,16.15,26500.0
2002-11-12,16.15,16.55,16.15,16.3,188000.0
2002-11-13,16.3,17.1,16.4,16.7,283500.0
2002-11-14,16.7,17.0,16.4,16.55,260500.0
2002-11-15,16.55,16.5,16.1,16.2,137000.0
2002-11-18,16.2,16.5,16.25,16.3,40000.0
2002-11-19,16.3,16.5,16.15,16.2,90500.0
2002-11-20,16.2,16.7,16.2,16.45,276500.0
2002-11-21,16.45,16.7,16.2,16.4,188000.0
2002-11-22,16.4,16.55,16.35,16.45,95000.0
2002-11-25,16.45,16.6,16.4,16.4,122000.0
2002-11-26,16.4,16.4,16.0,16.05,279500.0
2002-11-27,16.05,16.05,15.45,15.45,69000.0
2002-11-28,15.45,15.6,15.3,15.3,148500.0
2002-11-29,15.3,15.55,15.4,15.45,19000.0
2002-12-02,15.45,15.75,15.5,15.75,15500.0
2002-12-04,15.75,16.0,15.5,16.0,72000.0
2002-12-09,16.0,16.5,16.0,16.5,117000.0
2002-12-10,16.5,16.55,16.25,16.25,143500.0
2002-12-11,16.25,16.5,16.25,16.45,145000.0
2002-12-12,16.45,17.95,16.5,17.95,1754500.0
2002-12-13,17.95,18.7,17.85,17.85,548500.0
2002-12-16,17.85,17.95,17.35,17.6,279000.0
2002-12-17,17.6,17.5,17.15,17.4,77000.0
2002-12-18,17.4,17.8,17.0,17.8,145500.0
2002-12-19,17.8,17.8,17.25,17.4,100000.0
2002-12-20,17.4,18.5,17.3,17.65,407000.0
2002-12-23,17.65,17.75,16.85,17.0,312500.0
2002-12-24,17.0,17.35,17.0,17.35,104000.0
2002-12-26,17.35,17.85,17.35,17.75,149000.0
2002-12-27,17.75,17.85,17.25,17.45,78500.0
2002-12-30,17.45,17.65,17.1,17.25,45000.0
2002-12-31,17.25,17.7,17.25,17.25,75500.0
2003-01-01,17.25,17.25,17.0,17.0,52000.0
2003-01-02,17.0,17.2,16.9,16.9,80000.0
2003-01-03,16.9,18.4,16.8,18.4,396500.0
2003-01-06,18.4,19.7,18.0,19.1,607500.0
2003-01-07,19.1,20.35,19.15,19.7,567000.0
2003-01-08,19.7,20.6,19.15,19.4,995500.0
2003-01-09,19.4,19.4,18.65,18.75,336500.0
2003-01-10,18.75,18.95,18.5,18.5,152000.0
2003-01-13,18.5,19.0,18.3,18.4,105500.0
2003-01-14,18.4,18.55,18.25,18.3,18000.0
2003-01-15,18.3,19.55,18.5,19.4,452000.0
2003-01-16,19.4,20.8,19.25,19.55,1095000.0
2003-01-17,19.55,20.45,19.5,19.75,199500.0
2003-01-20,19.75,19.8,19.3,19.3,73000.0
2003-01-21,19.3,19.6,18.3,18.3,95000.0
2003-01-22,18.3,18.45,17.4,17.95,68500.0
2003-01-23,17.95,18.3,16.95,16.95,87500.0
2003-01-24,16.95,16.5,15.95,15.95,38500.0
2003-01-27,15.95,17.2,16.25,17.05,94000.0
2003-01-28,17.05,17.1,16.05,16.5,45000.0
2003-01-29,16.5,16.05,15.6,16.0,33000.0
2003-01-30,16.0,16.45,15.75,16.05,52500.0
2003-01-31,16.05,16.0,15.05,15.35,41000.0
2003-02-03,15.35,14.95,14.35,14.8,60000.0
2003-02-04,14.8,15.5,14.5,14.6,90000.0
2003-02-06,14.6,14.5,14.35,14.5,5500.0
2003-02-07,14.5,14.75,14.5,14.65,35000.0
2003-02-10,14.65,14.4,14.15,14.4,8500.0
2003-02-17,14.4,15.0,14.7,15.0,21000.0
2003-02-18,15.0,15.45,15.05,15.05,25500.0
2003-02-19,15.05,15.5,15.2,15.25,6000.0
2003-02-20,15.25,15.0,14.75,14.9,15500.0
2003-02-21,14.9,15.2,14.75,14.75,15500.0
2003-02-24,14.75,15.4,14.95,15.0,16500.0
2003-02-25,15.0,14.9,14.5,14.5,7500.0
2003-02-26,14.5,14.55,14.25,14.25,17000.0
2003-02-27,14.25,13.95,13.5,13.5,14000.0
2003-02-28,13.5,13.4,13.4,13.4,500.0
2003-03-03,13.4,14.7,14.4,14.5,16000.0
2003-03-04,14.5,14.95,14.7,14.7,500.0
2003-03-05,14.7,14.95,14.0,14.05,10000.0
2003-03-06,14.05,14.0,13.95,14.0,1500.0
2003-03-10,14.0,13.8,13.8,13.8,1000.0
2003-03-11,13.8,14.0,13.8,13.8,2000.0
2003-03-12,13.8,14.55,14.0,14.0,9500.0
2003-03-17,14.0,13.7,13.5,13.5,30500.0
2003-03-18,13.5,13.65,13.3,13.55,2000.0
2003-03-19,13.55,13.6,13.5,13.5,18000.0
2003-03-20,13.5,13.9,13.25,13.8,5500.0
2003-03-21,13.8,14.5,13.95,14.5,26500.0
2003-03-24,14.5,14.9,14.6,14.7,21000.0
2003-03-25,14.7,14.5,14.25,14.5,5000.0
2003-03-26,14.5,15.5,14.7,14.7,40000.0
2003-03-27,14.7,15.75,15.15,15.15,51000.0
2003-03-28,15.15,15.65,15.45,15.45,21000.0
2003-03-31,15.45,15.25,14.8,15.15,34500.0
2003-04-01,15.15,15.2,14.5,15.2,78000.0
2003-04-02,15.2,15.7,15.25,15.5,33500.0
2003-04-03,15.5,15.05,14.9,15.05,24000.0
2003-04-04,15.05,15.2,14.95,15.2,15500.0
2003-04-07,15.2,15.95,15.1,15.8,67000.0
2003-04-08,15.8,16.4,15.7,16.4,145000.0
2003-04-09,16.4,17.25,16.2,16.85,588000.0
2003-04-10,16.85,18.15,16.65,17.85,611500.0
2003-04-11,17.85,18.5,17.65,17.65,411500.0
2003-04-14,17.65,17.8,17.4,17.7,65000.0
2003-04-15,17.7,18.7,17.8,17.95,704500.0
2003-04-16,17.95,18.45,18.05,18.35,193000.0
2003-04-17,18.35,19.3,18.5,18.65,709000.0
2003-04-18,18.65,19.25,18.6,19.15,535500.0
2003-04-21,19.15,20.0,18.65,18.8,177000.0
2003-04-22,18.8,18.9,17.8,17.8,111500.0
