Date,Open,High,Low,Close,Volume
2001-01-08,48.5,46.0,46.0,46.0,1000.0
2001-01-11,46.0,46.9,46.9,46.9,1000.0
2001-01-18,46.9,46.9,46.9,46.9,0.0
2001-02-20,46.9,46.0,46.0,46.0,1000.0
2001-02-21,46.0,47.4,47.4,47.4,1000.0
2001-02-22,47.4,48.0,44.0,44.5,3700.0
2001-03-09,44.5,44.5,44.5,44.5,0.0
2001-03-16,44.5,43.0,43.0,43.0,1000.0
2001-03-21,41.5,41.5,41.5,41.5,0.0
2001-04-25,41.5,45.75,38.25,45.75,3000.0
2001-04-27,45.75,46.0,46.0,46.0,200.0
2001-04-30,46.0,46.0,46.0,46.0,0.0
2001-05-02,46.0,46.0,46.0,46.0,0.0
2001-05-31,46.0,41.0,41.0,41.0,200.0
2001-06-01,41.0,41.05,40.55,40.55,1000.0
2001-06-04,40.55,40.55,40.55,40.55,500.0
2001-06-06,40.55,43.95,40.25,40.25,1800.0
2001-06-08,40.25,39.8,39.8,39.8,500.0
2001-06-15,39.8,40.55,40.55,40.55,500.0
2001-06-20,40.55,46.0,43.7,46.0,600.0
2001-06-21,46.0,45.0,45.0,45.0,1000.0
2001-06-22,45.0,41.0,41.0,41.0,500.0
2001-06-26,41.0,41.0,41.0,41.0,1500.0
2001-07-04,41.0,41.0,41.0,41.0,200.0
2001-07-05,41.0,41.0,41.0,41.0,100.0
2001-07-10,41.0,42.0,42.0,42.0,200.0
2001-07-16,42.0,42.0,42.0,42.0,300.0
2001-07-18,42.0,42.0,42.0,42.0,500.0
2001-07-30,42.0,42.9,42.9,42.9,100.0
2001-08-03,42.9,41.0,41.0,41.0,200.0
2001-08-09,41.0,41.0,41.0,41.0,1000.0
2001-08-10,41.0,41.2,41.2,41.2,400.0
2001-08-15,41.2,41.0,40.0,40.0,700.0
2001-09-26,40.0,40.0,40.0,40.0,100.0
2001-10-01,40.0,40.0,40.0,40.0,100.0
2001-10-02,40.0,43.95,43.95,43.95,200.0
2001-10-03,43.95,45.0,44.0,45.0,600.0
2001-10-05,45.0,44.0,44.0,44.0,100.0
2001-10-10,44.0,44.0,44.0,44.0,300.0
2001-10-15,44.0,43.0,43.0,43.0,1000.0
2001-10-17,43.0,41.0,41.0,41.0,200.0
2001-10-18,41.0,39.0,39.0,39.0,200.0
2001-10-22,39.0,41.0,41.0,41.0,100.0
2001-10-25,41.0,45.0,43.0,45.0,1500.0
2001-10-26,45.0,50.0,45.25,48.0,1700.0
2001-10-29,48.0,50.0,50.0,50.0,600.0
2001-11-19,50.0,47.5,47.5,47.5,1000.0
2001-11-27,46.5,46.5,46.5,46.5,0.0
2001-12-05,46.5,43.25,43.25,43.25,200.0
2001-12-08,43.25,44.0,44.0,44.0,1100.0
2001-12-10,44.0,44.9,44.5,44.9,1000.0
2001-12-21,44.9,43.0,43.0,43.0,200.0
2001-12-24,43.0,43.0,43.0,43.0,1000.0
2002-01-02,43.0,40.0,40.0,40.0,200.0
2002-01-09,40.0,40.0,40.0,40.0,1000.0
2002-01-15,40.0,40.5,40.0,40.5,1100.0
2002-01-23,40.5,40.25,40.25,40.25,700.0
2002-01-25,40.25,40.5,40.5,40.5,400.0
2002-02-04,40.5,41.95,41.95,41.95,200.0
2002-02-08,41.95,43.0,43.0,43.0,1000.0
2002-02-11,43.0,44.0,43.95,44.0,300.0
2002-02-12,44.0,46.0,44.5,46.0,1500.0
2002-02-13,46.0,46.4,43.0,46.4,1600.0
2002-02-14,46.4,46.5,45.5,46.5,1500.0
2002-02-18,46.5,46.0,45.0,45.0,300.0
2002-02-19,45.0,47.0,44.0,47.0,1200.0
2002-02-20,47.0,49.0,47.0,49.0,3100.0
2002-02-21,49.0,48.5,47.0,48.5,2600.0
2002-02-26,48.5,47.5,47.5,47.5,1100.0
2002-03-01,47.5,48.9,48.9,48.9,100.0
2002-03-04,48.9,49.5,49.5,49.5,2000.0
2002-03-05,49.5,52.0,50.0,52.0,1100.0
2002-03-06,52.0,53.0,52.0,52.5,1700.0
2002-03-07,51.0,52.5,52.5,52.5,300.0
2002-03-08,52.5,50.9,50.5,50.9,1300.0
2002-03-13,50.9,50.0,49.0,50.0,1800.0
2002-03-14,50.0,51.75,51.0,51.0,500.0
2002-03-15,51.0,51.0,51.0,51.0,1500.0
2002-03-18,51.0,50.9,48.05,50.9,500.0
2002-03-19,50.9,50.95,50.0,50.95,1800.0
2002-03-21,50.95,54.5,52.5,54.0,1500.0
2002-03-22,54.0,57.0,56.75,56.95,1100.0
2002-03-26,56.95,56.0,56.0,56.0,800.0
2002-03-27,56.0,55.9,55.9,55.9,0.0
2002-03-28,55.9,52.95,52.95,52.95,0.0
2002-03-29,52.95,53.0,53.0,53.0,100.0
2002-04-01,53.0,53.0,53.0,53.0,200.0
2002-04-03,53.0,52.95,52.95,52.95,0.0
2002-04-08,52.95,50.0,50.0,50.0,0.0
2002-04-09,50.0,48.0,48.0,48.0,100.0
2002-04-10,48.0,48.0,48.0,48.0,500.0
2002-04-12,48.0,48.95,48.95,48.95,200.0
2002-04-16,48.95,52.6,51.0,52.6,6600.0
2002-04-17,52.6,56.0,53.1,56.0,1300.0
2002-04-18,56.0,58.0,55.0,58.0,3900.0
2002-04-19,58.0,62.35,57.0,60.0,72200.0
2002-04-22,60.0,62.0,61.75,61.75,500.0
2002-04-23,61.75,62.0,61.5,62.0,4000.0
2002-04-24,62.0,66.0,63.0,64.0,4000.0
2002-04-25,64.0,66.0,65.0,66.0,600.0
2002-04-29,66.0,69.0,69.0,69.0,100.0
2002-04-30,69.0,69.0,69.0,69.0,2000.0
2002-05-02,69.0,68.0,68.0,68.0,0.0
2002-05-03,68.0,68.5,68.0,68.0,100.0
2002-05-06,68.0,68.0,65.0,66.0,3500.0
2002-05-07,66.0,66.6,63.0,63.0,3100.0
