Date,Open,High,Low,Close,Volume
2014-02-11,15.0,15.0,15.0,15.0,1504500.0
2014-02-12,16.0,16.0,16.0,16.0,4500.0
2014-02-13,15.0,16.97,16.97,16.97,0.0
2014-02-14,17.96,17.96,17.0,17.96,2587500.0
2014-02-17,18.96,18.96,18.5,18.96,7489000.0
2014-02-18,19.25,19.9,17.96,18.39,4305000.0
2014-02-19,18.25,18.58,17.45,17.53,585000.0
2014-02-20,17.53,17.6,17.01,17.08,445000.0
2014-02-21,17.1,17.96,16.91,17.4,987000.0
2014-02-24,17.41,18.22,17.41,17.8,656000.0
2014-02-25,17.6,17.75,17.0,17.19,282000.0
2014-02-26,17.25,17.25,16.9,16.94,190000.0
2014-02-27,16.95,17.2,16.5,16.94,227500.0
2014-02-28,16.9,17.29,16.86,17.09,201000.0
2014-03-03,17.29,18.05,17.2,17.82,1244000.0
2014-03-04,18.0,18.54,17.5,18.34,1045000.0
2014-03-05,18.55,18.89,18.11,18.54,968000.0
2014-03-06,18.55,19.5,18.5,19.35,3313000.0
2014-03-07,19.5,19.55,19.03,19.15,518000.0
2014-03-10,19.4,19.4,18.45,18.48,897500.0
2014-03-11,18.7,19.15,18.55,18.76,537000.0
2014-03-12,18.71,19.65,18.7,19.37,2352000.0
2014-03-13,19.55,19.76,18.8,18.99,1950500.0
2014-03-14,19.0,19.4,19.0,19.21,914000.0
2014-03-17,20.21,20.21,20.21,20.21,3381000.0
2014-03-18,21.22,21.22,21.22,21.22,670000.0
2014-03-19,22.0,22.28,21.6,22.28,7117500.0
2014-03-20,22.89,22.99,22.1,22.72,3906000.0
2014-03-21,22.79,22.9,22.45,22.69,1126500.0
2014-03-24,22.88,22.9,22.42,22.47,950000.0
2014-03-25,22.55,23.59,22.52,23.59,2647500.0
2014-03-26,23.88,24.76,23.7,24.76,3164500.0
2014-03-27,25.25,25.99,25.25,25.99,1174500.0
2014-03-28,27.0,27.15,25.0,25.14,5239500.0
2014-03-31,25.3,25.65,24.7,25.17,1251500.0
2014-04-01,25.25,25.8,25.25,25.57,1077000.0
2014-04-02,25.6,26.84,25.31,26.84,3491000.0
2014-04-03,27.4,27.99,27.31,27.44,3629000.0
2014-04-04,27.5,27.5,26.7,27.05,1338000.0
2014-04-07,27.0,28.4,26.8,28.35,3049500.0
2014-04-08,28.85,29.76,28.45,29.66,4010500.0
2014-04-09,29.83,31.14,29.45,31.12,3375500.0
2014-04-10,31.85,32.67,31.6,32.54,2498500.0
2014-04-11,32.68,33.7,31.25,33.23,3444000.0
2014-04-14,30.45,30.45,29.75,30.02,1645000.0
2014-04-15,29.85,31.52,29.2,31.52,2478500.0
2014-04-16,33.09,33.09,32.8,33.09,514000.0
2014-04-17,34.74,34.74,33.5,34.59,4801500.0
2014-04-18,34.98,35.7,33.65,33.95,1884000.0
2014-04-21,34.49,35.64,33.7,35.6,4135500.0
2014-04-22,36.0,37.38,35.9,37.38,1732000.0
2014-04-23,38.88,39.24,38.2,39.24,1825500.0
2014-04-24,40.99,41.19,37.42,37.92,5382500.0
2014-04-25,38.5,38.5,36.8,37.52,2261500.0
2014-04-28,37.3,37.89,35.65,35.65,1857000.0
2014-04-29,34.5,34.8,33.87,33.87,731000.0
2014-04-30,32.18,35.25,32.18,34.42,5015500.0
2014-05-02,32.7,32.7,32.7,32.7,113000.0
2014-05-05,31.07,31.07,31.07,31.07,17500.0
2014-05-06,29.52,29.52,29.52,29.52,29500.0
