Date,Open,High,Low,Close,Volume
3/9/2001,34.5,34.5,34.5,34.5,0
3/26/2001,10,10,10,10,0
4/30/2001,10,10,10,10,0
7/24/2001,10,10,10,10,0
3/22/2002,10.9,10.9,10.9,12.55,0
3/26/2002,12.55,14.05,14.05,14.05,0
3/27/2002,14.05,15.55,15.55,15.55,0
4/2/2002,15.55,14.25,14.25,14.25,500
4/3/2002,14.25,15.75,15.75,15.75,0
4/4/2002,15.75,17.25,17.25,17.25,0
4/5/2002,17.25,18.75,18.75,18.75,0
4/8/2002,18.75,20.25,20.25,20.25,0
4/9/2002,20.25,21.75,21.75,21.75,0
4/10/2002,21.75,23.35,23.35,23.35,0
4/11/2002,23.35,25.1,25.1,25.1,0
4/12/2002,25.1,26.95,26.95,26.95,0
4/15/2002,26.95,28.95,28.95,28.95,0
4/16/2002,28.95,31.1,31.1,31.1,0
4/17/2002,31.1,33.4,33.4,33.4,0
4/18/2002,33.4,35.9,35.9,35.9,0
4/19/2002,35.9,38.55,38.55,38.55,0
4/22/2002,38.55,41.4,41.4,41.4,0
4/23/2002,41.4,44.5,44.5,44.5,0
1/22/2003,43,43,43,43,0
6/24/2003,43,43,43,43,500
7/7/2003,43,46.2,46.2,46.2,0
7/25/2003,46.2,47,47,47,0
8/6/2003,47,47.05,47.05,47.05,0
8/7/2003,47.05,47.5,47.5,47.5,0
8/12/2003,47.5,48,48,48,0
8/22/2003,48,48.5,48.5,48.5,0
9/3/2003,48.5,52,52,52,0
9/8/2003,52,52.1,52.1,52.1,0
12/27/2004,52.1,56,56,56,0
12/28/2004,56,60.2,60.2,60.2,0
12/29/2004,60.2,64.7,64.7,64.7,0
1/6/2005,64.7,69.55,69.55,69.55,0
1/10/2005,69.55,74.75,74.75,74.75,0
1/11/2005,74.75,80.35,80.35,80.35,0
1/12/2005,80.35,86.35,86.35,86.35,0
1/28/2005,86.35,92.8,92.8,92.8,0
1/31/2005,92.8,99.75,99.75,99.75,0
6/6/2007,99.75,100,100,100,0
7/21/2009,100,105,105,105,0
7/23/2009,105,110.25,110.25,110.25,0
7/28/2009,110.25,115.76,115.76,115.76,0
7/29/2009,115.76,121.54,121.54,121.54,0
7/30/2009,121.54,127.61,127.61,127.61,0
8/4/2009,127.61,133.99,133.99,133.99,0
8/10/2009,133.99,140.68,140.68,140.68,0
8/18/2009,140.68,147.71,147.71,147.71,0
8/27/2009,147.71,155.09,155.09,155.09,0
10/8/2009,155.09,162.84,162.84,162.84,0
10/12/2009,162.84,170.98,170.98,170.98,0
6/24/2015,0,171,171,171,0
6/29/2015,0,175,175,175,0
10/9/2015,0,0,0,175,0
10/12/2015,0,0,0,175,0
10/13/2015,0,0,0,175,0
10/14/2015,0,0,0,175,0
10/15/2015,0,0,0,175,0
10/16/2015,0,0,0,175,0
10/19/2015,0,0,0,175,0
10/21/2015,0,0,0,175,0
10/22/2015,0,0,0,175,0
10/26/2015,0,0,0,175,0
10/27/2015,0,0,0,175,0
10/28/2015,0,0,0,175,0
10/29/2015,0,0,0,175,0
10/30/2015,0,0,0,175,0
11/2/2015,0,0,0,175,0
11/3/2015,0,0,0,175,0
11/4/2015,0,0,0,175,0
11/5/2015,0,0,0,175,0
11/6/2015,0,0,0,175,0
11/9/2015,0,0,0,175,0
11/10/2015,0,0,0,175,0
11/11/2015,0,0,0,175,0
11/12/2015,0,0,0,175,0
11/13/2015,0,0,0,175,0
11/16/2015,0,0,0,175,0
11/17/2015,0,0,0,175,0
11/18/2015,0,0,0,175,0
11/19/2015,0,0,0,175,0
11/20/2015,0,0,0,175,0
11/23/2015,0,0,0,175,0
11/24/2015,0,0,0,175,0
11/25/2015,0,0,0,175,0
11/26/2015,0,0,0,175,0
11/27/2015,0,0,0,175,0
11/30/2015,0,0,0,175,0
12/1/2015,0,0,0,175,0
12/2/2015,0,0,0,175,0
12/3/2015,0,0,0,175,0
12/4/2015,0,0,0,175,0
12/7/2015,0,0,0,175,0
12/8/2015,0,0,0,175,0
12/9/2015,0,0,0,175,0
12/10/2015,0,0,0,175,0
12/11/2015,0,0,0,175,0
12/14/2015,0,0,0,175,0
12/15/2015,0,0,0,175,0
12/16/2015,0,0,0,175,0
12/17/2015,0,0,0,175,0
12/18/2015,0,0,0,175,0
12/21/2015,0,0,0,175,0
12/22/2015,0,0,0,175,0
12/23/2015,0,0,0,175,0
12/28/2015,0,0,0,175,0
12/29/2015,0,0,0,175,0
12/30/2015,0,0,0,175,0
12/31/2015,0,0,0,175,0
1/1/2016,0,0,0,175,0
1/4/2016,0,0,0,175,0
1/5/2016,0,0,0,175,0
1/6/2016,0,0,0,175,0
