Date,Open,High,Low,Close,Volume
2002-10-17,3.1,3.2,3.2,3.2,0.0
2002-10-18,3.2,3.3,3.3,3.3,1000.0
2002-10-21,3.3,3.35,3.35,3.35,1000.0
2002-10-25,3.35,3.5,3.5,3.5,500.0
2002-10-29,3.5,3.35,3.35,3.35,1000.0
2002-11-11,2.65,3.1,2.65,3.1,0.0
2002-11-14,3.1,2.1,2.1,2.1,2000.0
2002-11-15,2.1,2.15,2.15,2.15,0.0
2002-11-18,2.15,2.5,2.5,2.5,0.0
2002-11-22,2.5,2.5,2.5,2.5,6000.0
2002-11-25,2.5,2.5,2.5,2.5,50000.0
2002-11-26,2.5,2.6,2.6,2.6,0.0
2002-12-16,2.6,3.1,3.1,3.1,500.0
2002-12-19,3.1,2.25,2.25,2.25,2000.0
2002-12-20,2.25,2.5,2.5,2.5,0.0
2002-12-23,2.5,2.5,2.5,2.5,4000.0
2002-12-24,2.5,2.6,2.6,2.6,0.0
2003-01-06,2.6,2.6,2.6,2.6,5000.0
2003-01-07,2.6,2.9,2.55,2.9,6500.0
2003-01-16,2.9,2.9,2.9,2.9,1000.0
2003-01-20,2.9,2.9,2.9,2.9,500.0
2003-01-21,2.9,2.55,2.55,2.55,1000.0
2003-01-22,2.55,2.7,2.7,2.7,0.0
2003-03-06,2.7,2.55,2.55,2.55,3000.0
2003-03-12,2.55,2.55,2.55,2.55,0.0
2003-03-20,2.55,2.35,2.35,2.35,1000.0
2003-03-24,2.35,2.55,2.55,2.55,2000.0
2003-03-25,2.55,2.6,2.55,2.6,5000.0
2003-03-31,2.6,2.7,2.7,2.7,0.0
2003-04-01,2.7,2.75,2.75,2.75,2000.0
2003-04-03,2.75,2.7,2.6,2.6,11000.0
2003-04-04,2.6,2.65,2.65,2.65,0.0
2003-04-08,2.65,2.7,2.7,2.7,0.0
2003-04-11,2.7,2.75,2.75,2.75,0.0
2003-04-16,2.75,3.95,3.2,3.95,8000.0
2003-04-17,3.95,3.1,3.1,3.1,2500.0
2003-04-18,3.1,3.5,3.5,3.5,4000.0
2003-04-21,3.5,3.95,3.5,3.95,19000.0
2003-04-22,3.95,3.9,3.9,3.9,0.0
