Date,Open,High,Low,Close,Volume
2001-06-19,1.65,1.6,1.6,1.6,500.0
2001-07-31,1.6,1.6,1.6,1.6,2500.0
2001-08-15,1.6,1.5,1.5,1.5,1000.0
2001-12-04,1.5,1.5,1.5,1.5,500.0
2002-04-05,1.5,1.25,1.25,1.25,0.0
2002-04-08,1.25,1.25,1.25,1.25,1500.0
2002-04-24,1.25,1.0,1.0,1.0,1000.0
2002-04-25,1.0,1.05,1.05,1.05,0.0
2002-06-06,1.05,1.05,1.05,1.05,2000.0
2002-06-10,1.05,1.0,1.0,1.0,500.0
2002-06-11,1.0,1.05,1.05,1.05,0.0
2002-06-12,1.05,1.1,1.0,1.0,9000.0
2002-06-13,1.0,1.15,1.1,1.1,1500.0
2002-07-10,1.1,1.1,1.1,1.1,500.0
2002-07-11,1.1,1.2,1.0,1.1,2000.0
2002-07-18,1.1,1.0,1.0,1.0,500.0
2002-07-19,1.0,1.05,1.05,1.05,0.0
2002-08-01,1.05,1.05,1.05,1.05,1000.0
2002-08-13,1.05,1.3,1.3,1.3,5000.0
2002-08-15,1.3,1.5,1.3,1.45,12500.0
2002-08-16,1.45,1.65,1.55,1.65,1500.0
2002-08-19,1.65,1.95,1.7,1.75,7500.0
2002-08-20,1.75,1.95,1.9,1.9,4000.0
2002-08-21,1.9,1.95,1.85,1.85,1500.0
2002-08-22,1.85,1.85,1.8,1.8,2500.0
2002-08-27,1.8,1.6,1.5,1.5,2000.0
2002-08-29,1.5,1.55,1.55,1.55,0.0
2002-08-30,1.55,1.55,1.5,1.5,7000.0
2002-09-10,1.5,1.5,1.5,1.5,500.0
2002-09-17,1.5,1.15,1.0,1.15,1000.0
2002-09-18,1.15,1.25,1.2,1.25,500.0
2002-09-19,1.25,1.25,1.25,1.25,1500.0
2002-09-30,1.25,1.25,1.25,1.25,500.0
2002-10-21,1.25,1.35,1.35,1.35,0.0
2002-10-22,1.35,1.35,1.35,1.35,1000.0
2002-10-23,1.35,1.45,1.35,1.45,2000.0
2002-10-31,1.45,1.4,1.4,1.4,0.0
2002-11-12,1.4,1.1,1.1,1.1,1000.0
2002-11-27,1.1,1.1,1.1,1.1,50000.0
2002-11-28,1.1,1.1,1.0,1.1,6500.0
2002-12-04,1.1,1.1,1.1,1.1,500.0
2002-12-09,1.1,1.1,1.1,1.1,44000.0
2002-12-11,1.1,1.05,1.05,1.05,4500.0
2002-12-18,1.05,1.25,1.15,1.25,2500.0
2002-12-19,1.25,1.3,1.3,1.3,0.0
2002-12-24,1.3,1.2,1.2,1.2,1500.0
2003-02-06,1.2,1.4,1.25,1.25,3000.0
2003-02-19,1.25,1.6,1.4,1.4,2000.0
2003-02-20,1.4,1.5,1.5,1.5,1000.0
2003-02-21,1.5,1.35,1.35,1.35,500.0
2003-03-12,1.35,1.25,1.0,1.05,10000.0
2003-03-25,1.05,1.05,1.05,1.05,1000.0
2003-03-26,1.05,1.75,1.2,1.75,50000.0
2003-03-27,1.75,1.75,1.5,1.55,29000.0
2003-03-31,1.55,1.75,1.75,1.75,500.0
2003-04-01,1.75,1.55,1.5,1.55,8000.0
2003-04-02,1.55,1.7,1.65,1.7,3000.0
2003-04-03,1.7,1.7,1.7,1.7,1500.0
2003-04-04,1.7,1.7,1.6,1.6,5000.0
2003-04-09,1.6,1.7,1.7,1.7,0.0
2003-04-15,1.7,1.85,1.45,1.85,4500.0
2003-04-16,1.85,2.4,2.0,2.25,50500.0
2003-04-17,2.25,2.65,2.3,2.3,32500.0
2003-04-18,2.3,2.35,2.05,2.35,6000.0
2003-04-21,2.35,2.2,2.2,2.2,500.0
