Date,Open,High,Low,Close,Volume
2001-02-02,31.0,29.25,29.0,29.0,1000.0
2001-02-12,29.0,30.0,30.0,30.0,500.0
2001-02-13,30.0,28.25,28.0,28.0,2000.0
2001-02-15,28.0,27.3,27.3,27.3,500.0
2001-03-09,27.3,27.3,27.3,27.3,0.0
2001-03-13,27.3,30.0,30.0,30.0,1000.0
2001-03-19,30.0,30.0,30.0,30.0,500.0
2001-03-26,27.0,27.0,27.0,27.0,0.0
2001-05-09,27.0,27.0,24.0,27.0,2000.0
2001-05-11,27.0,27.0,27.0,27.0,0.0
2001-05-21,27.0,29.0,29.0,29.0,9500.0
2001-06-01,29.0,28.3,28.3,28.3,2000.0
2001-06-07,28.3,28.0,28.0,28.0,500.0
2001-06-29,28.0,35.0,32.0,35.0,1000.0
2001-07-03,35.0,35.0,34.0,34.95,3000.0
2001-07-04,34.95,35.0,34.0,35.0,2000.0
2001-07-05,35.0,35.0,35.0,35.0,1500.0
2001-07-13,35.0,34.0,34.0,34.0,3000.0
2001-07-20,34.0,32.5,32.0,32.5,3000.0
2001-07-24,32.5,30.0,30.0,30.0,1000.0
2001-08-03,30.0,30.25,30.25,30.25,500.0
2001-08-24,30.25,30.25,30.25,30.25,9000.0
2001-09-10,30.25,30.15,30.15,30.15,500.0
2001-09-13,30.15,31.0,31.0,31.0,500.0
2001-09-24,31.0,31.0,31.0,31.0,0.0
2001-09-25,31.0,31.0,31.0,31.0,0.0
2001-09-27,31.0,35.0,31.0,35.0,1000.0
2001-10-05,35.0,35.0,35.0,35.0,500.0
2001-10-25,31.0,31.0,31.0,31.0,0.0
2001-12-10,31.0,31.0,31.0,31.0,0.0
2002-02-28,31.0,31.0,31.0,31.0,1000.0
2002-03-05,31.0,32.5,32.0,32.5,1000.0
2002-03-07,32.5,32.5,32.5,32.5,0.0
2002-03-13,32.5,34.9,34.9,34.9,500.0
2002-03-15,34.9,37.5,37.5,37.5,5500.0
2002-03-18,37.5,40.3,37.5,40.3,1500.0
2002-03-19,40.3,41.5,41.5,41.5,500.0
2002-03-21,41.5,41.5,41.5,41.5,9000.0
2002-03-26,30.38,30.38,30.38,30.38,0.0
2002-03-27,30.38,31.05,31.05,31.05,0.0
2002-03-29,31.05,33.0,33.0,33.0,0.0
2002-04-10,33.0,33.25,33.25,33.25,0.0
2002-04-22,33.25,35.45,35.45,35.45,500.0
2002-05-03,35.45,37.5,37.5,37.5,1000.0
2002-05-28,37.5,36.6,36.6,36.6,500.0
2002-06-18,36.6,38.0,38.0,38.0,500.0
2002-06-19,38.0,38.5,38.5,38.5,500.0
2002-07-25,38.5,38.5,38.5,38.5,1000.0
2002-07-30,38.5,40.0,40.0,40.0,500.0
2002-07-31,40.0,40.0,40.0,40.0,500.0
2002-08-06,40.0,40.0,40.0,40.0,500.0
2002-08-09,40.0,40.0,40.0,40.0,500.0
2002-08-13,40.0,40.1,40.1,40.1,0.0
2002-08-19,40.1,43.1,42.75,43.1,1000.0
2002-08-26,43.1,43.0,43.0,43.0,0.0
2002-08-27,43.0,42.0,42.0,42.0,0.0
2002-08-28,39.0,39.0,39.0,39.0,0.0
2002-09-02,39.0,39.0,39.0,39.0,500.0
2002-09-20,39.0,41.75,39.25,41.75,2000.0
2002-09-23,41.75,40.0,40.0,40.0,0.0
2002-09-24,40.0,39.9,39.9,39.9,500.0
2002-09-27,39.9,40.0,40.0,40.0,500.0
2002-10-01,40.0,39.0,39.0,39.0,500.0
2002-10-11,39.0,39.0,39.0,39.0,500.0
2002-10-16,39.0,39.05,39.05,39.05,0.0
2002-10-28,39.05,39.0,39.0,39.0,3500.0
2002-10-29,39.0,38.25,38.25,38.25,0.0
2002-10-30,38.25,37.75,37.75,37.75,0.0
2002-11-07,37.75,37.75,37.75,37.75,500.0
2002-11-25,37.75,36.0,36.0,36.0,500.0
2002-12-11,36.0,37.0,37.0,37.0,500.0
2002-12-16,37.0,36.15,36.0,36.0,3000.0
2002-12-17,36.0,36.0,36.0,36.0,2500.0
2002-12-18,36.0,36.2,36.2,36.2,0.0
2002-12-19,36.2,37.2,37.2,37.2,500.0
2002-12-20,37.2,38.0,37.0,38.0,2500.0
2002-12-26,38.0,38.3,38.0,38.3,2500.0
2002-12-27,38.3,38.6,38.6,38.6,500.0
2002-12-30,38.6,38.55,38.55,38.55,500.0
2002-12-31,38.55,38.65,38.65,38.65,0.0
2003-01-02,38.65,38.05,38.05,38.05,500.0
2003-01-03,38.05,40.0,40.0,40.0,1000.0
2003-01-08,40.0,40.0,40.0,40.0,1500.0
2003-01-09,40.0,41.0,39.55,39.55,3000.0
2003-01-10,39.55,41.55,41.5,41.5,2000.0
2003-01-13,41.5,43.2,43.2,43.2,500.0
2003-01-14,43.2,44.0,44.0,44.0,500.0
2003-01-15,44.0,45.25,45.25,45.25,0.0
2003-01-20,45.25,46.25,46.25,46.25,500.0
2003-01-22,46.25,45.0,45.0,45.0,500.0
2003-01-24,45.0,44.5,44.5,44.5,0.0
2003-01-29,44.5,44.05,44.0,44.0,1500.0
2003-01-30,44.0,44.25,44.25,44.25,0.0
2003-02-03,44.25,42.1,42.05,42.05,1500.0
2003-02-04,42.05,41.5,41.5,41.5,0.0
2003-02-06,41.5,39.8,39.8,39.8,1000.0
2003-02-10,39.8,38.0,38.0,38.0,500.0
2003-02-17,38.0,36.15,36.15,36.15,500.0
2003-02-21,36.15,35.0,35.0,35.0,1500.0
2003-03-03,35.0,36.0,36.0,36.0,1000.0
2003-03-04,36.0,36.0,36.0,36.0,1000.0
2003-03-11,34.0,35.0,35.0,35.0,0.0
2003-03-12,35.0,35.25,35.25,35.25,0.0
2003-03-27,35.25,35.0,35.0,35.0,0.0
2003-03-28,35.0,35.0,35.0,35.0,500.0
2003-04-02,35.0,36.0,36.0,36.0,500.0
2003-04-07,36.0,37.0,37.0,37.0,500.0
2003-04-15,37.0,37.5,37.5,37.5,500.0
2003-04-16,37.5,39.0,39.0,39.0,1000.0
2003-04-28,39.0,41.0,41.0,41.0,500.0
2003-04-29,41.0,41.0,41.0,41.0,500.0
2003-05-02,41.0,41.0,41.0,41.0,1000.0
2003-05-05,41.0,39.8,39.25,39.8,2000.0
2003-05-09,39.8,40.0,40.0,40.0,1000.0
2003-05-20,40.0,41.0,40.0,40.0,1500.0
2003-05-21,40.0,41.0,40.0,41.0,1500.0
2003-05-22,41.0,43.9,41.0,43.9,3000.0
2003-05-23,43.9,47.15,47.15,47.15,1000.0
2003-05-26,47.15,50.0,50.0,50.0,3000.0
2003-05-27,50.0,48.0,47.5,48.0,1500.0
2003-05-28,48.0,45.6,45.6,45.6,500.0
2003-06-02,45.6,45.5,45.5,45.5,0.0
2003-06-04,45.5,44.75,44.75,44.75,500.0
2003-06-06,44.75,42.55,42.55,42.55,500.0
2003-06-09,42.55,42.0,41.0,41.0,1000.0
2003-06-11,41.0,41.0,41.0,41.0,2500.0
2003-06-12,41.0,42.0,42.0,42.0,500.0
2003-06-16,42.0,41.0,40.0,40.0,3000.0
2003-06-17,40.0,42.0,42.0,42.0,2000.0
2003-06-23,42.0,42.0,40.05,40.05,9000.0
2003-06-24,40.05,41.15,39.55,40.0,9000.0
2003-06-30,40.0,39.05,39.05,39.05,1500.0
2003-07-01,39.05,39.5,39.5,39.5,0.0
2003-07-02,39.5,41.45,41.0,41.0,2500.0
2003-07-03,41.0,42.0,41.0,42.0,14000.0
2003-07-04,42.0,42.4,42.3,42.3,2000.0
2003-07-07,42.3,44.0,43.0,43.95,6000.0
2003-07-08,43.95,46.5,45.0,46.25,6000.0
2003-07-09,46.25,46.0,45.0,45.0,3500.0
2003-07-10,45.0,46.0,45.05,45.05,1500.0
2003-07-11,45.05,47.6,45.0,47.6,2500.0
2003-07-14,47.6,47.0,47.0,47.0,3000.0
2003-07-15,47.0,46.25,46.0,46.0,4000.0
2003-07-16,46.0,46.0,46.0,46.0,1000.0
2003-07-21,46.0,46.25,46.0,46.25,500.0
2003-07-22,46.25,48.0,47.0,48.0,1000.0
2003-07-23,48.0,49.95,48.9,49.95,2500.0
2003-07-28,49.95,50.0,50.0,50.0,1500.0
2003-07-29,50.0,51.25,51.0,51.25,3500.0
2003-07-30,51.25,50.0,50.0,50.0,1000.0
2003-07-31,50.0,50.0,50.0,50.0,500.0
2003-08-05,50.0,49.9,49.9,49.9,0.0
2003-08-06,49.9,49.0,49.0,49.0,0.0
2003-08-07,49.0,48.0,48.0,48.0,1000.0
2003-08-11,48.0,47.95,47.95,47.95,0.0
2003-08-12,47.95,48.0,47.95,48.0,1500.0
2003-08-13,48.0,48.0,48.0,48.0,1000.0
2003-08-15,48.0,48.0,48.0,48.0,1000.0
2003-08-27,48.0,48.1,48.1,48.1,0.0
2003-08-28,48.1,48.25,48.25,48.25,0.0
2003-09-02,48.25,48.3,48.3,48.3,0.0
2003-09-04,48.3,49.0,49.0,49.0,0.0
2003-09-08,49.0,52.0,52.0,52.0,500.0
2003-09-09,52.0,54.0,52.5,52.5,2500.0
2003-09-11,52.5,54.0,54.0,54.0,500.0
2003-09-12,54.0,55.5,55.25,55.5,4000.0
2003-09-15,55.5,59.0,55.5,59.0,3000.0
2003-09-16,59.0,63.0,63.0,63.0,1000.0
2003-09-17,63.0,59.85,59.85,59.85,2500.0
2003-09-18,59.85,60.0,60.0,60.0,2000.0
2003-09-19,60.0,63.0,60.0,60.0,2500.0
2003-09-22,60.0,60.0,58.0,58.0,4000.0
2003-09-23,58.0,60.0,58.0,60.0,3000.0
2003-09-24,60.0,58.0,58.0,58.0,2000.0
2003-09-26,58.0,60.0,58.0,60.0,2000.0
2003-10-01,60.0,58.9,58.9,58.9,0.0
2003-10-02,58.9,58.0,58.0,58.0,0.0
2003-10-06,58.0,60.0,58.0,58.0,2000.0
2003-10-07,58.0,58.6,58.5,58.6,1000.0
2003-10-08,58.6,58.0,58.0,58.0,500.0
2003-10-09,58.0,58.0,58.0,58.0,3000.0
2003-10-10,58.0,58.0,58.0,58.0,3000.0
2003-10-17,58.0,58.0,58.0,58.0,3000.0
2003-10-28,58.0,57.0,57.0,57.0,0.0
2003-10-31,57.0,60.0,58.0,60.0,2500.0
2003-11-03,60.0,60.0,60.0,60.0,1000.0
2003-11-04,60.0,59.0,59.0,59.0,0.0
2003-11-21,59.0,56.25,56.25,56.25,1000.0
2003-11-24,56.25,60.4,60.4,60.4,500.0
2003-12-01,60.4,60.0,60.0,60.0,2000.0
2003-12-03,60.0,60.0,60.0,60.0,1000.0
2003-12-15,60.0,60.0,60.0,60.0,500.0
2003-12-16,60.0,59.95,59.95,59.95,0.0
2003-12-17,59.95,57.25,57.25,57.25,500.0
2003-12-19,57.25,54.5,54.5,54.5,500.0
2003-12-26,54.5,51.8,51.8,51.8,1000.0
2003-12-31,51.8,49.8,49.25,49.25,1000.0
2004-01-02,49.25,48.25,48.25,48.25,500.0
2004-01-07,48.25,48.5,48.5,48.5,0.0
2004-01-08,48.5,49.0,48.5,48.5,3500.0
2004-01-09,48.5,48.5,48.25,48.5,500.0
2004-01-13,48.5,46.5,46.5,46.5,500.0
2004-01-16,46.5,46.55,46.55,46.55,0.0
2004-01-20,46.55,47.0,47.0,47.0,0.0
2004-01-21,47.0,47.05,47.05,47.05,0.0
2004-01-22,47.05,47.55,47.55,47.55,0.0
2004-01-23,44.55,47.5,47.5,47.5,0.0
2004-02-17,47.5,46.0,46.0,46.0,0.0
2004-02-18,46.0,43.7,43.7,43.7,400.0
2004-03-08,43.7,45.0,45.0,45.0,500.0
2004-03-11,45.0,45.0,45.0,45.0,1300.0
2004-03-12,45.0,45.0,45.0,45.0,300.0
2004-03-15,45.0,45.0,45.0,45.0,1000.0
2004-03-16,45.0,45.0,45.0,45.0,100.0
2004-03-17,45.0,45.1,45.0,45.0,2000.0
2004-03-18,45.0,48.35,47.5,48.35,7000.0
2004-03-24,48.35,48.35,48.35,48.35,2000.0
2004-03-25,48.35,48.0,48.0,48.0,0.0
2004-03-26,48.0,45.7,45.6,45.6,4000.0
2004-04-08,45.6,46.0,46.0,46.0,500.0
2004-04-12,46.0,47.5,47.5,47.5,500.0
2004-04-14,47.5,48.0,48.0,48.0,500.0
2004-04-15,48.0,48.0,48.0,48.0,1500.0
2004-04-16,48.0,47.0,47.0,47.0,500.0
2004-04-21,47.0,49.9,49.9,49.9,500.0
2004-05-05,49.9,49.0,49.0,49.0,100.0
2004-05-11,49.0,48.0,48.0,48.0,0.0
2004-05-19,48.0,45.6,45.6,45.6,1000.0
2004-05-24,45.6,45.0,44.0,44.0,1000.0
2004-05-25,44.0,45.95,45.5,45.95,1000.0
2004-05-26,45.95,44.75,44.0,44.75,1600.0
2004-05-27,44.75,44.5,44.0,44.5,1200.0
2004-05-28,44.5,45.0,44.05,44.5,2400.0
2004-05-31,44.5,44.5,42.5,43.0,2600.0
2004-06-01,43.0,43.0,43.0,43.0,200.0
2004-06-02,43.0,42.0,41.3,41.3,1600.0
2004-06-07,41.3,40.0,39.25,39.25,800.0
2004-06-08,39.25,38.5,38.0,38.5,600.0
2004-06-09,38.5,39.75,38.0,39.75,5200.0
2004-06-10,39.75,38.75,38.6,38.6,2000.0
2004-06-17,38.6,37.55,37.5,37.5,1100.0
2004-06-18,37.5,37.0,36.25,36.25,3500.0
2004-06-21,36.25,36.2,36.2,36.2,0.0
2004-06-22,36.2,38.9,38.5,38.9,2100.0
2004-06-24,38.9,38.0,38.0,38.0,1000.0
2004-06-25,38.0,36.25,36.1,36.25,1500.0
2004-06-28,36.25,36.3,36.3,36.3,2500.0
2004-07-01,36.3,38.0,38.0,38.0,1500.0
2004-07-07,38.0,40.85,40.85,40.85,500.0
2004-07-08,40.85,40.0,40.0,40.0,0.0
2004-07-13,40.0,42.3,42.3,42.3,500.0
