Date,Open,High,Low,Close,Volume
2001-01-03,19.0,21.75,21.7,21.75,1500.0
2001-01-12,21.75,20.0,20.0,20.0,100.0
2001-02-12,20.0,21.75,21.75,21.75,1000.0
2001-02-15,21.75,22.0,21.95,22.0,500.0
2001-02-16,22.0,24.0,24.0,24.0,200.0
2001-02-21,24.0,23.5,23.05,23.5,600.0
2001-02-23,23.5,22.05,22.05,22.05,100.0
2001-03-02,22.05,21.25,21.25,21.25,500.0
2001-04-12,21.25,23.0,21.0,23.0,700.0
2001-04-23,23.0,23.0,23.0,23.0,0.0
2001-04-25,23.0,24.0,24.0,24.0,500.0
2001-04-26,24.0,24.0,24.0,24.0,200.0
2001-04-27,24.0,25.0,25.0,25.0,200.0
2001-04-30,25.0,24.0,24.0,24.0,500.0
2001-05-09,24.0,24.0,24.0,24.0,700.0
2001-05-14,24.0,24.0,24.0,24.0,0.0
2001-05-21,24.0,24.0,24.0,24.0,300.0
2001-05-25,21.25,22.0,21.25,22.0,100.0
2001-06-11,22.0,22.0,22.0,22.0,100.0
2001-06-14,22.0,22.0,22.0,22.0,700.0
2001-06-25,22.0,22.0,22.0,22.0,1000.0
2001-06-27,22.0,22.0,22.0,22.0,800.0
2001-06-29,22.0,22.0,22.0,22.0,100.0
2001-07-05,22.0,23.0,23.0,23.0,100.0
2001-07-13,23.0,23.0,23.0,23.0,100.0
2001-07-18,23.0,23.0,23.0,23.0,200.0
2001-07-20,23.0,23.0,23.0,23.0,200.0
2001-07-23,23.0,23.0,23.0,23.0,200.0
2001-07-24,23.0,23.0,22.5,23.0,2100.0
2001-07-26,23.0,23.0,23.0,23.0,200.0
2001-07-27,23.0,23.0,23.0,23.0,100.0
2001-08-03,23.0,23.0,22.6,23.0,1000.0
2001-08-20,23.0,22.0,22.0,22.0,500.0
2001-08-22,22.0,20.0,20.0,20.0,2000.0
2001-08-30,20.0,20.0,20.0,20.0,1000.0
2001-09-10,20.0,20.0,20.0,20.0,200.0
2001-10-11,20.0,21.0,21.0,21.0,1000.0
2001-10-16,21.0,21.5,21.0,21.5,2700.0
2001-10-17,21.5,21.5,21.5,21.5,1400.0
2001-10-19,21.5,22.0,22.0,22.0,1900.0
2001-10-22,22.0,22.5,22.5,22.5,200.0
2001-10-24,22.5,23.0,23.0,23.0,100.0
2001-11-26,23.0,22.0,22.0,22.0,400.0
2001-12-27,22.0,23.5,23.5,23.5,100.0
2001-12-28,23.5,23.0,23.0,23.0,100.0
2002-01-07,23.0,21.5,21.5,21.5,400.0
2002-01-14,21.5,21.5,21.5,21.5,400.0
2002-01-17,21.5,23.0,23.0,23.0,100.0
2002-01-18,23.0,23.0,23.0,23.0,200.0
2002-01-28,23.0,21.75,21.75,21.75,500.0
2002-01-31,21.75,23.0,23.0,23.0,400.0
