Date,Open,High,Low,Close,Volume
2021-08-04,23.9,23.9,21.0,22.0,55000.0
2021-08-05,22.5,22.5,21.52,22.07,24500.0
2021-08-06,21.56,21.56,21.29,21.41,8500.0
2021-08-09,21.0,21.0,20.1,20.6,27000.0
2021-08-10,20.25,21.0,19.2,19.57,133000.0
2021-08-11,20.17,20.5,20.0,20.5,27500.0
2021-08-12,20.2,20.5,19.9,20.18,9000.0
2021-08-13,21.67,21.67,19.8,20.0,25000.0
2021-08-16,19.8,19.8,19.15,19.37,16500.0
2021-08-17,20.0,20.25,20.0,20.04,8500.0
2021-08-20,20.45,20.5,20.0,20.42,13500.0
2021-08-23,20.7,21.95,20.25,21.88,105500.0
2021-08-24,23.0,23.52,23.0,23.52,99500.0
2021-08-25,25.25,25.28,25.0,25.28,723500.0
2021-08-26,27.1,27.1,24.25,24.48,523500.0
2021-08-27,25.5,26.31,24.0,24.32,183000.0
2021-08-30,23.26,24.51,23.26,23.58,108500.0
2021-08-31,24.5,24.5,23.0,23.1,39000.0
2021-09-01,22.51,24.83,22.01,24.83,275000.0
2021-09-02,26.25,26.4,25.0,25.23,278500.0
2021-09-03,24.8,27.0,24.5,26.49,290500.0
2021-09-06,25.8,26.85,25.25,25.71,82500.0
2021-09-07,24.26,25.0,24.26,24.9,45000.0
2021-09-08,24.5,24.94,23.51,24.25,108500.0
2021-09-09,22.8,24.83,22.8,24.25,55500.0
2021-09-10,25.2,25.2,24.01,24.61,30500.0
2021-09-13,24.0,24.0,23.5,23.55,13500.0
2021-09-14,23.25,25.31,23.25,25.31,357500.0
2021-09-15,27.2,27.2,26.3,27.2,488000.0
2021-09-16,28.7,29.23,26.65,27.39,1039500.0
2021-09-17,27.39,27.39,25.5,26.12,513000.0
2021-09-20,25.11,26.0,25.0,25.08,89000.0
2021-09-21,24.75,25.0,24.0,24.25,84000.0
2021-09-22,24.0,24.25,22.44,23.01,212500.0
2021-09-23,22.52,22.7,21.5,21.58,55000.0
2021-09-24,20.9,22.6,20.89,22.26,14500.0
2021-09-27,21.0,23.92,20.6,23.35,93000.0
2021-09-28,23.19,23.75,22.01,23.42,30000.0
2021-09-29,23.1,23.1,21.67,21.86,72000.0
2021-09-30,22.34,22.34,22.34,22.34,500.0
2021-10-01,22.65,23.89,22.01,23.0,12500.0
2021-10-04,22.3,23.4,22.01,23.4,5000.0
2021-10-05,22.4,23.4,22.4,23.0,14000.0
2021-10-06,22.4,23.35,21.3,22.01,52000.0
2021-10-07,21.09,22.17,20.91,21.41,142000.0
2021-10-08,20.51,22.75,20.51,21.5,16500.0
2021-10-11,20.85,20.85,19.89,19.99,62000.0
2021-10-12,19.9,20.5,19.01,20.01,71500.0
2021-10-13,19.7,19.99,18.55,19.07,18000.0
2021-10-14,19.5,20.0,19.5,19.99,73500.0
2021-10-15,20.0,20.0,19.01,19.01,9500.0
2021-10-18,19.44,19.45,18.0,19.0,19500.0
2021-10-20,19.0,19.94,19.0,19.94,26500.0
2021-10-21,19.0,20.0,19.0,19.51,8500.0
2021-10-22,19.09,19.1,19.09,19.1,4500.0
2021-10-25,18.9,19.0,18.9,19.0,19500.0
2021-10-27,19.38,19.38,19.38,19.38,2000.0
2021-10-28,18.58,18.58,18.52,18.56,2500.0
2021-10-29,18.1,18.5,18.0,18.5,7500.0
2021-11-01,18.8,19.88,18.8,19.88,26000.0
2021-11-02,21.37,21.37,21.37,21.37,29000.0
2021-11-03,22.97,22.97,21.01,22.18,199000.0
2021-11-04,22.25,23.5,21.75,21.93,40000.0
2021-11-05,22.25,22.99,21.51,22.26,62500.0
2021-11-08,22.5,23.5,22.5,23.0,133500.0
2021-11-09,23.0,23.0,22.0,22.0,42000.0
2021-11-10,22.64,22.64,21.93,22.0,11500.0
2021-11-11,22.48,22.48,21.5,21.59,25000.0
2021-11-12,21.51,21.98,21.31,21.5,11000.0
2021-11-15,21.01,21.5,21.0,21.5,7500.0
2021-11-16,22.0,22.0,21.25,21.34,13500.0
2021-11-17,21.41,21.55,21.0,21.03,55000.0
2021-11-18,21.26,21.26,20.0,20.06,25000.0
2021-11-19,20.8,21.0,20.06,20.51,38500.0
2021-11-22,20.5,20.5,20.01,20.01,2000.0
2021-11-23,19.7,20.0,19.7,20.0,21000.0
2021-11-24,19.5,19.66,18.71,18.93,38000.0
2021-11-25,19.15,19.15,19.15,19.15,5500.0
2021-11-26,19.0,20.57,19.0,20.37,17000.0
2021-11-29,19.8,21.47,19.8,20.72,26500.0
2021-11-30,20.5,20.89,20.15,20.42,26000.0
2021-12-01,19.8,20.4,19.8,19.89,20000.0
2021-12-02,20.45,20.45,18.4,18.4,9500.0
2021-12-03,18.8,19.77,17.5,17.72,28000.0
2021-12-06,17.7,19.0,17.7,19.0,6500.0
2021-12-07,17.91,19.39,17.91,19.39,11000.0
2021-12-08,18.63,19.9,18.63,19.29,26000.0
2021-12-09,18.26,18.26,17.85,17.88,27000.0
2021-12-10,17.37,18.0,17.1,18.0,6000.0
2021-12-13,17.11,18.05,16.93,17.09,11000.0
2021-12-15,18.09,18.37,18.09,18.36,11000.0
2021-12-16,17.99,17.99,17.52,17.52,3500.0
