Date,Open,High,Low,Close,Volume
2002-02-21,5.9,6.7,6.3,6.7,3000.0
2002-02-26,6.7,7.0,6.55,7.0,5000.0
2002-02-28,7.0,7.3,7.1,7.3,2000.0
2002-03-04,7.3,8.1,6.5,6.5,10000.0
2002-03-05,6.5,7.0,7.0,7.0,1000.0
2002-03-07,7.0,7.3,7.1,7.3,2000.0
2002-03-13,7.3,6.0,6.0,6.0,1000.0
2002-03-19,6.0,7.5,7.5,6.5,5000.0
2002-03-21,6.5,7.95,7.95,7.9,1500.0
2002-03-22,7.9,8.5,7.9,8.0,500.0
2002-03-26,8.0,7.85,7.85,7.85,0.0
2002-03-27,7.85,7.75,7.75,7.75,0.0
2002-04-01,7.75,7.5,7.5,7.5,0.0
2002-04-02,7.5,7.0,7.0,7.0,0.0
2002-04-10,7.0,7.0,7.0,7.0,2000.0
2002-04-24,7.0,7.0,6.5,6.5,0.0
2002-05-14,6.5,7.0,7.0,7.0,500.0
2002-05-15,7.0,6.0,6.0,6.0,0.0
2002-05-17,6.0,6.0,6.0,6.0,500.0
2002-05-20,6.0,4.9,4.9,4.9,0.0
2002-05-22,4.9,4.5,4.5,4.5,0.0
2002-07-12,4.5,3.5,3.5,3.5,1000.0
2002-07-18,3.5,2.7,2.7,2.7,500.0
2002-07-19,2.7,2.8,2.8,2.8,0.0
2002-07-26,2.8,2.8,2.8,2.8,500.0
2002-09-19,2.8,2.8,2.8,2.8,500.0
2002-09-24,2.8,2.0,2.0,2.0,1000.0
2002-09-25,2.0,2.1,2.1,2.1,0.0
2005-04-04,2.1,3.1,2.5,3.1,4000.0
2005-04-05,3.1,4.6,4.0,4.6,15000.0
2005-04-06,4.6,6.1,6.1,6.1,1000.0
2005-04-07,6.1,7.6,7.6,7.6,0.0
2005-04-08,7.6,8.8,8.8,8.8,1500.0
2005-04-11,8.8,8.0,8.0,8.0,3000.0
2005-04-12,8.0,7.0,7.0,7.0,5500.0
2005-04-13,7.0,7.75,7.5,7.75,7500.0
2005-04-15,7.75,7.95,6.75,7.95,5000.0
2005-04-27,7.95,7.9,7.9,7.9,0.0
2005-04-28,7.9,7.8,7.8,7.8,0.0
2005-05-04,7.8,7.8,7.8,7.8,500.0
2005-05-05,7.8,6.8,6.8,6.8,1000.0
2005-05-06,6.8,6.8,6.8,6.8,500.0
2005-05-09,6.8,7.7,5.8,5.9,5500.0
2005-05-10,5.9,5.05,4.9,4.9,6500.0
2005-05-11,4.9,5.55,3.9,3.9,80000.0
2005-05-12,3.9,3.2,3.05,3.05,27000.0
2005-05-13,3.05,4.05,3.5,4.05,28000.0
2005-05-16,4.05,5.05,4.15,4.35,28500.0
2005-05-17,4.35,5.3,4.4,5.25,15000.0
2005-05-18,5.25,5.45,4.5,5.45,19000.0
2005-05-19,5.45,5.0,4.45,4.45,19500.0
2005-05-20,4.45,4.8,3.75,4.8,13000.0
2005-05-23,4.8,3.9,3.85,3.85,4000.0
2005-05-24,3.85,4.0,4.0,4.0,1000.0
2005-06-06,4.0,4.0,4.0,4.0,1000.0
2005-06-07,4.0,4.85,4.85,4.85,1000.0
2005-06-08,4.85,4.75,4.75,4.75,0.0
2005-06-09,4.75,4.65,4.65,4.65,0.0
