Date,Open,High,Low,Close,Volume
2001-01-16,34.25,28.0,28.0,28.0,500.0
2001-01-17,28.0,29.0,28.5,28.5,1000.0
2001-01-19,28.5,29.0,29.0,29.0,1000.0
2001-01-22,29.0,29.0,29.0,29.0,0.0
2001-05-21,29.0,30.0,30.0,30.0,500.0
2001-05-23,30.0,32.0,32.0,32.0,500.0
2001-05-24,32.0,31.0,29.0,29.0,1000.0
2001-05-30,29.0,29.0,29.0,29.0,0.0
2001-06-07,29.0,28.35,28.35,28.35,500.0
2001-06-08,28.35,28.0,28.0,28.0,500.0
2001-06-13,28.0,27.9,27.5,27.5,2000.0
2001-06-14,27.5,27.95,26.0,27.95,7000.0
2001-06-15,27.95,27.95,27.95,27.95,1000.0
2001-06-18,27.95,26.8,25.75,25.75,5000.0
2001-06-22,25.75,24.8,24.75,24.75,2000.0
2001-07-09,24.75,25.0,24.1,24.1,1000.0
2001-07-16,24.1,24.1,24.1,24.1,1000.0
2001-07-18,24.1,24.0,24.0,24.0,500.0
2001-07-20,24.0,25.0,25.0,25.0,1500.0
2001-07-25,25.0,25.0,25.0,25.0,500.0
2001-07-27,25.0,25.0,25.0,25.0,500.0
2001-08-13,25.0,25.4,25.4,25.4,1000.0
2001-08-16,25.4,26.0,26.0,26.0,1000.0
2001-08-20,26.0,26.0,26.0,26.0,500.0
2001-09-26,26.0,25.0,25.0,25.0,1000.0
2001-10-01,25.0,24.25,24.25,24.25,500.0
2001-10-10,24.25,25.0,25.0,25.0,1500.0
2001-10-15,25.0,25.5,25.5,25.5,500.0
2001-10-16,25.5,25.0,25.0,25.0,500.0
2001-10-24,25.0,26.5,26.5,26.5,500.0
2001-10-25,26.5,26.45,25.5,26.45,1000.0
2001-10-30,26.45,26.45,26.45,26.45,1000.0
2001-11-01,26.45,26.5,26.5,26.5,500.0
2001-11-07,26.5,26.5,26.5,26.5,6000.0
2001-11-08,26.5,28.0,26.5,27.55,17000.0
2001-11-12,27.55,29.05,29.0,29.05,4000.0
2001-11-13,29.05,27.6,27.6,27.6,3500.0
2001-11-14,27.6,27.05,27.0,27.0,1500.0
2001-11-16,27.0,28.95,26.7,28.95,2500.0
2001-11-19,28.95,27.55,27.55,27.55,1000.0
2001-11-20,27.55,28.8,28.75,28.8,2000.0
2001-11-21,28.8,28.0,27.4,28.0,1500.0
2001-11-24,28.0,28.0,28.0,28.0,1000.0
2001-11-26,28.0,27.7,27.0,27.0,4000.0
2001-11-27,27.0,27.5,26.85,27.0,6500.0
2001-11-28,27.0,27.25,27.0,27.25,5000.0
2001-11-29,27.25,27.5,27.5,27.5,1000.0
2001-12-06,27.5,27.5,27.5,27.5,0.0
2001-12-08,27.5,29.0,28.8,29.0,1000.0
2001-12-10,29.0,29.0,29.0,29.0,0.0
2001-12-11,29.0,29.0,28.9,29.0,2500.0
2001-12-20,25.0,25.0,25.0,25.0,0.0
2001-12-27,25.0,23.25,23.25,23.25,1000.0
2002-01-09,23.25,24.75,24.75,24.75,500.0
2002-01-10,24.75,26.0,26.0,26.0,500.0
2002-01-18,26.0,26.0,26.0,26.0,500.0
2002-01-21,26.0,26.0,26.0,26.0,2500.0
2002-01-22,26.0,26.0,26.0,26.0,500.0
2002-01-29,26.0,27.0,27.0,27.0,1000.0
2002-02-07,27.0,28.0,28.0,28.0,500.0
2002-02-11,28.0,28.05,28.0,28.0,1500.0
2002-02-12,28.0,27.0,27.0,27.0,4000.0
2002-02-13,27.0,26.75,26.15,26.15,3000.0
2002-02-18,26.15,25.0,25.0,25.0,500.0
2002-02-19,25.0,25.0,25.0,25.0,1000.0
2002-02-20,25.0,26.5,26.5,26.5,500.0
2002-02-21,26.5,27.0,26.75,27.0,1000.0
2002-02-26,27.0,27.0,27.0,27.0,2000.0
