Date,Open,High,Low,Close,Volume
2001-01-08,114.0,110.0,110.0,110.0,300.0
2001-01-10,110.0,110.0,110.0,110.0,100.0
2001-01-12,110.0,110.0,110.0,110.0,200.0
2001-01-25,110.0,112.0,112.0,112.0,100.0
2001-02-08,112.0,115.0,115.0,115.0,400.0
2001-02-12,115.0,122.0,122.0,122.0,100.0
2001-02-16,122.0,125.0,125.0,125.0,100.0
2001-02-27,125.0,120.0,120.0,120.0,200.0
2001-03-01,120.0,120.0,119.0,120.0,1800.0
2001-03-02,120.0,120.0,110.0,119.0,3400.0
2001-03-09,119.0,103.0,101.0,101.0,400.0
2001-03-12,101.0,99.0,99.0,99.0,100.0
2001-03-13,99.0,95.0,95.0,95.0,1100.0
2001-03-14,95.0,101.0,98.5,101.0,900.0
2001-03-15,101.0,109.9,98.05,104.0,1500.0
2001-03-19,104.0,98.0,98.0,98.0,500.0
2001-03-21,73.0,73.0,73.0,73.0,0.0
2001-03-26,73.0,63.1,63.1,63.1,200.0
2001-04-03,63.1,62.0,60.0,60.0,500.0
2001-04-06,60.0,64.0,64.0,64.0,100.0
2001-05-10,64.0,68.0,68.0,68.0,100.0
2001-05-11,68.0,68.0,68.0,68.0,100.0
2001-05-15,68.0,68.0,68.0,68.0,0.0
2001-05-24,68.0,65.0,65.0,65.0,100.0
2001-05-30,65.0,70.0,70.0,70.0,100.0
2001-06-11,70.0,60.0,60.0,60.0,500.0
2001-06-18,60.0,61.0,61.0,61.0,800.0
2001-06-27,61.0,70.0,70.0,70.0,100.0
2001-07-10,70.0,75.0,72.0,75.0,400.0
2001-07-11,75.0,70.0,70.0,70.0,1000.0
2001-07-13,70.0,70.0,70.0,70.0,100.0
2001-08-16,70.0,58.0,58.0,58.0,100.0
2001-08-27,58.0,62.0,62.0,62.0,200.0
2001-09-05,62.0,63.0,62.0,62.0,500.0
2001-09-12,62.0,62.0,62.0,62.0,100.0
2001-09-13,62.0,51.55,51.05,51.05,200.0
2001-09-14,51.05,50.0,50.0,50.0,100.0
2001-09-24,50.0,50.0,50.0,50.0,100.0
2001-09-25,50.0,50.0,50.0,50.0,0.0
2001-09-26,50.0,49.25,49.25,49.25,200.0
2001-09-27,49.25,50.0,50.0,50.0,200.0
2001-10-03,50.0,50.0,50.0,50.0,500.0
2001-10-10,50.0,51.0,51.0,51.0,100.0
2001-10-24,51.0,56.0,56.0,56.0,200.0
2001-10-25,56.0,55.1,55.0,55.1,200.0
2001-10-30,55.1,55.0,55.0,55.0,400.0
2001-11-01,55.0,58.0,58.0,58.0,300.0
2001-11-14,58.0,60.0,60.0,60.0,400.0
2001-11-16,60.0,65.0,65.0,65.0,300.0
2001-11-19,65.0,69.0,69.0,69.0,300.0
2001-11-20,69.0,69.0,69.0,69.0,100.0
2001-11-27,69.0,75.0,69.95,75.0,800.0
2001-11-29,75.0,71.25,71.25,71.25,100.0
2001-12-04,71.25,71.0,71.0,71.0,900.0
2001-12-05,71.0,75.5,75.5,75.5,100.0
2001-12-06,75.5,75.0,75.0,75.0,100.0
2001-12-11,75.0,75.0,75.0,75.0,300.0
2001-12-12,75.0,79.9,79.9,79.9,200.0
2001-12-15,79.9,75.0,75.0,75.0,100.0
2001-12-20,75.0,80.0,80.0,80.0,200.0
2001-12-21,80.0,82.9,82.9,82.9,100.0
2002-01-23,82.9,82.0,82.0,82.0,100.0
2002-02-13,82.0,82.0,82.0,82.0,400.0
2002-02-14,82.0,80.0,80.0,80.0,100.0
2002-02-15,80.0,80.0,80.0,80.0,600.0
2002-02-18,80.0,80.0,80.0,80.0,1200.0
2002-02-26,80.0,80.0,80.0,80.0,0.0
2002-02-27,80.0,79.0,79.0,79.0,100.0
2002-02-28,79.0,80.0,80.0,80.0,100.0
2002-03-15,80.0,86.0,86.0,86.0,100.0
2002-03-20,75.0,75.0,75.0,75.0,0.0
2002-04-02,75.0,75.0,72.0,72.0,400.0
2002-04-05,72.0,75.0,75.0,75.0,1000.0
2002-04-10,75.0,80.0,80.0,80.0,300.0
2002-05-31,80.0,79.0,79.0,79.0,0.0
2002-06-12,79.0,78.75,78.75,78.75,1000.0
2002-06-13,78.75,78.5,78.5,78.5,0.0
2002-06-17,78.5,78.0,78.0,78.0,0.0
2002-06-25,78.0,77.95,77.95,77.95,0.0
2002-06-26,77.95,77.9,77.9,77.9,0.0
2002-07-04,77.9,78.0,78.0,78.0,100.0
2002-07-09,78.0,77.5,77.5,77.5,0.0
2002-07-22,77.5,77.0,77.0,77.0,0.0
2002-07-24,77.0,75.0,75.0,75.0,0.0
2002-07-25,75.0,74.9,74.9,74.9,200.0
2002-07-29,74.9,74.0,74.0,74.0,0.0
2002-08-01,74.0,72.0,72.0,72.0,0.0
2002-08-02,72.0,70.0,68.75,68.75,1100.0
