Date,Open,High,Low,Close,Volume
2001-01-02,7.0,7.3,7.3,7.3,1000.0
2001-01-03,7.3,8.0,7.4,7.9,8000.0
2001-01-04,7.9,8.0,7.6,8.0,3500.0
2001-01-05,8.0,8.0,8.0,8.0,1000.0
2001-01-09,8.0,7.6,7.6,7.6,2000.0
2001-01-11,7.6,7.6,7.5,7.6,4000.0
2001-01-12,7.6,7.35,7.3,7.3,2000.0
2001-01-18,7.3,7.25,7.25,7.25,1000.0
2001-01-22,7.25,7.45,7.45,7.45,500.0
2001-01-23,7.45,7.9,7.75,7.9,2000.0
2001-01-24,7.9,7.8,7.8,7.8,2000.0
2001-01-25,7.8,7.8,7.75,7.75,2000.0
2001-02-01,7.75,7.55,7.5,7.5,1500.0
2001-02-02,7.5,7.25,7.1,7.25,3000.0
2001-02-06,7.25,7.2,7.2,7.2,5000.0
2001-02-08,7.2,7.25,7.15,7.15,4000.0
2001-02-12,7.15,7.6,7.25,7.6,2500.0
2001-02-15,7.6,7.0,7.0,7.0,500.0
2001-03-02,7.0,6.2,6.2,6.2,2000.0
2001-03-09,6.2,6.55,6.55,6.55,2500.0
2001-03-12,6.55,6.35,6.0,6.0,4500.0
2001-03-14,6.0,6.0,5.0,5.2,5000.0
2001-03-15,5.2,5.4,5.4,5.4,500.0
2001-03-16,5.4,5.5,5.2,5.5,2500.0
2001-03-19,5.5,5.2,5.2,5.2,1000.0
2001-03-20,5.2,5.3,5.0,5.0,11000.0
2001-03-21,5.0,5.1,4.75,4.75,14000.0
2001-03-27,3.45,3.45,3.45,3.45,0.0
2001-03-29,3.45,5.0,5.0,5.0,500.0
2001-04-02,5.0,6.0,5.9,6.0,2000.0
2001-04-17,6.0,6.0,6.0,6.0,1000.0
2001-04-20,6.0,6.0,6.0,6.0,5000.0
2001-04-27,6.0,6.55,6.55,6.55,500.0
2001-05-04,6.55,6.3,6.3,6.3,500.0
2001-05-07,6.3,6.0,6.0,6.0,500.0
2001-05-14,6.0,6.0,6.0,6.0,1000.0
2001-05-15,6.0,6.0,5.9,6.0,6500.0
2001-05-16,6.0,6.3,6.1,6.3,10500.0
2001-05-17,6.3,6.0,6.0,6.0,5000.0
2001-05-18,6.0,5.7,5.7,5.7,500.0
2001-05-21,5.7,6.05,6.0,6.0,15000.0
2001-05-22,6.0,6.0,6.0,6.0,1000.0
2001-05-23,6.0,5.7,5.7,5.7,1000.0
2001-05-29,5.7,5.35,5.3,5.35,3000.0
2001-05-30,5.35,5.0,5.0,5.0,1000.0
2001-06-01,5.0,5.0,4.9,4.9,1500.0
2001-06-04,4.9,4.8,4.7,4.7,2000.0
2001-06-06,4.7,4.8,4.6,4.8,5500.0
2001-06-07,4.8,4.65,4.55,4.55,10500.0
2001-06-11,4.55,4.5,4.5,4.5,1000.0
2001-06-12,4.5,4.65,4.5,4.5,3000.0
