Date,Open,High,Low,Close,Volume
2001-01-04,115.0,115.0,115.0,115.0,200.0
2001-01-22,115.0,120.0,120.0,120.0,100.0
2001-01-29,120.0,112.0,112.0,112.0,100.0
2001-02-07,112.0,110.75,110.75,110.75,100.0
2001-02-08,110.75,117.0,117.0,117.0,100.0
2001-02-22,117.0,111.0,111.0,111.0,100.0
2001-02-26,111.0,111.0,111.0,111.0,0.0
2001-03-15,108.0,108.0,108.0,108.0,0.0
2001-04-02,108.0,108.0,108.0,108.0,500.0
2001-04-23,108.0,110.0,109.0,110.0,300.0
2001-04-30,110.0,110.0,110.0,110.0,0.0
2001-11-27,110.0,104.5,104.5,104.5,500.0
2001-11-28,104.5,104.0,104.0,104.0,100.0
2002-04-01,104.0,105.0,105.0,105.0,400.0
2002-04-02,105.0,105.0,105.0,105.0,100.0
2002-04-22,105.0,105.0,105.0,105.0,100.0
2002-04-25,105.0,97.15,97.15,97.15,100.0
2002-04-26,97.15,96.0,96.0,96.0,1000.0
2002-05-10,96.0,100.0,100.0,100.0,100.0
2002-06-18,100.0,100.0,100.0,100.0,100.0
2002-06-19,100.0,98.0,98.0,98.0,200.0
2002-06-21,98.0,97.0,97.0,97.0,200.0
2002-07-23,97.0,96.0,96.0,96.0,0.0
2002-08-02,96.0,92.0,92.0,92.0,100.0
2002-08-05,92.0,91.95,91.95,91.95,0.0
2002-08-06,91.95,90.0,90.0,90.0,100.0
2002-08-08,90.0,90.0,90.0,90.0,100.0
2002-08-26,90.0,90.0,90.0,90.0,100.0
2002-08-27,90.0,90.0,90.0,90.0,200.0
2002-08-30,90.0,88.5,88.5,88.5,100.0
2002-09-04,88.5,89.5,88.8,89.5,1300.0
2002-09-05,89.5,92.0,90.0,92.0,400.0
2002-09-06,92.0,95.0,95.0,95.0,0.0
2002-09-10,95.0,102.0,102.0,102.0,100.0
2002-09-11,102.0,101.0,101.0,101.0,0.0
2002-09-12,101.0,99.9,99.9,99.9,0.0
2002-09-13,99.9,98.0,98.0,98.0,0.0
2002-09-17,98.0,97.0,97.0,97.0,0.0
2002-09-23,97.0,95.0,95.0,95.0,0.0
2002-10-08,95.0,98.95,98.95,98.95,100.0
2002-10-11,98.95,94.05,94.05,94.05,300.0
2002-10-14,94.05,92.0,92.0,92.0,100.0
2002-10-15,89.0,89.0,89.0,89.0,0.0
2002-10-17,89.0,90.0,90.0,90.0,0.0
2002-10-18,90.0,90.0,90.0,90.0,500.0
2002-10-22,90.0,90.0,90.0,90.0,500.0
2002-10-23,90.0,90.0,90.0,90.0,200.0
2002-10-24,90.0,90.0,90.0,90.0,500.0
2002-10-25,90.0,95.0,90.0,95.0,800.0
2002-10-29,95.0,96.0,96.0,96.0,0.0
2002-10-30,96.0,96.5,96.5,96.5,0.0
2002-11-01,96.5,97.5,97.5,97.5,0.0
2002-11-07,97.5,100.0,100.0,100.0,500.0
2002-11-12,100.0,101.0,100.0,100.0,400.0
2002-11-13,100.0,103.0,103.0,103.0,0.0
2002-11-14,103.0,105.0,105.0,105.0,100.0
2002-11-19,105.0,105.0,105.0,105.0,100.0
2002-11-21,105.0,106.25,106.25,106.25,0.0
2002-11-22,106.25,107.0,107.0,107.0,0.0
2002-11-25,107.0,115.0,107.25,115.0,900.0
2002-11-27,115.0,120.0,120.0,120.0,100.0
2002-11-29,120.0,118.0,118.0,118.0,100.0
2002-12-09,118.0,120.0,118.0,118.0,200.0
2002-12-11,118.0,118.25,118.25,118.25,0.0
2002-12-13,118.25,118.1,118.0,118.0,400.0
2002-12-16,118.0,116.0,116.0,116.0,100.0
2002-12-18,116.0,116.0,116.0,116.0,300.0
2002-12-20,116.0,118.0,118.0,118.0,100.0
2002-12-30,118.0,116.0,112.1,112.1,500.0
2002-12-31,112.1,112.0,112.0,112.0,400.0
2003-01-01,112.0,112.0,112.0,112.0,300.0
2003-01-07,112.0,115.25,115.0,115.25,200.0
2003-01-09,115.25,116.0,116.0,116.0,0.0
2003-01-13,116.0,120.0,120.0,120.0,100.0
2003-01-15,120.0,120.0,120.0,120.0,100.0
2003-01-16,120.0,120.0,120.0,120.0,100.0
2003-01-20,120.0,125.0,125.0,125.0,1000.0
2003-01-21,125.0,134.25,134.0,134.25,600.0
2003-01-22,134.25,144.3,136.0,140.0,700.0
2003-01-23,140.0,150.5,150.0,150.5,200.0
2003-01-29,150.5,151.0,151.0,151.0,0.0
2003-02-06,151.0,150.0,150.0,150.0,0.0
2003-02-17,150.0,148.0,148.0,148.0,600.0
2003-02-20,148.0,146.0,146.0,146.0,0.0
2003-02-21,146.0,150.0,150.0,150.0,300.0
2003-02-24,150.0,150.0,145.0,145.0,500.0
2003-02-25,145.0,140.0,140.0,140.0,200.0
2003-03-12,138.5,138.0,138.0,138.0,0.0
2003-03-17,138.0,131.1,131.1,131.1,100.0
2003-03-18,131.1,135.0,135.0,135.0,100.0
2003-03-19,135.0,130.0,130.0,130.0,200.0
2003-03-20,130.0,139.75,139.75,139.75,1000.0
2003-03-21,139.75,140.0,140.0,140.0,400.0
2003-03-24,140.0,135.0,135.0,135.0,100.0
2003-03-27,135.0,135.0,135.0,135.0,500.0
2003-04-02,135.0,137.0,137.0,137.0,700.0
2003-04-17,137.0,136.5,136.5,136.5,0.0
2003-04-18,136.5,135.95,135.95,135.95,0.0
2003-04-21,135.95,135.0,135.0,135.0,0.0
2003-04-22,135.0,130.05,130.0,130.0,200.0
2003-04-23,130.0,136.0,136.0,136.0,100.0
2003-04-24,136.0,136.0,130.05,136.0,700.0
2003-04-28,136.0,135.0,135.0,135.0,1000.0
2003-04-29,135.0,136.0,136.0,136.0,1000.0
2003-05-12,136.0,140.0,132.0,132.0,1500.0
2003-05-13,132.0,140.0,140.0,140.0,500.0
2003-05-14,140.0,144.4,144.4,144.4,400.0
2003-05-16,144.4,145.1,145.0,145.0,13200.0
2003-05-20,145.0,150.0,150.0,150.0,100.0
2003-05-21,150.0,160.0,160.0,160.0,100.0
2003-05-22,160.0,161.0,161.0,161.0,300.0
2003-05-23,161.0,161.0,161.0,161.0,100.0
2003-05-26,161.0,162.0,162.0,162.0,300.0
2003-05-27,162.0,160.0,160.0,160.0,200.0
2003-05-28,160.0,158.0,158.0,158.0,200.0
2003-06-03,158.0,160.0,160.0,160.0,300.0
2003-06-05,160.0,161.0,161.0,161.0,0.0
2003-06-12,161.0,163.0,163.0,163.0,0.0
2003-06-13,163.0,155.0,154.85,155.0,2000.0
2003-06-17,155.0,159.0,159.0,159.0,0.0
2003-06-18,159.0,161.0,161.0,161.0,0.0
2003-06-25,161.0,163.0,160.0,163.0,1600.0
2003-07-30,163.0,155.0,155.0,155.0,1000.0
2003-07-31,155.0,166.6,166.6,166.6,0.0
2003-08-01,166.6,160.0,160.0,160.0,100.0
2003-08-04,160.0,162.0,162.0,162.0,0.0
2003-08-05,162.0,170.0,170.0,170.0,0.0
2003-08-08,170.0,175.0,175.0,175.0,0.0
2003-08-18,175.0,180.0,180.0,180.0,0.0
2003-08-20,180.0,185.0,185.0,185.0,0.0
2003-08-21,185.0,185.0,185.0,185.0,500.0
2003-08-25,185.0,195.0,195.0,195.0,100.0
2003-08-27,195.0,209.0,209.0,209.0,100.0
2003-08-29,209.0,224.0,200.0,224.0,200.0
2003-09-01,224.0,240.8,240.8,240.8,700.0
2003-09-02,240.8,258.5,240.0,240.0,700.0
2003-09-03,240.0,240.0,240.0,240.0,100.0
2003-09-08,240.0,240.0,240.0,240.0,100.0
2003-10-13,240.0,238.0,238.0,238.0,0.0
2003-10-20,238.0,239.0,238.0,238.0,100.0
2003-10-23,229.5,240.0,240.0,240.0,200.0
2003-10-24,240.0,229.0,229.0,229.0,200.0
2003-10-29,229.0,225.0,225.0,225.0,500.0
2003-11-24,225.0,220.0,220.0,220.0,100.0
2003-12-02,220.0,236.25,236.25,236.25,500.0
2003-12-03,236.25,253.5,230.0,253.5,1200.0
2003-12-04,253.5,245.0,244.0,244.0,200.0
2003-12-05,244.0,240.0,240.0,240.0,0.0
2003-12-10,240.0,240.0,240.0,240.0,100.0
2004-01-29,240.0,255.0,248.0,255.0,1000.0
2004-01-30,255.0,260.0,260.0,260.0,500.0
2004-02-23,260.0,260.0,260.0,260.0,100.0
2004-03-03,254.0,252.0,252.0,252.0,100.0
2004-03-05,252.0,250.0,250.0,250.0,300.0
2004-03-12,250.0,245.0,245.0,245.0,0.0
