Date,Open,High,Low,Close,Volume
2001-01-15,11.0,10.0,10.0,10.0,500.0
2001-01-16,10.0,9.0,9.0,9.0,1000.0
2001-01-18,9.0,8.25,8.25,8.25,500.0
2001-01-19,8.25,8.25,8.25,8.25,500.0
2001-01-25,8.25,8.1,8.1,8.1,500.0
2001-01-26,8.1,8.1,7.9,7.9,1500.0
2001-01-30,7.9,7.5,7.5,7.5,500.0
2001-01-31,7.5,7.5,7.5,7.5,500.0
2001-02-07,7.5,7.5,7.5,7.5,500.0
2001-02-08,7.5,7.0,7.0,7.0,500.0
2001-02-09,7.0,6.5,6.5,6.5,500.0
2001-02-12,6.5,6.5,6.5,6.5,500.0
2001-03-13,6.5,6.9,6.9,6.9,500.0
2001-09-11,6.9,6.0,6.0,6.0,500.0
2002-03-22,6.0,6.5,6.5,6.5,0.0
2002-04-01,6.5,6.25,6.25,6.25,1000.0
2002-04-02,6.25,6.8,6.8,6.8,0.0
2002-04-08,6.8,7.0,7.0,7.0,0.0
2002-04-10,7.0,7.1,7.1,7.1,0.0
2002-04-11,7.1,7.5,7.5,7.5,0.0
2002-04-16,7.5,8.0,8.0,8.0,0.0
2002-04-17,8.0,8.75,8.75,8.75,0.0
2002-04-18,8.75,10.1,10.1,10.1,0.0
2002-04-19,10.1,11.0,11.0,11.0,0.0
2002-04-23,11.0,12.5,12.5,12.5,1000.0
2002-04-26,12.5,14.0,14.0,14.0,500.0
2002-05-31,14.0,13.5,13.5,13.5,0.0
2002-06-12,13.5,13.25,13.25,13.25,0.0
2002-06-13,13.25,13.0,13.0,13.0,0.0
2002-07-04,13.0,13.0,13.0,13.0,65000.0
2002-07-08,13.0,12.1,12.1,12.1,0.0
2002-07-09,12.1,11.25,11.25,11.25,0.0
2002-07-11,11.25,11.25,11.25,11.25,500.0
2002-09-09,11.25,12.0,12.0,12.0,500.0
2002-09-10,12.0,11.5,11.5,11.5,0.0
2002-09-25,11.5,12.0,12.0,12.0,1000.0
2002-10-01,12.0,11.5,11.4,11.5,1500.0
2002-10-14,10.5,10.5,10.5,10.5,0.0
