Date,Open,High,Low,Close,Volume
1/12/2001,3.5,4,4,4,1000
2/1/2001,4,3.9,3.9,3.9,5000
2/2/2001,3.9,4,2.75,4,9000
2/12/2001,4,2,2,2,1000
2/13/2001,2,2.4,2.4,2.4,1000
2/14/2001,2.4,2.5,2.5,2.5,1000
2/22/2001,2.5,2.7,2.7,2.7,1000
2/23/2001,2.7,2.3,2.3,2.3,1000
2/26/2001,2.3,2.75,2.75,2.75,500
3/2/2001,2.75,2,2,2,500
3/13/2001,2,2,2,2,1000
3/16/2001,2,2.5,2.5,2.5,1000
3/30/2001,2.5,2.55,2.45,2.5,4000
4/2/2001,2.5,2.7,2.7,2.7,500
4/3/2001,2.7,3.25,3,3.25,3500
4/6/2001,3.25,3.15,3,3,1500
4/13/2001,3,2,2,2,500
4/19/2001,2,2.25,2.25,2.25,1000
5/10/2001,2.25,2.05,2.05,2.05,1000
5/14/2001,2.05,3,3,3,3000
5/15/2001,3,7,3,7,2000
5/16/2001,7,4,4,4,1000
5/18/2001,4,4,4,4,1000
6/27/2001,4,2.5,2.5,2.5,1500
7/3/2001,2.5,2.55,2.55,2.55,500
7/4/2001,2.55,2.75,2.75,2.75,3000
7/5/2001,2.75,2.75,2.75,2.75,2000
7/11/2001,2.75,2.75,2.75,2.75,500
7/16/2001,2.75,2.75,2.75,2.75,500
7/24/2001,2.75,2.75,2.75,2.75,500
8/17/2001,2.75,2.3,2.3,2.3,2000
9/6/2001,2.3,2.3,2.3,2.3,0
10/25/2001,2.3,2.35,2.35,2.35,1000
10/29/2001,2.35,2.7,2.7,2.7,500
11/1/2001,2.7,2.6,2.6,2.6,500
11/22/2001,2.6,2.5,2.5,2.5,2000
12/6/2001,2.5,1,1,1,1000
12/10/2001,1,1,1,1,0
12/15/2001,1,2.5,2,2.5,2000
12/21/2001,2.13,2.13,2.13,2.13,0
1/29/2002,2.13,2.5,2.5,2.5,1000
3/21/2002,2.5,1,1,1.2,500
3/22/2002,1.2,1.2,1.2,1.2,0
3/26/2002,1.2,1.25,1.25,1.25,0
3/28/2002,1.25,1.3,1.3,1.3,0
4/1/2002,1.3,1.45,1.45,1.45,0
4/4/2002,1.45,1.55,1.55,1.55,0
4/9/2002,1.55,1.5,1.4,1.5,1000
4/10/2002,1.5,1.6,1.6,1.6,0
4/17/2002,1.6,2.75,2.5,2.75,7500
4/19/2002,2.75,2.5,2.5,2.5,0
5/2/2002,2.5,3,2.2,3,1000
5/3/2002,3,2.75,2.75,2.75,0
5/7/2002,2.75,2.5,2.5,2.5,3000
5/8/2002,2.5,2.2,2.2,2.2,1000
5/20/2002,2.2,2.1,2.1,2.1,0
5/22/2002,2.1,2,2,2,2500
5/24/2002,2,3.5,2.1,3.5,10500
5/27/2002,3.5,3,3,3,16000
5/28/2002,3,3,3,3,10000
5/29/2002,3,2.8,2.8,2.8,1500
5/30/2002,2.8,3,3,3,2500
6/6/2002,3,2.9,2.9,2.9,0
6/7/2002,2.9,2.45,2.45,2.45,500
6/10/2002,2.45,2.45,2.45,2.45,500
6/11/2002,2.45,2.4,2.25,2.4,1000
6/12/2002,2.4,2.4,2.4,2.4,2500
6/13/2002,2.4,2.4,2.3,2.3,1500
6/17/2002,2.3,2.4,2,2.4,1500
6/19/2002,2.4,2.7,2.6,2.7,2000
6/20/2002,2.7,2.45,2.45,2.45,2000
6/21/2002,2.45,2.1,2,2.1,1000
6/24/2002,2.1,2.4,2.4,2.4,1000
6/27/2002,2.4,2.35,2.35,2.35,500
6/28/2002,2.35,2.3,2.3,2.3,500
7/2/2002,2.3,2.7,1.3,2.7,3500
7/5/2002,2.7,3,2.75,3,9000
7/10/2002,3,2.9,2.9,2.9,1000
7/11/2002,2.9,2.8,2.8,2.8,0
7/12/2002,2.8,2.75,2.75,2.75,0
7/19/2002,2.75,2.5,2.5,2.5,500
7/22/2002,2.5,2.5,2.5,2.5,500
7/25/2002,2.5,2.5,2.5,2.5,1500
7/26/2002,2.5,2.75,2.75,2.75,500
8/1/2002,2.75,2.65,2.5,2.65,6500
8/2/2002,2.65,2.65,2.6,2.65,1000
8/8/2002,2.65,2.65,2.35,2.35,1500
8/12/2002,2.35,2.7,2.4,2.7,11000
8/15/2002,2.7,2.7,2.7,2.7,2000
8/20/2002,2.7,2.7,2.5,2.7,25000
8/21/2002,2.7,2.6,2.55,2.6,2000
8/27/2002,2.6,2.7,2.6,2.7,10500
8/28/2002,2.7,2.7,2.7,2.7,41000
9/5/2002,2.7,2.65,2.65,2.65,1000
9/6/2002,2.65,2.7,2.7,2.7,500
9/9/2002,2.7,2.7,2.7,2.7,500
9/10/2002,2.7,2.7,2.7,2.7,500
9/12/2002,2.7,2.7,2.7,2.7,5000
9/17/2002,2.7,2.7,2.7,2.7,234000
10/3/2002,2.7,2.6,2.6,2.6,2000
10/4/2002,2.6,2.5,2.5,2.5,1000
10/7/2002,2.5,3,3,3,2500
10/8/2002,3,2.95,2.95,2.95,0
10/9/2002,2.95,2.9,2.9,2.9,0
10/24/2002,2.9,2.85,2.85,2.85,50500
10/25/2002,2.85,2.85,2.85,2.85,101000
10/30/2002,2.85,2.8,2.8,2.8,0
11/1/2002,2.8,2.5,2.5,2.5,2500
11/15/2002,2.5,2.05,2,2.05,500
11/18/2002,2.05,2.05,2.05,2.05,0
12/30/2002,2.05,2,2,2,0
1/7/2003,2,2.75,2.75,2.75,10000
1/9/2003,2.75,2.5,2.5,2.5,10000
1/14/2003,2.5,2.5,2.3,2.5,11000
1/16/2003,2.5,2.5,2.35,2.5,2000
1/17/2003,2.5,2.5,2.5,2.5,1500
1/23/2003,2.5,2.25,2.25,2.25,1500
3/17/2003,2.25,1.8,1.5,1.8,1000
3/19/2003,1.8,2,2,2,0
3/20/2003,2,2.15,2.15,2.15,2500
3/28/2003,2.15,1.75,1.75,1.75,1000
3/31/2003,1.75,1.9,1.9,1.9,0
4/1/2003,1.9,2.25,2.25,2.25,5000
4/3/2003,2.25,2.85,2.4,2.7,8000
4/7/2003,2.7,2.5,2.45,2.5,7000
4/9/2003,2.5,2.55,2.55,2.55,0
4/11/2003,2.55,2.6,2.6,2.6,0
4/14/2003,2.6,3.4,3.4,3.4,1000
4/15/2003,3.4,3,3,3,2000
4/17/2003,3,3,2.5,3,9000
4/22/2003,3,3.2,3.05,3.2,7000
4/23/2003,3.2,3.2,3.2,3.2,50000
4/25/2003,3.2,3,3,3,1500
4/28/2003,3,3.25,3.25,3.25,1000
5/2/2003,3.25,3.2,3.2,3.2,0
5/6/2003,3.2,3,3,3,2000
5/7/2003,3,3,2.75,3,5500
5/8/2003,3,3,3,3,2000
5/9/2003,3,3.25,3.25,3.25,500
