Date,Open,High,Low,Close,Volume
2001-01-02,10.9,11.45,10.95,11.45,3000.0
2001-01-03,11.45,11.85,11.05,11.1,4500.0
2001-01-04,11.1,11.3,11.25,11.25,2500.0
2001-01-05,11.25,11.35,11.35,11.35,500.0
2001-01-08,11.35,11.75,11.3,11.3,10000.0
2001-01-09,11.3,11.6,11.0,11.6,6500.0
2001-01-10,11.6,11.65,11.4,11.65,11000.0
2001-01-11,11.65,11.3,11.3,11.3,500.0
2001-01-12,11.3,11.75,11.75,11.75,500.0
2001-01-18,11.75,11.75,11.3,11.7,10000.0
2001-01-23,11.7,11.55,11.1,11.55,6500.0
2001-01-24,11.55,11.3,11.3,11.3,500.0
2001-01-25,11.3,11.6,11.6,11.6,500.0
2001-01-26,11.6,11.7,11.25,11.7,6000.0
2001-01-31,11.7,11.7,11.5,11.7,3500.0
2001-02-01,11.7,12.25,11.6,12.0,38500.0
2001-02-06,12.0,12.5,12.0,12.5,34000.0
2001-02-07,12.5,12.3,12.25,12.25,2000.0
2001-02-08,12.25,12.2,12.15,12.15,1500.0
2001-02-09,12.15,12.3,12.1,12.3,5500.0
2001-02-12,12.3,12.6,12.35,12.6,10500.0
2001-02-13,12.6,12.55,12.4,12.55,19000.0
2001-02-14,12.55,12.65,12.45,12.5,17500.0
2001-02-15,12.5,12.85,12.5,12.85,36500.0
2001-02-16,12.85,13.1,12.85,13.0,28500.0
2001-02-19,13.0,17.35,13.2,17.35,910000.0
2001-02-20,17.35,18.1,16.85,16.85,268000.0
2001-02-21,16.85,17.6,16.75,17.45,145500.0
2001-02-22,17.45,17.5,17.2,17.3,42000.0
2001-02-23,17.3,17.3,16.9,17.0,57000.0
2001-02-26,17.0,17.6,17.25,17.6,4500.0
2001-02-27,17.6,17.6,17.0,17.0,28000.0
2001-02-28,17.0,16.95,16.15,16.7,74500.0
2001-03-01,16.7,16.75,16.6,16.75,18500.0
2001-03-02,16.75,16.9,16.5,16.75,17500.0
2001-03-09,16.75,16.6,16.5,16.6,2500.0
2001-03-12,16.6,16.9,16.65,16.75,13500.0
2001-03-13,16.75,16.8,16.5,16.8,13000.0
2001-03-14,16.8,16.8,16.7,16.75,12000.0
2001-03-15,16.75,17.2,16.75,16.75,12500.0
2001-03-16,16.75,17.0,16.75,17.0,20000.0
2001-03-19,17.0,17.75,16.4,16.4,32000.0
2001-03-20,11.4,12.4,11.4,11.5,31500.0
2001-03-21,11.5,11.5,11.0,11.0,7500.0
2001-03-22,11.0,11.2,10.5,10.8,21000.0
2001-03-26,10.8,10.65,10.3,10.65,1500.0
2001-03-27,10.65,10.9,10.7,10.9,5000.0
2001-03-28,10.9,10.85,10.85,10.85,3000.0
2001-03-29,10.85,10.5,10.25,10.35,5500.0
2001-03-30,10.35,10.6,10.0,10.5,4500.0
2001-04-06,10.5,10.1,10.05,10.1,4500.0
2001-04-09,10.1,10.0,9.95,9.95,9500.0
2001-04-10,9.95,10.5,10.15,10.15,30500.0
2001-04-11,10.15,10.5,10.2,10.25,9000.0
2001-04-13,10.25,10.5,10.25,10.5,3500.0
2001-04-16,10.5,10.5,10.4,10.4,3000.0
2001-04-17,10.4,10.15,10.15,10.15,1000.0
