Date,Open,High,Low,Close,Volume
2001-01-01,17.5,19.15,17.35,19.15,43500.0
2001-01-02,19.15,19.0,18.0,18.05,71500.0
2001-01-03,18.05,18.9,18.0,18.75,111000.0
2001-01-04,18.75,19.4,18.2,18.2,59500.0
2001-01-05,18.2,18.7,18.15,18.7,20000.0
2001-01-08,18.7,18.85,18.05,18.05,17500.0
2001-01-09,18.05,18.1,17.85,18.0,20500.0
2001-01-10,18.0,18.0,17.85,17.85,8500.0
2001-01-11,17.85,18.0,17.85,17.85,10000.0
2001-01-12,17.85,17.8,17.5,17.5,8500.0
2001-01-15,17.5,17.5,17.3,17.3,1500.0
2001-01-16,17.3,17.9,16.75,17.05,63000.0
2001-01-17,17.05,17.45,16.95,17.0,387000.0
2001-01-18,17.0,17.4,17.0,17.0,74500.0
2001-01-19,17.0,16.9,16.8,16.9,6000.0
2001-01-22,16.9,17.0,16.9,17.0,62500.0
2001-01-23,17.0,17.2,17.05,17.15,40500.0
2001-01-24,17.15,17.2,17.05,17.05,38000.0
2001-01-25,17.05,17.0,16.9,17.0,30500.0
2001-01-26,17.0,16.9,16.6,16.6,11000.0
2001-01-29,16.6,17.0,16.9,16.9,4000.0
2001-01-30,16.9,16.9,16.75,16.9,6000.0
2001-01-31,16.9,17.0,17.0,17.0,11000.0
2001-02-01,17.0,17.4,16.75,16.75,11500.0
2001-02-02,16.75,16.7,16.6,16.6,8000.0
2001-02-06,16.6,17.0,16.55,16.95,30500.0
2001-02-07,16.95,17.15,16.8,17.0,16000.0
2001-02-08,17.0,17.2,16.8,16.8,12500.0
2001-02-09,16.8,17.0,16.5,16.5,14500.0
2001-02-12,16.5,16.9,16.5,16.5,21000.0
2001-02-13,16.5,16.75,16.4,16.45,26000.0
2001-02-14,16.45,16.95,16.5,16.95,41000.0
2001-02-15,16.95,17.0,16.4,16.75,23000.0
2001-02-16,16.75,16.45,16.0,16.45,3000.0
2001-02-19,16.45,16.4,16.0,16.1,17500.0
2001-02-20,16.1,16.0,16.0,16.0,2000.0
2001-02-21,16.0,16.5,16.0,16.25,11000.0
2001-02-22,16.25,16.0,15.75,16.0,12000.0
2001-02-23,16.0,16.0,16.0,16.0,1000.0
2001-02-26,16.0,16.25,15.4,15.7,6500.0
2001-02-27,15.7,16.5,15.45,16.0,10000.0
2001-02-28,16.0,16.2,16.0,16.1,17000.0
2001-03-01,16.1,16.5,16.0,16.45,36500.0
2001-03-02,16.45,19.5,16.2,19.5,33000.0
