Date,Open,High,Low,Close,Volume
2002-01-01,24.0,25.5,25.5,25.5,500.0
2002-01-02,25.5,26.3,25.25,26.3,7000.0
2002-01-03,26.3,25.8,25.25,25.8,12000.0
2002-01-04,25.8,25.8,25.5,25.8,5000.0
2002-01-07,25.8,25.75,25.75,25.75,500.0
2002-01-08,25.75,25.5,25.3,25.5,3000.0
2002-01-11,25.5,26.25,26.25,26.25,1000.0
2002-01-14,26.25,26.75,26.65,26.75,2500.0
2002-01-15,26.75,27.75,27.0,27.5,6500.0
2002-01-16,27.5,26.65,26.5,26.5,4000.0
2002-01-17,26.5,27.45,26.5,27.45,15000.0
2002-01-18,27.45,28.0,27.5,28.0,11000.0
2002-01-21,28.0,29.45,28.0,28.6,14000.0
2002-01-22,28.6,29.0,28.75,29.0,1500.0
2002-01-23,29.0,28.9,28.75,28.9,8500.0
2002-01-24,28.9,29.5,29.0,29.0,5500.0
2002-01-25,29.0,31.0,29.75,31.0,18500.0
2002-01-28,31.0,33.25,31.5,33.25,17000.0
2002-01-29,33.25,35.5,33.5,35.5,9500.0
2002-01-30,35.5,38.0,35.5,37.0,16500.0
2002-01-31,37.0,37.9,36.5,37.5,25500.0
2002-02-01,37.5,38.75,37.85,37.85,16000.0
2002-02-04,37.85,37.75,36.0,36.0,19500.0
2002-02-06,36.0,36.85,35.5,36.0,9500.0
2002-02-07,36.0,36.0,35.0,35.7,20500.0
2002-02-08,35.7,36.25,36.0,36.25,11000.0
2002-02-11,36.25,36.45,36.25,36.45,1000.0
2002-02-12,36.45,35.0,34.9,34.9,1000.0
2002-02-13,34.9,35.0,34.0,34.85,3000.0
2002-02-14,34.85,34.85,33.25,34.85,4000.0
2002-02-15,34.85,34.85,32.5,32.5,3500.0
2002-02-18,32.5,31.45,30.1,30.1,5000.0
2002-02-19,30.1,30.25,28.5,28.5,9500.0
2002-02-20,28.5,28.55,28.0,28.55,2500.0
2002-02-21,28.55,29.75,28.5,29.5,6500.0
2002-02-26,29.5,29.0,28.25,28.25,12000.0
2002-02-27,28.25,28.5,27.45,28.45,11000.0
2002-02-28,28.45,28.2,27.5,27.5,6000.0
2002-03-01,27.5,27.6,27.5,27.6,3500.0
2002-03-04,27.6,27.75,27.1,27.5,3500.0
2002-03-05,27.5,27.5,27.5,27.5,500.0
2002-03-06,27.5,27.95,27.95,27.95,500.0
2002-03-07,27.95,28.0,27.6,27.6,5000.0
2002-03-08,27.6,27.5,27.05,27.25,5000.0
2002-03-11,27.25,28.35,28.05,28.35,7500.0
2002-03-12,28.35,28.9,27.95,28.0,8000.0
2002-03-13,28.0,28.9,28.0,28.9,8000.0
2002-03-14,28.9,29.35,29.25,29.35,6000.0
2002-03-15,29.35,29.0,28.5,28.5,2500.0
2002-03-18,28.5,29.0,28.5,29.0,7000.0
2002-03-19,29.0,28.5,28.0,28.0,3000.0
2002-03-21,28.0,28.5,28.0,28.5,1500.0
2002-03-22,28.5,28.0,28.0,28.05,2000.0
2002-03-26,28.05,27.7,27.5,27.55,1000.0
2002-03-27,27.55,29.0,27.45,27.55,12500.0
2002-03-28,27.55,28.4,27.3,28.4,3000.0
2002-04-02,28.4,28.0,28.0,28.0,1500.0
2002-04-03,28.0,28.5,28.5,28.5,2000.0
2002-04-08,28.5,27.8,27.75,27.75,1000.0
2002-04-10,27.75,27.5,27.5,27.5,2000.0
2002-04-12,27.5,27.8,27.75,27.75,2500.0
2002-04-15,27.75,29.8,28.75,29.6,11000.0
2002-04-16,29.6,30.0,29.7,30.0,9000.0
2002-04-17,30.0,32.0,30.0,31.9,24000.0
2002-04-18,31.9,31.85,31.0,31.55,5000.0
2002-04-19,31.55,32.0,30.65,30.65,10000.0
2002-04-22,30.65,32.0,30.95,31.25,9500.0
2002-04-23,31.25,32.0,31.0,32.0,9000.0
2002-04-24,32.0,31.9,29.65,29.65,10000.0
2002-04-25,29.65,30.1,29.7,29.85,12000.0
2002-04-26,29.85,30.5,30.0,30.1,3500.0
2002-04-29,30.1,30.7,30.5,30.55,3000.0
2002-04-30,30.55,30.2,30.1,30.1,2000.0
2002-05-02,30.1,30.2,30.0,30.2,1000.0
2002-05-03,30.2,31.05,30.85,30.85,1000.0
2002-05-06,30.85,30.85,30.25,30.25,2500.0
2002-05-07,30.25,30.5,30.0,30.0,4500.0
2002-05-08,30.0,29.0,28.6,28.6,9000.0
2002-05-09,28.6,29.45,29.0,29.0,2500.0
2002-05-10,29.0,29.3,29.0,29.0,6000.0
2002-05-13,29.0,29.0,28.5,29.0,5000.0
2002-05-14,29.0,29.25,28.75,28.75,1500.0
2002-05-15,28.75,29.25,28.0,29.25,1500.0
2002-05-16,29.25,28.75,28.75,28.75,500.0
2002-05-17,28.75,28.0,28.0,28.0,2000.0
2002-05-20,28.0,26.5,26.0,26.5,1000.0
2002-05-21,26.5,28.0,25.6,25.75,4000.0
2002-05-22,25.75,25.2,24.5,24.5,3000.0
2002-05-24,24.5,26.25,26.25,26.25,1500.0
2002-05-27,26.25,27.75,26.0,26.0,7000.0
2002-05-30,26.0,26.5,26.0,26.0,4000.0
2002-06-03,26.0,26.0,25.35,26.0,2500.0
2002-06-04,26.0,26.0,26.0,26.0,1000.0
2002-06-05,26.0,26.9,26.0,26.9,5000.0
2002-06-07,26.9,26.5,26.25,26.25,2500.0
2002-06-10,26.25,28.2,27.4,28.2,10500.0
2002-06-11,28.2,28.4,27.75,28.4,2500.0
2002-06-18,28.4,29.0,28.5,28.5,2000.0
2002-06-19,28.5,28.0,28.0,28.0,0.0
2002-06-20,28.0,28.9,28.0,28.9,1500.0
2002-06-21,28.9,28.5,28.5,28.5,1000.0
2002-07-01,28.5,29.0,28.5,29.0,2000.0
2002-07-02,29.0,30.25,29.0,30.25,15500.0
2002-07-03,30.25,30.5,30.0,30.0,3000.0
2002-07-04,30.0,29.0,29.0,29.0,1000.0
2002-07-05,29.0,28.5,28.5,28.5,4500.0
2002-07-11,28.5,29.0,28.0,28.4,4500.0
2002-07-12,28.4,28.25,28.0,28.0,12500.0
2002-07-15,28.0,27.8,27.75,27.8,4000.0
2002-07-16,27.8,28.0,28.0,28.0,0.0
2002-07-17,28.0,28.3,28.05,28.05,4000.0
