Date,Open,High,Low,Close,Volume
2002-01-14,6.25,6.25,6.25,6.25,500.0
2002-01-21,6.25,6.25,6.25,6.25,300000.0
2002-03-01,6.25,6.5,6.25,6.5,9000.0
2002-03-04,6.5,6.25,6.25,6.25,1000.0
2002-03-12,6.25,6.4,6.3,6.4,2500.0
2002-03-19,6.4,7.5,7.1,7.5,7000.0
2002-03-20,7.5,7.5,7.5,7.5,2000.0
2002-03-21,7.5,7.75,7.6,7.75,2000.0
2002-03-22,7.75,7.8,7.8,7.8,1000.0
2002-03-28,7.8,7.75,7.75,7.75,0.0
2002-04-05,7.75,7.7,7.7,7.7,0.0
2002-04-09,7.7,7.6,7.6,7.6,0.0
2002-04-11,7.6,7.8,7.6,7.8,1000.0
2002-04-18,7.8,7.7,7.7,7.7,0.0
2002-04-19,7.7,7.5,7.5,7.5,0.0
2002-04-25,7.5,7.6,7.5,7.6,1000.0
2002-05-06,7.6,8.0,8.0,8.0,33000.0
2002-05-09,8.0,6.5,6.5,6.5,500.0
2002-05-10,6.5,8.0,8.0,8.0,3000.0
2002-05-16,8.0,8.0,8.0,8.0,2000.0
2002-05-30,8.0,7.9,7.9,7.9,0.0
2002-06-04,7.9,8.0,7.9,8.0,8500.0
2002-06-05,8.0,8.0,8.0,8.0,1000.0
2002-06-10,8.0,8.75,8.75,8.75,500.0
2002-06-25,8.75,8.5,8.5,8.5,0.0
2002-07-04,8.5,8.55,8.55,8.55,0.0
2002-07-05,8.55,9.0,9.0,9.0,500.0
2002-07-08,9.0,8.75,8.75,8.75,1000.0
2002-08-01,8.75,8.75,8.75,8.75,500.0
2002-08-05,8.75,8.75,8.75,8.75,2000.0
2002-08-16,8.75,9.5,9.5,9.5,2500.0
2002-08-20,9.5,10.0,10.0,10.0,1000.0
2002-08-21,10.0,10.5,10.25,10.5,4000.0
2002-08-26,10.5,11.0,10.5,11.0,2000.0
2002-08-27,11.0,10.5,10.5,10.5,1000.0
2002-08-30,10.5,11.0,11.0,11.0,0.0
2002-09-05,11.0,11.0,11.0,11.0,1000.0
2002-09-11,11.0,11.4,11.3,11.4,5500.0
2002-09-12,11.4,11.0,11.0,11.0,500.0
2002-09-13,11.0,10.5,10.5,10.5,2000.0
2002-09-18,10.5,10.5,10.5,10.5,1000.0
2002-09-20,10.5,10.5,10.5,10.5,6500.0
2002-09-23,10.5,10.4,10.3,10.4,2500.0
2002-09-24,10.4,10.75,10.5,10.75,500.0
2002-09-26,10.75,10.75,10.75,10.75,270000.0
2002-09-30,10.75,11.0,11.0,11.0,6500.0
2002-10-04,11.0,10.75,10.75,10.75,4000.0
2002-10-08,10.75,11.0,11.0,11.0,1000.0
2002-10-09,11.0,11.25,11.0,11.25,1500.0
2002-10-28,11.25,11.0,11.0,11.0,4000.0
2002-10-30,11.0,11.05,11.05,11.05,0.0
2002-10-31,11.05,11.1,11.1,11.1,0.0
2002-11-04,11.1,11.15,11.15,11.15,0.0
2002-11-15,11.15,11.25,10.75,11.25,5000.0
2002-11-22,11.25,11.25,11.05,11.25,3500.0
2002-11-25,11.25,11.3,11.3,11.3,0.0
2002-11-26,11.3,11.25,11.0,11.25,2000.0
2002-12-02,11.25,11.45,11.45,11.45,500.0
2002-12-04,11.45,11.9,11.9,11.9,1000.0
2002-12-09,11.9,13.4,12.0,13.4,5000.0
2002-12-10,13.4,13.6,13.6,13.6,1000.0
2002-12-11,13.6,13.25,13.15,13.25,7000.0
2002-12-12,13.25,12.7,12.7,12.7,500.0
2002-12-13,12.7,13.95,13.95,13.95,500.0
2002-12-16,13.95,14.0,13.25,14.0,1000.0
2002-12-17,14.0,13.5,13.5,13.5,500.0
2002-12-23,13.5,13.0,13.0,13.0,500.0
2002-12-24,13.0,14.5,13.65,13.8,2000.0
2003-01-01,13.8,14.4,14.1,14.4,7000.0
2003-01-09,14.4,15.0,14.5,15.0,3500.0
2003-01-20,15.0,16.0,16.0,16.0,1000.0
2003-01-21,16.0,15.0,15.0,15.0,500.0
2003-01-22,15.0,15.25,15.25,15.25,10500.0
2003-01-27,15.25,14.25,14.25,14.25,3000.0
2003-01-28,14.25,14.0,14.0,14.0,2500.0
2003-02-04,14.0,14.0,14.0,14.0,3000.0
2003-02-06,14.0,14.0,14.0,14.0,1000.0
2003-02-07,14.0,13.5,13.5,13.5,3000.0
2003-02-10,13.5,13.25,13.25,13.25,500.0
2003-02-18,13.25,13.0,13.0,13.0,1500.0
2003-02-19,13.0,13.05,13.05,13.05,0.0
2003-02-21,13.05,13.25,13.25,13.25,1000.0
2003-02-25,13.25,12.35,12.25,12.25,4000.0
2003-02-27,12.25,12.25,12.25,12.25,6000.0
2003-03-17,12.25,11.5,11.5,11.5,1000.0
2003-03-18,11.5,12.0,12.0,12.0,0.0
