Date,Open,High,Low,Close,Volume
2001-01-04,4.45,2.8,2.8,2.8,2000.0
2001-01-08,2.8,3.0,3.0,3.0,2000.0
2001-01-09,3.0,2.75,2.6,2.6,2500.0
2001-01-10,2.6,2.65,2.6,2.65,1500.0
2001-01-11,2.65,2.85,2.8,2.85,2000.0
2001-01-12,2.85,2.9,2.9,2.9,1000.0
2001-01-18,2.9,4.5,3.0,4.0,11000.0
2001-01-19,4.0,4.5,4.0,4.0,12500.0
2001-01-22,4.0,3.3,3.25,3.25,1500.0
2001-02-20,3.25,3.0,3.0,3.0,1000.0
2001-02-27,3.0,3.0,2.9,3.0,2500.0
2001-02-28,3.0,3.0,3.0,3.0,500.0
2001-03-21,3.0,3.0,3.0,3.0,5500.0
2001-03-29,3.0,3.0,3.0,3.0,1000.0
2001-04-09,3.0,3.0,3.0,3.0,12000.0
2001-04-10,3.0,3.0,2.95,3.0,44500.0
2001-04-16,3.0,3.0,3.0,3.0,10000.0
2001-04-19,3.0,3.0,3.0,3.0,5000.0
2001-04-25,3.0,2.9,2.9,2.9,500.0
2001-04-30,2.9,2.75,2.75,2.75,3000.0
2001-05-14,2.75,2.6,2.6,2.6,1000.0
2001-05-23,2.6,2.8,2.8,2.8,500.0
2001-06-07,2.8,2.75,2.75,2.75,500.0
2001-06-12,2.75,1.5,1.5,1.5,5000.0
2001-06-18,1.5,2.45,1.55,1.95,9000.0
2001-06-19,1.95,2.0,1.0,2.0,7500.0
2001-06-29,2.0,1.5,1.5,1.5,1000.0
2001-08-30,1.5,1.85,1.85,1.85,1000.0
2001-09-07,1.85,3.0,1.9,3.0,27000.0
2001-10-25,3.0,3.0,3.0,3.0,1000.0
2002-01-23,3.0,3.0,3.0,3.0,57000.0
2002-02-12,3.0,2.9,2.9,2.9,1000.0
2002-03-21,2.9,2.7,2.65,2.7,2000.0
2002-03-26,2.7,2.0,2.0,2.0,500.0
2002-04-04,2.0,1.8,1.8,1.8,500.0
2002-04-09,1.8,1.5,1.5,1.5,500.0
2002-04-10,1.5,1.55,1.55,1.55,0.0
2002-04-12,1.55,2.5,2.0,2.5,1000.0
2002-04-26,2.5,2.4,2.4,2.4,0.0
2002-05-06,2.4,2.0,2.0,2.0,1000.0
2002-05-14,2.0,2.1,2.1,2.1,0.0
2002-05-15,2.1,2.15,2.1,2.1,4000.0
2002-05-16,2.1,2.7,2.4,2.7,16500.0
2002-05-17,2.7,2.65,2.6,2.6,4500.0
2002-05-27,2.6,2.4,2.4,2.4,0.0
2002-05-28,2.4,2.9,2.9,2.9,5000.0
2002-05-29,2.9,2.9,2.9,2.9,500.0
2002-05-30,2.9,2.95,2.9,2.95,26500.0
2002-05-31,2.95,3.1,2.95,2.95,4500.0
2002-06-03,2.95,3.0,3.0,3.0,0.0
2002-06-04,3.0,3.3,3.0,3.3,39000.0
2002-06-05,3.3,4.8,3.4,4.8,10500.0
2002-06-06,4.8,5.0,4.3,4.3,11000.0
2002-06-07,4.3,3.9,3.8,3.8,16000.0
2002-06-10,3.8,4.3,3.4,3.4,6000.0
2002-06-11,3.4,3.25,3.0,3.15,24000.0
2002-06-12,3.15,3.25,3.05,3.25,500.0
2002-06-13,3.25,3.9,3.35,3.35,2000.0
2002-06-14,3.35,3.3,3.3,3.3,500.0
2002-06-18,3.3,3.35,3.35,3.35,0.0
2002-06-19,3.35,3.5,3.35,3.35,8000.0
2002-06-20,3.35,3.5,3.5,3.5,1000.0
2002-06-24,3.5,3.45,3.45,3.45,0.0
2002-06-25,3.45,3.35,3.35,3.35,500.0
2002-06-27,3.35,3.3,3.3,3.3,2500.0
2002-06-28,3.3,3.6,3.5,3.6,2500.0
2002-07-01,3.6,3.6,3.6,3.6,1000.0
2002-07-03,3.6,3.5,3.45,3.5,1500.0
