Date,Open,High,Low,Close,Volume
1/18/2001,0.5,0.7,0.65,0.7,3500
1/19/2001,0.7,0.4,0.4,0.4,1500
1/22/2001,0.4,0.4,0.4,0.4,1000
2/8/2001,0.4,0.7,0.7,0.7,500
3/1/2001,0.7,0.4,0.4,0.4,2500
3/2/2001,0.4,0.6,0.6,0.6,500
3/13/2001,0.6,0.3,0.3,0.3,5000
3/14/2001,0.3,0.5,0.5,0.5,25000
3/19/2001,0.5,0.3,0.3,0.3,1000
4/20/2001,0.3,0.5,0.5,0.5,3000
5/14/2001,0.5,0.3,0.3,0.3,20000
5/15/2001,0.3,0.4,0.3,0.4,16500
5/16/2001,0.4,0.4,0.4,0.4,500
5/17/2001,0.4,0.4,0.4,0.4,1000
5/21/2001,0.4,0.5,0.5,0.5,7000
5/22/2001,0.5,0.5,0.5,0.5,6000
5/23/2001,0.5,0.5,0.5,0.5,9000
7/25/2001,0.5,0.4,0.4,0.4,5000
7/26/2001,0.4,0.4,0.4,0.4,10000
7/27/2001,0.4,0.4,0.4,0.4,500
8/21/2001,0.4,0.4,0.35,0.4,2000
8/23/2001,0.4,0.5,0.5,0.5,2500
10/11/2001,0.5,0.5,0.5,0.5,2000
10/23/2001,0.5,0.6,0.6,0.6,1000
10/25/2001,0.6,0.6,0.6,0.6,5000
11/5/2001,0.6,0.7,0.7,0.7,500
1/31/2002,0.7,0.6,0.6,0.6,500
2/14/2002,0.6,0.8,0.8,0.8,3000
3/6/2002,0.8,0.55,0.55,0.55,3000
3/27/2002,0.55,0.55,0.55,0.55,5000
3/28/2002,0.55,0.6,0.6,0.6,0
4/5/2002,0.6,0.6,0.6,0.6,0
6/14/2002,0.6,0.55,0.55,0.55,0
6/20/2002,0.55,0.7,0.25,0.6,4500
6/25/2002,0.6,0.55,0.55,0.55,0
6/28/2002,0.55,0.5,0.5,0.5,500
7/1/2002,0.5,0.55,0.55,0.55,0
7/4/2002,0.55,0.5,0.5,0.5,500
7/5/2002,0.5,0.55,0.55,0.55,0
7/19/2002,0.55,0.5,0.5,0.5,500
7/22/2002,0.5,0.4,0.4,0.4,500
7/23/2002,0.4,0.55,0.55,0.55,2000
7/30/2002,0.55,0.5,0.5,0.5,0
8/8/2002,0.5,0.55,0.55,0.55,0
8/9/2002,0.55,0.5,0.5,0.5,0
8/13/2002,0.5,0.5,0.5,0.5,1000
8/19/2002,0.5,0.5,0.5,0.5,1000
8/20/2002,0.5,0.5,0.5,0.5,500
9/10/2002,0.5,0.5,0.5,0.5,2000
9/17/2002,0.5,0.4,0.4,0.4,1500
9/18/2002,0.4,0.4,0.4,0.4,500
9/30/2002,0.4,0.6,0.5,0.6,3500
10/1/2002,0.6,0.35,0.3,0.35,151000
10/2/2002,0.35,0.4,0.4,0.4,30000
10/3/2002,0.4,0.4,0.4,0.4,12000
10/4/2002,0.4,0.4,0.4,0.4,30000
10/7/2002,0.4,0.5,0.4,0.5,32500
10/9/2002,0.5,0.45,0.4,0.4,445000
10/14/2002,0.4,0.5,0.5,0.5,2000
10/15/2002,0.5,0.55,0.55,0.55,5000
10/17/2002,0.55,0.45,0.45,0.45,27000
10/21/2002,0.45,0.65,0.5,0.65,14000
10/22/2002,0.65,0.6,0.55,0.6,17500
10/23/2002,0.6,0.55,0.45,0.45,71000
10/24/2002,0.45,0.5,0.5,0.5,5000
10/28/2002,0.5,0.5,0.45,0.45,50000
10/29/2002,0.45,0.45,0.45,0.45,500
10/30/2002,0.45,0.5,0.5,0.5,20000
10/31/2002,0.5,0.5,0.5,0.5,21500
11/1/2002,0.5,0.5,0.5,0.5,10500
11/4/2002,0.5,0.5,0.5,0.5,2000
11/5/2002,0.5,0.5,0.5,0.5,50500
11/6/2002,0.5,0.5,0.5,0.5,30000
11/7/2002,0.5,0.5,0.5,0.5,15000
11/8/2002,0.5,0.5,0.5,0.5,10000
11/13/2002,0.5,0.5,0.5,0.5,2500
11/15/2002,0.5,0.5,0.5,0.5,1000
11/19/2002,0.5,0.5,0.5,0.5,15000
11/21/2002,0.5,0.65,0.5,0.65,12000
11/22/2002,0.65,0.75,0.5,0.65,67000
11/25/2002,0.65,1,0.75,0.75,230500
