Date,Open,High,Low,Close,Volume
2001-05-31,3.5,3.5,3.5,3.5,3500.0
2001-06-15,3.5,2.8,2.8,2.8,4500.0
2001-06-18,2.8,2.8,2.8,2.8,0.0
2001-06-25,2.3,2.3,2.3,2.3,0.0
2001-08-06,2.3,2.3,2.3,2.3,0.0
2001-08-24,2.3,2.3,2.3,2.3,3500.0
2002-02-21,2.3,2.8,2.8,2.8,1000.0
2002-04-11,2.8,2.85,2.85,2.85,0.0
2002-04-12,2.85,3.0,3.0,3.0,0.0
2002-04-15,3.0,3.25,3.25,3.25,0.0
2002-04-16,3.25,3.0,3.0,3.0,1000.0
2002-04-17,3.0,3.25,3.25,3.25,0.0
2002-06-10,3.25,4.0,4.0,4.0,1000.0
2002-06-18,4.0,3.85,3.85,3.85,0.0
2002-07-12,3.85,3.85,3.85,3.85,500.0
2002-07-23,3.85,3.8,3.8,3.8,0.0
2002-07-30,3.8,3.5,3.5,3.5,0.0
2002-08-02,3.5,3.8,3.7,3.7,1000.0
2002-08-05,3.7,3.5,3.5,3.5,2500.0
2002-08-06,3.5,3.5,3.5,3.5,1000.0
2002-08-08,3.5,3.75,3.7,3.75,3000.0
2002-08-09,3.75,3.7,3.7,3.7,1000.0
2002-08-12,3.7,3.75,3.75,3.75,3000.0
2002-08-22,3.75,4.0,4.0,4.0,1000.0
2002-08-26,4.0,3.75,3.55,3.75,1000.0
2002-08-27,3.75,4.0,4.0,4.0,500.0
2002-09-05,4.0,4.0,4.0,4.0,2000.0
2002-09-11,4.0,4.1,4.1,4.1,0.0
2002-09-13,4.1,4.25,4.25,4.25,0.0
2002-10-08,4.25,4.0,4.0,4.0,0.0
2002-10-17,4.0,4.25,4.25,4.25,1000.0
2003-04-21,4.25,4.25,4.25,4.25,5000.0
2003-04-28,4.25,4.25,4.25,4.25,5000.0
2003-05-07,4.25,5.0,5.0,5.0,1000.0
2003-05-09,5.0,5.0,5.0,5.0,1000.0
2003-05-12,5.0,5.0,4.4,5.0,8000.0
2003-05-13,5.0,6.0,5.0,5.9,3000.0
2003-05-14,5.9,5.0,5.0,5.0,500.0
2003-05-27,5.0,4.75,4.75,4.75,500.0
2003-05-28,4.75,4.5,4.5,4.5,500.0
2003-05-29,4.5,5.0,4.75,4.75,2500.0
2003-05-30,4.75,6.0,5.2,6.0,4500.0
2003-06-02,6.0,5.0,5.0,5.0,2000.0
2003-06-04,5.0,4.8,4.8,4.8,500.0
2003-06-05,4.8,5.05,5.0,5.0,1000.0
2003-06-06,5.0,4.85,4.85,4.85,500.0
2003-07-10,4.85,4.5,4.5,4.5,1000.0
2003-07-11,4.5,4.5,4.5,4.5,3000.0
2003-07-17,4.5,4.0,4.0,4.0,500.0
2003-07-31,4.0,4.05,4.05,4.05,0.0
2003-08-07,4.05,5.0,5.0,5.0,0.0
2003-08-08,5.0,5.85,5.85,5.85,2000.0
2003-08-18,5.85,5.0,5.0,5.0,0.0
2003-08-19,5.0,5.85,5.8,5.8,2000.0
2003-08-20,5.8,5.5,5.5,5.5,0.0
2003-08-21,5.5,5.4,5.4,5.4,0.0
2003-08-26,5.4,5.5,5.5,5.5,5000.0
2003-08-27,5.5,5.45,5.45,5.45,0.0
2003-08-29,5.45,5.4,5.4,5.4,0.0
2003-09-01,5.4,5.0,5.0,5.0,1000.0
