Date,Open,High,Low,Close,Volume
2001-04-03,3.0,1.55,1.55,1.55,1500.0
2001-04-24,1.55,2.0,2.0,2.0,1000.0
2001-04-30,2.0,2.0,2.0,2.0,500.0
2001-05-04,2.0,1.9,1.9,1.9,1000.0
2001-05-15,1.9,2.5,1.95,2.5,1500.0
2001-07-06,2.5,1.8,1.8,1.8,500.0
2001-07-13,1.8,1.8,1.8,1.8,500.0
2001-10-01,1.8,1.75,1.75,1.75,500.0
2001-12-20,1.75,1.5,1.5,1.5,1000.0
2002-01-31,1.5,1.5,1.5,1.5,500.0
2002-02-01,1.5,1.5,1.5,1.5,500.0
2002-02-04,1.5,1.5,1.4,1.5,1500.0
2002-02-11,1.5,1.25,1.25,1.25,1000.0
2002-03-22,1.25,0.4,0.4,0.4,500.0
2002-03-28,0.4,1.0,1.0,1.0,0.0
2002-04-01,1.0,1.0,1.0,1.0,500.0
2002-04-05,1.0,1.1,1.1,1.1,0.0
2002-04-08,1.1,1.1,1.1,1.1,1000.0
2002-04-15,1.1,1.25,1.25,1.25,0.0
2002-04-17,1.25,1.25,1.25,1.25,500.0
2002-05-16,1.25,1.1,1.05,1.05,2000.0
2002-05-17,1.05,1.1,1.1,1.1,0.0
2002-07-11,1.1,0.95,0.95,0.95,500.0
2002-07-12,0.95,1.0,1.0,1.0,0.0
2002-08-02,1.0,1.2,1.2,1.2,500.0
2002-08-06,1.2,1.1,1.1,1.1,500.0
2002-09-23,1.1,1.1,1.1,1.1,500.0
2002-10-01,1.1,0.8,0.8,0.8,4000.0
2002-10-31,0.8,0.75,0.75,0.75,1000.0
2002-11-01,0.75,1.0,0.75,1.0,1500.0
2002-11-12,1.0,0.8,0.8,0.8,1000.0
2002-11-21,0.8,0.9,0.9,0.9,2000.0
2002-11-22,0.9,0.9,0.9,0.9,1000.0
2002-11-25,0.9,0.85,0.85,0.85,500.0
2002-12-02,0.85,0.65,0.65,0.65,1000.0
2002-12-10,0.65,0.8,0.8,0.8,2000.0
2002-12-26,0.8,1.0,1.0,1.0,1000.0
2003-01-06,1.0,0.9,0.9,0.9,0.0
2003-04-28,0.9,1.0,1.0,1.0,1000.0
2003-04-29,1.0,1.0,1.0,1.0,500.0
2003-05-05,1.0,1.0,1.0,1.0,4500.0
2003-05-06,1.0,1.25,1.25,1.25,500.0
2003-05-19,1.25,2.0,1.6,2.0,4500.0
