Date,Open,High,Low,Close,Volume
2001-01-01,23.0,23.0,23.0,23.0,500.0
2001-01-17,23.0,23.0,23.0,23.0,1000.0
2001-01-25,23.0,23.0,23.0,23.0,0.0
2001-01-26,23.0,23.0,23.0,23.0,1800.0
2001-02-07,23.0,26.0,26.0,26.0,200.0
2001-02-20,26.0,26.0,25.0,25.0,1200.0
2001-03-21,25.0,24.0,22.0,22.0,200.0
2001-03-27,22.0,20.0,20.0,20.0,100.0
2001-04-16,20.0,25.0,22.45,25.0,1800.0
2001-04-18,25.0,23.0,23.0,23.0,500.0
2001-04-20,23.0,23.5,23.25,23.5,1500.0
2001-04-26,23.5,23.5,23.5,23.5,0.0
2001-05-15,23.5,23.5,23.5,23.5,600.0
2001-05-17,23.5,23.75,23.75,23.75,100.0
2001-05-18,23.75,23.75,23.75,23.75,0.0
2001-05-25,23.75,21.0,21.0,21.0,1000.0
2001-05-29,21.0,21.0,21.0,21.0,200.0
2001-06-04,21.0,22.5,22.5,22.5,200.0
2001-06-07,22.5,22.25,22.25,22.25,2000.0
2001-06-08,22.25,22.25,22.25,22.25,2000.0
2001-06-12,22.25,22.25,22.25,22.25,500.0
2001-06-25,22.25,22.25,22.25,22.25,0.0
2001-07-03,22.25,22.25,22.25,22.25,100.0
2001-07-10,22.25,22.5,22.5,22.5,400.0
2001-07-17,22.5,22.5,22.5,22.5,3000.0
2001-07-18,22.5,22.5,22.5,22.5,300.0
2001-08-01,22.5,21.25,21.25,21.25,100.0
2001-08-23,21.25,21.25,21.25,21.25,2000.0
2001-09-03,21.25,21.3,21.3,21.3,500.0
2001-09-04,21.3,21.3,21.0,21.3,700.0
2001-09-14,21.3,21.0,21.0,21.0,100.0
2001-10-16,21.0,20.0,20.0,20.0,100.0
2001-10-23,20.0,20.35,20.0,20.0,1500.0
2001-10-24,20.0,20.0,20.0,20.0,400.0
2001-11-01,20.0,22.1,22.1,22.1,500.0
2001-11-02,22.1,24.9,23.9,24.9,400.0
2001-11-06,24.9,24.9,24.9,24.9,100.0
2001-11-07,24.9,25.0,24.9,25.0,2000.0
2001-11-08,25.0,25.25,25.1,25.1,500.0
2001-11-12,25.1,25.1,25.1,25.1,5500.0
2001-11-13,25.1,25.1,25.0,25.1,4000.0
2001-11-14,25.1,25.0,24.95,25.0,600.0
2001-11-27,25.0,25.0,25.0,25.0,5300.0
2001-12-01,25.0,25.0,25.0,25.0,2000.0
2001-12-06,25.0,25.0,24.5,24.5,2000.0
2001-12-12,24.5,25.0,25.0,25.0,100.0
2001-12-15,23.0,23.0,22.5,22.5,300.0
2001-12-21,22.5,22.5,22.5,22.5,100.0
2001-12-27,22.5,22.75,22.0,22.0,3000.0
2002-01-02,22.0,22.0,22.0,22.0,500.0
2002-01-17,22.0,23.6,23.6,23.6,2000.0
2002-01-25,23.6,23.6,23.6,23.6,300.0
2002-02-04,23.6,25.0,25.0,25.0,100.0
2002-02-06,25.0,25.0,25.0,25.0,100.0
2002-02-07,25.0,24.0,24.0,24.0,500.0
2002-02-13,24.0,23.6,23.6,23.6,1500.0
2002-02-14,23.6,25.0,24.9,25.0,1200.0
2002-02-20,25.0,25.25,25.25,25.25,2000.0
2002-03-05,25.25,24.5,24.0,24.0,1000.0
2002-03-18,24.0,23.5,23.5,23.5,1000.0
2002-03-20,23.5,23.5,23.5,23.5,500.0
2002-03-21,23.5,23.5,23.0,23.0,9000.0
2002-03-27,23.0,23.0,23.0,23.0,5000.0
2002-04-01,23.0,22.5,22.5,22.5,1600.0
2002-04-03,22.5,22.6,22.6,22.6,0.0
2002-04-04,22.6,22.75,22.75,22.75,0.0
2002-04-10,22.75,22.75,22.75,22.75,1000.0
2002-04-12,22.75,23.0,23.0,23.0,19000.0
2002-04-17,23.0,23.0,23.0,23.0,500.0
2002-05-06,23.0,21.5,21.5,21.5,500.0
2002-05-09,21.5,23.0,22.5,23.0,500.0
2002-05-16,23.0,22.5,22.5,22.5,200.0
2002-05-17,22.5,21.5,21.5,21.5,300.0
2002-05-20,21.5,20.5,20.5,20.5,500.0
2002-05-24,20.5,20.5,20.5,20.5,100.0
2002-06-07,20.5,20.5,20.5,20.5,400.0
2002-06-12,20.5,20.5,20.5,20.5,1000.0
2002-06-14,20.5,21.0,21.0,21.0,200.0
2002-06-17,21.0,20.55,20.5,20.55,1500.0
2002-06-18,20.55,20.55,20.55,20.55,1000.0
2002-07-01,20.55,20.7,20.7,20.7,0.0
2002-07-02,20.7,20.75,20.75,20.75,100.0
2002-07-03,20.75,20.8,20.75,20.8,300.0
2002-07-04,20.8,20.8,20.8,20.8,100.0
2002-07-08,20.8,20.9,20.9,20.9,0.0
2002-07-11,20.9,21.05,21.05,21.05,0.0
2002-07-31,21.05,22.0,22.0,22.0,500.0
2002-08-08,22.0,22.0,22.0,22.0,100.0
2002-08-09,22.0,22.0,22.0,22.0,200.0
2002-09-05,22.0,22.0,22.0,22.0,100.0
2002-09-16,22.0,21.95,21.95,21.95,0.0
2002-09-17,21.95,21.95,21.95,21.95,100.0
2002-09-20,21.95,22.0,22.0,22.0,600.0
2002-09-25,22.0,21.25,21.0,21.25,2100.0
2002-10-03,21.25,21.6,21.6,21.6,500.0
2002-10-04,21.6,22.0,22.0,22.0,119000.0
2002-10-21,22.0,22.0,22.0,22.0,100.0
2002-10-23,22.0,21.5,21.5,21.5,1000.0
2002-10-29,21.5,22.0,22.0,22.0,100.0
2002-10-30,22.0,22.0,22.0,22.0,100.0
2002-11-01,22.0,23.65,22.25,23.65,500.0
2002-11-04,23.65,23.5,23.25,23.5,600.0
2002-11-05,23.5,23.6,23.5,23.6,100.0
2002-11-06,23.6,23.5,23.5,23.5,100.0
2002-11-08,23.5,25.25,25.25,25.25,100.0
2002-11-11,25.25,24.9,24.9,24.9,100.0
2002-11-12,24.9,24.85,24.85,24.85,3000.0
2002-11-28,24.85,26.7,26.7,26.7,100.0
2002-12-09,25.45,25.45,25.45,25.45,0.0
2002-12-13,25.45,24.25,24.2,24.25,100.0
2002-12-16,24.25,24.5,24.5,24.5,0.0
2002-12-20,24.5,24.6,24.6,24.6,0.0
2002-12-27,24.6,25.0,25.0,25.0,200.0
2003-01-02,25.0,24.75,24.5,24.75,2000.0
2003-01-07,24.75,25.0,25.0,25.0,5000.0
2003-01-08,25.0,26.0,25.95,26.0,1500.0
2003-01-09,26.0,25.0,24.75,25.0,2500.0
2003-01-10,25.0,26.0,25.5,26.0,3000.0
2003-01-14,26.0,25.9,25.5,25.5,6000.0
2003-01-16,25.5,25.25,25.05,25.05,2100.0
2003-02-04,25.05,24.0,24.0,24.0,1300.0
2003-02-27,24.0,24.0,24.0,24.0,500.0
2003-02-28,24.0,24.15,24.1,24.15,1200.0
2003-03-07,24.15,24.05,24.0,24.0,2300.0
2003-03-12,24.0,24.1,24.1,24.1,0.0
2003-03-18,24.1,24.25,24.25,24.25,500.0
2003-03-21,24.25,24.25,24.25,24.25,200.0
2003-03-24,24.25,25.0,25.0,25.0,1800.0
2003-03-28,25.0,25.0,25.0,25.0,1000.0
2003-03-31,25.0,25.5,25.5,25.5,100.0
2003-04-01,25.5,25.5,25.5,25.5,100.0
2003-04-03,25.5,25.5,25.5,25.5,300.0
2003-04-04,25.5,26.0,25.75,26.0,600.0
2003-04-08,26.0,26.0,26.0,26.0,100.0
2003-04-11,26.0,27.0,27.0,27.0,500.0
2003-04-14,27.0,27.0,26.75,27.0,600.0
2003-04-15,27.0,29.0,27.0,29.0,700.0
2003-04-16,29.0,30.0,29.5,30.0,5700.0
2003-04-17,30.0,30.05,30.05,30.05,0.0
2003-04-18,30.05,30.5,30.5,30.5,600.0
2003-04-23,30.5,32.0,32.0,32.0,100.0
2003-04-30,32.0,32.0,31.9,32.0,1500.0
2003-05-02,32.0,31.75,31.5,31.75,1000.0
2003-05-06,31.75,30.65,30.6,30.65,1000.0
2003-05-07,30.65,31.0,31.0,31.0,1000.0
2003-05-08,31.0,31.0,31.0,31.0,1000.0
2003-05-16,31.0,30.0,30.0,30.0,300.0
2003-05-21,30.0,31.0,30.0,30.0,1100.0
2003-05-22,30.0,30.0,29.0,30.0,1600.0
2003-05-23,30.0,30.9,29.0,30.9,1800.0
2003-06-04,30.9,31.5,31.5,31.5,400.0
2003-06-05,31.5,32.0,31.9,32.0,900.0
2003-06-06,32.0,31.75,31.75,31.75,200.0
2003-06-09,31.75,33.5,33.5,33.5,200.0
2003-06-10,33.5,32.1,32.1,32.1,500.0
2003-06-12,32.1,34.0,33.0,34.0,800.0
2003-06-13,34.0,36.5,36.5,36.5,100.0
2003-06-16,36.5,39.2,39.2,39.2,200.0
2003-06-17,39.2,42.1,42.1,42.1,100.0
2003-06-18,42.1,40.0,40.0,40.0,200.0
2003-06-19,40.0,41.0,41.0,41.0,500.0
2003-07-01,41.0,42.0,42.0,42.0,500.0
2003-07-07,42.0,41.5,41.25,41.5,400.0
2003-07-08,41.5,44.6,44.0,44.6,800.0
2003-07-17,44.6,46.0,46.0,46.0,3000.0
2003-07-21,46.0,45.95,45.95,45.95,0.0
2003-07-22,45.95,46.0,44.0,46.0,1100.0
2003-07-23,46.0,46.0,46.0,46.0,3100.0
2003-07-25,46.0,45.0,45.0,45.0,200.0
2003-07-28,45.0,45.0,45.0,45.0,100.0
2003-07-31,45.0,46.0,45.0,45.0,700.0
2003-08-01,45.0,48.3,46.0,46.0,5600.0
2003-08-04,46.0,46.5,46.5,46.5,1500.0
2003-08-18,46.5,46.0,46.0,46.0,100.0
2003-08-21,46.0,47.75,47.5,47.75,3000.0
2003-08-26,47.75,46.0,46.0,46.0,3300.0
2003-08-27,46.0,45.25,45.0,45.0,3500.0
2003-08-28,45.0,45.25,45.25,45.25,0.0
2003-08-29,45.25,46.0,46.0,46.0,0.0
2003-09-01,46.0,49.45,47.75,49.45,400.0
2003-09-05,49.45,47.0,47.0,47.0,200.0
2003-09-08,47.0,48.0,48.0,48.0,2000.0
2003-09-09,48.0,48.0,47.0,48.0,700.0
2003-09-10,48.0,51.0,47.75,50.0,1300.0
2003-09-11,50.0,52.0,51.5,51.5,1000.0
2003-09-23,51.5,51.0,51.0,51.0,0.0
2003-09-24,51.0,48.5,48.5,48.5,200.0
2003-09-25,48.5,48.4,48.4,48.4,0.0
2003-09-26,48.4,46.0,46.0,46.0,200.0
2003-09-29,46.0,43.75,43.75,43.75,200.0
2003-09-30,43.75,41.6,41.6,41.6,200.0
2003-10-01,41.6,40.0,39.6,39.6,300.0
2003-10-02,39.6,38.2,38.2,38.2,500.0
2003-10-10,38.2,37.0,37.0,37.0,500.0
2003-10-17,35.0,34.0,34.0,34.0,100.0
2003-10-20,34.0,33.5,33.0,33.0,1100.0
2003-10-22,33.0,33.0,32.6,33.0,700.0
2003-10-30,33.0,32.0,32.0,32.0,500.0
2003-11-10,32.0,32.0,30.4,30.4,2500.0
2003-11-11,30.4,32.0,32.0,32.0,500.0
2003-12-02,32.0,32.5,32.5,32.5,0.0
2004-01-01,32.5,33.0,33.0,33.0,0.0
2004-01-05,33.0,33.05,33.05,33.05,0.0
2004-01-06,33.05,33.1,33.1,33.1,0.0
2004-01-07,33.1,33.25,33.25,33.25,0.0
2004-01-12,33.25,33.0,33.0,33.0,500.0
2004-01-13,33.0,33.25,33.25,33.25,0.0
2004-01-14,33.25,34.5,34.0,34.5,1000.0
2004-01-21,34.5,35.0,35.0,35.0,0.0
2004-02-09,35.0,34.5,34.5,34.5,500.0
2004-02-10,34.5,34.6,34.6,34.6,0.0
2004-02-16,34.6,34.7,34.7,34.7,0.0
2004-02-18,34.7,34.75,34.75,34.75,0.0
2004-02-24,34.75,35.5,35.5,35.5,500.0
2004-03-08,35.5,36.0,35.5,36.0,1000.0
2004-03-10,36.0,36.25,36.25,36.25,0.0
2004-03-15,36.25,37.5,37.5,37.5,0.0
2004-03-17,37.5,38.0,38.0,38.0,0.0
2004-03-22,38.0,40.85,38.0,40.85,1500.0
2004-03-24,40.85,43.75,43.75,43.75,500.0
2004-03-25,43.75,46.0,46.0,46.0,500.0
2004-03-31,46.0,49.45,49.0,49.45,1000.0
2004-04-01,49.45,53.15,53.15,53.15,1000.0
2004-04-02,53.15,57.1,56.0,57.1,2000.0
2004-04-05,57.1,54.25,54.25,54.25,1000.0
2004-04-06,54.25,52.0,52.0,52.0,1000.0
2004-04-07,52.0,52.0,52.0,52.0,500.0
2004-04-20,52.0,52.0,52.0,52.0,500.0
2004-05-10,52.0,55.05,50.0,50.0,10500.0
2004-05-11,50.0,52.4,50.0,50.0,4000.0
2004-05-12,50.0,49.0,49.0,49.0,500.0
2004-05-24,49.0,46.75,46.75,46.75,500.0
2004-06-02,46.75,46.5,45.0,46.5,2000.0
2004-06-03,46.5,46.5,46.5,46.5,1000.0
2004-06-04,46.5,46.5,46.5,46.5,1000.0
