Date,Open,High,Low,Close,Volume
2001-01-01,3.0,3.0,2.75,2.75,6000.0
2001-01-02,2.75,3.8,3.0,3.4,38500.0
2001-01-03,3.4,3.6,3.5,3.5,15500.0
2001-01-04,3.5,3.5,3.45,3.5,4500.0
2001-01-05,3.5,3.05,3.0,3.0,7500.0
2001-01-11,3.0,3.25,3.0,3.0,5000.0
2001-01-12,3.0,3.1,2.8,3.1,2000.0
2001-01-15,3.1,3.4,3.25,3.25,6500.0
2001-01-16,3.25,3.45,3.45,3.45,2000.0
2001-01-18,3.45,3.25,3.25,3.25,1000.0
2001-01-19,3.25,3.0,3.0,3.0,2500.0
2001-01-22,3.0,3.25,3.25,3.25,2000.0
2001-01-24,3.25,3.0,2.85,2.85,2500.0
2001-01-25,2.85,2.85,2.85,2.85,6500.0
2001-01-26,2.85,2.95,2.9,2.95,2500.0
2001-02-01,2.95,2.8,2.8,2.8,500.0
2001-02-06,2.8,3.5,3.15,3.5,16500.0
2001-02-07,3.5,3.7,3.5,3.7,14000.0
2001-02-08,3.7,5.25,3.8,4.5,148000.0
2001-02-09,4.5,4.7,4.45,4.5,56000.0
2001-02-12,4.5,4.95,4.55,4.55,26000.0
2001-02-13,4.55,4.2,3.95,3.95,9000.0
2001-02-14,3.95,4.0,3.8,4.0,1500.0
2001-02-15,4.0,4.0,3.9,4.0,23000.0
2001-02-16,4.0,4.0,3.75,3.9,10000.0
2001-02-20,3.9,3.75,3.55,3.55,19000.0
2001-02-21,3.55,3.7,3.6,3.6,18000.0
2001-02-22,3.6,3.6,3.6,3.6,10000.0
2001-02-26,3.6,4.25,3.6,3.75,9500.0
2001-02-27,3.75,3.75,3.75,3.75,1000.0
2001-02-28,3.75,3.9,3.75,3.9,4000.0
2001-03-01,3.9,4.25,4.25,4.25,2000.0
2001-03-02,4.25,4.0,4.0,4.0,500.0
2001-03-13,4.0,3.4,3.0,3.25,27000.0
2001-03-14,3.25,3.0,3.0,3.0,500.0
2001-03-15,3.0,3.25,3.0,3.1,6000.0
2001-03-30,3.1,2.85,2.5,2.8,31500.0
2001-04-02,2.8,2.95,2.8,2.95,2000.0
2001-04-06,2.95,3.0,2.8,2.8,14000.0
2001-04-09,2.8,3.0,2.95,3.0,14000.0
2001-04-12,3.0,3.05,2.85,3.05,3000.0
2001-04-13,3.05,3.2,3.2,3.2,2000.0
2001-04-16,3.2,3.15,3.15,3.15,500.0
2001-04-19,3.15,3.1,3.1,3.1,1000.0
2001-04-25,3.1,3.1,3.1,3.1,2000.0
2001-04-26,3.1,3.3,3.2,3.25,28000.0
2001-04-27,3.25,3.5,3.2,3.2,49000.0
2001-04-30,3.2,3.35,3.35,3.35,4000.0
2001-05-02,3.35,3.5,3.4,3.5,12000.0
2001-05-03,3.5,3.4,3.25,3.25,6000.0
2001-05-04,3.25,3.3,3.25,3.25,3000.0
2001-05-07,3.25,3.3,3.3,3.3,1500.0
2001-05-08,3.3,3.15,3.15,3.15,1000.0
2001-05-09,3.15,3.1,3.1,3.1,500.0
2001-05-11,3.1,3.1,3.1,3.1,1000.0
2001-05-14,3.1,3.0,3.0,3.0,1000.0
2001-05-16,3.0,3.1,3.0,3.0,5000.0
2001-05-17,3.0,3.0,3.0,3.0,500.0
2001-05-18,3.0,3.15,3.15,3.15,6000.0
2001-05-21,3.15,2.95,2.9,2.9,1000.0
2001-05-22,2.9,3.0,3.0,3.0,1000.0
2001-05-23,3.0,3.1,2.9,2.9,5000.0
2001-05-24,2.9,2.95,2.95,2.95,1000.0
2001-05-25,2.95,2.8,2.65,2.65,4500.0
2001-05-28,2.65,2.8,2.7,2.8,5500.0
2001-05-29,2.8,2.85,2.85,2.85,1000.0
2001-05-30,2.85,2.85,2.85,2.85,2000.0
2001-05-31,2.85,3.05,3.0,3.05,4500.0
2001-06-01,3.05,3.1,3.0,3.0,4500.0
2001-06-04,3.0,3.35,3.15,3.3,15000.0
2001-06-06,3.3,3.35,3.3,3.35,1500.0
2001-06-07,3.35,3.15,3.1,3.1,5000.0
2001-06-08,3.1,3.2,3.15,3.15,14500.0
2001-06-11,3.15,3.5,3.4,3.4,1000.0
2001-06-12,3.4,3.4,3.4,3.4,1000.0
2001-06-14,3.4,3.5,3.5,3.5,7000.0
2001-06-15,3.5,3.4,3.3,3.3,2500.0
2001-06-18,3.3,3.65,3.45,3.45,14500.0
2001-06-19,3.45,3.5,3.3,3.4,16500.0
2001-06-20,3.4,3.4,3.4,3.4,1500.0
2001-06-21,3.4,3.5,3.35,3.45,21000.0
2001-06-22,3.45,3.6,3.4,3.6,9000.0
2001-06-25,3.6,4.65,3.55,4.5,86000.0
2001-06-26,4.5,5.0,4.5,4.65,95000.0
2001-06-27,4.65,5.2,4.55,5.0,207000.0
2001-06-28,5.0,5.65,4.8,5.1,256500.0
2001-06-29,5.1,6.0,4.8,6.0,621000.0
2001-07-03,6.0,4.8,4.0,4.35,120500.0
2001-07-04,4.35,4.35,4.0,4.0,78500.0
2001-07-05,4.0,4.0,3.6,3.6,26000.0
2001-07-06,3.6,3.9,3.55,3.85,16000.0
2001-07-10,3.85,3.85,3.85,3.85,500.0
2001-07-11,3.85,3.6,3.6,3.6,8000.0
2001-07-13,3.6,3.6,3.6,3.6,500.0
2001-07-16,3.6,3.7,3.6,3.7,4500.0
2001-07-17,3.7,3.55,3.55,3.55,5000.0
2001-07-18,3.55,3.5,3.5,3.5,1000.0
2001-07-19,3.5,3.5,3.5,3.5,3500.0
2001-07-20,3.5,3.45,3.25,3.25,8500.0
2001-07-31,3.25,3.3,3.3,3.3,2000.0
2001-08-01,3.3,3.5,3.5,3.5,2000.0
2001-08-02,3.5,3.7,3.5,3.7,2500.0
2001-08-03,3.7,3.5,3.5,3.5,2000.0
2001-08-06,3.5,3.5,3.5,3.5,2000.0
2001-08-09,3.5,3.8,3.8,3.8,1000.0
2001-08-10,3.8,3.55,3.5,3.5,11000.0
2001-08-23,3.5,3.5,3.5,3.5,8500.0
2001-08-29,3.5,3.55,3.5,3.5,5000.0
2001-09-10,3.5,3.65,3.65,3.65,500.0
