Date,Open,High,Low,Close,Volume
2002-10-14,5.7,5.5,5.25,5.5,2000.0
2002-10-15,5.5,5.7,5.7,5.7,500.0
2002-10-17,5.7,5.8,5.8,5.8,2000.0
2002-10-18,5.8,5.8,5.8,5.8,1000.0
2002-10-21,5.8,5.8,5.8,5.8,1000.0
2002-10-22,5.8,6.0,6.0,6.0,2000.0
2002-10-23,6.0,6.2,6.2,6.2,2000.0
2002-10-24,6.2,7.0,6.25,6.3,5500.0
2002-10-25,6.3,6.5,6.5,6.5,1000.0
2002-10-29,6.5,6.25,6.2,6.2,2000.0
2002-10-30,6.2,6.0,6.0,6.0,2000.0
2002-10-31,6.0,6.6,6.5,6.5,1000.0
2002-11-13,6.5,6.75,6.75,6.75,1000.0
2002-11-15,6.75,6.5,6.5,6.5,1000.0
2002-11-19,6.5,6.5,6.5,6.5,2000.0
2002-11-20,6.5,6.5,6.5,6.5,1000.0
2002-11-21,6.5,6.5,6.5,6.5,4500.0
2002-11-25,6.5,6.5,6.5,6.5,2000.0
2002-11-27,6.5,6.45,6.45,6.45,0.0
2002-12-16,6.45,6.4,6.4,6.4,0.0
2002-12-18,6.4,6.3,6.3,6.3,0.0
2002-12-19,6.3,5.9,5.4,5.4,2500.0
2002-12-20,5.4,6.0,6.0,6.0,2000.0
2002-12-23,6.0,6.45,6.25,6.4,6500.0
2002-12-24,6.4,6.4,6.4,6.4,5000.0
2003-01-06,6.4,6.25,6.25,6.25,1000.0
2003-01-07,6.25,6.5,6.5,6.5,8000.0
2003-01-08,6.5,6.5,6.5,6.5,4500.0
2003-01-09,6.5,6.5,6.25,6.25,3000.0
2003-01-10,6.25,6.25,6.25,6.25,500.0
2003-01-13,6.25,6.25,6.25,6.25,1500.0
2003-01-14,6.25,5.55,5.5,5.5,5000.0
2003-01-15,5.5,5.65,5.65,5.65,2500.0
2003-01-16,5.65,5.8,5.8,5.8,0.0
2003-01-17,5.8,6.2,6.2,6.2,1500.0
2003-01-20,6.2,6.15,6.0,6.0,4000.0
2003-01-22,6.0,5.0,5.0,5.0,1000.0
2003-01-29,5.0,5.1,5.1,5.1,0.0
2003-02-25,5.1,5.0,5.0,5.0,1000.0
2003-02-26,5.0,5.0,5.0,5.0,1000.0
2003-03-06,5.0,4.9,4.9,4.9,0.0
2003-03-07,4.9,5.0,5.0,5.0,500.0
2003-03-21,5.0,5.95,5.95,5.95,2500.0
2003-03-24,5.95,5.0,4.95,5.0,1500.0
2003-03-25,5.0,5.75,5.75,5.75,500.0
2003-03-27,5.75,5.25,5.1,5.1,7500.0
2003-04-01,5.1,4.6,4.6,4.6,1500.0
2003-04-02,4.6,5.0,4.75,5.0,8000.0
2003-04-03,5.0,5.0,5.0,5.0,7000.0
2003-04-04,5.0,5.4,5.0,5.0,117000.0
2003-04-07,5.0,5.7,5.0,5.55,85000.0
2003-04-08,5.55,5.65,5.55,5.6,4500.0
2003-04-09,5.6,6.2,5.5,6.2,37500.0
2003-04-10,6.2,6.25,6.0,6.0,15000.0
2003-04-11,6.0,6.0,5.65,5.65,10000.0
2003-04-14,5.65,5.6,5.55,5.6,4500.0
2003-04-15,5.6,6.5,5.65,6.0,49000.0
