Date,Open,High,Low,Close,Volume
1/11/2001,0.75,0.9,0.9,0.9,500
1/12/2001,0.9,0.75,0.75,0.75,500
1/22/2001,0.75,0.85,0.6,0.6,2500
1/23/2001,0.6,0.7,0.7,0.7,500
1/24/2001,0.7,0.5,0.5,0.5,1500
1/26/2001,0.5,0.4,0.4,0.4,500
1/30/2001,0.4,0.6,0.6,0.6,3500
3/14/2001,0.6,0.6,0.6,0.6,500
3/28/2001,0.6,0.45,0.45,0.45,500
4/9/2001,0.45,0.6,0.6,0.6,1000
4/30/2001,0.6,0.6,0.6,0.6,500
5/17/2001,0.6,0.6,0.6,0.6,1000
6/4/2001,0.6,0.6,0.6,0.6,500
6/22/2001,0.6,0.5,0.5,0.5,1000
7/4/2001,0.5,0.4,0.4,0.4,500
6/18/2012,0.4,1.14,1.14,1.14,0
7/2/2012,1.14,2.13,2.13,2.13,500
7/3/2012,2.13,3.13,2.65,3.13,1099
7/4/2012,3.13,4.13,4.12,4.12,1901
7/5/2012,4.12,4.99,4,4.12,2
7/6/2012,4.12,4,4,4.12,41
7/9/2012,4.12,5.12,5.12,4.12,401
7/10/2012,4.12,5.12,5.12,4.12,1000
7/11/2012,4.12,5.1,3.12,4.12,859
7/12/2012,4.12,3.15,3.15,4.12,1
7/19/2012,4.12,5.12,5.12,4.12,6
7/20/2012,4.12,5.12,5.12,4.12,10
8/30/2012,4.12,4,4,4.12,1000
9/4/2012,4.12,3.12,3.12,4.12,1000
9/5/2012,4.12,4.4,4.12,4.4,1000
9/6/2012,4.4,5.4,5.4,5.4,1000
9/7/2012,5.4,6.4,6,6,1000
9/11/2012,6,7,6.5,7,1000
9/14/2012,7,7,6,6,2500
9/18/2012,6,7,7,7,500
9/19/2012,7,6,6,6,1500
10/5/2012,6,7,6.49,7,1500
10/8/2012,7,8,8,8,500
11/6/2012,8,7.83,7.83,7.83,0
11/7/2012,7.83,7.5,7.5,7.5,0
11/23/2012,7.5,8.5,8.4,8.5,9500
11/26/2012,8.5,8.25,8.25,8.25,0
12/3/2012,8.25,7.25,7.25,7.25,500
12/5/2012,7.25,8.25,8.25,8.25,500
12/10/2012,8.25,7.25,7.25,7.25,500
12/21/2012,7.25,7.25,6.25,7.25,4000
12/24/2012,7.25,7.25,7,7.25,1500
1/17/2013,7.25,6.25,6.25,6.25,500
1/22/2013,6.25,7.24,7.24,7.24,500
1/23/2013,7.24,6.25,6.24,6.24,2000
1/24/2013,6.24,5.25,5.24,5.24,2500
1/28/2013,5.24,5.48,5.48,5.48,500
2/4/2013,5.48,5,5,5,500
2/6/2013,5,4,4,4,13000
2/14/2013,4,5,4.3,4.96,30500
2/15/2013,4.96,5.89,4,5.89,24000
2/18/2013,5.89,5.45,4.99,5.22,3500
