Date,Open,High,Low,Close,Volume
2008-04-14,10.0,42.4,34.1,39.5,6308500.0
2008-04-15,39.5,40.45,37.55,37.55,1500500.0
2008-04-16,37.55,36.35,35.7,35.7,937000.0
2008-04-17,35.7,37.45,36.15,36.5,2607500.0
2008-04-18,36.5,36.85,34.75,35.5,1199500.0
2008-04-21,35.5,35.7,34.1,34.1,649500.0
2008-04-22,34.1,34.1,32.4,32.5,721500.0
2008-04-23,32.5,32.65,30.9,30.9,599000.0
2008-04-24,30.9,32.05,29.85,30.0,1109500.0
2008-04-25,30.0,30.8,29.25,30.55,515500.0
2008-04-28,30.55,30.95,29.5,29.75,412000.0
2008-04-29,29.75,29.8,28.27,28.27,393000.0
2008-04-30,28.27,28.35,26.86,26.86,444500.0
2008-05-02,26.86,28.2,26.25,28.2,695500.0
2008-05-05,28.2,29.4,27.0,27.28,915500.0
2008-05-06,27.28,27.65,25.92,26.05,412000.0
2008-05-07,26.05,26.6,25.52,26.5,248500.0
2008-05-08,26.5,27.4,26.0,26.2,377500.0
2008-05-09,26.2,26.7,24.9,25.1,349500.0
2008-05-12,25.1,25.2,24.25,25.2,364000.0
2008-05-13,25.2,26.46,25.0,26.46,681500.0
2008-05-14,26.46,27.4,26.0,26.66,705000.0
2008-05-15,26.66,27.99,26.31,27.99,1090000.0
2008-05-16,27.99,28.4,27.25,27.5,1185500.0
2008-05-19,27.5,27.75,26.13,26.13,424500.0
2008-05-20,26.13,26.2,24.85,25.28,374000.0
2008-05-21,25.28,26.15,25.05,25.45,243000.0
2008-05-22,25.45,25.78,24.18,24.25,321000.0
2008-05-23,24.25,23.1,23.04,23.04,209500.0
2008-05-26,23.04,21.89,21.89,21.89,56000.0
2008-05-27,21.89,22.98,20.8,22.3,454500.0
2008-05-28,22.3,22.8,21.19,21.19,154000.0
2008-05-29,21.19,20.14,20.14,20.14,31500.0
2008-05-30,20.14,20.0,19.14,19.14,269000.0
2008-06-02,19.14,19.35,18.4,18.88,164500.0
2008-06-03,18.88,19.88,18.9,19.88,401500.0
2008-06-04,19.88,20.88,20.88,20.88,20500.0
2008-06-05,20.88,21.92,21.21,21.92,420000.0
2008-06-06,21.92,22.4,21.01,22.1,320500.0
2008-06-09,22.1,22.2,21.0,21.0,160500.0
2008-06-10,21.0,20.99,20.15,20.88,137500.0
2008-06-11,20.88,21.44,20.55,21.0,109000.0
2008-06-12,21.0,21.91,21.0,21.06,195000.0
2008-06-13,21.06,21.1,20.76,21.0,114000.0
2008-06-16,21.0,20.85,19.95,19.95,197000.0
2008-06-17,19.95,19.5,18.95,19.3,128000.0
2008-06-18,19.3,19.6,18.35,18.36,89500.0
2008-06-19,18.36,18.2,17.36,17.36,149000.0
2008-06-20,17.36,18.25,16.36,16.74,164000.0
2008-06-23,16.74,16.25,15.74,15.74,119000.0
2008-06-24,15.74,17.31,16.1,17.31,94000.0
2008-06-25,17.31,18.6,17.5,18.1,182500.0
2008-06-26,18.1,18.1,17.92,17.92,28000.0
2008-06-30,17.92,17.75,17.75,17.75,4000.0
2008-07-01,17.75,17.58,17.58,17.58,12500.0
2008-07-01,17.75,17.58,17.58,17.58,12500.0
2008-07-02,17.58,17.41,17.41,17.41,1000.0
2008-07-03,17.41,17.24,17.24,17.24,1000.0
2008-07-04,17.24,17.24,17.24,17.24,500.0
2008-07-07,17.24,17.07,17.07,17.07,2500.0
2008-07-08,17.07,16.9,16.9,16.9,12000.0
2008-07-09,16.9,16.74,16.74,16.74,25500.0
2008-07-10,16.74,16.58,16.58,16.58,2000.0
2008-07-11,16.58,16.42,16.42,16.42,5000.0
2008-07-14,16.42,15.42,15.42,15.42,73000.0
2008-07-15,15.42,15.05,14.42,14.42,205500.0
2008-07-16,14.42,13.65,13.42,13.42,98500.0
2008-07-17,13.42,12.7,12.42,12.42,171500.0
2008-07-18,12.42,13.15,11.6,12.33,61000.0
2008-07-21,12.33,12.14,11.33,12.05,134500.0
2008-07-22,12.05,13.05,11.9,13.05,87500.0
2008-07-23,13.05,14.05,13.7,14.05,156000.0
2008-07-24,14.05,15.05,14.2,15.05,245500.0
2008-07-25,15.05,16.05,15.55,16.05,209500.0
2008-07-28,16.05,15.9,15.05,15.05,49500.0
2008-07-29,15.05,14.5,14.05,14.2,246000.0
2008-07-30,14.2,15.2,14.45,15.2,114000.0
2008-07-31,15.2,15.45,14.32,14.6,106000.0
2008-08-01,14.6,14.05,13.6,13.6,107500.0
2008-08-04,13.6,13.15,12.6,12.6,151000.0
2008-08-05,12.6,13.5,12.0,13.49,115500.0
2008-08-06,13.49,13.4,12.49,12.49,64500.0
2008-08-07,12.49,12.79,11.51,12.28,148500.0
2008-08-08,12.28,12.45,11.6,12.39,93500.0
2008-08-11,12.39,13.39,12.45,13.07,201500.0
2008-08-12,13.07,13.25,12.25,12.25,87500.0
2008-08-13,12.25,12.45,12.0,12.29,44000.0
2008-08-15,12.29,13.0,12.0,12.99,51000.0
2008-08-18,12.99,13.99,12.8,13.99,180000.0
