Date,Open,High,Low,Close,Volume
2001-01-22,41.0,42.0,42.0,42.0,500.0
2001-01-23,42.0,42.75,42.0,42.75,2000.0
2001-01-31,42.75,42.0,42.0,42.0,500.0
2001-02-02,42.0,46.0,46.0,46.0,500.0
2001-02-19,46.0,46.0,46.0,46.0,0.0
2001-02-20,46.0,46.0,46.0,46.0,500.0
2001-03-02,39.5,39.5,39.5,39.5,0.0
2001-03-19,39.5,35.6,35.6,35.6,500.0
2001-03-20,35.6,33.0,33.0,33.0,1000.0
2001-03-21,33.0,40.0,40.0,40.0,1000.0
2001-03-22,40.0,40.0,40.0,40.0,0.0
2001-04-13,40.0,30.1,30.1,30.1,500.0
2001-05-02,30.1,33.0,33.0,33.0,500.0
2001-05-11,33.0,32.0,32.0,32.0,500.0
2001-06-14,32.0,34.0,34.0,34.0,500.0
2001-06-26,34.0,35.0,35.0,35.0,1000.0
2001-07-09,35.0,35.0,35.0,35.0,5000.0
2001-07-20,35.0,32.0,32.0,32.0,1000.0
2001-07-27,32.0,33.0,33.0,33.0,500.0
2001-08-03,33.0,33.0,33.0,33.0,1500.0
2001-12-03,33.0,33.5,33.5,33.5,1000.0
2002-01-29,33.5,31.0,31.0,31.0,500.0
2002-02-08,27.5,27.5,27.5,27.5,0.0
2002-04-11,27.5,28.0,28.0,28.0,0.0
2002-04-18,28.0,28.75,26.0,28.75,2500.0
2002-04-29,28.75,28.5,28.5,28.5,500.0
2002-05-31,28.5,30.0,30.0,30.0,0.0
2002-06-20,30.0,32.2,32.2,32.2,500.0
2002-07-03,32.2,32.5,32.5,32.5,0.0
2002-07-17,32.5,34.2,33.0,34.2,1500.0
2002-07-19,34.2,35.0,35.0,35.0,500.0
2002-08-19,35.0,35.15,35.15,35.15,0.0
2002-08-20,35.15,37.2,37.2,37.2,500.0
2002-09-13,37.2,36.0,36.0,36.0,500.0
2002-09-16,36.0,36.05,36.05,36.05,0.0
2002-09-25,36.05,36.1,36.1,36.1,0.0
2002-11-01,36.1,38.8,38.8,38.8,500.0
2002-12-13,38.8,41.7,41.7,41.7,500.0
2002-12-20,41.7,44.8,44.8,44.8,0.0
2002-12-23,44.8,48.15,48.15,48.15,0.0
2002-12-24,48.15,51.75,51.75,51.75,1000.0
2002-12-26,51.75,55.6,55.6,55.6,0.0
2002-12-27,55.6,59.75,59.75,59.75,0.0
2002-12-30,59.75,64.2,64.2,64.2,0.0
2002-12-31,64.2,66.0,66.0,66.0,0.0
2003-01-01,66.0,66.35,66.35,66.35,0.0
2003-01-02,66.35,67.0,67.0,67.0,0.0
2003-01-06,67.0,67.2,67.2,67.2,0.0
2003-01-07,67.2,68.0,68.0,68.0,0.0
2003-01-09,68.0,71.0,71.0,71.0,1000.0
2003-01-10,71.0,76.0,76.0,76.0,500.0
2003-01-13,76.0,81.7,81.7,81.7,500.0
2003-01-14,81.7,85.0,84.0,84.0,2000.0
2003-01-15,84.0,84.0,84.0,84.0,500.0
2003-01-16,42.0,42.0,42.0,42.0,0.0
2003-01-20,42.0,44.5,44.5,44.5,500.0
2003-01-30,44.5,43.95,43.95,43.95,0.0
2003-01-31,43.95,43.5,43.5,43.5,0.0
2003-02-04,43.5,42.0,42.0,42.0,0.0
2003-02-07,42.0,39.9,39.9,39.9,1000.0
2003-02-17,39.9,38.0,38.0,38.0,500.0
2003-03-20,38.0,40.0,38.0,39.0,1500.0
2003-03-26,39.0,39.2,39.2,39.2,0.0
2003-03-28,39.2,42.1,42.1,42.1,500.0
2003-04-07,42.1,41.0,41.0,41.0,500.0
2003-04-09,41.0,40.5,40.25,40.25,2500.0
2003-04-11,40.25,40.5,40.5,40.5,0.0
2003-04-16,40.5,41.25,41.25,41.25,0.0
2003-04-17,41.25,41.6,41.6,41.6,0.0
2003-04-22,41.6,42.0,42.0,42.0,0.0
2003-04-23,42.0,43.0,43.0,43.0,0.0
2003-04-25,43.0,44.0,44.0,44.0,9500.0
2003-04-28,44.0,44.1,44.1,44.1,0.0
2003-04-29,44.1,47.0,47.0,47.0,500.0
2003-04-30,47.0,49.85,45.55,49.85,15000.0
2003-05-02,49.85,49.0,49.0,49.0,500.0
2003-05-05,49.0,49.0,49.0,49.0,1000.0
2003-05-07,49.0,52.65,51.0,52.65,3000.0
2003-05-08,52.65,56.55,56.55,56.55,0.0
2003-05-09,56.55,60.75,60.75,60.75,0.0
2003-05-12,60.75,65.3,65.3,65.3,0.0
2003-05-13,65.3,70.15,70.15,70.15,500.0
2003-05-14,70.15,75.4,70.0,75.4,9500.0
2003-05-16,75.4,81.05,80.95,81.0,5000.0
2003-05-19,81.0,87.05,87.0,87.05,3000.0
2003-05-20,87.05,93.5,90.55,90.55,7500.0
2003-05-21,90.55,91.5,90.85,91.0,3500.0
2003-05-22,91.0,92.0,90.95,92.0,4500.0
2003-05-23,92.0,94.5,92.0,94.5,4000.0
2003-05-26,94.5,95.5,93.0,95.5,4500.0
2003-05-27,95.5,96.0,94.0,94.0,4500.0
2003-05-28,94.0,94.0,94.0,94.0,500.0
2003-05-29,94.0,96.0,92.0,92.0,4500.0
2003-05-30,92.0,93.0,91.5,93.0,500.0
2003-06-02,62.0,65.0,65.0,65.0,500.0
2003-06-05,65.0,69.0,69.0,69.0,500.0
2003-06-06,69.0,74.15,74.15,74.15,500.0
2003-06-13,74.15,74.0,74.0,74.0,0.0
2003-06-30,74.0,70.3,70.3,70.3,500.0
2003-07-01,70.3,70.3,70.3,70.3,1000.0
2003-07-07,70.3,74.0,67.5,67.5,1500.0
2003-07-08,67.5,66.0,66.0,66.0,500.0
2003-07-09,66.0,69.9,65.5,69.9,2000.0
2003-07-10,69.9,70.0,70.0,70.0,500.0
2003-07-11,70.0,67.55,67.5,67.5,3000.0
2003-07-14,67.5,67.0,67.0,67.0,500.0
2003-07-16,67.0,68.0,68.0,68.0,1000.0
2003-07-17,68.0,68.95,68.55,68.95,1500.0
2003-07-18,68.95,69.0,69.0,69.0,1000.0
2003-07-21,69.0,70.0,70.0,70.0,1000.0
2003-07-22,70.0,71.0,71.0,71.0,500.0
2003-07-23,71.0,72.0,68.0,69.65,2000.0
2003-07-25,69.65,74.0,74.0,74.0,500.0
2003-07-28,74.0,72.05,70.3,70.3,1500.0
2003-07-29,70.3,71.05,71.05,71.05,500.0
2003-07-30,71.05,72.95,72.95,72.95,500.0
2003-08-01,72.95,73.0,73.0,73.0,500.0
2003-08-04,73.0,75.0,74.0,75.0,2000.0
2003-08-08,75.0,80.0,80.0,80.0,1000.0
2003-08-13,80.0,77.0,76.0,76.0,1000.0
2003-08-19,76.0,78.0,78.0,78.0,1000.0
2003-08-20,78.0,77.9,77.9,77.9,0.0
2003-08-21,77.9,77.9,77.9,77.9,500.0
2003-08-22,77.9,74.2,74.15,74.15,1000.0
2003-08-25,74.15,75.0,75.0,75.0,500.0
2003-08-28,75.0,74.0,74.0,74.0,1000.0
2003-09-01,74.0,74.0,74.0,74.0,1000.0
2003-09-02,74.0,74.0,74.0,74.0,1000.0
2003-09-03,74.0,74.05,74.05,74.05,0.0
2003-09-04,74.05,77.0,75.0,76.75,4000.0
2003-09-05,76.75,75.1,73.0,75.1,1500.0
2003-09-09,75.1,74.0,74.0,74.0,500.0
2003-09-10,74.0,72.0,72.0,72.0,1000.0
2003-09-17,72.0,68.4,68.4,68.4,500.0
2003-09-22,68.4,65.0,65.0,65.0,1000.0
2003-09-23,65.0,64.0,64.0,64.0,500.0
2003-10-01,64.0,63.0,63.0,63.0,0.0
2003-10-06,63.0,62.95,62.95,62.95,0.0
2003-10-08,62.95,62.0,62.0,62.0,0.0
2003-10-14,62.0,62.0,62.0,62.0,500.0
2003-10-17,62.0,62.0,62.0,62.0,500.0
2003-10-23,62.0,64.0,64.0,64.0,500.0
2003-11-04,64.0,64.0,64.0,64.0,1500.0
2003-11-10,64.0,62.0,62.0,62.0,1000.0
2003-11-14,62.0,66.0,66.0,66.0,500.0
2003-11-17,66.0,70.0,70.0,70.0,500.0
2003-11-18,70.0,74.0,74.0,74.0,500.0
2003-11-24,74.0,72.0,72.0,72.0,500.0
2003-12-02,72.0,74.0,72.0,74.0,1000.0
2003-12-04,74.0,70.3,70.3,70.3,0.0
2003-12-05,70.3,69.75,69.75,69.75,0.0
2003-12-09,69.75,68.5,68.5,68.5,0.0
2003-12-11,68.5,69.0,69.0,69.0,500.0
2003-12-12,69.0,65.55,65.55,65.55,500.0
2003-12-22,65.55,69.5,69.5,69.5,500.0
2003-12-24,67.0,65.0,65.0,65.0,3000.0
2003-12-26,65.0,68.0,65.95,68.0,2500.0
2003-12-30,68.0,71.0,65.0,71.0,3500.0
2003-12-31,71.0,69.0,69.0,69.0,500.0
2004-01-02,69.0,68.0,67.15,67.15,2500.0
2004-01-05,67.15,72.0,71.0,71.0,2500.0
2004-01-06,71.0,75.35,73.0,75.35,2500.0
2004-01-07,75.35,80.95,79.9,80.95,2500.0
2004-01-08,80.95,84.5,83.8,84.5,2000.0
2004-01-09,84.5,80.3,80.3,80.3,2000.0
2004-01-12,80.3,84.1,78.0,83.35,4000.0
2004-01-13,83.35,82.4,82.4,82.4,0.0
2004-01-14,82.4,82.85,79.05,79.05,5000.0
2004-01-15,79.05,80.0,79.0,79.1,4500.0
2004-01-16,79.1,79.0,79.0,79.0,1000.0
2004-01-19,79.0,79.0,78.15,78.15,1500.0
2004-01-22,78.15,78.5,78.0,78.5,1500.0
