Date,Open,High,Low,Close,Volume
2017-02-20,12.0,12.0,12.0,12.0,500.0
2017-02-21,13.0,13.0,13.0,13.0,500.0
2017-03-02,14.0,14.0,14.0,14.0,500.0
2017-04-21,15.0,15.0,15.0,15.0,500.0
2017-05-09,16.0,16.0,16.0,16.0,500.0
2017-05-11,17.0,17.0,17.0,17.0,500.0
2017-05-12,18.0,18.0,18.0,18.0,2500.0
2017-05-15,0.0,18.0,18.0,18.0,2500.0
2017-05-24,0.0,17.5,0.0,17.5,0.0
2018-02-07,0.0,16.3,16.0,16.0,0.0
2018-04-12,0.0,16.0,16.0,16.0,500.0
2018-07-06,13.8,13.8,13.8,13.8,2500.0
2018-07-12,0.0,13.8,13.8,13.8,2500.0
2018-07-16,0.0,13.5,0.0,13.5,0.0
