Date,Open,High,Low,Close,Volume
6/6/2005,9.75,10.45,9,10.45,3000
6/7/2005,10.45,10.35,9.75,9.75,12000
6/8/2005,9.75,10.15,9.3,9.5,18500
6/9/2005,9.5,9.5,9.1,9.45,4000
6/10/2005,9.45,9.7,9.5,9.5,18000
6/13/2005,9.5,8.7,8.7,8.7,500
6/14/2005,8.7,9.65,9.5,9.65,1500
6/15/2005,9.65,9.1,9.1,9.1,500
6/16/2005,9.1,9.25,8.9,9.25,2500
6/17/2005,9.25,9.2,9.15,9.2,1500
6/20/2005,9.2,9.4,9,9,3500
6/21/2005,9,9.35,9,9.25,37000
6/22/2005,9.25,9.1,9,9,6000
6/23/2005,9,9,9,9,500
6/24/2005,9,9.05,8.75,9,6500
6/27/2005,9,9,9,9,1000
6/28/2005,9,8.75,8.5,8.75,5000
6/29/2005,8.75,8.75,8.75,8.75,2000
6/30/2005,8.75,8.8,8.5,8.8,7000
7/5/2005,8.8,8.75,8.75,8.75,1000
7/6/2005,8.75,8.3,8.2,8.2,2000
7/7/2005,8.2,8.5,8.2,8.2,7000
7/8/2005,8.2,8.15,8.15,8.15,1000
7/11/2005,8.15,8.5,8.2,8.25,10000
7/12/2005,8.25,8.5,8.5,8.5,2000
7/13/2005,8.5,8.5,8.5,8.5,5500
7/14/2005,8.5,8.3,8.3,8.3,1500
7/15/2005,8.3,8.7,8.7,8.7,4000
7/18/2005,8.7,8.75,8.25,8.25,14000
7/19/2005,8.25,8.25,8.25,8.25,500
7/20/2005,8.25,8.85,8.3,8.5,7500
7/21/2005,8.5,8.95,8.6,8.65,3500
7/22/2005,8.65,8.6,8.6,8.6,5500
7/25/2005,8.6,8.5,8.5,8.5,1500
7/26/2005,8.5,8.5,8.5,8.5,7500
7/27/2005,8.5,8.45,8.3,8.3,2000
7/28/2005,8.3,8.8,8.5,8.5,13500
8/1/2005,8.5,8.5,8.4,8.4,2000
8/2/2005,8.4,8.3,8,8.25,8500
8/3/2005,8.25,8.2,8.15,8.2,2500
8/4/2005,8.2,8.3,8,8.1,12500
8/5/2005,8.1,8.1,8,8,4500
8/8/2005,8,8.25,8,8,20500
8/9/2005,8,8.2,7.8,8.15,16000
8/10/2005,8.15,7.9,7.9,7.9,1500
8/11/2005,7.9,7.6,7.6,7.6,6000
8/12/2005,7.6,7.2,7.2,7.2,3000
8/15/2005,7.2,7.2,7.2,7.2,5000
8/19/2005,7.2,7.3,7.2,7.3,4000
8/22/2005,7.3,7.4,7.35,7.4,11000
8/23/2005,7.4,8,7.35,7.35,16500
8/24/2005,7.35,7.35,7.2,7.3,12000
8/25/2005,7.3,7.25,7.25,7.25,2000
8/26/2005,7.25,7.3,7.1,7.1,5000
8/29/2005,7.1,8,7.55,7.7,32500
8/30/2005,7.7,8,7.45,7.45,12500
8/31/2005,7.45,8,7.75,8,18000
9/1/2005,8,8.1,8,8.05,2000
9/2/2005,8.05,8.2,8,8,3000
9/5/2005,8,8.25,8,8,26000
9/6/2005,8,8.15,8,8.05,5000
9/7/2005,8.05,8.15,8.15,8.15,500
9/8/2005,8.15,8.55,7.9,8.55,10000
9/9/2005,8.55,8.15,8.15,8.15,500
9/12/2005,8.15,8.7,8.6,8.7,2000
9/13/2005,8.7,9.5,8.9,9.45,36000
9/14/2005,9.45,9.45,9,9.45,47500
9/15/2005,9.45,9.25,9,9,38500
9/16/2005,9,9,8,8,203000
9/19/2005,8,8.05,7.05,7.5,215000
9/20/2005,7.5,8.3,7.5,8.3,64000
9/21/2005,8.3,8.45,8.2,8.2,27000
9/22/2005,8.2,8.5,8.3,8.3,22500
9/23/2005,8.3,9,8.1,9,136000
9/26/2005,9,9.25,8.8,9.25,59500
9/27/2005,9.25,9,8.95,9,82500
9/28/2005,9,10,9,9.25,659500
9/29/2005,9.25,9.1,8.9,8.9,95500
9/30/2005,8.9,9,8.7,8.95,310500
10/3/2005,8.95,9.2,9,9.2,144500
10/4/2005,9.2,9.25,9,9.05,117500
10/5/2005,9.05,9.35,9.1,9.1,190500
10/6/2005,9.1,9.35,8.95,8.95,61000
10/7/2005,8.95,9.3,8.7,9.3,9000
10/10/2005,9.3,9,8.7,8.7,1500
10/11/2005,8.7,8.8,8.5,8.8,22000
10/12/2005,8.8,9,8.65,8.7,28000
10/13/2005,8.7,8.7,8.6,8.7,26000
10/14/2005,8.7,8.6,8.55,8.55,328500
10/17/2005,8.55,8.65,8.65,8.65,80000
10/18/2005,8.65,8.7,8.6,8.6,1000
10/19/2005,8.6,8.65,8.4,8.4,19000
10/20/2005,8.4,8.6,8.1,8.1,17500
10/21/2005,8.1,8.1,8,8,14500
10/24/2005,8,8.15,8,8.05,37500
10/25/2005,8.05,8.05,7.7,7.7,31000
10/26/2005,7.7,7.95,7.6,7.7,8000
10/27/2005,7.7,8.05,7.7,8,15500
11/2/2005,8,8.05,7.8,7.8,65000
11/7/2005,7.8,8.1,7.95,8.1,16000
11/8/2005,8.1,8,8,8,7500
11/10/2005,8,8.15,8,8.15,27500
11/11/2005,8.15,8.5,8.1,8.5,6500
11/14/2005,8.5,8.4,8.1,8.4,14000
11/15/2005,8.4,8.5,8.4,8.5,84000
11/16/2005,8.5,8.65,8.25,8.65,17000
11/17/2005,8.65,8.7,8.5,8.65,12500
11/18/2005,8.65,8.9,8.7,8.9,62500
11/21/2005,8.9,8.95,8.85,8.95,10000
11/22/2005,8.95,8.95,8.95,8.95,2500
11/23/2005,8.95,8.8,8.6,8.6,3500
11/24/2005,8.6,8.75,8.6,8.6,42500
11/25/2005,8.6,8.7,7.9,8.5,11000
11/28/2005,8.5,9,8.5,8.5,667000
11/29/2005,8.5,9,8.5,8.75,46000
11/30/2005,8.75,9.4,8,8.2,1821500
12/1/2005,8.2,9.2,8.65,9.15,225000
12/2/2005,9.15,9.6,9,9,419000
12/5/2005,9,9.85,9,9.85,348000
12/6/2005,9.85,9.8,8.9,9.05,718000
12/7/2005,9.05,9.7,9.2,9.55,467000
12/8/2005,9.55,10.1,9.5,9.7,2537000
12/9/2005,9.7,10.2,9.65,9.75,544500
12/12/2005,9.75,9.75,9.4,9.6,136000
12/13/2005,9.6,9.5,9,9.3,148500
12/14/2005,9.3,9.3,9.05,9.3,45000
12/15/2005,9.3,9.4,9.1,9.2,19000
12/16/2005,9.2,9.45,9.35,9.4,48500
12/19/2005,9.4,9.25,9.1,9.1,38500
12/20/2005,9.1,9.4,9,9.4,36000
12/21/2005,9.4,9.45,9.1,9.1,116000
12/22/2005,9.1,9.4,9.1,9.1,39000
12/23/2005,9.1,9.35,9,9,57500
12/26/2005,9,9.3,8.55,8.55,46500
12/27/2005,8.55,8.95,8.8,8.9,7000
12/28/2005,8.9,9.3,8.8,9,26500
12/29/2005,9,8.9,8.7,8.8,26500
12/30/2005,8.8,8.95,8.75,8.8,7500
1/2/2006,8.8,8.8,8.5,8.5,39000
1/3/2006,8.5,8.8,8.5,8.75,31500
1/4/2006,8.75,9.75,8.8,9.75,337500
1/5/2006,9.75,10.75,9.9,10.35,400500
1/6/2006,10.35,10.2,9.75,10,77500
1/9/2006,10,11,10,10.7,3402000
1/16/2006,10.7,11.5,10.8,10.9,1068000
1/17/2006,10.9,10.9,10,10.1,812500
1/18/2006,10.1,10.3,10,10.1,275000
