Date,Open,High,Low,Close,Volume
2002-01-22,14.75,13.5,13.5,13.5,1500.0
2002-01-29,13.5,14.6,14.6,14.6,500.0
2002-01-30,14.6,16.05,14.5,16.05,157500.0
2002-01-31,16.05,17.5,15.5,17.0,8000.0
2002-02-01,17.0,18.4,16.0,16.0,1500.0
2002-02-04,16.0,16.0,15.5,15.55,44000.0
2002-02-06,15.55,15.5,15.0,15.0,5000.0
2002-02-07,15.0,15.0,14.9,15.0,4000.0
2002-02-08,15.0,15.4,15.0,15.4,11000.0
2002-02-11,15.4,15.5,15.0,15.4,7000.0
2002-02-13,15.4,15.4,15.4,15.4,500.0
2002-02-14,15.4,15.0,14.9,14.9,1500.0
2002-02-21,14.9,14.95,14.95,14.95,500.0
2002-02-27,14.95,14.9,14.9,14.9,1000.0
2002-02-28,14.9,14.9,14.1,14.1,7500.0
2002-03-01,14.1,12.7,12.7,12.7,1000.0
2002-03-08,12.7,12.5,12.5,12.5,2000.0
2002-03-11,12.5,12.95,12.05,12.95,3000.0
2002-03-12,12.95,12.5,12.05,12.5,1000.0
2002-03-13,12.5,12.45,12.45,12.45,500.0
2002-03-14,12.45,11.05,11.05,11.05,500.0
2002-03-19,11.05,10.5,10.5,10.75,500.0
2002-03-20,10.75,10.75,10.75,11.1,500.0
2002-03-22,11.1,11.75,11.5,11.5,1000.0
2002-04-01,11.5,12.45,12.0,12.45,1500.0
2002-04-02,12.45,12.0,11.7,11.7,1500.0
2002-04-04,11.7,12.5,12.5,12.5,1000.0
2002-04-08,12.5,12.0,11.85,12.0,5500.0
2002-04-09,12.0,12.5,12.25,12.5,9000.0
2002-04-10,12.5,12.75,12.75,12.75,3000.0
2002-04-11,12.75,12.9,12.75,12.9,1500.0
2002-04-12,12.9,12.5,12.5,12.5,1000.0
2002-04-16,12.5,12.7,12.35,12.5,8500.0
2002-04-17,12.5,12.6,12.6,12.6,1500.0
2002-04-18,12.6,12.5,12.5,12.5,2000.0
2002-04-19,12.5,12.5,12.5,12.5,3000.0
2002-04-24,12.5,13.0,13.0,13.0,1000.0
2002-04-25,13.0,12.9,12.9,12.9,0.0
2002-05-07,12.9,12.6,12.6,12.6,1000.0
2002-05-08,12.6,12.5,12.5,12.5,1000.0
2002-05-10,12.5,12.55,12.55,12.55,1000.0
2002-05-13,12.55,12.5,12.4,12.5,7000.0
2002-05-14,12.5,12.5,12.5,12.5,2000.0
2002-05-16,12.5,12.4,12.4,12.4,1500.0
2002-05-17,12.4,12.35,12.35,12.35,0.0
2002-05-20,12.35,12.25,12.25,12.25,0.0
2002-05-21,12.25,12.2,12.2,12.2,0.0
2002-05-22,12.2,11.2,11.2,11.2,500.0
2002-05-27,11.2,11.55,11.55,11.55,1000.0
2002-06-03,11.55,11.05,11.05,11.05,500.0
2002-06-04,11.05,11.45,11.05,11.05,7000.0
2002-06-06,11.05,11.15,11.15,11.15,500.0
2002-06-11,11.15,11.15,11.15,11.15,500.0
2002-06-12,11.15,10.95,10.95,10.95,1000.0
2002-06-13,10.95,11.0,11.0,11.0,1000.0
2002-06-14,11.0,11.0,11.0,11.0,3000.0
2002-06-17,11.0,11.0,11.0,11.0,500.0
2002-06-18,11.0,10.95,10.95,10.95,2000.0
2002-06-19,10.95,10.9,10.9,10.9,500.0
2002-06-20,10.9,11.05,10.95,11.0,23000.0
2002-06-21,11.0,10.6,10.6,10.6,1000.0
