Date,Open,High,Low,Close,Volume
2001-03-16,100.0,100.0,100.0,100.0,0.0
2001-03-30,94.0,94.0,94.0,94.0,0.0
2001-05-15,94.0,94.0,94.0,94.0,0.0
2001-05-18,94.0,94.0,94.0,94.0,200.0
2001-06-01,94.0,94.0,94.0,94.0,200.0
2001-06-06,94.0,90.0,90.0,90.0,200.0
2001-08-23,90.0,90.0,90.0,90.0,200.0
2001-09-06,90.0,90.0,90.0,90.0,200.0
2002-03-26,82.5,82.5,82.5,82.5,0.0
2002-04-08,82.5,80.0,80.0,80.0,0.0
2002-04-09,80.0,79.0,79.0,79.0,0.0
2002-04-29,79.0,80.0,80.0,80.0,100.0
2002-04-30,80.0,78.0,78.0,78.0,0.0
2002-06-11,78.0,76.05,76.05,76.05,0.0
2002-06-13,76.05,75.0,75.0,75.0,0.0
2002-06-20,75.0,73.15,73.15,73.15,0.0
2002-06-21,73.15,72.0,72.0,72.0,0.0
2002-06-24,72.0,71.0,71.0,71.0,0.0
2002-06-25,71.0,70.0,70.0,70.0,0.0
2002-06-27,70.0,68.5,68.5,68.5,0.0
2002-06-28,68.5,68.0,68.0,68.0,0.0
2002-07-01,68.0,67.0,67.0,67.0,0.0
2002-07-02,67.0,66.0,66.0,66.0,0.0
2002-07-08,66.0,65.0,65.0,65.0,0.0
2002-08-15,65.0,64.5,64.5,64.5,0.0
2002-08-21,64.5,64.0,64.0,64.0,0.0
2002-09-03,64.0,63.0,63.0,63.0,0.0
2002-09-10,63.0,62.0,62.0,62.0,0.0
2002-12-16,62.0,61.5,61.5,61.5,0.0
2002-12-18,61.5,61.0,61.0,61.0,0.0
2003-01-06,61.0,60.5,60.5,60.5,0.0
2003-01-07,60.5,59.0,59.0,59.0,0.0
2003-02-17,53.18,53.18,53.18,53.18,0.0
2003-04-01,53.18,53.0,53.0,53.0,0.0
2003-04-17,53.0,50.35,50.35,50.35,0.0
2003-04-25,50.35,50.0,50.0,50.0,100.0
2003-04-28,50.0,49.9,49.9,49.9,0.0
2003-04-29,49.9,49.75,49.75,49.75,0.0
2003-04-30,49.75,49.5,49.5,49.5,0.0
2003-05-12,49.5,49.0,49.0,49.0,0.0
2003-05-14,49.0,48.0,48.0,48.0,0.0
2003-05-19,48.0,50.0,49.0,50.0,500.0
2003-05-20,50.0,48.0,48.0,48.0,100.0
2003-05-22,48.0,47.0,47.0,47.0,100.0
2003-05-23,47.0,50.5,48.9,50.5,600.0
2003-05-26,50.5,49.5,49.5,49.5,0.0
2003-05-27,49.5,50.0,50.0,50.0,1000.0
2003-05-29,50.0,49.5,49.5,49.5,0.0
2003-05-30,49.5,49.25,49.25,49.25,0.0
2003-06-03,49.25,51.0,51.0,51.0,400.0
2003-06-04,51.0,50.0,50.0,50.0,500.0
2003-06-05,50.0,50.05,50.0,50.05,2500.0
2003-06-06,50.05,49.0,49.0,49.0,1000.0
2003-06-09,49.0,50.0,50.0,50.0,0.0
2003-06-10,50.0,53.0,53.0,53.0,100.0
2003-06-12,53.0,53.5,53.5,53.5,4200.0
2003-06-13,53.5,53.5,53.5,53.5,14800.0
2003-06-30,53.5,52.0,52.0,52.0,100.0
2003-07-04,52.0,53.0,53.0,53.0,0.0
2003-07-07,53.0,55.0,55.0,55.0,100.0
2003-07-08,55.0,52.3,52.25,52.3,3000.0
2003-07-09,52.3,54.0,52.0,52.0,1100.0
2003-07-10,52.0,51.0,50.0,51.0,2100.0
2003-07-11,51.0,54.8,54.8,54.8,300.0
2003-07-14,54.8,54.3,54.3,54.3,500.0
2003-07-16,54.3,57.0,57.0,57.0,0.0
2003-07-21,57.0,59.0,59.0,59.0,200.0
2003-07-22,59.0,56.1,56.1,56.1,200.0
2003-07-23,56.1,59.0,59.0,59.0,500.0
2003-08-20,59.0,58.0,58.0,58.0,0.0
2003-08-21,58.0,57.0,57.0,57.0,0.0
2003-10-01,57.0,56.0,56.0,56.0,0.0
2003-10-02,56.0,53.2,53.2,53.2,100.0
2003-12-15,53.2,53.0,53.0,53.0,0.0
2003-12-18,53.0,51.0,51.0,51.0,100.0
2004-01-12,51.0,54.8,54.8,54.8,1000.0
2004-01-13,54.8,54.0,54.0,54.0,0.0
2004-02-09,49.09,52.75,50.0,52.75,200.0
2004-02-12,52.75,53.0,53.0,53.0,100.0
2004-02-18,53.0,53.0,53.0,53.0,300.0
2004-03-05,53.0,53.0,53.0,53.0,500.0
2004-03-08,53.0,52.75,52.75,52.75,0.0
2004-03-09,52.75,52.0,52.0,52.0,1000.0
2004-03-10,52.0,51.0,50.0,51.0,1000.0
2004-03-11,51.0,51.0,50.1,51.0,1000.0
2004-03-12,51.0,50.1,50.1,50.1,700.0
2004-03-18,50.1,52.0,52.0,52.0,500.0
2004-04-01,52.0,51.0,50.0,51.0,3500.0
2004-04-05,51.0,52.0,52.0,52.0,0.0
2004-04-06,52.0,52.6,52.6,52.6,100.0
2004-04-07,52.6,52.5,52.5,52.5,1000.0
2004-04-08,52.5,52.5,52.5,52.5,500.0
2004-04-09,52.5,52.1,52.1,52.1,1000.0
2004-04-12,52.1,53.0,52.5,53.0,2700.0
2004-04-21,53.0,54.0,54.0,54.0,0.0
2004-05-27,54.0,58.0,55.0,58.0,1200.0
