Date,Open,High,Low,Close,Volume
6/26/2015,11.1,11.59,10.5,11.15,12372500
6/29/2015,11.2,11.2,10.55,11.03,2099000
6/30/2015,11.2,11.2,11,11.01,1207000
7/1/2015,11.04,11.05,10.99,11,13148500
7/2/2015,11.02,11.05,10.99,11,1994500
7/3/2015,11.04,11.05,10.8,10.92,2715000
7/6/2015,10.85,10.89,10.73,10.75,492000
7/7/2015,10.75,10.75,10.5,10.54,649500
7/8/2015,10.52,10.52,10.06,10.29,467500
7/9/2015,10.25,10.5,10.25,10.35,328000
7/10/2015,10.25,10.52,10.25,10.46,534500
7/13/2015,10.43,10.9,10.43,10.51,325000
7/14/2015,10.49,10.7,10.45,10.69,247500
7/15/2015,10.77,10.8,10.58,10.73,147500
7/16/2015,10.75,11.25,10.6,11.1,2021000
7/22/2015,11,11.09,10.9,10.96,606000
7/23/2015,10.78,11.05,10.78,10.87,437000
7/24/2015,10.83,11.05,10.75,10.79,338500
7/27/2015,10.72,10.84,10.51,10.65,318000
7/28/2015,10.51,10.81,10.51,10.6,97000
7/29/2015,10.7,10.7,10.46,10.51,202000
7/30/2015,10.65,10.79,10.5,10.52,153500
7/31/2015,10.52,11.05,10.52,11.01,1276000
8/3/2015,10.98,10.98,10.65,10.78,62000
8/4/2015,10.71,10.8,10.54,10.62,511000
8/5/2015,10.55,10.72,10.55,10.6,366500
8/6/2015,10.65,11,10.62,10.75,1283500
8/7/2015,10.79,10.85,10.7,10.76,49500
8/10/2015,10.72,10.79,10.6,10.74,73000
8/11/2015,10.78,10.95,10.6,10.64,628000
8/12/2015,10.7,10.73,10.57,10.62,182500
8/13/2015,10.57,10.75,10.57,10.67,77000
8/17/2015,10.61,10.75,10.6,10.67,291500
8/18/2015,10.65,10.85,10.65,10.76,385500
8/19/2015,10.8,10.88,10.61,10.69,862500
8/20/2015,10.55,10.68,10.5,10.53,279500
8/21/2015,10.51,10.51,10.27,10.45,246500
8/24/2015,10.23,10.44,9.6,9.93,470500
8/25/2015,9.93,10.43,9.8,10.25,285000
8/26/2015,10.15,10.5,10.1,10.19,299000
8/27/2015,10.37,10.39,10.2,10.21,22500
8/28/2015,10.2,10.6,10.16,10.53,197500
8/31/2015,10.23,10.48,10.2,10.33,97000
9/1/2015,10.65,10.65,10.21,10.29,137500
9/2/2015,10.2,10.37,10.2,10.28,228000
9/3/2015,10.26,10.4,10.25,10.26,77500
9/4/2015,10.21,10.27,10,10.22,55000
9/7/2015,10.14,10.15,9.99,10.1,637500
9/8/2015,9.98,10.22,9.98,10.11,190000
9/9/2015,10.02,10.26,10.02,10.26,52000
9/10/2015,10.03,10.25,10.03,10.13,26000
9/11/2015,10.04,10.16,10.01,10.14,21500
9/14/2015,10.14,10.4,10,10.21,447500
9/15/2015,10.2,10.3,10.1,10.24,46000
9/16/2015,10.18,10.34,10.1,10.16,24000
9/17/2015,10.12,10.29,10.1,10.26,45000
9/18/2015,10.25,10.3,10.15,10.26,122000
9/21/2015,10.2,10.5,10.1,10.11,357500
9/22/2015,10.12,10.15,10.01,10.05,151500
9/23/2015,10.1,10.3,10.03,10.24,132500
9/28/2015,10.39,10.39,10.1,10.15,24500
9/29/2015,10.02,10.13,10,10.1,201000
9/30/2015,10.01,10.9,10,10.56,601000
10/1/2015,10.3,10.39,10.2,10.21,63500
10/2/2015,10.25,10.3,10.21,10.25,83500
10/5/2015,10.25,10.25,10.15,10.18,87000
10/6/2015,10.2,10.22,10.15,10.16,254000
10/7/2015,10.16,10.17,10.06,10.13,48000
10/8/2015,10.15,10.33,10.07,10.23,3306500
10/9/2015,10.25,10.25,10.15,10.22,119000
10/12/2015,10.14,10.5,10.14,10.36,225000
10/13/2015,10.22,10.31,10.22,10.31,18000
10/14/2015,10.37,10.4,10.2,10.28,405500
10/15/2015,10.4,10.4,10.25,10.33,136500
10/16/2015,10.35,10.39,10.21,10.25,124000
10/19/2015,10.17,10.17,10.01,10.14,66500
10/20/2015,10.1,10.2,10.1,10.15,276500
10/21/2015,10.15,10.15,10,10.1,144500
10/22/2015,10.1,10.2,10,10.08,207000
10/26/2015,10.18,10.48,10.08,10.41,257500
10/27/2015,10.39,10.4,10.15,10.18,191000
10/28/2015,10.15,10.2,10.15,10.15,58500
10/29/2015,10.24,10.24,10.15,10.15,74500
10/30/2015,10.1,10.2,10.08,10.11,55000
11/2/2015,10.15,10.25,10.1,10.19,168500
11/3/2015,10.1,10.2,10.1,10.17,73500
11/4/2015,10.16,10.24,10,10.12,2384500
11/5/2015,10.1,10.15,10.07,10.14,80500
11/6/2015,10.08,10.15,10,10.05,152500
11/9/2015,10.01,10.26,10.01,10.25,518000
11/10/2015,10.2,10.26,10.05,10.25,304000
11/11/2015,10.1,10.34,10.1,10.25,239000
11/12/2015,10.16,10.36,10.16,10.34,311000
11/13/2015,10.35,10.42,10.35,10.39,362000
11/16/2015,10.11,10.52,10.1,10.47,250500
11/17/2015,10.5,10.55,10.36,10.4,166000
11/18/2015,10.36,10.55,10.36,10.41,150500
11/19/2015,10.45,10.56,10.41,10.51,117500
