Date,Open,High,Low,Close,Volume
2007-11-26,22.75,23.85,23.85,23.85,228000.0
2007-11-27,23.85,25.0,25.0,25.0,238500.0
2007-11-28,25.0,25.9,23.75,23.75,2141000.0
2007-11-29,23.75,22.6,22.6,22.6,100500.0
2007-11-30,22.6,21.5,21.5,21.5,125000.0
2007-12-03,21.5,22.55,21.3,22.55,971000.0
2007-12-04,22.55,23.5,22.0,23.0,2691500.0
2007-12-05,23.0,24.15,23.1,24.15,2511500.0
2007-12-06,24.15,25.35,24.55,25.35,1862000.0
2007-12-07,25.35,26.6,25.75,26.6,3210000.0
2007-12-10,26.6,27.9,27.4,27.9,2122000.0
2007-12-11,27.9,29.2,27.9,28.95,3975000.0
2007-12-12,28.95,29.9,27.55,29.1,4640000.0
2007-12-13,29.1,29.5,28.4,28.4,2085000.0
2007-12-14,28.4,29.3,27.85,28.75,2824500.0
2007-12-17,28.75,29.2,28.25,28.35,1254000.0
2007-12-18,28.35,29.75,27.95,29.75,6439500.0
2007-12-19,29.75,31.2,30.15,31.2,4167000.0
2007-12-24,31.2,32.75,32.75,32.75,273000.0
2007-12-26,32.75,34.35,33.0,34.35,4149500.0
2007-12-27,34.35,36.05,34.6,36.05,4010000.0
2007-12-31,36.05,34.25,34.25,34.25,26500.0
2008-01-01,34.25,32.55,32.55,32.55,137000.0
2008-01-02,32.55,32.7,30.95,30.95,3281500.0
2008-01-03,30.95,32.45,31.5,32.45,1171000.0
2008-01-04,32.45,34.05,33.5,34.05,2286500.0
2008-01-07,34.05,35.75,34.5,35.75,2045000.0
2008-01-08,35.75,37.5,37.5,37.5,269000.0
2008-01-09,37.5,39.35,38.5,39.35,3069500.0
2008-01-10,39.35,41.3,40.25,41.3,2465500.0
2008-01-11,41.3,43.35,40.0,43.35,6393500.0
2008-01-14,43.35,45.5,41.2,41.2,6835500.0
2008-01-15,41.2,39.15,39.15,39.15,68000.0
2008-01-16,39.15,37.2,37.2,37.2,55000.0
2008-01-17,37.2,35.35,35.35,35.35,31500.0
2008-01-18,35.35,37.1,33.6,37.0,6646000.0
