Date,Open,High,Low,Close,Volume
2017-05-29,165.64,165.71,160.0,160.22,27000.0
2017-05-30,155.0,157.94,155.0,155.42,4000.0
2017-05-31,152.5,152.5,152.5,152.5,2000.0
2017-06-01,151.0,151.0,145.01,145.01,6000.0
2017-06-02,137.76,137.76,137.76,137.76,500.0
2017-06-05,144.64,144.64,131.0,144.64,11500.0
2017-06-06,151.85,151.87,150.0,151.71,21500.0
2017-06-07,159.27,159.29,159.0,159.29,21000.0
2017-06-08,161.97,161.97,151.33,151.33,10000.0
2017-06-09,147.0,147.0,143.77,146.0,8500.0
2017-06-12,138.71,138.71,138.71,138.71,2000.0
2017-06-13,136.0,136.0,136.0,136.0,500.0
2017-06-14,131.0,133.0,129.2,129.2,4000.0
2017-06-15,130.0,130.0,130.0,130.0,1000.0
2017-06-16,135.8,135.8,124.12,129.96,1000.0
2017-06-19,0.0,129.96,129.96,129.96,1000.0
2017-06-20,123.47,125.0,123.47,124.27,4500.0
2017-06-22,0.0,124.27,124.27,124.27,12500.0
2017-06-29,118.06,124.45,118.06,124.45,5500.0
2017-06-30,120.01,120.01,120.0,120.01,13500.0
2017-07-03,115.0,115.0,114.05,114.32,800.0
2017-07-04,120.03,120.03,118.0,118.66,400.0
2017-07-05,123.0,123.0,112.73,116.84,800.0
2017-07-06,111.0,118.0,111.0,113.33,800.0
2017-07-07,107.7,112.5,107.67,111.33,800.0
2017-07-10,106.0,115.95,106.0,115.23,6400.0
2017-07-11,0.0,111.83,0.0,111.83,0.0
2017-07-12,106.25,115.99,106.25,108.13,1200.0
2017-07-13,102.8,110.0,102.75,109.05,13100.0
2017-07-14,104.0,106.0,103.6,105.2,6100.0
2017-07-17,100.11,107.5,100.11,106.07,1000.0
2017-07-18,108.0,111.37,107.0,111.37,14000.0
2017-07-19,107.0,114.0,105.81,110.18,5000.0
2017-07-20,114.7,114.8,104.68,108.2,6600.0
2017-07-21,102.82,112.29,102.8,110.97,1500.0
2017-07-24,106.1,112.4,106.0,112.4,3700.0
2017-07-25,114.0,115.8,106.78,113.73,17600.0
2017-07-26,115.75,118.5,114.9,114.9,2000.0
2017-07-27,109.56,111.0,109.16,109.57,6500.0
2017-07-28,109.0,109.0,109.0,109.0,300.0
2017-07-31,110.0,113.64,106.0,106.04,6200.0
2017-08-01,102.51,110.98,102.5,109.12,3900.0
2017-08-02,106.25,112.0,106.25,110.93,2200.0
2017-08-03,106.7,106.7,106.51,106.51,800.0
2017-08-04,110.5,110.5,110.5,106.51,200.0
2017-08-07,110.24,110.24,106.3,106.84,800.0
2017-08-08,104.15,104.15,103.5,104.0,1400.0
2017-08-09,103.0,109.15,103.0,109.1,2100.0
2017-08-10,108.0,113.0,107.0,107.86,1200.0
2017-08-15,105.0,105.0,104.5,104.5,2300.0
2017-08-16,103.0,103.0,103.0,104.5,100.0
2017-08-17,100.0,100.0,99.28,100.0,9600.0
2017-08-18,100.0,104.95,100.0,104.28,5700.0
2017-08-21,107.1,109.3,99.08,100.0,24600.0
2017-08-22,100.0,100.0,100.0,100.0,1000.0
2017-08-23,96.25,98.5,96.25,98.5,10000.0
2017-08-24,100.0,100.0,100.0,100.0,500.0
2017-08-28,95.01,95.99,95.0,95.5,1400.0
2017-08-29,95.0,99.0,90.73,91.37,23700.0
2017-08-30,86.81,87.0,86.81,86.87,800.0
2017-09-05,82.53,89.25,82.53,86.09,8500.0
2017-09-06,83.01,90.0,81.79,87.35,17300.0
2017-09-07,83.52,83.52,82.99,82.99,5500.0
2017-09-08,79.18,82.9,79.18,79.81,2300.0
2017-09-11,82.0,82.0,82.0,79.81,200.0
2017-09-12,75.82,78.9,75.82,77.27,1200.0
2017-09-13,74.02,81.13,73.41,79.48,8900.0
2017-09-14,80.0,83.14,80.0,80.52,2800.0
2017-09-15,78.0,78.0,78.0,78.0,500.0
2017-09-19,79.99,79.99,77.01,77.6,700.0
2017-09-20,77.1,77.11,77.01,77.09,3700.0
2017-09-21,74.01,74.01,74.0,74.0,500.0
2017-09-22,72.06,77.7,70.3,75.48,7900.0
2017-09-25,73.01,74.89,71.71,72.24,17200.0
2017-09-26,70.05,73.5,68.63,72.21,5200.0
2017-09-27,68.75,68.75,68.75,72.21,200.0
2017-09-28,68.76,68.8,68.76,68.8,1000.0
2017-10-02,65.55,65.55,65.55,65.55,500.0
2017-10-03,62.5,62.5,62.28,62.3,3400.0
2017-10-04,59.21,59.25,59.19,59.21,500.0
2017-10-05,56.25,56.25,56.25,56.25,600.0
