Date,Open,High,Low,Close,Volume
2001-01-01,35.5,34.0,32.0,34.0,1100.0
2001-01-02,34.0,36.65,34.5,36.65,2600.0
2001-01-03,36.65,36.5,36.5,36.5,1000.0
2001-01-15,36.5,33.5,33.0,33.0,37600.0
2001-01-16,33.0,37.5,32.15,36.0,5800.0
2001-01-18,36.0,35.75,34.0,35.75,600.0
2001-01-26,35.75,34.0,34.0,34.0,200.0
2001-02-08,34.0,35.0,34.0,35.0,500.0
2001-02-09,35.0,35.0,35.0,35.0,900.0
2001-02-12,35.0,36.45,36.0,36.0,400.0
2001-02-16,36.0,35.0,35.0,35.0,300.0
2001-02-19,35.0,35.5,35.0,35.5,900.0
2001-02-20,35.5,35.25,35.0,35.25,400.0
2001-02-22,35.25,35.0,35.0,35.0,300.0
2001-02-23,35.0,33.15,33.15,33.15,500.0
2001-03-15,33.15,32.0,32.0,32.0,500.0
2001-03-27,32.0,31.35,31.35,31.35,300.0
2001-04-02,31.35,36.65,34.85,34.85,600.0
2001-04-06,34.85,31.55,31.15,31.55,1500.0
2001-04-09,31.55,31.1,30.0,31.1,1400.0
2001-04-10,31.1,31.25,31.2,31.25,600.0
2001-04-23,31.25,33.0,33.0,33.0,200.0
2001-04-24,33.0,34.0,34.0,34.0,1000.0
2001-04-25,34.0,34.65,34.65,34.65,300.0
2001-04-30,34.65,34.75,34.75,34.75,1100.0
2001-05-02,34.75,34.5,34.4,34.5,900.0
2001-05-09,34.5,33.5,33.25,33.25,1300.0
2001-05-10,33.25,35.0,34.5,34.5,12900.0
2001-05-11,34.5,35.0,34.0,34.0,4700.0
2001-05-14,34.0,34.75,34.0,34.75,5500.0
2001-05-15,34.75,34.9,34.85,34.85,2600.0
2001-05-17,34.85,35.7,35.0,35.7,1700.0
2001-05-18,35.7,36.0,35.5,35.5,1300.0
2001-05-21,35.5,38.0,35.5,36.15,9900.0
2001-05-22,36.15,36.15,36.1,36.1,2700.0
2001-05-23,36.1,36.1,36.0,36.0,1900.0
2001-05-24,36.0,36.0,36.0,36.0,300.0
2001-05-25,36.0,36.0,36.0,36.0,400.0
2001-05-29,36.0,36.0,35.95,35.95,800.0
2001-05-30,35.95,35.5,35.5,35.5,300.0
2001-05-31,35.5,35.5,35.4,35.4,300.0
2001-06-04,35.4,35.5,35.5,35.5,400.0
2001-06-08,35.5,35.2,35.2,35.2,200.0
2001-06-11,35.2,36.0,35.5,35.5,3200.0
2001-06-12,35.5,38.0,35.2,38.0,2800.0
2001-06-13,38.0,36.0,36.0,36.0,500.0
2001-06-14,36.0,36.5,35.8,36.5,3100.0
2001-06-18,30.22,30.22,30.22,30.22,0.0
2001-06-20,30.22,30.05,30.05,30.05,500.0
2001-06-29,30.05,30.0,30.0,30.0,400.0
2001-07-05,30.0,30.0,30.0,30.0,500.0
2001-07-06,30.0,29.2,29.0,29.0,600.0
2001-07-12,29.0,28.0,28.0,28.0,400.0
2001-07-16,28.0,29.0,29.0,29.0,1200.0
2001-07-17,29.0,29.0,29.0,29.0,400.0
2001-07-18,29.0,28.0,28.0,28.0,400.0
2001-07-19,28.0,27.95,27.95,27.95,100.0
2001-07-20,27.95,27.25,27.25,27.25,100.0
2001-07-23,27.25,26.8,26.5,26.7,1100.0
2001-07-24,26.7,27.5,27.5,27.5,200.0
2001-07-26,27.5,27.5,27.15,27.15,400.0
2001-07-27,27.15,27.0,27.0,27.0,500.0
2001-08-01,27.0,27.6,27.0,27.0,3000.0
2001-08-02,27.0,27.5,27.5,27.5,200.0
2001-08-10,27.5,27.5,27.0,27.0,3400.0
2001-08-21,27.0,26.0,26.0,26.0,5000.0
2001-08-22,26.0,26.0,26.0,26.0,100.0
2001-08-23,26.0,26.5,26.5,26.5,4600.0
2001-08-28,26.5,26.9,26.9,26.9,200.0
2001-09-06,26.9,26.5,26.35,26.5,700.0
2001-09-07,26.5,26.3,26.3,26.3,300.0
2001-09-11,26.3,25.1,24.75,24.75,700.0
2001-09-14,24.75,23.0,23.0,23.0,100.0
2001-09-27,23.0,22.5,22.5,22.5,200.0
2001-10-01,22.5,22.45,22.45,22.45,200.0
2001-10-02,22.45,21.5,21.35,21.35,800.0
2001-10-03,21.35,20.35,20.3,20.3,1800.0
2001-10-04,20.3,22.0,21.4,22.0,3600.0
2001-10-05,22.0,22.35,22.1,22.35,600.0
2001-10-08,22.35,22.5,22.5,22.5,100.0
2001-10-09,22.5,23.75,22.5,23.75,2500.0
2001-10-11,23.75,24.0,23.75,24.0,3200.0
2001-10-15,24.0,25.25,24.75,25.25,1800.0
2001-10-16,25.25,25.0,25.0,25.0,800.0
2001-10-17,25.0,25.1,24.5,24.5,800.0
2001-10-18,24.5,26.95,25.0,26.95,1200.0
2001-10-19,26.95,28.0,27.4,28.0,1000.0
2001-10-22,28.0,28.0,28.0,28.0,500.0
2001-10-23,28.0,28.5,27.75,27.75,4500.0
2001-10-26,27.75,27.9,27.9,27.9,500.0
2001-10-29,27.9,27.4,27.4,27.4,200.0
2001-10-31,27.4,26.5,26.5,26.5,300.0
2001-11-01,26.5,26.45,25.2,26.45,400.0
2001-11-19,26.45,26.0,26.0,26.0,500.0
2001-12-08,26.0,26.0,26.0,26.0,1500.0
2001-12-10,26.0,26.25,26.25,26.25,1000.0
2001-12-11,26.25,26.25,26.25,26.25,700.0
2001-12-12,26.25,25.75,25.75,25.75,500.0
2001-12-24,25.75,25.95,25.95,25.95,500.0
2001-12-28,25.95,27.5,27.5,27.5,300.0
2001-12-31,27.5,29.0,27.5,29.0,1200.0
2002-01-01,29.0,27.05,26.85,26.85,800.0
2002-01-03,26.85,27.95,27.95,27.95,500.0
2002-01-07,27.95,27.55,27.55,27.55,500.0
2002-01-14,27.55,28.05,27.0,28.05,1100.0
2002-01-21,28.05,29.0,28.5,28.5,1600.0
2002-01-22,28.5,29.45,29.0,29.05,2000.0
2002-01-23,29.05,29.5,29.0,29.0,4800.0
2002-01-24,29.0,29.75,29.25,29.75,1500.0
2002-01-28,29.75,30.25,30.0,30.0,3000.0
2002-01-29,30.0,30.5,30.5,30.5,400.0
2002-01-30,30.5,30.0,30.0,30.0,500.0
2002-01-31,30.0,30.75,30.5,30.75,90700.0
2002-02-01,30.75,31.0,30.25,31.0,5300.0
2002-02-04,31.0,31.0,30.75,30.75,3500.0
2002-02-21,30.75,30.5,30.5,30.5,77000.0
2002-02-26,30.5,30.5,30.5,30.5,100.0
2002-02-28,30.5,31.0,30.9,31.0,1500.0
2002-03-01,31.0,30.0,30.0,30.0,3500.0
2002-03-04,30.0,30.0,30.0,30.0,100.0
2002-03-06,30.0,30.0,29.0,30.0,700.0
2002-03-08,30.0,29.0,29.0,29.0,900.0
2002-03-12,29.0,30.5,30.0,30.5,1900.0
2002-03-13,30.5,31.0,30.0,31.0,3100.0
2002-03-14,31.0,30.9,30.9,30.9,2000.0
2002-03-15,30.9,30.9,30.9,30.9,1000.0
2002-03-18,30.9,31.0,29.0,29.0,32900.0
2002-03-19,29.0,28.5,27.1,27.1,2500.0
2002-03-20,27.1,25.1,25.1,25.1,1000.0
2002-03-21,25.1,25.1,25.1,25.1,500.0
2002-03-22,25.1,24.9,24.9,24.9,0.0
2002-03-29,24.9,25.25,25.25,25.25,500.0
2002-04-02,25.25,24.8,24.75,24.75,3200.0
2002-04-03,24.75,24.5,24.5,24.5,200.0
2002-04-04,24.5,24.5,24.0,24.0,3300.0
2002-04-09,24.0,24.5,24.5,24.5,300.0
2002-04-16,24.5,25.15,25.0,25.15,3200.0
2002-04-17,25.15,25.4,25.3,25.4,1000.0
2002-04-18,25.4,25.5,25.45,25.45,200.0
2002-04-19,25.45,25.15,25.15,25.15,3000.0
2002-04-22,25.15,26.5,26.5,26.5,500.0
2002-04-23,26.5,25.5,25.5,25.5,500.0
2002-05-02,25.5,25.0,25.0,25.0,100.0
2002-05-03,25.0,25.9,25.9,25.9,3000.0
2002-05-06,25.9,25.6,25.6,25.6,2000.0
2002-05-08,25.6,25.6,25.6,25.6,3000.0
2002-05-09,24.35,25.0,24.0,24.0,1100.0
2002-05-10,24.0,24.0,24.0,24.0,21000.0
2002-05-15,24.0,23.0,23.0,23.0,600.0
2002-05-16,23.0,23.0,23.0,23.0,500.0
2002-05-21,23.0,23.0,23.0,23.0,1000.0
2002-05-27,23.0,23.75,23.75,23.75,100.0
2002-05-28,23.75,23.5,23.5,23.5,1000.0
2002-06-03,23.5,23.0,23.0,23.0,0.0
2002-06-11,23.0,24.0,23.0,24.0,9300.0
2002-06-12,24.0,24.0,24.0,24.0,100.0
2002-06-14,24.0,24.1,24.1,24.1,0.0
2002-06-24,24.1,24.0,24.0,24.0,1500.0
2002-06-25,24.0,24.5,24.0,24.5,13500.0
2002-06-26,24.5,24.5,24.5,24.5,1000.0
2002-07-09,24.5,24.0,24.0,24.0,100.0
2002-07-15,24.0,23.5,23.0,23.0,1600.0
2002-07-22,23.0,23.5,23.5,23.5,0.0
2002-07-26,23.5,23.05,23.05,23.05,100.0
2002-07-29,23.05,23.15,23.15,23.15,0.0
2002-07-31,23.15,23.2,23.2,23.2,0.0
2002-08-02,23.2,23.2,23.2,23.2,500.0
2002-08-06,23.2,24.0,24.0,24.0,500.0
2002-08-12,24.0,23.5,23.5,23.5,100.0
2002-08-16,23.5,23.5,23.5,23.5,200.0
2002-08-20,23.5,23.3,23.3,23.3,300.0
2002-08-26,23.3,22.25,22.15,22.2,1400.0
2002-08-29,22.2,23.0,22.9,23.0,2200.0
2002-08-30,23.0,23.1,23.1,23.1,1000.0
2002-09-02,23.1,22.95,22.95,22.95,100.0
2002-09-03,22.95,22.05,22.0,22.0,900.0
2002-09-10,22.0,21.95,21.95,21.95,0.0
2002-09-11,21.95,21.0,20.9,21.0,500.0
2002-09-12,21.0,20.75,20.75,20.75,500.0
2002-09-13,20.75,21.0,21.0,21.0,200.0
2002-09-16,21.0,21.0,21.0,21.0,300.0
2002-09-19,21.0,20.75,20.75,20.75,1200.0
2002-09-24,20.75,21.0,20.9,21.0,1400.0
2002-09-25,21.0,21.5,21.1,21.5,1100.0
2002-09-26,21.5,21.5,21.5,21.5,25200.0
2002-10-01,21.5,21.5,21.5,21.5,900.0
2002-10-04,21.5,21.5,21.5,21.5,1100.0
2002-10-08,21.5,22.0,21.9,22.0,2000.0
2002-10-09,22.0,22.4,21.7,22.4,1900.0
2002-10-15,22.4,21.5,21.5,21.5,500.0
2002-10-21,21.5,23.1,23.0,23.0,3200.0
2002-10-22,23.0,24.0,23.15,24.0,2600.0
2002-10-23,24.0,25.0,24.5,24.5,3500.0
2002-10-24,24.5,26.3,26.0,26.1,3900.0
2002-10-25,26.1,27.0,26.5,27.0,3300.0
2002-10-28,27.0,26.5,26.5,26.5,200.0
2002-10-30,26.5,27.5,27.0,27.5,1700.0
2002-10-31,27.5,27.5,26.5,27.5,3000.0
2002-11-01,27.5,28.0,27.45,28.0,3000.0
2002-11-04,28.0,27.1,27.0,27.1,1500.0
2002-11-05,27.1,27.75,27.5,27.75,6700.0
2002-11-07,27.75,28.5,28.0,28.5,3700.0
2002-11-08,28.5,29.5,29.5,29.5,900.0
2002-11-12,29.5,28.85,28.85,28.85,200.0
2002-11-14,28.85,28.0,28.0,28.0,300.0
2002-11-18,28.0,27.0,27.0,27.0,500.0
2002-11-19,27.0,27.6,27.6,27.6,1000.0
2002-11-20,27.6,28.25,28.0,28.25,2100.0
2002-11-22,28.25,28.5,28.5,28.5,1000.0
2002-11-26,28.5,30.0,28.95,30.0,6800.0
2002-11-27,30.0,29.25,29.25,29.25,100.0
2002-11-29,29.25,29.5,29.5,29.5,1100.0
2002-12-02,29.5,29.5,29.5,29.5,2100.0
2002-12-04,29.5,30.25,29.5,29.5,21500.0
2002-12-09,29.5,30.5,30.0,30.5,1000.0
2002-12-10,30.5,30.5,29.6,30.5,1000.0
2002-12-12,30.5,32.75,31.0,32.75,27900.0
2002-12-13,32.75,32.5,32.5,32.5,1100.0
2002-12-16,32.5,34.9,32.75,33.0,14600.0
2002-12-17,33.0,35.2,32.0,34.0,8300.0
2002-12-19,34.0,35.5,34.0,34.0,10400.0
2002-12-20,34.0,35.5,33.0,35.5,10900.0
2002-12-23,35.5,35.0,33.75,34.0,1700.0
2002-12-26,34.0,34.95,34.8,34.95,6000.0
2002-12-27,34.95,35.5,35.0,35.0,200.0
2002-12-30,35.0,34.5,34.5,34.5,0.0
2002-12-31,34.5,33.7,33.0,33.5,30500.0
2003-01-01,33.5,33.7,33.0,33.0,31100.0
2003-01-02,33.0,32.0,32.0,32.0,1000.0
2003-01-03,32.0,33.95,32.5,32.5,2400.0
2003-01-08,32.5,31.0,31.0,31.0,1000.0
2003-01-09,31.0,33.0,31.0,33.0,5500.0
2003-01-10,33.0,35.0,34.5,34.9,13700.0
2003-01-13,34.9,35.0,34.5,35.0,8000.0
2003-01-14,35.0,36.5,35.9,35.95,5600.0
2003-01-15,35.95,36.0,36.0,36.0,1000.0
2003-01-16,36.0,36.0,34.5,35.0,4000.0
2003-01-17,35.0,36.0,34.05,34.95,1100.0
2003-01-20,34.95,36.0,35.4,36.0,4400.0
2003-01-21,36.0,36.0,34.3,36.0,8400.0
2003-01-22,36.0,34.8,34.2,34.8,8500.0
2003-01-23,34.8,34.5,33.9,33.9,4400.0
2003-01-24,33.9,35.0,32.5,32.5,1600.0
2003-01-28,32.5,33.0,33.0,33.0,0.0
2003-01-29,33.0,32.0,31.35,31.35,1200.0
2003-01-31,31.35,33.0,30.5,30.5,12000.0
2003-02-03,30.5,32.75,30.0,32.75,9000.0
2003-02-04,32.75,34.75,31.75,31.75,2300.0
2003-02-07,31.75,34.1,32.75,33.0,3700.0
2003-02-10,33.0,33.0,32.5,33.0,400.0
2003-02-17,33.0,33.05,33.05,33.05,1000.0
2003-02-18,33.05,34.5,33.5,34.0,4000.0
2003-02-19,34.0,34.0,34.0,34.0,5500.0
2003-02-20,34.0,34.0,34.0,34.0,2000.0
2003-02-21,34.0,33.0,33.0,33.0,200.0
2003-02-24,33.0,34.5,34.5,34.5,1000.0
2003-02-25,34.5,34.25,34.0,34.0,3000.0
2003-02-26,34.0,34.0,34.0,34.0,600.0
2003-02-27,34.0,33.5,33.25,33.25,1800.0
2003-03-03,33.25,31.75,31.75,31.75,100.0
2003-03-04,31.75,33.5,33.5,33.5,0.0
2003-03-05,33.5,34.0,33.75,33.75,13500.0
