Date,Open,High,Low,Close,Volume
2001-01-01,24.5,27.5,23.6,27.5,24500.0
2001-01-02,27.5,28.0,28.0,28.0,500.0
2001-01-04,28.0,25.0,25.0,25.0,1000.0
2001-01-05,25.0,25.5,25.0,25.5,1000.0
2001-01-08,25.5,25.5,25.5,25.5,500.0
2001-01-11,25.5,24.5,24.5,24.5,5000.0
2001-01-12,24.5,26.0,26.0,26.0,6000.0
2001-01-15,26.0,27.0,26.4,27.0,46500.0
2001-01-17,27.0,25.0,25.0,25.0,5000.0
2001-01-18,25.0,30.0,29.95,29.95,10000.0
2001-01-19,29.95,25.0,23.5,23.5,2500.0
2001-01-22,23.5,25.0,25.0,25.0,1000.0
2001-01-23,25.0,25.0,25.0,25.0,1000.0
2001-01-25,25.0,24.05,24.0,24.0,5000.0
2001-01-26,24.0,24.0,24.0,24.0,500.0
2001-01-31,24.0,23.5,23.5,23.5,500.0
2001-02-07,23.5,23.5,23.5,23.5,500.0
2001-02-09,23.5,23.55,23.55,23.55,1000.0
2001-02-12,23.55,24.0,24.0,24.0,500.0
2001-02-15,24.0,24.0,23.75,24.0,15000.0
2001-02-19,24.0,23.5,23.5,23.5,5000.0
2001-02-23,23.5,23.0,23.0,23.0,10000.0
2001-02-26,23.0,22.5,22.5,22.5,500.0
2001-02-27,22.5,22.0,22.0,22.0,1000.0
2001-02-28,22.0,22.25,22.25,22.25,202500.0
2001-03-02,22.25,22.25,22.1,22.1,50500.0
2001-03-15,22.1,22.1,22.1,22.1,2000.0
2001-03-20,22.1,21.5,21.4,21.5,2500.0
2001-03-30,21.5,22.0,21.0,22.0,874000.0
2001-04-02,22.0,22.0,22.0,22.0,7000.0
2001-04-03,22.0,21.5,21.5,21.5,1000.0
2001-04-06,21.5,22.0,22.0,22.0,9000.0
2001-04-09,22.0,22.75,22.0,22.0,11500.0
2001-04-10,22.0,21.5,21.5,21.5,1000.0
2001-04-11,21.5,21.5,21.5,21.5,500.0
2001-04-13,21.5,22.9,21.5,22.6,50500.0
2001-04-17,22.6,23.25,22.05,23.25,48000.0
2001-04-19,23.25,22.5,22.5,22.5,1500.0
2001-04-24,22.5,22.05,22.05,22.05,50000.0
2001-04-26,22.05,22.0,22.0,22.0,500.0
