Date,Open,High,Low,Close,Volume
2001-01-05,152.0,152.0,152.0,152.0,3000.0
2001-03-02,152.0,152.0,152.0,152.0,3000.0
2001-04-12,152.0,152.0,152.0,152.0,3000.0
2001-06-07,152.0,152.0,152.0,152.0,3000.0
2001-08-29,152.0,152.0,152.0,152.0,3000.0
2001-10-30,152.0,152.0,152.0,152.0,3000.0
2002-04-30,151.5,151.5,151.5,151.5,0.0
2005-02-10,125.21,125.0,125.0,125.0,0.0
2006-06-20,101.46,106.5,106.5,106.5,0.0
2006-06-21,106.5,110.0,110.0,110.0,0.0
2007-06-25,94.78,95.0,95.0,95.0,0.0
2007-06-26,95.0,96.0,96.0,96.0,0.0
2007-07-05,96.0,100.8,100.8,100.8,0.0
2007-07-09,100.8,105.8,105.8,105.8,0.0
2007-07-11,105.8,111.0,111.0,111.0,0.0
2007-08-02,111.0,116.55,116.55,116.55,0.0
2007-08-29,116.55,122.35,122.35,122.35,0.0
2008-01-23,122.35,122.35,122.35,122.35,50000.0
2008-01-30,122.35,128.45,128.45,128.45,0.0
2008-01-31,128.45,134.8,134.8,134.8,0.0
2008-02-04,134.8,141.5,141.5,141.5,0.0
2008-02-06,141.5,148.55,148.55,148.55,0.0
2008-02-12,148.55,155.95,155.95,155.95,0.0
2008-02-14,155.95,163.7,163.7,163.7,0.0
2008-02-21,163.7,171.85,171.85,171.85,0.0
2008-02-25,146.88,154.2,154.2,154.2,0.0
2008-02-26,154.2,161.9,161.9,161.9,0.0
2008-02-28,161.9,169.95,169.95,169.95,0.0
2008-03-03,169.95,178.4,178.4,178.4,0.0
2008-03-04,178.4,187.3,187.3,187.3,0.0
2008-03-05,187.3,196.65,196.65,196.65,0.0
2008-03-06,196.65,206.45,206.45,206.45,0.0
2008-03-11,206.45,216.75,216.75,216.75,0.0
2008-03-13,216.75,227.55,227.55,227.55,0.0
2008-03-20,227.55,238.7,238.7,238.7,0.0
2008-04-15,237.7,237.7,237.7,237.7,500.0
2008-04-16,237.7,237.7,237.7,237.7,500.0
2008-05-14,237.7,237.7,237.7,237.7,1500.0
2008-05-15,237.7,237.7,237.7,237.7,1500.0
2008-05-19,237.7,237.7,237.7,237.7,3000.0
2008-05-20,237.7,237.7,237.7,237.7,1500.0
2008-05-28,237.7,237.7,237.7,237.7,1500.0
2008-05-29,237.7,237.7,237.7,237.7,1500.0
2008-06-04,237.7,237.7,237.7,237.7,1500.0
2008-06-10,237.7,237.7,237.7,237.7,1500.0
2009-07-21,209.35,219.81,219.81,219.81,0.0
2009-07-23,219.81,230.8,230.8,230.8,0.0
2009-07-28,230.8,242.34,242.34,242.34,0.0
2009-07-29,242.34,254.45,254.45,254.45,0.0
2009-07-30,254.45,267.17,267.17,267.17,0.0
2009-08-04,267.17,280.52,280.52,280.52,0.0
2009-08-10,280.52,294.54,294.54,294.54,0.0
2009-08-27,294.54,309.26,309.26,309.26,0.0
2009-10-07,309.26,309.26,309.26,309.26,1500.0
2009-10-08,309.26,324.72,324.72,324.72,0.0
2009-10-09,324.72,324.72,324.72,324.72,1000.0
2009-10-13,324.72,325.0,325.0,325.0,1000.0
2009-10-14,325.0,325.0,325.0,325.0,1500.0
2009-10-15,325.0,325.0,325.0,325.0,1500.0
2009-10-16,325.0,325.0,325.0,325.0,1500.0
2009-10-19,325.0,325.0,325.0,325.0,1500.0
2009-10-20,325.0,325.0,325.0,325.0,1100.0
2009-10-21,325.0,325.0,325.0,325.0,1100.0
2009-10-22,325.0,325.0,325.0,325.0,1500.0
2009-10-27,325.0,341.25,310.0,310.06,1501.0
2009-10-28,310.06,325.56,296.0,311.28,1002.0
2009-10-30,311.28,310.0,310.0,310.0,1499.0
2009-11-02,310.0,310.0,310.0,310.0,1499.0
2009-11-03,310.0,310.0,310.0,310.0,1499.0
2009-11-04,310.0,310.0,310.0,310.0,1499.0
2009-11-05,310.0,325.5,325.5,325.5,1499.0
2009-12-03,325.5,325.5,325.5,325.5,199.0
2009-12-24,325.5,325.5,325.5,325.5,93200.0
2010-06-21,325.5,325.5,325.5,325.5,50000.0
2010-06-22,325.5,325.5,325.5,325.5,44517.0
2011-01-11,295.91,296.0,296.0,296.0,0.0
2011-01-19,296.0,296.0,296.0,296.0,200000.0
2011-12-02,247.5,247.5,247.5,247.5,2.0
2012-03-14,247.5,235.13,235.13,235.13,0.0
2012-03-15,235.13,223.38,223.38,223.38,0.0
2012-12-26,203.07,203.07,203.07,203.07,20000.0
2015-06-24,0.0,166.0,166.0,166.0,0.0
2015-06-29,0.0,170.0,170.0,170.0,0.0
2015-10-09,0.0,0.0,0.0,170.0,0.0
2015-10-12,0.0,0.0,0.0,170.0,0.0
2015-10-13,0.0,0.0,0.0,170.0,0.0
2015-10-14,0.0,0.0,0.0,170.0,0.0
2015-10-15,0.0,0.0,0.0,170.0,0.0
2015-10-16,0.0,0.0,0.0,170.0,0.0
2015-10-19,0.0,0.0,0.0,170.0,0.0
2015-10-21,0.0,0.0,0.0,170.0,0.0
2015-10-22,0.0,0.0,0.0,170.0,0.0
2015-10-26,0.0,0.0,0.0,170.0,0.0
2015-10-27,0.0,0.0,0.0,170.0,0.0
2015-10-28,0.0,0.0,0.0,170.0,0.0
2015-10-29,0.0,0.0,0.0,170.0,0.0
2015-10-30,0.0,0.0,0.0,170.0,0.0
2015-11-02,0.0,0.0,0.0,170.0,0.0
2015-11-03,0.0,0.0,0.0,170.0,0.0
2015-11-04,0.0,0.0,0.0,170.0,0.0
2015-11-05,0.0,0.0,0.0,170.0,0.0
2015-11-06,0.0,0.0,0.0,170.0,0.0
