Date,Open,High,Low,Close,Volume
2001-01-03,2.0,1.75,1.75,1.75,500.0
2001-01-04,1.75,2.2,1.95,1.95,2500.0
2001-01-08,1.95,1.95,1.95,1.95,1000.0
2001-01-11,1.95,2.5,2.5,2.5,500.0
2001-01-15,2.5,2.0,2.0,2.0,1500.0
2001-01-16,2.0,1.75,1.75,1.75,2500.0
2001-01-17,1.75,1.8,1.8,1.8,500.0
2001-01-18,1.8,1.9,1.85,1.9,1500.0
2001-02-07,1.9,1.6,1.6,1.6,500.0
2001-02-08,1.6,1.8,1.8,1.8,1000.0
2001-02-09,1.8,2.0,2.0,2.0,1000.0
2001-04-10,2.0,2.0,2.0,2.0,1000.0
2001-05-02,2.0,2.25,2.05,2.25,12000.0
2001-05-03,2.25,2.25,2.05,2.05,7000.0
2001-05-04,2.05,2.0,2.0,2.0,2000.0
2001-05-07,2.0,2.5,2.25,2.5,1500.0
2001-05-11,2.5,2.1,2.1,2.1,500.0
2001-05-15,2.1,1.75,1.75,1.75,500.0
2001-05-18,1.75,2.05,2.0,2.05,2500.0
2001-05-23,2.05,2.0,1.95,2.0,27500.0
2001-05-25,2.0,2.5,2.25,2.5,24000.0
2001-05-28,2.5,2.75,2.45,2.45,2500.0
2001-05-30,2.45,2.5,2.5,2.5,2000.0
2001-05-31,2.5,2.45,2.45,2.45,5000.0
2001-06-04,2.45,2.5,2.5,2.5,2000.0
2001-06-11,2.5,2.2,2.2,2.2,1000.0
2001-06-13,2.2,2.1,2.0,2.1,10500.0
2001-06-14,2.1,2.2,2.2,2.2,500.0
2001-06-15,2.2,2.4,2.25,2.4,15500.0
2001-06-21,2.4,1.75,1.75,1.75,500.0
2001-06-29,1.75,2.0,2.0,2.0,1000.0
2001-07-17,2.0,2.5,2.5,2.5,1000.0
2001-08-22,2.5,2.0,2.0,2.0,500.0
2001-08-23,2.0,2.2,2.2,2.2,500.0
2001-11-16,2.2,2.1,2.1,2.1,500.0
2001-11-20,2.1,2.1,2.1,2.1,1000.0
2001-11-27,2.1,2.25,2.15,2.15,1000.0
2001-11-28,2.15,2.05,2.05,2.05,500.0
2001-12-05,2.05,2.05,2.0,2.0,4500.0
2002-01-10,1.5,1.5,1.5,1.5,0.0
2002-01-22,1.5,2.1,2.0,2.1,3000.0
2002-01-23,2.1,2.0,2.0,2.0,1000.0
2002-01-24,2.0,3.0,3.0,3.0,2000.0
2002-01-29,3.0,2.5,2.4,2.4,3000.0
2002-02-06,2.4,3.5,3.0,3.5,1500.0
2002-02-26,3.5,3.75,3.75,3.75,500.0
2002-03-05,3.75,3.8,3.8,3.8,500.0
2002-03-11,3.8,2.8,2.7,2.75,25500.0
2002-03-12,2.75,2.75,2.75,2.75,500.0
2002-03-15,2.75,2.75,2.75,2.75,500.0
2002-03-27,2.75,2.6,2.6,2.6,500.0
2002-03-29,2.6,2.15,2.1,2.1,3000.0
2002-04-01,2.1,2.1,2.1,2.1,500.0
2002-04-02,2.1,2.5,2.5,2.5,500.0
2002-04-03,2.5,2.5,2.1,2.5,6500.0
2002-04-04,2.5,2.7,2.5,2.5,4000.0
2002-04-09,2.5,2.65,2.65,2.65,0.0
2002-04-11,2.65,3.0,2.95,2.95,1000.0
2002-04-12,2.95,2.55,2.55,2.55,500.0
2002-04-16,2.55,2.6,2.6,2.6,500.0
2002-04-17,2.6,2.8,2.75,2.8,7000.0
2002-04-18,2.8,2.8,2.8,2.8,2000.0
2002-04-23,2.8,4.0,3.0,3.0,500.0
2002-04-24,3.0,2.75,2.75,2.75,500.0
2002-04-26,2.75,2.5,2.5,2.5,0.0
2002-05-03,2.5,2.5,2.5,2.5,2000.0
2002-05-07,2.5,2.5,2.5,2.5,1000.0
2002-05-10,2.5,2.25,2.25,2.25,500.0
2002-05-13,2.25,2.85,2.3,2.85,1500.0
2002-05-14,2.85,2.85,2.8,2.85,1000.0
2002-05-15,2.85,3.4,3.0,3.4,7000.0
2002-05-16,3.4,3.4,3.1,3.1,5500.0
2002-05-20,3.1,2.95,2.95,2.95,0.0
2002-05-22,2.95,2.9,2.9,2.9,0.0
2002-05-24,2.9,3.0,3.0,3.0,1000.0
2002-05-27,3.0,3.0,3.0,3.0,500.0
2002-05-28,3.0,3.0,3.0,3.0,2500.0
2002-05-29,3.0,2.8,2.8,2.8,1000.0
2002-06-03,2.8,2.6,2.5,2.5,3500.0
2002-06-06,2.5,2.5,2.5,2.5,500.0
2002-06-11,2.5,2.75,2.5,2.75,3000.0
2002-06-12,2.75,2.75,2.75,2.75,500.0
2002-06-13,2.75,2.55,2.55,2.55,500.0
2002-06-14,2.55,3.05,3.0,3.05,1000.0
2002-06-17,3.05,3.2,3.2,3.2,3000.0
2002-06-18,3.2,3.25,3.25,3.25,2000.0
2002-06-19,3.25,3.25,3.25,3.25,500.0
2002-06-20,3.25,3.25,3.25,3.25,1000.0
2002-06-21,3.25,3.25,3.1,3.1,2500.0
2002-06-25,3.1,3.0,3.0,3.0,2500.0
2002-06-27,3.0,3.0,3.0,3.0,2500.0
2002-07-02,3.0,3.05,3.05,3.05,500.0
2002-07-03,3.05,3.1,3.1,3.1,0.0
2002-07-04,3.1,3.1,3.1,3.1,500.0
2002-07-05,3.1,3.1,3.1,3.1,1000.0
2002-07-08,3.1,3.1,3.1,3.1,500.0
2002-07-12,3.1,3.0,2.8,2.8,2500.0
2002-07-19,2.8,3.0,3.0,3.0,1000.0
2002-07-24,3.0,2.8,2.8,2.8,500.0
2002-07-29,2.8,2.75,2.75,2.75,500.0
2002-07-31,2.75,2.65,2.65,2.65,500.0
2002-08-05,2.65,2.6,2.6,2.6,500.0
2002-08-06,2.6,3.15,3.0,3.15,3000.0
2002-08-07,3.15,2.8,2.8,2.8,1000.0
2002-08-12,2.8,2.6,2.6,2.6,1000.0
2002-08-13,2.6,2.65,2.65,2.65,0.0
2002-08-26,2.65,2.7,2.7,2.7,0.0
2002-09-06,2.7,2.65,2.65,2.65,500.0
2002-09-09,2.65,2.2,2.05,2.2,3000.0
2002-09-10,2.2,2.6,2.6,2.6,1000.0
2002-09-11,2.6,2.65,2.65,2.65,0.0
2002-09-20,2.65,3.5,3.1,3.1,3500.0
2002-10-01,3.1,3.05,3.05,3.05,0.0
2002-10-02,3.05,2.55,2.5,2.55,4000.0
2002-10-04,2.55,2.5,2.5,2.5,2000.0
2002-10-09,2.5,2.65,2.3,2.65,1500.0
2002-10-14,2.65,2.55,2.55,2.55,0.0
2002-10-15,2.55,2.55,2.5,2.55,7000.0
2002-10-17,2.55,2.55,2.45,2.55,1000.0
