Date,Open,High,Low,Close,Volume
2001-01-01,7.75,6.9,6.9,6.9,1000.0
2001-01-02,6.9,7.0,6.5,7.0,11000.0
2001-01-08,7.0,7.0,6.55,6.55,15000.0
2001-01-09,6.55,7.0,7.0,7.0,10000.0
2001-01-11,7.0,6.55,6.5,6.5,8500.0
2001-01-15,6.5,6.5,6.05,6.2,4500.0
2001-01-16,6.2,6.75,6.7,6.75,9500.0
2001-01-19,6.75,8.5,8.5,8.5,2500.0
2001-01-26,8.5,8.5,7.5,8.5,5000.0
2001-02-08,8.5,8.5,8.5,8.5,0.0
2001-02-22,8.5,8.5,8.5,8.5,500.0
2001-03-13,8.5,6.5,6.0,6.0,5500.0
2001-03-15,6.0,9.0,6.9,9.0,6500.0
2001-03-16,9.0,6.5,6.0,6.15,13000.0
2001-03-19,6.15,6.75,6.2,6.3,3000.0
2001-03-20,6.3,6.15,6.15,6.15,1500.0
2001-03-21,6.15,6.9,6.25,6.9,5000.0
2001-03-22,6.9,9.0,6.85,9.0,25500.0
2001-03-26,9.0,7.45,7.0,7.0,6500.0
2001-03-27,7.0,7.0,7.0,7.0,1000.0
2001-03-28,7.0,7.0,7.0,7.0,10500.0
2001-03-29,7.0,7.25,7.2,7.2,1500.0
2001-03-30,7.2,7.25,7.0,7.25,2500.0
2001-04-03,7.25,6.55,6.55,6.55,500.0
2001-04-06,6.55,7.15,7.15,7.15,500.0
2001-04-11,7.15,6.5,6.4,6.4,2000.0
2001-04-12,6.4,6.4,6.4,6.4,1000.0
2001-04-13,6.4,7.0,6.7,7.0,4500.0
2001-04-16,7.0,7.0,7.0,7.0,500.0
2001-04-18,7.0,6.5,6.5,6.5,500.0
2001-04-23,6.5,6.5,6.5,6.5,1000.0
2001-04-27,6.5,7.25,6.8,7.25,5500.0
2001-05-09,7.25,6.6,6.6,6.6,1500.0
2001-05-11,6.6,6.85,6.6,6.85,1000.0
2001-05-18,6.85,7.1,6.3,7.1,6000.0
2001-05-23,7.1,6.25,6.25,6.25,6000.0
2001-05-25,6.25,7.0,6.75,7.0,9000.0
2001-05-28,7.0,6.3,6.3,6.3,1000.0
2001-05-30,6.3,6.5,6.4,6.4,2000.0
2001-05-31,6.4,6.4,6.3,6.4,4500.0
2001-06-01,6.4,6.9,6.3,6.9,5500.0
2001-06-04,6.9,6.45,6.4,6.45,1500.0
2001-06-06,6.45,6.35,6.2,6.2,2000.0
2001-06-07,6.2,6.5,6.35,6.35,1500.0
2001-06-08,6.35,6.8,6.5,6.8,13500.0
2001-06-11,6.8,6.35,6.35,6.35,2000.0
2001-06-14,6.35,6.4,6.4,6.4,1000.0
2001-06-15,6.4,6.75,6.35,6.75,6000.0
2001-06-18,6.75,6.4,6.4,6.4,1000.0
2001-06-19,6.4,6.35,6.35,6.35,1000.0
2001-06-22,6.35,6.65,6.55,6.65,5500.0
2001-06-26,6.65,6.2,6.2,6.2,1000.0
2001-06-27,6.2,6.25,6.25,6.25,2500.0
2001-06-29,6.25,6.55,6.3,6.55,14500.0
2001-07-03,6.55,6.2,6.2,6.2,500.0
2001-07-05,6.2,6.2,6.2,6.2,500.0
2001-07-06,6.2,6.25,5.9,6.25,7500.0
2001-07-09,6.25,6.2,6.15,6.2,3500.0
2001-07-10,6.2,6.15,6.15,6.15,1000.0
2001-07-12,6.15,6.1,6.0,6.1,3500.0
2001-07-13,6.1,6.0,5.95,6.0,3000.0
2001-07-16,6.0,6.1,6.1,6.1,500.0
2001-07-17,6.1,6.0,5.95,6.0,2000.0
2001-07-18,6.0,6.0,6.0,6.0,500.0
2001-07-19,6.0,5.9,5.35,5.9,9000.0
2001-07-20,5.9,5.85,5.85,5.85,1000.0
2001-07-23,5.85,5.85,5.85,5.85,500.0
2001-07-24,5.85,5.85,5.25,5.85,6000.0
2001-07-26,5.85,5.35,5.35,5.35,1500.0
2001-07-27,5.35,5.7,5.7,5.7,500.0
2001-07-31,5.7,5.8,5.8,5.8,500.0
2001-08-08,5.8,5.85,5.5,5.85,2500.0
2001-08-10,5.85,5.8,5.35,5.8,4500.0
2001-08-15,5.8,5.85,5.35,5.85,2500.0
