Date,Open,High,Low,Close,Volume
2014-01-17,0.0,29.66,29.66,29.66,0.0
2014-01-20,31.14,31.14,31.14,31.14,1000.0
2014-01-21,32.69,32.69,32.69,32.69,2500.0
2014-01-22,34.32,34.32,34.32,34.32,2000.0
2014-01-23,36.03,36.03,36.03,36.03,12500.0
2014-01-24,37.83,37.83,37.83,37.83,3500.0
2014-01-27,39.72,39.72,39.72,39.72,439500.0
2014-01-28,41.7,41.7,41.7,41.7,398500.0
2014-01-29,43.78,43.78,43.78,43.78,245000.0
2014-01-30,45.96,45.96,45.96,45.96,287500.0
2014-01-31,48.25,48.25,46.0,48.25,17304500.0
2014-02-03,49.0,49.95,48.2,48.48,6873000.0
2014-02-04,48.5,48.5,46.35,47.0,7790500.0
2014-02-06,47.3,47.75,46.4,46.77,3698500.0
2014-02-07,46.51,49.1,46.51,49.09,13869000.0
2014-02-10,49.98,51.15,48.4,49.28,12825500.0
2014-02-11,49.55,51.74,49.5,51.46,11465000.0
2014-02-12,52.99,54.03,52.8,54.03,1926500.0
2014-02-13,56.73,56.73,55.51,56.73,6789500.0
2014-02-14,57.9,59.49,54.01,55.35,17495500.0
2014-02-17,54.52,55.98,53.6,54.14,8418500.0
2014-02-18,54.3,54.88,52.1,53.16,7801500.0
2014-02-19,53.4,54.85,53.4,54.13,7343500.0
2014-02-20,54.26,54.7,53.2,54.15,4057000.0
2014-02-21,54.43,56.85,54.0,56.85,8030000.0
2014-02-24,59.0,59.69,58.48,59.69,6038000.0
2014-02-25,60.5,60.85,58.11,59.04,11860000.0
2014-02-26,59.0,61.38,58.8,59.96,8349000.0
2014-02-27,60.25,60.98,59.05,59.73,4092000.0
2014-02-28,60.14,60.99,59.01,59.63,7973000.0
2014-03-03,60.21,60.39,56.65,56.67,6256500.0
2014-03-04,55.55,56.56,54.55,55.76,6946000.0
2014-03-05,56.28,56.98,56.05,56.31,3902500.0
2014-03-06,56.7,57.64,56.4,57.38,5195500.0
2014-03-07,57.99,58.18,56.8,57.13,3966000.0
2014-03-10,57.48,57.5,56.0,56.33,3160000.0
2014-03-11,56.6,57.95,56.4,57.17,5772500.0
2014-03-12,57.4,59.75,57.1,59.06,15260500.0
2014-03-13,59.85,60.49,58.02,58.29,4903000.0
2014-03-14,58.5,59.1,57.5,57.82,2837500.0
2014-03-17,57.82,58.24,57.25,57.53,1536000.0
2014-03-18,57.25,57.9,57.05,57.14,1206000.0
2014-03-19,57.35,57.98,56.7,56.92,2872500.0
2014-03-20,57.18,57.89,56.76,57.19,3168500.0
2014-03-21,57.25,57.65,56.5,56.83,3089000.0
2014-03-24,56.9,57.19,56.2,56.58,1973000.0
2014-03-25,56.95,59.4,56.95,59.4,6523000.0
2014-03-26,60.0,60.99,59.6,59.91,12308500.0
2014-03-27,60.0,60.48,59.11,59.57,4598000.0
2014-03-28,59.35,59.6,58.75,58.82,1952500.0
2014-03-31,58.8,60.0,58.4,59.7,2299000.0
2014-04-01,60.2,62.45,60.2,60.84,9202500.0
2014-04-02,61.0,61.25,60.5,60.6,2532000.0
2014-04-03,60.79,61.85,60.75,61.51,5776500.0
2014-04-04,61.74,62.3,60.91,61.22,3171000.0
2014-04-07,61.55,62.08,60.95,61.2,2938500.0
2014-04-08,61.5,64.26,61.45,63.66,11756500.0
2014-04-09,63.7,63.7,62.7,62.82,3374000.0
2014-04-10,63.25,64.15,63.15,63.48,5668000.0
2014-04-11,63.6,66.65,63.56,66.65,11881500.0
2014-04-14,67.5,69.98,67.5,69.98,6668500.0
2014-04-15,71.1,73.47,69.98,70.84,15914500.0
2014-04-16,71.48,71.8,68.7,68.99,4578500.0
2014-04-17,69.25,70.5,68.01,70.08,5253000.0
2014-04-18,71.11,72.25,70.8,70.95,9252000.0
2014-04-21,71.29,71.29,69.5,69.95,4477000.0
2014-04-22,70.49,70.77,69.05,69.32,3466000.0
2014-04-23,69.65,69.99,66.01,66.72,9567000.0
2014-04-24,67.0,70.0,66.11,69.57,7993000.0
2014-04-25,70.25,70.74,66.5,67.6,7460000.0
2014-04-28,67.26,67.9,66.1,66.18,1368500.0
2014-04-29,66.3,66.74,63.25,64.33,3314500.0
2014-04-30,64.16,67.17,64.05,66.55,3424500.0
2014-05-02,66.62,68.4,65.51,66.89,5494500.0
2014-05-05,67.05,67.1,65.05,65.6,2915000.0
