Date,Open,High,Low,Close,Volume
2001-01-05,10.0,10.0,10.0,10.0,2500.0
2001-01-11,10.0,9.5,9.5,9.5,1500.0
2001-01-15,9.5,9.6,9.6,9.6,100000.0
2001-01-25,9.6,10.1,10.1,10.1,3000.0
2001-01-26,10.1,10.0,9.75,9.75,1500.0
2001-02-01,9.75,11.0,11.0,11.0,1500.0
2001-02-06,11.0,10.75,10.75,10.75,500.0
2001-02-14,10.75,10.75,10.75,10.75,500.0
2001-02-16,10.75,10.5,10.5,10.5,1000.0
2001-02-19,10.5,11.0,11.0,11.0,1000.0
2001-02-22,11.0,10.5,10.5,10.5,500.0
2001-02-23,10.5,10.75,10.5,10.75,2500.0
2001-03-01,10.75,10.75,10.75,10.75,5000.0
2001-03-09,10.75,10.75,10.75,10.75,0.0
2001-03-14,10.75,10.0,10.0,10.0,1500.0
2001-03-16,10.0,10.0,10.0,10.0,500.0
2001-03-22,9.0,9.0,9.0,9.0,0.0
2001-04-10,9.0,9.5,9.5,9.5,500.0
2001-04-26,9.5,9.25,9.25,9.25,500.0
2001-05-10,9.25,10.0,10.0,10.0,1000.0
2001-05-11,10.0,10.5,10.5,10.5,1000.0
2001-05-15,10.5,10.5,10.5,10.5,0.0
2001-05-23,10.5,11.25,11.0,11.25,3000.0
2001-05-24,11.25,12.0,11.9,12.0,3000.0
2001-05-25,12.0,11.95,11.95,11.95,1000.0
2001-06-27,11.95,11.6,11.6,11.6,5000.0
2001-08-16,11.6,12.0,11.75,11.75,100000.0
2001-08-22,11.75,11.6,11.6,11.6,1000.0
2001-08-27,11.6,11.05,11.0,11.0,2000.0
2001-09-07,11.0,11.0,11.0,11.0,500.0
2001-09-13,11.0,11.0,11.0,11.0,2000.0
2001-11-06,11.0,10.5,10.5,10.5,500.0
2001-11-14,10.5,10.0,10.0,10.0,10000.0
2001-11-19,10.0,9.5,9.5,9.5,10000.0
2001-11-27,9.5,9.05,9.05,9.05,500.0
2001-11-28,9.05,8.6,8.6,8.6,1500.0
2001-11-29,8.6,8.45,8.25,8.45,7500.0
2001-12-01,8.45,8.3,8.3,8.3,2000.0
2001-12-05,8.3,8.5,8.3,8.5,500.0
2002-01-21,8.5,8.5,8.5,8.5,500.0
2002-02-12,8.5,9.35,9.25,9.25,1500.0
2002-03-04,9.25,9.25,9.25,9.25,1000.0
2002-03-05,9.25,8.75,8.75,8.75,500.0
2002-03-06,8.75,8.0,8.0,8.0,1000.0
2002-03-08,8.0,6.55,6.55,6.55,500.0
2002-03-11,6.55,7.75,7.75,7.75,500.0
2002-03-12,7.75,8.25,8.0,8.25,2000.0
2002-03-14,8.25,8.0,8.0,8.0,500.0
2002-03-20,7.0,7.0,7.0,7.0,0.0
2002-04-12,7.0,6.5,6.5,6.5,1500.0
2002-04-15,6.5,6.65,6.65,6.65,0.0
2002-04-16,6.65,6.9,6.9,6.9,0.0
2002-04-19,6.9,7.05,7.05,7.05,0.0
2002-04-23,7.05,7.1,7.1,7.1,0.0
2002-05-07,7.1,6.6,6.6,6.6,2000.0
2002-05-13,6.6,6.0,6.0,6.0,500.0
2002-05-14,6.0,6.25,6.25,6.25,0.0
2002-06-18,6.25,6.5,6.5,6.5,0.0
2002-06-26,6.5,6.05,6.05,6.05,500.0
2002-07-08,6.05,6.25,6.25,6.25,0.0
2002-07-12,6.25,6.5,6.5,6.5,0.0
2002-09-06,6.5,5.5,5.5,5.5,500.0
2002-09-11,5.5,6.0,6.0,6.0,0.0
2002-09-16,6.0,5.0,5.0,5.0,1000.0
2002-10-21,5.0,4.05,4.05,4.05,2500.0
2002-10-22,4.05,4.5,4.5,4.5,1000.0
2002-10-23,4.5,4.5,4.5,4.5,1000.0
2002-10-24,4.5,4.6,4.6,4.6,0.0
2002-10-25,4.6,4.8,4.8,4.8,0.0
2002-10-29,4.8,5.0,5.0,5.0,0.0
2002-10-31,5.0,5.25,5.25,5.25,0.0
2002-11-18,5.25,6.0,6.0,6.0,500.0
2002-11-25,6.0,6.0,6.0,6.0,500.0
2002-11-26,6.0,6.0,6.0,6.0,500.0
2002-11-27,6.0,6.0,6.0,6.0,500.0
2002-12-02,6.0,5.2,5.2,5.2,2000.0
2002-12-04,5.2,5.0,5.0,5.0,2500.0
2002-12-09,5.0,5.0,5.0,5.0,8000.0
2002-12-10,5.0,5.0,5.0,5.0,20000.0
2002-12-11,5.0,5.0,5.0,5.0,5000.0
2002-12-12,5.0,5.0,5.0,5.0,18000.0
2002-12-13,5.0,5.1,5.0,5.0,25000.0
2002-12-16,5.0,5.1,5.0,5.1,27000.0
2002-12-17,5.1,5.15,4.9,4.9,33000.0
2002-12-18,4.9,5.05,5.0,5.0,39000.0
2002-12-19,5.0,5.7,5.0,5.3,170000.0
