Date,Open,High,Low,Close,Volume
2001-01-02,14.5,13.5,13.5,13.5,500.0
2001-01-08,13.5,14.0,14.0,14.0,4000.0
2001-01-09,14.0,11.0,11.0,11.0,1000.0
2001-01-24,11.0,12.0,12.0,12.0,1500.0
2001-02-02,12.0,13.0,13.0,13.0,500.0
2001-02-08,13.0,13.0,13.0,13.0,2000.0
2001-02-09,13.0,13.0,13.0,13.0,3000.0
2001-02-14,13.0,13.0,13.0,13.0,1000.0
2001-02-16,13.0,13.0,13.0,13.0,2000.0
2001-02-20,13.0,12.5,12.5,12.5,500.0
2001-03-01,12.5,12.2,12.2,12.2,500.0
2001-03-13,12.2,12.2,12.2,12.2,0.0
2001-03-20,12.2,13.95,12.1,12.1,6000.0
2001-03-21,12.1,12.0,12.0,12.0,5000.0
2001-03-22,12.0,12.0,12.0,12.0,6000.0
2001-03-28,12.0,12.0,11.95,12.0,21000.0
2001-04-11,12.0,11.75,11.75,11.75,1000.0
2001-04-17,11.75,9.9,9.75,9.9,6500.0
2001-04-19,9.9,10.0,9.8,10.0,10500.0
2001-04-20,10.0,10.05,10.05,10.05,1000.0
2001-04-26,10.05,10.05,10.0,10.0,5000.0
2001-04-27,10.0,10.8,10.75,10.75,2000.0
2001-05-03,10.75,10.8,10.8,10.8,4000.0
2001-05-04,10.8,10.8,10.8,10.8,500.0
2001-05-07,10.8,11.0,11.0,11.0,500.0
2001-05-08,11.0,11.3,10.0,11.3,9500.0
2001-05-10,11.3,12.5,12.0,12.5,6500.0
2001-05-11,12.5,14.0,14.0,14.0,2000.0
2001-05-16,14.0,12.25,12.15,12.15,7500.0
2001-05-22,12.15,12.05,12.05,12.05,7500.0
2001-05-23,12.05,12.0,12.0,12.0,7000.0
2001-05-24,12.0,12.05,12.05,12.05,500.0
2001-05-25,12.05,12.05,12.0,12.0,6000.0
2001-05-29,12.0,12.0,11.75,11.75,25000.0
2001-06-04,11.75,12.25,12.0,12.0,16000.0
2001-06-06,12.0,12.0,12.0,12.0,3000.0
2001-06-07,12.0,12.25,11.5,11.5,10000.0
2001-06-08,11.5,12.25,12.25,12.25,46000.0
2001-06-12,12.25,12.0,12.0,12.0,500.0
2001-06-14,12.0,12.2,12.2,12.2,500.0
2001-07-03,12.2,12.0,12.0,12.0,1000.0
2001-07-09,12.0,11.5,11.5,11.5,500.0
2001-07-10,11.5,12.0,12.0,12.0,1000.0
2001-07-11,12.0,11.5,11.5,11.5,2500.0
2001-07-17,11.5,11.5,11.5,11.5,1000.0
2001-07-26,11.5,11.0,11.0,11.0,1000.0
2001-08-06,11.0,11.0,11.0,11.0,5500.0
2001-08-10,11.0,11.0,11.0,11.0,1000.0
2001-08-22,11.0,10.5,10.5,10.5,500.0
2001-08-23,10.5,11.0,10.75,11.0,6500.0
2001-08-27,11.0,11.0,11.0,11.0,5500.0
2001-08-28,11.0,11.0,11.0,11.0,25000.0
2001-09-07,11.0,11.1,11.0,11.1,3000.0
2001-10-05,11.1,10.55,10.55,10.55,500.0
2001-10-09,10.55,10.5,10.5,10.5,3000.0
2001-10-10,10.5,10.1,10.1,10.1,500.0
2001-10-19,10.1,10.5,10.5,10.5,500.0
2001-11-29,10.5,10.5,10.5,10.5,4000.0
2001-12-03,10.5,10.5,10.5,10.5,1000.0
2001-12-05,10.5,10.5,10.5,10.5,7000.0
2001-12-06,10.5,10.5,10.5,10.5,1000.0
2001-12-11,10.5,10.5,10.5,10.5,500.0
2001-12-21,10.5,10.6,10.6,10.6,6500.0
2002-01-10,10.6,10.5,10.5,10.5,500.0
2002-01-14,10.5,10.5,10.5,10.5,1500.0
2002-01-15,10.5,10.5,10.5,10.5,500.0
2002-01-16,10.5,10.55,10.55,10.55,1000.0
2002-01-17,10.55,10.5,10.5,10.5,5500.0
2002-01-29,10.5,10.5,10.5,10.5,500.0
2002-02-01,10.5,11.0,10.5,11.0,1000.0
2002-02-04,11.0,12.5,12.5,12.5,500.0
2002-02-06,12.5,12.1,11.5,12.0,1500.0
2002-02-08,12.0,12.0,12.0,12.0,1000.0
2002-02-13,12.0,10.7,10.5,10.7,1000.0
2002-03-06,10.7,10.0,10.0,10.0,4500.0
2002-03-07,10.0,10.5,10.5,10.5,1000.0
2002-03-15,10.5,10.0,10.0,10.0,500.0
2002-04-09,10.0,10.0,10.0,10.0,2000.0
2002-04-11,10.0,10.25,10.0,10.25,2000.0
2002-04-12,10.25,10.5,10.4,10.5,5500.0
2002-05-13,10.5,10.45,10.45,10.45,0.0
2002-05-30,10.45,10.4,10.4,10.4,0.0
2002-06-07,10.4,10.35,10.35,10.35,0.0
2002-06-11,10.35,10.3,10.3,10.3,0.0
2002-06-20,10.3,10.2,10.2,10.2,0.0
2002-06-25,10.2,10.1,10.1,10.1,0.0
2002-06-26,10.1,10.0,10.0,10.0,0.0
2002-06-28,10.0,9.95,9.95,9.95,0.0
2002-07-08,9.95,9.75,9.75,9.75,0.0
2002-07-09,9.75,9.5,9.5,9.5,0.0
2002-07-10,9.5,9.45,9.45,9.45,0.0
2002-07-12,9.45,9.25,9.25,9.25,0.0
2002-07-15,9.25,9.2,9.2,9.2,0.0
2002-07-16,9.2,9.15,9.15,9.15,0.0
2002-07-17,9.15,9.05,9.05,9.05,0.0
2002-07-25,9.05,8.9,8.9,8.9,0.0
2002-07-29,8.9,8.85,8.85,8.85,0.0
2002-07-30,8.85,8.8,8.8,8.8,0.0
2002-07-31,8.8,8.75,8.75,8.75,0.0
2002-08-05,8.75,8.5,8.5,8.5,12500.0
2002-08-06,8.5,8.5,8.5,8.5,2000.0
2002-08-07,8.5,8.6,8.55,8.55,3000.0
2002-08-20,8.55,8.5,8.5,8.5,0.0
2002-08-21,8.5,8.5,8.5,8.5,6500.0
2002-08-22,8.5,8.5,8.5,8.5,500.0
2002-08-30,8.5,8.6,8.6,8.6,0.0
2002-09-03,8.6,8.5,8.5,8.5,1000.0
2002-09-04,8.5,8.5,8.5,8.5,500.0
2002-09-05,8.5,8.5,8.5,8.5,500.0
2002-09-09,8.5,8.5,8.5,8.5,500.0
2002-09-10,8.5,8.5,8.5,8.5,500.0
2002-09-12,8.5,8.5,8.5,8.5,500.0
2002-09-13,8.5,8.5,8.5,8.5,500.0
2002-09-16,8.5,8.5,8.5,8.5,500.0
2002-09-18,8.5,8.5,8.5,8.5,1500.0
2002-09-23,8.5,8.5,8.5,8.5,500.0
2002-09-25,8.5,8.5,8.5,8.5,500.0
2002-09-26,8.5,8.5,8.5,8.5,3500.0
2002-09-27,8.5,8.5,8.5,8.5,500.0
2002-10-01,8.5,8.5,8.5,8.5,3000.0
2002-10-02,8.5,8.5,8.5,8.5,2500.0
2002-10-03,8.5,8.5,8.5,8.5,1500.0
2002-10-04,8.5,8.5,8.5,8.5,500.0
2002-10-14,8.5,8.5,8.5,8.5,1500.0
2002-10-15,8.5,8.55,8.55,8.55,0.0
2002-10-16,8.55,8.8,8.8,8.8,1000.0
2002-10-17,8.8,9.0,9.0,9.0,0.0
2002-10-23,9.0,9.0,9.0,9.0,500.0
2002-10-24,9.0,9.4,9.4,9.4,1000.0
2002-10-30,9.4,9.0,9.0,9.0,1000.0
2002-11-05,9.0,9.0,9.0,9.0,1000.0
2002-11-08,9.0,9.0,9.0,9.0,500.0
2002-11-14,9.0,10.25,10.0,10.0,1000.0
2002-11-15,10.0,10.35,10.35,10.35,1000.0
2002-11-20,10.35,11.0,11.0,11.0,500.0
2002-11-27,11.0,10.75,10.75,10.75,0.0
2002-11-29,10.75,11.0,9.75,11.0,58000.0
2002-12-02,11.0,12.5,10.0,12.5,6000.0
2002-12-04,12.5,14.0,13.0,13.0,5500.0
2002-12-09,13.0,13.0,13.0,13.0,500.0
2002-12-18,13.0,13.75,12.6,12.6,2500.0
2002-12-19,12.6,13.3,13.3,13.3,1000.0
2002-12-20,13.3,12.5,12.3,12.3,2500.0
2002-12-24,12.3,13.3,13.25,13.3,3000.0
2002-12-27,13.3,14.8,14.5,14.8,1500.0
2002-12-31,14.8,14.75,14.75,14.75,0.0
2003-01-01,14.75,14.6,14.6,14.6,0.0
2003-01-02,14.6,14.6,14.6,14.6,1000.0
2003-01-03,14.6,15.0,14.95,14.95,500.0
2003-01-06,14.95,14.75,14.75,14.75,0.0
2003-01-07,14.75,14.5,14.5,14.5,0.0
2003-01-09,14.5,14.75,14.5,14.5,8000.0
2003-01-14,14.5,13.5,13.5,13.5,500.0
2003-01-15,13.5,15.0,15.0,15.0,1000.0
2003-01-16,15.0,16.5,16.0,16.5,3500.0
2003-01-17,16.5,17.45,15.5,17.25,2500.0
2003-01-20,17.25,16.5,16.25,16.25,7500.0
2003-01-21,16.25,17.75,16.95,17.75,1500.0
2003-01-22,17.75,19.0,18.0,18.1,8500.0
2003-01-23,18.1,17.1,17.1,17.1,0.0
2003-01-24,17.1,16.1,16.1,16.1,1000.0
2003-01-31,16.1,15.1,15.1,15.1,500.0
2003-02-19,15.1,14.1,14.1,14.1,0.0
2003-02-20,14.1,13.1,13.1,13.1,0.0
2003-02-21,13.1,14.6,14.6,14.6,500.0
2003-02-24,14.6,15.5,15.5,15.5,500.0
2003-02-25,15.5,14.5,14.5,14.5,0.0
2003-02-26,14.5,13.5,13.5,13.5,0.0
2003-02-27,13.5,12.5,12.5,12.5,0.0
2003-03-03,12.5,12.5,12.5,12.5,0.0
2003-03-04,12.5,13.75,13.0,13.75,2000.0
2003-03-05,13.75,13.95,13.9,13.95,2000.0
2003-03-06,13.95,13.7,13.7,13.7,0.0
2003-03-07,13.7,13.0,13.0,13.0,0.0
2003-03-19,13.0,12.5,12.5,12.5,0.0
2003-03-25,12.5,12.0,12.0,12.0,0.0
2003-04-08,12.0,13.5,13.4,13.5,1000.0
2003-04-11,13.5,12.5,12.5,12.5,1000.0
2003-04-16,12.5,12.6,12.6,12.6,0.0
2003-04-17,12.6,12.9,12.9,12.9,0.0
2003-04-18,12.9,13.05,13.05,13.05,0.0
2003-04-21,13.05,13.05,13.05,13.05,500.0
2003-04-22,13.05,14.0,14.0,14.0,0.0
2003-04-29,14.0,15.0,15.0,15.0,1000.0
2003-05-07,15.0,14.75,14.0,14.0,3500.0
2003-05-13,14.0,14.0,14.0,14.0,500.0
2003-05-22,14.0,14.0,14.0,14.0,2000.0
2003-05-23,14.0,14.05,14.05,14.05,0.0
2003-05-26,14.05,14.0,14.0,14.0,1500.0
2003-05-28,14.0,14.0,14.0,14.0,5000.0
2003-05-29,14.0,14.05,14.05,14.05,0.0
2003-06-02,14.05,14.0,13.9,14.0,5000.0
2003-06-04,14.0,13.75,13.75,13.75,500.0
2003-06-13,13.75,14.5,14.5,14.5,500.0
2003-06-18,14.5,15.5,15.4,15.5,7000.0
2003-06-23,15.5,16.0,16.0,16.0,1000.0
2003-06-24,16.0,16.0,15.9,16.0,2500.0
2003-06-26,16.0,17.0,17.0,17.0,5000.0
2003-07-04,17.0,16.3,16.3,16.3,500.0
2003-07-08,16.3,16.3,16.0,16.3,500.0
2003-07-09,16.3,17.05,17.0,17.05,500.0
2003-07-14,17.05,18.55,17.05,18.55,2000.0
2003-07-16,18.55,20.0,19.9,20.0,2500.0
2003-07-17,20.0,20.0,20.0,20.0,1000.0
2003-08-01,20.0,20.0,20.0,20.0,1000.0
2003-08-19,20.0,20.0,19.0,19.0,5000.0
2003-08-26,19.0,19.05,19.0,19.0,2000.0
2003-08-27,19.0,19.0,19.0,19.0,500.0
2003-08-28,19.0,18.0,18.0,18.0,1000.0
2003-09-01,18.0,17.0,17.0,17.0,500.0
2003-09-11,17.0,16.0,16.0,16.0,500.0
2003-09-15,16.0,17.0,17.0,17.0,500.0
2003-10-27,17.0,16.95,16.95,16.95,0.0
2003-11-14,16.95,16.5,16.5,16.5,0.0
2003-11-18,16.5,16.0,16.0,16.0,0.0
2004-01-08,16.0,15.0,15.0,15.0,2000.0
2004-01-14,15.0,15.0,15.0,15.0,6000.0
2004-01-23,15.0,15.05,15.0,15.0,20000.0
2004-01-26,15.0,15.1,15.0,15.0,9500.0
2004-01-27,15.0,16.5,15.95,16.5,1500.0
2004-01-28,16.5,18.0,17.0,18.0,5000.0
2004-01-29,18.0,19.5,19.5,19.5,5000.0
2004-01-30,19.5,21.0,21.0,21.0,4000.0
2004-02-06,21.0,22.55,22.55,22.55,3500.0
2004-02-09,22.55,24.2,24.2,24.2,3000.0
2004-02-10,24.2,26.0,24.5,25.1,5000.0
2004-02-11,25.1,25.25,25.1,25.1,2000.0
2004-02-12,25.1,26.0,25.7,26.0,4500.0
2004-02-13,26.0,26.25,26.25,26.25,2000.0
2004-02-17,26.25,26.05,25.0,25.0,3500.0
2004-02-18,25.0,25.0,25.0,25.0,500.0
2004-02-19,25.0,25.25,25.25,25.25,0.0
2004-02-20,25.25,25.0,25.0,25.0,1000.0
2004-02-23,25.0,24.5,24.0,24.4,5000.0
2004-02-25,24.4,24.5,24.5,24.5,2000.0
2004-02-26,24.5,24.0,24.0,24.0,2000.0
2004-02-27,24.0,24.0,24.0,24.0,1000.0
2004-03-09,24.0,24.45,24.45,24.45,500.0
2004-03-10,24.45,24.5,24.5,24.5,1000.0
2004-03-11,24.5,25.1,24.9,25.1,4500.0
2004-03-12,25.1,26.0,25.25,26.0,3500.0
2004-03-15,26.0,27.95,26.35,27.95,2000.0
2004-03-16,27.95,30.0,28.95,30.0,9500.0
2004-03-17,30.0,31.5,31.0,31.5,1000.0
2004-03-18,31.5,31.45,31.45,31.45,1000.0
2004-03-19,31.45,30.75,30.75,30.75,0.0
2004-03-25,30.75,30.75,30.0,30.0,4000.0
2004-03-26,30.0,28.5,28.5,28.5,3000.0
2004-03-29,28.5,27.25,27.25,27.25,500.0
2004-03-30,27.25,27.0,27.0,27.0,500.0
2004-04-01,27.0,28.0,28.0,28.0,2000.0
2004-04-08,28.0,28.0,28.0,28.0,2000.0
2004-04-09,28.0,27.0,27.0,27.0,1000.0
2004-04-12,27.0,27.5,27.5,27.5,0.0
2004-04-15,27.5,27.5,27.5,27.5,1000.0
2004-04-19,27.5,27.5,27.5,27.5,1000.0
2004-04-20,27.5,27.5,27.5,27.5,1000.0
2004-04-21,27.5,26.15,26.15,26.15,1500.0
2004-04-27,26.15,25.5,25.5,25.5,2500.0
2004-05-04,25.5,25.0,25.0,25.0,2000.0
2004-05-05,25.0,26.0,26.0,26.0,2000.0
2004-05-10,26.0,27.95,26.75,27.95,3000.0
2004-05-11,27.95,28.95,27.95,28.95,4000.0
2004-05-25,28.95,30.0,29.0,30.0,2500.0
2004-05-26,30.0,32.25,30.9,32.25,3000.0
2004-05-27,32.25,34.0,32.95,33.0,3000.0
2004-05-28,33.0,35.45,32.0,33.0,7000.0
2004-05-31,33.0,33.0,31.35,31.35,5000.0
2004-06-01,31.35,30.45,30.25,30.25,8000.0
2004-06-02,30.25,30.15,30.1,30.1,3000.0
2004-06-09,30.1,30.5,30.5,30.5,1000.0
2004-06-11,30.5,30.0,30.0,30.0,0.0
2004-06-21,30.0,28.5,28.5,28.5,500.0
